name,setTime,star,content
張本儀,3 週前,4,景色不錯 旁邊有一個小型停車場 沒有真正的環湖道路因為 被小山丘擋住 可能是先民用來灌溉的小湖 有一小 小段摩托車可以勉強進入 步道 也不能環湖
明明,1 個月前,5,
Alex Chen,2 個月前,5,"家裡附近發現的小公園
魚很多而且挺大的
下次想來釣魚試試
有很多家鴨🦆 有點髒
但是小鴨🐣很可愛
有個50米的小步道"
褚三慶,3 個月前,3,
RURU TZENG,4 個月前,5,
Chun Ming Cheng,4 個月前,4,這個地方清幽，晨間可以呼吸，新鮮空氣還偶而觀賞鳥兒覓食及松鼠的活動。
謝旭修,5 個月前,4,"附近停車困難
路過在此享用附近買的便當
景色不錯  風吹起來算是舒服"
翔霸ㄚ智（雨都海人）,5 個月前,5,"環境清幽
是個放鬆的好地方"
黃建棠,6 個月前,5,
Chris Chen,10 個月前,5,公園不大，但風景很美，可以來這邊釣魚🎣，沒什麼魚就是了🤣 …
YM-楊泓易,1 年前,5,
徐玉峰,1 年前,5,
陳美琪,1 年前,4,
蔡大宇,1 年前,4,
張嘉宏,1 年前,2,沒有厕所
徐志華,1 年前,5,社區裡的一個生態公園，裡面蜻蜓復育的很不錯，湖裡的魚類也超豐富是一個假日親子遊樂的好去處，夏天的傍晚豆仔魚都浮水面可以餵食麵包屑，土司很好玩的！.....
美連張,1 年前,5,
Hsin Shih,1 年前,1,鴨子放任惹人嫌
吳融宸,1 年前,3,
柯勇堅,1 年前,4,"基隆市安樂區國家新城五福里金龍湖,這個湖泊知名度不高,面積也不大,五福里內密集房舍、湖泊位於山坡邊山容、山坡樹木三者影像倒映於湖光中,碧綠波水引起陣陣漣漪."
鄭文龍,1 年前,5,
葉壁坤,1 年前,4,區域內的設施良好，環境清幽。
鄭小寶,1 年前,4,"拜託當地里長不要再一直增加不必要的人工設施
好好的自然美景
都被人工設施物搶走視覺焦點
太可惜也太糟蹋當地的自然生態美景"
林昇遠,1 年前,5,
CP Su,1 年前,4,很小的一個湖，常常有美麗倒影。 緊鄰社區，很容易遇到嗓門很大的里民。 旁邊步道可以走上樂利山步道。
擬之物語,1 年前,5,社區型的公園，環境維護的算乾淨，還看得見“翠鳥”覓食耶！😁 …
寧PutriAries08,1 年前,3,好地方
Yu Lin,1 年前,5,
AJC L,1 年前,3,
李瑞育,2 年前,5,一家人都可以去走走
陳俊清,2 年前,5,炎熱夏天休閒好去處，但疫情影響還是少出門為妙。
吳佳政,2 年前,4,是觀賞蜻蜓的好地方
Richard Tsai,2 年前,4,保持完整的生態環境
酷猫猫,2 年前,5,"金龍湖位於基隆市安樂區的國家新城社區內
這處公園位於小巷子內  我花了一段時間才找到
公園內有一個小停車場  非常方便
金龍湖景色自然 順著步道走更可以走到新水山庫"
李,2 年前,5,
Anderson Wang,2 年前,4,蠻幽靜的，而且有人在釣魚，但步道貌似沒多少人走。
Ts Eric,2 年前,4,難停車
andy lin,2 年前,5,
朱美惠,2 年前,3,
周宗輝,2 年前,5,山明水秀讓人心曠神怡有大自然的景色
燕南天,2 年前,3,
林小琥,2 年前,5,
曹育瑋,2 年前,3,小社區的公園般的地方
徐大元,2 年前,3,基隆金龍湖的風景是不錯 那你也有野生的紅面番鴨 也常有人在那邊釣魚 去那邊放空思考事情的好去處
好吧,2 年前,3,"小小的湖
走沒幾步就晃完了"
秦飛軒,2 年前,4,不錯
正達陳,2 年前,3,湖畔邊就是停車場，湖不大，緊鄰住家。
康蘭芳,3 年前,4,
呂凱利,3 年前,4,
Anne Chang,3 年前,3,
李志忠,3 年前,3,
龐力魁,3 年前,5,
林尚評,3 年前,3,
楊則潘,3 年前,3,停很多車及雜物，環境很多落葉有点雜亂
王惠嗣,3 年前,4,
呂雲英,3 年前,5,
張繼宗,3 年前,5,
蔡岳洋,3 年前,5,
張束縛,3 年前,2,湖 木栈道死路 通長樂國小步道長滿草 休息亭 左階梯步道
Liou Liou,3 年前,4,
葉庭華,3 年前,5,
Ratih Sari,4 年前,5,一個享受平靜氛圍的好地方，直接來自大自然的涼爽空氣
Feng Eric,4 年前,4,
周孫宇,4 年前,2,就一個池塘..
張志容,4 年前,4,社區的一個小湖，不過很優閒
陳志堅,4 年前,3,
Han-uei Lin,4 年前,3,
艾弗艾尼斯,4 年前,4,社區裡的安靜小角落 生態豐富 讚
張月霞,4 年前,5,
La win拍拍走,4 年前,4,
