name,setTime,star,content
Eve Chen,10 小時前,3,經過可以來走走但不用刻意前往的景點。
JP Figure (DollJPF),1 天前,5,很懷念的日式建築。志工小姐很親切，也很博學。
jojo C,1 天前,5,
HSIN Jk,3 天前,3,可，普通
高榮樺,3 天前,4,在淡水台灣高爾夫球場下方  很有日式風格 讚
Mao-Hsing Chang,1 週前,5,
Pei-Han Chiang,1 週前,5,
楊靜俞,1 週前,5,
Ally Chen,1 週前,3,"庭園大 主建築不大
個人比較偏愛 多田榮吉故居"
Sally Chang,2 週前,5,聽了介紹才能更了解這裡的。歷史
想說布,2 週前,4,木造建築
鄭全成,2 週前,5,日本古屋重建，裡面有水上勉，陳舜臣的藏書。重建的建材，由水上勉的故鄉～福井県所提供。
lee涼涼,2 週前,5,"*清幽的好地方，但停車位不多，請留意
*注意蚊蟲，附近夏天很熱，秋冬合適
*建議搭配其他景點，例如紅毛城或雲門
*如果住將捷酒店，過來逛逛很合適
*日式建築本體有冷氣，不過不大，10分鐘左右可看完"
Lydia WU,2 週前,5,
周本蓓,3 週前,1,
陳智宏,3 週前,4,
吳定恩_恩哥,3 週前,5,很有味道的日式老屋，特別的是從日本全屋運至台灣組裝復原，用以做為兩國友誼之見證禮物。
Folus Wen,4 週前,3,
黃家冠,4 週前,5,這座由日本福井遷建的木造建築保留了傳統日式房間配置，榻榻米、茶几等元素讓屋內充滿古色古香的氣氛。一滴水紀念館也連結著台日面對地震的共同努力。
葉文微41,4 週前,5,
張永翔,1 個月前,5,
黃敏俊,1 個月前,5,蠻有質感的日式建築
kady K,1 個月前,5,
劉奇拉,1 個月前,4,很有紀念價值的地方。
Jack Yeung,1 個月前,3,"小黑蚊太多,停車場有些車輛長期佔用,但是仍然值得一去的地方"
張清松,1 個月前,5,
golden daniel,1 個月前,3,
Chiyo Chan,1 個月前,4,
陳雯羚,2 個月前,5,
蕭建基,2 個月前,4,
詹佳臻,2 個月前,5,
許世昌Simon,2 個月前,5,
Luka Don,2 個月前,5,風景漂亮，適合拍照
Patty H,2 個月前,4,
Eagle Chu,2 個月前,5,
吳智勇,2 個月前,5,
劉安修,2 個月前,5,導覽人員很親切。
蔡小胖,2 個月前,5,很清幽 平日遊客很少 但佔地很小就是
Susan,2 個月前,2,"免費門票,還好。上面「滬尾炮台」雖然是空的,又要門票,又冷門。但是「值得一看」,因為建築是「原汁原味」感覺穿越到古代。"
