name,setTime,star,content
lee jeremy,14 分鐘前,5,
謝錦昇,27 分鐘前,3,
陳佑我,2 小時前,3,早餐後散步的好地方，體驗作章魚燒，買海產品，玩電子魚釣竿。隨後到隔壁七海餐廳用午餐。
朱順泰,2 小時前,3,
王薏涵,19 小時前,5,小點心是魚酥，那邊也可以看魚喔，超可愛😻推薦套票，做章魚燒很有趣❕️醬料&柴魚都可依個人喜好斟酌取用～但要有一個心裡準備，就是解說員在講解的時候會有人一直破壞秩序。。。教室裡面會比較嘈雜=.=導致解說員必須邊管理秩序邊講解，造成時間的延宕，雖然這不是重點啦🤣🤣 …
CM,1 天前,3,博物館內容不多，商品種類很多，順路來買柴魚商品還可以
YO XIN (Bubble),1 天前,2,沒落了 有點髒
黃駒麒,1 天前,3,
楊振銀,1 天前,5,
賴柏宏,1 天前,5,
吳庭毅,1 天前,5,
蔡協恩,1 天前,4,"除了冷氣不夠冷和天花板太低
館內的佈置介紹甚至體驗遊具都很有水準
的確是等待七星潭太陽變小時的好去處"
Jui Ching Hsu,1 天前,4,有章魚燒DIY可體驗，展館裡濃濃柴魚香，門票可抵50元消費
小炫,1 天前,5,
我不爽,1 天前,4,值得
靜淑馬,2 天前,4,
魚明賢,2 天前,5,好玩，又有DIY手做章魚燒。刨柴魚。
Ming Xin Du,2 天前,5,
蔡欣諭,2 天前,5,
蔡志祥,2 天前,5,
王銘訊,3 天前,5,
Irene Lai,3 天前,3,
黄宗麟,4 天前,5,
林佳容,5 天前,4,聽說魷魚片不錯，特地來幫別人買，看起來是個不錯的教育景點。
林維得,5 天前,3,
alen chen,5 天前,4,
科澄,5 天前,3,不如去耕地園
Wu kiny,5 天前,4,
啊喬,5 天前,4,"買套票：門票*2、章魚燒DIY總共350
購買完服務人員說會廣播做章魚燒
逛完後吃冰淇淋邊等 都沒聽到廣播
看官網才知道時段只有上午/9:30、10:30，下午/14:30、15:30
建議公告在櫃檯 或是購買門票時告知…
我們逛完還要等40分鐘才能做DIY🥲
這樣對於後面有行程的人會delay"
徐銘鴻,6 天前,5,
王信雄,1 週前,4,"重建之後第一次去，整個參觀的動線跟內容都很不錯。
不過我覺得好像沒有必要特別弄一排水族箱，雖然還是有人會去看，但對被放在小小箱子裡的魚來說好像有些辛苦。
而且販賣部怎麼沒有賣飛魚卵香腸呢？本來很期待買一個來吃的說。"
陳貞,1 週前,4,與火災前格局不同，以前是懷舊風，現在較現代感。產品不少，口味見仁見智。這次去剛好遇到小學生參觀，跟著解說員介紹柴魚製作工序還蠻有意思的。
范成琮,1 週前,5,
Rocky Wang,1 週前,3,當雨備還可以
新哥life,1 週前,5,"來了那麽多次花蓮，第一次來這， 100元門票，部分能折抵，還不錯。
發現地板有些凹陷，可能請人員注意一下😅 …"
鄭耀誠,1 週前,5,
黃于凌,1 週前,4,
暄,1 週前,5,門票可折抵消費
Jason Lin,1 週前,3,賣一些柴魚相關的副食品， 有些好吃。
銘鴻鄭,1 週前,5,
學友小陳,1 週前,4,
John Chang,1 週前,4,可以學到關於柴魚製作的知識，門票可以折抵販賣部的東西還不錯。
周小源,1 週前,3,挺好買的 只是參觀要門票
洪秀雲,1 週前,5,
鳳仁,1 週前,5,
黃維健,1 週前,5,
王小民,1 週前,4,來花蓮七星潭必到的景點之一，多年後再訪，走走看看感覺很不一樣，親子同遊寓教於樂，認識魚類及加工流程，多了知識深度和想像，販賣諸多柴魚相關商品，了解海洋生態保育的重要性，門票可折抵商品
