name,setTime,star,content
金海熊,1 個月前,4,好的
雅,1 個月前,3,"只是一個高地落差大的水流，約3公尺高。
無法靠近，小心石頭滑溜溜。"
AK Nishikigoi,2 個月前,5,從士林騎公路自行車到七心瀑布的單人騎行在涼爽的天氣和令人放鬆的水聲中非常棒。愛它！
Tiger Chang,2 個月前,5,水流稀少 需要連日大雨之後再來 會更有景致
Max Lin,4 個月前,5,
yahua tsai,5 個月前,4,非常迷你的瀑布，旁邊階梯很陡一共55階，上七星山人車分道百拉卡公路入口站到冷水坑段，一起來尋寶吧
Amelie Liu,6 個月前,5,"有點隱密的「七星瀑布」，一不小心就錯過...
驚見站立石階路，短短陡上後，步道平緩，兩旁綠色箭竹夾雜芒草築成的圍牆...。

健行路線：環七星山人車分道的起點→陽明山遊客服務中心→竹子湖→小油坑橋→頂湖→小觀音山停車場→小油坑箭竹林→百拉卡公路人車分道→七星瀑布→中湖→夢幻湖停車場→戰備跑道→夢幻湖→七星山公園→冷苗步道→苗圃登山口→童軍公車站。全程約12公里，沒有惱人的陡上及陡下行程，重點是「不想走時，隨時都有公車」。"
黃教科,9 個月前,3,
旅行初心者,1 年前,5,"🍵行經陽明實驗山屋陽金公路台2甲線接竹子湖路不遠處，就能看到七星瀑布，識別方式會看到一個小觀景台與涼亭，就剛好位在登山步道旁。

🍵七星瀑布規模不大，仍設有區域能讓大家觀看小型的瀑布。

🍵旁邊設有簡易的小涼亭，如果是開車的朋友，路邊停車位置仍會有點不便利，反而騎機車影響比較不大。

🍵從七星瀑布位置看到右上角位置為陽金公路上的觀景台，也是通往小油坑的道路。

🍵因為周圍雜草較多，能看看到的視野比較有限，建議好奇可以稍微停留觀看下即可，不用停留太久時間。

🌄來訪日期：2022/07/09"
陳芝苓,1 年前,5,一個要往金山方向的迷你小瀑布，還設有觀景台與涼亭，旁邊設有步道通往其他地區，雖然有點小疑惑多了這個地標點，但還真有其瀑布。
劉兆明,1 年前,4,路邊有涼亭及觀景台。涼亭旁的樓梯可直上前往中湖的步道。觀景台往前看，就是小小的山澗瀑布。
輝,1 年前,4,
Vick Tsao,1 年前,5,阿就瀑布
Pei-Rong Lin,1 年前,4,路邊一個小小瀑布，有幾張座椅可以小憩一會兒。
johnny chou,1 年前,1,連續彎道容易發生天雨路滑車禍
ying-chi liao,1 年前,3,
Vincent Yang,1 年前,3,小巧的瀑布就在路旁，經過可短暫停留吸取一下負離子。
Azoth Teng,1 年前,4,看看，小小的， 順道一遊， 不用特別來。
Cannon Leung,2 年前,5,中途休息点！
黃寶玉,2 年前,5,
蔡博文,2 年前,4,
meiting kao,2 年前,2,在竹子湖路旁一個小小不起眼的瀑布
miku protozoa (米沽),2 年前,3,路邊小瀑布，不甚起眼，容易被忽略，設有一個小小的觀景平台可看七星瀑布
李明龍,2 年前,4,
Justin Unknown,2 年前,3,小小瀑布，在公路旁就可以看到。
jimmy,2 年前,5,
吳尚勲,2 年前,5,
Clement Wei,2 年前,5,
H. C.,3 年前,4,就在馬路邊平台上可見，走環七星山人車分道會經過
Joyce,3 年前,3,經過無數次，因為走到路邊小觀景平台暫停，才終於發現到這個有點距離的小瀑布…（或許陰天才會久待觀景台，大太陽時不會想在此停留…）
kevin T,3 年前,2,
Brown Pro,3 年前,3,
fong,3 年前,4,有一景觀平台可觀瀑布與休息。
shuman Yang,3 年前,5,享受大自然，沐浴森林浴
Chang Jackie,3 年前,3,"七星瀑布
瀑布的周圍有許多花，不同季節景色會有所不同，很特別的一個瀑布。"
王俊儒,3 年前,3,水量豐沛時，瀑布很美。
tsaisimo Tsai,3 年前,5,
Kaspar (Kaspar_NL),3 年前,4,
Stock Team,3 年前,3,迷你瀑布
Ming Hsien Chiang,3 年前,3,七星瀑布
Eagle Shen,3 年前,3,
周蔚傑,3 年前,3,
Rich Lee,3 年前,3,要下過一陣雨才像瀑布
rise CC,3 年前,3,
白Robert,3 年前,4,大霧下有另一翻風味
侯文祥,3 年前,4,心宜的景色，誘惑雙眼，遊走一趟，心廣神怡！美不勝收！
陳俊傑,3 年前,5,
藍秀鈴,4 年前,4,
Andres Hernandez,4 年前,4,
Peter Chen,4 年前,4,
廖進杉,4 年前,5,
Phily Cheezesteak,4 年前,4,就…一個很小很小的瀑布，爬山路過時看一眼就走了
Bruce Lin,4 年前,3,
謝天祥,4 年前,3,下雨後 看起來很壯觀 可惜他在陽金公路旁邊沒有停車場
張乃升,4 年前,4,
Baker Sun,4 年前,4,車子太多
Odon Sarnai,4 年前,3,山上的風景，空氣很好，希望大家別亂停車，勿丟垃圾
陳文雄,4 年前,4,步道健行，好走又有樹蔭，值得來……
劉康才,4 年前,5,適合騎車
蔡東昇,4 年前,4,
Scarlett,4 年前,5,
藍青蛙,4 年前,3,容易被忽略的小瀑布
Su Lin Chen,4 年前,4,
張家豪,4 年前,4,"《七星瀑布》

停下車來…
才能聽見飛瀉濺石的水聲
靠近一點…
才得以望見一匹飄逸絹白"
gloria sun,4 年前,3,迷你小瀑布，坐在休息平檯感受陽明山的美讓人很放鬆。
洪國琳,4 年前,3,路邊就可看到了，規模不大
Wu Chti,4 年前,4,就在馬路旁小巧可愛，瀑布旁的山壁長滿秋海棠和雙扇蕨。
陳淨福,4 年前,4,在陽金公路旁邊有涼亭可以休息吸收負離子
高昭文James,4 年前,4,
figure Hu,4 年前,5,觀光點
