name,setTime,star,content
蔡豊榮,1 天前,4,
巧倪托嬰中心-曲异莛,2 週前,5,這裡人民熱情奔放，好客有禮，十分親民~^^
連庭玉,3 週前,3,去的時候沒有開放
林德銘,1 個月前,5,很特別的原住民的房子及元素
mo more,1 個月前,4,"下方斜坡旁有免費的停車格，
再往下走有7-11
和其他原住民的特色餐廳."
Yang Ho,1 個月前,5,
三義幸福小築民宿,1 個月前,5,
黃河翔,1 個月前,5,
Saprinna Chao,1 個月前,5,
黃昶毓,1 個月前,3,現今遊客稀少落寞，變成汽機車跑山路的場所。
yuju chang,2 個月前,4,
momon aikomatshukei莉莉,2 個月前,5,真的真的好開心很漂亮的地方。很美的山。好新鮮的空氣
LYM,2 個月前,4,休館整修中
陳堯銘,2 個月前,5,
phil yu,2 個月前,1,
Ming Hsu,2 個月前,5,
陳宥嘉,2 個月前,3,感受山的空氣
alex黃,2 個月前,5,
張益瑞,3 個月前,4,可以感受、吸收原民文化，增廣見聞，good！
Kuanhung Hsu,3 個月前,4,
Lily Liu,3 個月前,4,就在霧台區公所附近，環境舒適，公廁也乾淨
ANDY SHIUAN,3 個月前,5,
Jenhau Hung,3 個月前,5,
CHIA AN Hsu,3 個月前,1,"停車場的收費員,態度有待改喜"
Iven Dong,4 個月前,5,"環境:★★★★★
用餐: ★★
停車:★★★★★
整體:★★★"
1胡鈴雅 1,4 個月前,4,
李建寧,4 個月前,4,從此處眺望山川景色很美，展示內容應更豐富
鍾松財z19651016,4 個月前,4,好有特色的文化館，漂亮經典下次帶朋友來
VIC TSAI,4 個月前,5,理解原住民文化的好去處
趙清明,4 個月前,5,讚。
周智傑,4 個月前,5,文化館所在位置，是日據時期流傳下來的神社，聚集當地藝術創作和產業，充分展現排灣文化特色，可說是三地門藝術工藝展售的窗口；館內之區域劃分分別為「文物展示區」、「視廳室」以及「藝文展場」等，除了豐富的展覽以外，左側廣場可見巨型架高的陶壺和原風圖騰，右側的草坪地則是觀景台，帶有原風的建築掩映在綠樹間，登上觀景台二樓，可遠眺山林和溪流風光。
陳桂英,4 個月前,5,
Leonardo GTO,4 個月前,5,在鄉公所附近的這個公園是順道的必經之路，停車方便，有一座巨大的陶壺造景，公園不大，附有咖啡館，是可以稍作休息，喝杯咖啡，吃個甜點的地方，蠻輕鬆愜意的
遮估菜,4 個月前,4,
林景麒,4 個月前,5,
徐順堂,5 個月前,4,第二次造訪 記憶不多 但非常有特色
遊美華,5 個月前,5,
魏琬臻,5 個月前,5,三地門文化館位於三地門鄉中山公園裡，由三地門鄉公所打造的文化館所在位置，是日據時期流傳下來的神社，聚集當地藝術創作和產業，充分展現排灣文化特色，可說是三地門藝術工藝展售的窗口；館內之區域劃分分別為「文物展示區」、「視廳室」以及「藝文展場」等，除了豐富的展覽以外，左側廣場可見巨型架高的陶壺和原風圖騰，右側的草坪地則是觀景台，帶有原風的建築掩映在綠樹間。
邢小青,5 個月前,5,氣氛溫馨，了解山地門文化和傳統，平日來沒什麼人，很棒👍💕對了，3月25日還有集體婚禮可參加唷😀 …
劉正（牛皮）,5 個月前,3,美麗小園區。
Tu Shalom,6 個月前,5,在地介紹，文化傳承
郭江群,6 個月前,5,
莊育誠,6 個月前,3,清境可遊之景
李東霖,6 個月前,4,
Yy Hh,6 個月前,5,
C.C Chen,6 個月前,4,戶外空間可以散步休憩，環境清幽可以眺望遠方，旁邊有餐廳，文化館中午有休息時間無法參觀要注意
黃瓊緩huang chunghung,6 個月前,5,安靜舒適
tyh ho,6 個月前,3,小而簡單的文化展示館，敘述當地原住民開墾三地門的經過與傳承。
石耿同,7 個月前,5,
張啟信,7 個月前,4,
謝嘉昇,7 個月前,5,
SIN-CIAN SIAO,7 個月前,3,
孫春梅,7 個月前,4,
Lin kitty,7 個月前,1,門口的全家便利販賣機，投幣後會有吃幣，但飲料卻不掉下來的現象，已經跟門市人員反應，說會匯款，卻遲遲拖延不匯款，服務品質很爛，餐也很難吃，甚至連一顆星都不想給！
Darling,7 個月前,5,環境優美，隨意走走，沒有在往上去，未能參觀琉璃展覽，下次再次挑戰。
邱峯耀,7 個月前,4,
j sky,7 個月前,5,有沒有文化就是有差！就是不ㄧ樣！都很美！👍👍👍
YJ FENG,7 個月前,5,琉璃吊橋看出去的山河景色，還不錯
施小琪,7 個月前,4,1/2剛好有活動，有歌手唱歌～有攤位賣東西～
吳問問,7 個月前,5,
jojo Yang,7 個月前,5,
董豐裕,7 個月前,5,很棒的地方，午餐，下午茶令人感動，茴香，蕃茄豬肉水餃口味驚訝。
桂英劉,7 個月前,2,
麥翠婷,7 個月前,5,
ChaoYi Wu,8 個月前,5,
張崑男,8 個月前,4,
