name,setTime,star,content
林俊偉,3 週前,5,
周祐辰（Ah Ju）,4 個月前,3,
Tina Kuo,4 個月前,5,櫻花秘境很厲害耶👍 …
Chengtung Chang,5 個月前,5,
Chiang tOMMY,5 個月前,5,舒服
Alvin Yang,5 個月前,4,
吳重琦,5 個月前,5,20230309 吉野櫻開了約6~7成 大湖路和縣道101上也很多很漂亮
好聰明,5 個月前,5,"2023 3/7第2次探索花況
今年我建議3/15~3/25是最佳賞花期

2022 3/13我今天第6次
探索花況：
目前
1，櫻花道大致上如我，預估一樣3/15是最佳花期。
2，天元宮目前
天壇   染井吉野櫻，
尚未有花況。
3，三生步道花況：
⇒八重櫻已開始出青長綠了。
⇒昭和櫻3~5成左右。

⇒染井吉野櫻，花苞尚未開花。

2022 3/10我今天第5次探索花况：
因為會連續幾天都是大好天氣，剛好含苞+待放+盛開中一起大爆發，真的是歷年少見的粉色夢幻，宛如整條粉紅彩色櫻花巨龍在舞蹈欉林中！
，追櫻的您，趕緊行動去吧！把握3/15左右是最佳賞櫻期！GO！GO！

特別介紹私人秘境：
在三板橋(公廁)對面巷子走到底有處私人農園，内有許多墨染櫻，昭和櫻，
染井吉野櫻，我預估最佳花期，3/15~3/20之間，請您酌情前往賞櫻！
(無料不收費)

還有三板橋~⇒~福惠宮的道路兩旁，有許許多多正在盛開的八重櫻+昭和櫻+吉野櫻！在等著您！

2022 3/8我第4次探索花況，目前昭和櫻+墨染櫻+河津櫻+染井吉野櫻，正在大盛開中，3/15是最佳花期，追櫻族請您把握，趕緊行動吧，GO！

台灣最大數量的櫻花林道，有20餘萬株櫻花，更何況不止如此，現在全三芝區各個田園鄉間，不断開僻櫻花林木的培栽當中，到處都是！

我已經3次探察的最新花況
2022 3/20左右是最佳賞櫻期，栽種10餘萬株在櫻花道上(青山路⇒大湖路)已盛開了！趕緊去看！請您選擇平日前往，以免賞花人潮衆多。

櫻花道上大都劃白線區皆可以停車，但是櫻花道有10幾公里長，建議以開開停好，方式來賞櫻，拍照時要注意人車安全為重要。

提供建議由⇒ 懷恩聖地⇒大湖路⇒青山路⇒内柑宅路⇒三芝遊客中心⇒淡金公路方向走較Ok，若有不知請善用  谷歌地圖   導航，祝您賞櫻愉快！
(可参考三芝賞櫻地圖)"
Chen Lee,5 個月前,5,沿路風景蜿蜒起伏，櫻花盛開！
陳國偉 Charles,5 個月前,5,好地方
KIKI WANG,5 個月前,4,人車同道，散步時要小心；櫻花樹很高，花期不一比較沒有花海感，但好天氣走起來滿舒服的
小惠蔡,5 個月前,5,人群較少 可好好的漫步在櫻花道
VICKY WI,5 個月前,5,比較少人知道的步道。花不會很密集，但看著這樣小巷也很幸福，可以慢慢走欣賞風景
Space man,5 個月前,3,開車過去逛一逛還不錯路有點宅沒有人的時候去比較好不適合假日去
江明忠,6 個月前,4,覺得有空有閒可以前往的地方，找個停車位後下車步行更好
Jack Chang,6 個月前,5,
Pei,6 個月前,5,
honzo huang,6 個月前,5,
