name,setTime,star,content
許襄理,8 個月前,5,一個廢棄的礦坑口，檢查哨已經是山寓咖啡的營業場所！
ying-chi liao,8 個月前,3,
S W,10 個月前,5,
徐朱玄,10 個月前,4,現場原貌環境保持尚可，可惜未做整理，任由雜草蚊蟲滋生，週邊以營運觀光客飲食店面居多，如果純粹看此礦坑景點走馬看花，最多安排約半小時內的旅程即可。
鄭士浩,11 個月前,5,
林煜群,1 年前,4,塵封的礦坑，剩下的就是如流水般的歷史，可惜沒有加以維護，礦坑外都是雜草。
Chia Ling Chang,1 年前,5,難得來到這裡可到遺跡，難能可貴的是周邊的咖啡☕️廳，小店都是維持原貌改裝，難怪假日在這深山內的遊客不減反增。
Autumu,1 年前,3,
一芳丁,1 年前,5,
李Angel,1 年前,5,美麗的地方
Yawen TSENG (Erica),1 年前,5,好想進去看看啊！
Oscar Lin,1 年前,5,
李哲勝,1 年前,5,
秉宏,1 年前,5,風景非常幽靜，有山有水 有步道  有瀑布  有鐵道  有歷史古蹟。生態非常豐富。煤礦口旁的咖啡小店  好吃。非常推薦唷👍👍
飛天羽,1 年前,5,環境清幽
江隆義,1 年前,3,此地已無煤礦開採，但保留了山水景色，風景很美，適合到此尋幽，很是放鬆。
Vicky Tu,1 年前,5,
慶源,1 年前,4,
林麗卿,1 年前,5,
吳崇宇,1 年前,5,"看見館內所陳列的礦工採礦照片以及昔日採礦用具，自己彷彿身歷其境。

館內的導覽員特別專業，都會細細解說，讓你對於台灣的開發史有更多的了解。"
林逸群,1 年前,4,行走的好地方
Peggy,1 年前,5,"三貂煤礦已廢棄，只剩一個坑道。在三貂煤礦旁現在是一間叫“山寓”的咖啡店。咖啡店很有特色，有上下兩層，樓下是吧台式可以看到老闆做飯，樓上室外區風景不錯，但是蚊蟲蠻多的。室內區很有佈置感，蠻舒適的。老闆偶爾開店，來之前先上FB或IG看看營業狀況。點的餐點是簡單的早餐，好吃擺盤也漂亮。牧羊人的派是馬鈴薯，好吃有特色。蜂蜜檸檬汁有點酸。讓人放鬆舒服的小店。
從車站走來大約25分鐘。記得算好時間，錯過火車可是要再等一個小時喔~"
國光詹,1 年前,4,早年的三貂礦區，76年停採人員離去，只剩少數原住戶，是個極安靜的聚落。有數間手沖咖啡店飲食店，適合慢遊走走，喝喝咖啡與茶。
Chingtong Lin,1 年前,5,
宋松錤,1 年前,5,
Leslie Tse,1 年前,5,"我很喜歡這裏的環境

食物也是出乎想像的好吃"
Jack Sheia,1 年前,5,非常溫馨寧的小山村，親切的年輕老闆娘，可愛的一人小店。
Bryan Lin,1 年前,4,非常有味道的一家店
li tzeyu,1 年前,5,簡樸  自在
李嘉進,1 年前,5,
侯建國,1 年前,3,
YC,1 年前,5,"不斷進化的山寓

金瓜石食不厭在三貂嶺煤礦旁的新據點
咖啡、早午餐提供
老闆已經樓上新蓋好廁所
#三貂嶺
#山寓
#動物友善"
鄭敬儒,1 年前,4,
youxuan Wang,1 年前,4,沒有什麼東西欸
張國斌,1 年前,3,
Ddd Ď,1 年前,5,
馮廉愷,1 年前,5,
TERRY CHUANG,2 年前,3,歷史遺跡
WilliamWu STC,2 年前,5,洞口旁的 山寓 小餐廳非常的棒
jasper collins,2 年前,4,廢棄的礦坑
李好命,2 年前,4,一個廢棄的煤礦，1948-1984 年。
Johnnie Chen,2 年前,5,
Jo Chu,2 年前,5,
Martin Chang,2 年前,4,幽！2021/07/01.疫情，未開放。
Edward Chen,2 年前,5,"*本則評論不是關於三貂煤礦，而是關於位於其旁的山寓*

位於三貂嶺、三貂煤礦旁的山寓，提供預約式早(午)餐，這次初訪，先說結論：在山寓享用早餐是個奇幻而美妙的經驗。

山寓所在的三貂嶺，本來就是個有些奇妙的地方，那是鐵路有過 (但火車班次極少)，但公路的終點，因為如此，除了前往三貂嶺古道的健行客，基本上人煙稀少、環境清靜，有「秘境」的感覺；此外山寓的空間是運用之前三貂煤礦入口旁的入坑檢查室，秘境中的帶有古意的礦坑小屋，山寓光環境就有其特殊性。

環境特別，東西則是美味。我想「農家、有個性有想法、新鮮美味」或可一定程度描述山寓本身。店家食材有些當日採購自在地市場，有些卻是自己栽種培養，例如生菜的菜，店家甚至還有養雞，早餐中所用的雞蛋皆是從自己養的雞場中撿回來，以如此食材做出來的早餐，新鮮是最基本。但除了新鮮，整體的調味也很不錯，無論是(師承自食不厭的)烤番茄麵包、青醬雞肉，或是豐富繽紛的蔬菜水果，以及另含的水波蛋，一起享用時真的是「新鮮」「美味」這兩想法鮮明地洋溢在我的腦海和思緒中。這是有想法、有誠意、也有技術的五星級農家早餐，如果又配上一杯一樣美味的手沖咖啡，再位處如此環境，真只能用「奇幻」和「美妙」來形容了！

這次造訪山寓時，心底似乎有種美好的感覺被默默地觸發。看來，未來的再訪想必是必要的了。

強烈推薦"
翁韋韋,2 年前,5,
John Chih-Chung Lin,2 年前,3,位在廢棄媒礦旁的早餐店，需事前預約，餐點清爽無負擔，整體來說是個不錯小歇處。
Tony Chou,2 年前,5,
HSIN-CHIN JI,2 年前,5,"位於礦坑口的早餐
無菜單，需事先預約
售價350(建議自備零錢)
食材天然，而且非常好吃
環境清幽，視野不錯
附近也有許多步道"
Herschel Wang,2 年前,4,
樂透鍾,2 年前,5,道路不寬。注意會車⋯⋯
松穆,2 年前,5,
李小狼,2 年前,5,你看這旁邊小店是不是很有味道
陳宜東,2 年前,3,就一個煤礦坑的隧道，不是那麼有看頭，不需要特別前往，反而兩旁的咖啡廳，更具味道呀！嘿～
李芳澤,2 年前,5,
吉董吳,2 年前,5,
Vin Kao,2 年前,4,
姜俊瑋,2 年前,5,行遍天下第340期2021/1月號，有推薦報導。
謝嵐峰,2 年前,3,
小墨,2 年前,4,好吃，門口有早餐店，需要預約
張名坤,2 年前,3,
阮如軒,2 年前,5,
李志忠,3 年前,3,
Fox Saber,3 年前,4,
louis stan,3 年前,4,"現已荒癈, 拍拍照還不錯, 但是無法進入"
antony615x,3 年前,5,
張敬臣,3 年前,5,值得一遊的隱藏景點
張束縛,3 年前,3,禁入礦坑前紅磚小房入坑檢查室 簡介 白椅 旁上坡土地公廟
Drama Chien,3 年前,1,任其荒廢，沒有任何好看，無景點可言
紅蔥頭,3 年前,2,任其荒廢，隧道口以封住內部還是有非常多水湧出，可見隧道內是非常危險有滲水
