name,setTime,star,content
郭Jason,3 週前,3,"已併入台北港的....下罟子小漁港，
基建似乎有少許改善 😃 …"
曾令德,3 個月前,4,
Maggie Chu,9 個月前,5,夕陽伴我釣，寶可夢大岩蛇和我一起看夕陽🐍 …
東宏,11 個月前,2,沒啥魚還會被趕
Sidney Pu,1 年前,3,封港中、禁釣
張璨驛,2 年前,1,這地方實在太美了 不能讓別人來打擾我的小天地🥰 …
CHEN HSIAN-CHEN,2 年前,4,位於台北港內的小漁港，但要從台15省道天皇宮巷子進入，巷口是小叮當檳榔攤，很悠閒可放鬆身心，欣賞夕陽，散步、慢跑、騎自行車運動。
Chan Ford,2 年前,2,非常普通的地方。
黃智侯,2 年前,4,放晴的週末，悠閒的漁港，垂釣的釣客。岸邊的臭豆腐小攤。快速道路橋下的遮蔭處，涼風習習吹拂，星期例假的最佳去處。
暉仔,3 年前,3,
伍純德,3 年前,3,
camtom Chao,3 年前,3,
黃阿文,3 年前,4,可釣魚可烤肉
SW Y,3 年前,4,
Anh Duong,4 年前,4,週末來這裡釣魚是個好主意
陳怡序,4 年前,3,
陳秉宗,4 年前,4,釣況共龜
Wen-Ching Cheng,4 年前,4,
俞祥福,4 年前,5,
黃阿樘,4 年前,4,
黃金進,4 年前,4,
韓奉威,4 年前,3,少有人知
ICE RED,4 年前,5,風景優美
騎豬撞牆壁,4 年前,5,
rb Mo,4 年前,5,
魏大大,4 年前,5,休閒觀光兼親子釣魚的好地方
ㄚ賢,4 年前,4,
陳欽平,4 年前,3,
Eric Hsieh,4 年前,4,小小漁港但感覺還不錯
Chen Money,4 年前,5,港區規劃得不錯
戶外客,4 年前,4,
陳宏宇,4 年前,5,好地方
Liuj大濕,4 年前,4,
夜幽,4 年前,3,東西不多
江昇廣,4 年前,1,
鄭啟超,4 年前,5,
高家賢,4 年前,5,缺少建設 浪費一個好漁港
周俊武,5 年前,5,
HSU Herry,5 年前,1,環境不是很好
panerai Pan,5 年前,3,好多人在釣魚
謝基明,5 年前,4,
陳信光,5 年前,4,
王忠山,5 年前,5,夕陽漂亮
宋國鳳,5 年前,4,夕陽 很美
梁維平,5 年前,3,
大朱,5 年前,1,髒亂
李高輝,5 年前,5,
VNAreaExpert,5 年前,3,
李哲昌,5 年前,3,
楊KiMo,5 年前,4,八里左岸渡船頭再往上游， 停靠漁船日減，週邊紅樹林密布 沿八里自行車道即可抵達，週邊有公園休憩場所及零星停車場。
李中仁,5 年前,5,
廖建和,5 年前,2,
allred wang,5 年前,5,陪朋友逛逛
李雅如,5 年前,1,
彭小武,5 年前,5,
吳衡山,5 年前,4,
楊慧君,5 年前,5,海邊臭豆腐好吃
李元中,5 年前,5,
鍾雲丁,5 年前,4,
蔡泳銘,5 年前,3,釣魚的好地方
蔡溪全,5 年前,3,
彭國興,5 年前,3,
張明華,5 年前,3,
劉志明志明,5 年前,4,
林教練,5 年前,5,偶而休閒一下 釣魚趣
劉邦雄,5 年前,3,
李國明,5 年前,3,
吳明傑,5 年前,3,
阿飄,5 年前,5,
陳則源,5 年前,5,
