name,setTime,star,content
李彥佑,14 小時前,5,
楊靜俞,1 天前,5,
邱煜傑,1 天前,2,花市服務員不上道！
巫秀鳳,3 天前,5,
豬包,3 天前,5,
meishing CHEOK,4 天前,5,
水勾（Swagger）,4 天前,5,花卉種類繁多很適合帶長輩踏青
shu nuan huang,4 天前,5,整理的很乾淨
張一一,6 天前,5,
陳文文,1 週前,4,"吃烤肉可以免費賞花園❤️❤️❤️
雖然烤肉食材種類沒有很多，但還算可以"
Grace Chou,1 週前,5,
Worthy Tung,1 週前,4,可以賞花也可以烤肉的舒適空間
Ryan lin,1 週前,5,非常好！花都有持續的在更新照顧!
多多,1 週前,4,"喜歡拍照的好地方,有很多裝置藝術,也不太需要等就可以拍到.
花市賣的花跟一般花市差不多.
還有烤肉吃到飽三百多而以,感覺不錯."
Lee wayne Chang (Evans),1 週前,5,"來這裡走走放鬆很舒服
而且這邊的烤肉服務的阿嬤都很貼心
有讓人回到家的感覺😋"
Engr. Linnel Malibiran,1 週前,5,
林青青,1 週前,5,
俊雄林,1 週前,5,
林耀甲,1 週前,4,
林阿珍,1 週前,3,
Wen澎澎,1 週前,3,
哲CHANNEL,1 週前,3,
林麗珍,1 週前,3,服務態度很好食材新鮮只是空氣排煙設備須改善
砟普,1 週前,3,"花園整體來說不錯，規模稍嫌偏小。
烤肉區差強人意，開放環境還可以達到煙霧瀰漫的效果，食材普普，連飲用水都要收費。"
Note,1 週前,4,"夏天又濕又熱，所以預計花不會那麼多。您應該在春季訪問這里以獲得完整的體驗。如果您想在這裡吃午餐，附近有一個燒烤區（甚至還有卡拉 OK！）。這次的入場費是120新台幣。如果您本月要去這裡，請保持水分並帶上雨傘，因為天氣有時難以預測。

P.S：我只得到了一張郵票，我期望更多。但總而言之，這是一次很棒的經歷。"
Lau Ken,1 週前,4,
陳峰霖,2 週前,4,有收費的花園還不錯、一年四季皆有不同花況！
Dylan Chang,2 週前,4,
Vincent J,2 週前,3,"規定就是規定，不能使用別人給的團體票。
裡面普普通通"
Vivian Shu,2 週前,3,喜.歡打卡的可以來走走
Liu Abi,2 週前,5,
詹義郎,2 週前,3,
Cebuana Senorita,2 週前,5,很多回憶值得珍藏。 🫰 一個放鬆的地方，欣賞不同的風景和鮮花。
Jawwad Djamla,2 週前,4,"後里花卉農場：菲律賓人的平均體驗

如果您來自菲律賓，參觀後里花卉農場可能不會像您想像的那麼壯觀。說實話，除非你對花有濃厚的興趣，否則可能不值得專程前往。體驗還可以，介於中間。

雖然農場提供各種花卉和綠色植物，但如果您不是花卉愛好者，它可能不會引起您的注意。在訪問之前管理您的期望非常重要，因為體驗可能與您最初感受到的興奮不符。

總而言之，如果你不是特別喜歡花，你可能會發現後里花卉園的表現一般。建議您在出發前權衡一下您對花朵的興趣，因為它可能不是您所希望的亮點。"
micochen adventure,2 週前,5,參觀的好地方..但是在鮮花盛開的冬季參觀更好..夏天很熱..無法享受這個地方，因為非常熱..有一個地方可以坐下來一會兒，聽聽美妙的音樂..
廖金龍,2 週前,4,
nan Hsu,2 週前,4,
羅miss,2 週前,2,
張家瑄,2 週前,5,來過幾次，每次都有不同的主題花草，門票120，半票60，裡面有烤肉區，不少人中午在此烤肉，感覺蠻划算的，吃到飽380。園內寵物友善、但是不能進烤肉區。很多造景區，非常好拍。也有賣植物。
Agus Abdilah,2 週前,5,
莊仁傑,2 週前,5,
林梅惠,2 週前,3,
陳家慧,2 週前,4,可以賞花也可以烤肉的舒適空間，烤肉費用請洽店家，依據月份會有不同的花可以觀賞，這次有波波草耶！只是參觀當天，有下了場不小的雨，所以園區有點泥濘，走路要小心！
S-H LAI (Temu),2 週前,4,美
YO CHEN KUO,2 週前,4,
徐增錦,2 週前,5,花很美，適合拍照
金星,3 週前,5,4年前，花之種類多又大又靚，有得唱K，中午BBQ+入場費只收$90，步行4个字到泰安駅，坐半小時到台中市，上月去了富良野，除了薰衣草明貴其它也很一般，🤩 …
許敏男,3 週前,5,
YU HSUAN KAO,3 週前,4,來烤肉參觀花園，但是花園區內很少遮陽的地方，一定要帶防曬品，剛好遇到向日葵盛開，烤肉區超級熱，電扇熱氣一直互吹，廁所很少
一生懸命,3 週前,4,除了園區前面可以烤肉。 整個園區不算大。但種植一些花草及擺飾供拍照。蠻適合溜小孩的地方。 但別中午時過來。太熱。
李維,3 週前,5,
江政賢,3 週前,3,
wen,3 週前,4,條目 120。但它基本上只是一個有很多花的地方。沒什麼特別奇特的
余奕龍,3 週前,5,門票120元真的很超值，花海區超大，花卉種類多，色彩繽紛，還有很多裝飾，很好拍照
Choon T,3 週前,3,入場費120新台幣。主要展示不同的花卉
Richmond Marasigan,3 週前,5,你應該在春天來這個地方，真正欣賞花朵。夏天的時候，花開的不多，而且天氣又熱，很難賞花。不過，有些地方還是非常適合拍照的，120美元，已經很值了。
ali wangi,3 週前,5,
劉建全,3 週前,5,拍照的好地方，也可了解4季的花卉資訊
