name,setTime,star,content
邱家銘,8 小時前,4,
陳慧華,4 天前,3,步道短，生態還不錯，可惜岸邊很多浮竹垃圾，有竹筏遊溪導覽需預訂，雖短走走逛逛也蠻舒服的。
鄭映秀,1 週前,5,
老陶,2 週前,4,入口就位於白沙崙漁港安檢所的斜對面，步道不長，但可盡覽濕地生態。海茄苳，水筆仔，彈塗魚，招潮蟹都可輕易看到。不過垃圾滿地，看了真的很礙眼，不知道是人們亂丟，還是河水高漲帶進來的😩（總之都是人亂丟的👎） …
溫日良,2 個月前,5,"二仁溪紅樹林步道是以海茄苳為主的樹群，景点位於二仁溪出海口，而對岸是台南市南區相呼應。
此步道在河的左岸，經政府整修打造的木質步道的樹蔭下，當烈日豔陽高照時顯得涼爽許多，可惜這種步道距離不很長，便是一般的黄土步道了。
此處還蘊藏有招潮蟹及彈塗魚的出没，更引來鳥類的憩息，也是生態教學的場所，對於環境生態的喜好者，是一好處。
白砂崙漁港安檢所也在其堤防上端旁緊鄰著，因此晚霞照映時，金黃色的水光搭配停泊的船隻或膠筏，顯得格外如詩如畫。"
HSIN CHIEN CHEN,2 個月前,4,
黃道穩,2 個月前,1,蚊蠅雜草多  應清理工作
dermiin Liou,2 個月前,5,適合親子共騎的自行車道
黃道穩,2 個月前,2,只是小心蚊蟲
陳敏敏,3 個月前,4,
