name,setTime,star,content
陳健文,2 天前,5,
曾煥賢,2 天前,4,
林宸睿,1 週前,5,好玩有趣
Angus HSU,2 週前,5,
Wllewin wllewin8523,4 週前,1,裡面店員臭臉很多
Angus “Anguschizo”,1 個月前,5,
Jacky Lo,1 個月前,4,
李家富,1 個月前,5,
張春福,1 個月前,4,
Sri Asih,1 個月前,5,
tony tsai,1 個月前,2,
Hai man,2 個月前,3,五花八門的衣飾，總類繁多！不過有些店家不零售，逛逛看看倒是不錯的。
tina lin,2 個月前,5,
游宏麟,2 個月前,5,人潮回來了
CC Sister,2 個月前,5,
余朝弘,2 個月前,5,
145Dino 145,2 個月前,5,超棒 超好玩 但就是設施過於老舊 玩起來都會ㄎㄧㄎㄧㄍㄨㄞˇㄍㄨㄞˇ
張Dio智宏,2 個月前,5,
otpy otpy,3 個月前,4,
Kevin Lo,3 個月前,4,
chen po-i,3 個月前,5,
Huang Yi,3 個月前,5,
林正沐,3 個月前,5,舖新貨
Yi Jeng,4 個月前,2,有點難逛，人車搶道。
丘允怡,4 個月前,5,雖網購方便但眼見為憑實在
蘇碧薇,4 個月前,5,
Ryder,4 個月前,4,
郭春雨,4 個月前,5,園藝公司整理完美
許富盈,4 個月前,5,
蘇ㄚ益,4 個月前,4,
chialung chiang,5 個月前,3,感覺沒有以前繁華
宮星,5 個月前,5,很棒，適合購物，消費便宜的好地方
小包子,5 個月前,1,入口和出口坡道非常不平，有時候會撞到底盤，不建意轎車進入，希望能改善。
維尼旅遊（小吳哥）,5 個月前,3,
和憬,5 個月前,5,時裝天地，批發集中。
瘋小宇,5 個月前,5,
MurRay SaInt,5 個月前,1,很缺停車空間很不方便
游騰閎,5 個月前,4,
Lee Eric,5 個月前,4,
Danny Hsu,5 個月前,4,
horace hsu,6 個月前,3,
陳柏廷,6 個月前,5,讚
張宸溱,6 個月前,5,逛街的好地方
江熠嫻,6 個月前,4,遊具不多，不過來的時候沒人，所以遊玩品質還不錯
Aa Aa,6 個月前,3,
Howard Huang,6 個月前,5,
Gakki,6 個月前,4,還算乾淨 ，但沒垃圾桶真的很不方便
Paul Y,7 個月前,2,這是一個適合兒童和家庭的小型公園區，但附近沒有浴室，因此很難長時間遊覽。
Fang Ying,7 個月前,3,
ju m,7 個月前,4,
sandy sandy,7 個月前,5,你可以從松山站3號出口出來 往康是美的方向走或者是從後山埤站都可以到達五分埔商圈賣場好逛
蔡豐顁,7 個月前,5,
D C,7 個月前,4,
Weiying Kao (閃閃發光的Vanessa),7 個月前,5,
張玉珠,7 個月前,2,
石建軒,7 個月前,4,
江舜平,8 個月前,3,
Peter Lai (光光),8 個月前,3,
戴瑞克,8 個月前,3,有點髒
殷悅文,8 個月前,5,
Stanley hung,8 個月前,3,
Nelson Lin,8 個月前,3,成衣批價地
Sharon Chi,8 個月前,5,
大河山水建設,8 個月前,5,我有一個朋友家住這，他買了方向盤在家玩大卡車，同時樓下小貨車直直衝。
冷嘰嘰,9 個月前,5,
Tan Xavier,9 個月前,3,
呂永仁,9 個月前,4,環境不錯，樹種了很多，人比較少。
林政男,9 個月前,4,
Chang Yu-Jia,9 個月前,5,停車場很方便
劉俊宏,9 個月前,3,
