name,setTime,star,content
Cindy Chiao,1 個月前,5,美妙的濕地日出！7月晨光🌄🌇🌳🌳🧚‍♀️🎨🎶🎶🎶🕊️🪶🦜🦮🥐☕️淡水河沿岸新北城市🌆與濕地🌿🚴‍♀️🚴🎨🏃‍♀️
張學謀,2 個月前,5,漫步休閒運動散心取景觀察生態的好地方
小雪,3 個月前,5,好玩！
陳良宗,3 個月前,5,放鬆的好地方！古早的河堤，海味~
信宏沈,3 個月前,5,
泥克陳（yan）,4 個月前,2,騎機車到底要怎麼來啊？
Clown Sad,4 個月前,5,跑步散步看日落騎腳踏車都很棒
李厚安,4 個月前,4,
Li Alan,6 個月前,5,
kaiming Tseng,6 個月前,5,天氣真好
阿超,6 個月前,5,
Shigehito Tokumitsu,6 個月前,5,
S H,8 個月前,4,
Ivan Chou (ivan),8 個月前,3,
徐鴻翔,8 個月前,5,
Yofri FH,9 個月前,5,
阿英張,10 個月前,5,全家休閒踏青的好去處，可騎車、野餐、觀察生態哦！
劉兆明,10 個月前,5,新北樂土
聶富明,10 個月前,3,
liest wang,11 個月前,4,"清晨4點半不到，常聽到有人大喊出大景了，「燒起來了！燒起來了！」燒起來了這句話當然不是指「失火」，是指天空慢慢用肉眼可以看出雲彩的變化，慢慢出現紅色、藍色、灰色和紫色的天空。
晨曦是指太陽還沒出來前，大約3、40分鐘的時間可以看到的景象，溼地上的水慢慢退潮，但依然可以見到水中的天空與山的清澈倒影，太陽開始漸漸升起，看見美好的景象，令人神清氣爽，感覺美好的一天慢慢展開。"
李厚安,1 年前,4,
黃俊漢,1 年前,5,
楊朗攝影遊,1 年前,5,"五股溼地(水沙蓮)~
五股溼地位於二重疏洪道北端塭子川出水口.北對關渡自然公園.是淡水河與基隆河交匯流處.長年沿岸淤積大量泥沙..讓船隻往來不便.因此退潮時形成廣大的高灘地.稱為溼地.但也聚集鳥類.蟹.魚類水陸族群....等動植物棲息所在.也為賞鳥人跟生態人士帶來歡喜生機.位處八里左岸鐵馬道起點0公里處堤外道上.歡迎分享瀏覽~"
黃信雄,1 年前,5,
Chi-Yuan Li,1 年前,5,休憩，運動好地方
Jason Wu,1 年前,4,
徐恕,1 年前,1,沒特色
Chin Chin,1 年前,2,整修中
蔡綉英,1 年前,1,
張阿英,1 年前,5,不管是白天或是晚上的視野都是無敵的好，值得去走走的地方。
Bryant Hsiao,1 年前,4,
John 江瑞宗 (John Jiang),1 年前,4,
Peter Hu,1 年前,5,夜景美麗，河面寬闊，堤岸整建完善，適合全家散步。
raniel valderas,1 年前,5,好的
Kim Kim,1 年前,5,"五股濕地

河濱自行車道"
Mikado Lin,1 年前,5,
e-shan shyu,1 年前,3,
hota,1 年前,4,
褚文鏗,1 年前,3,
楊紹祺,1 年前,4,停車方便，寬闊適合親子旅遊
ANDY LIAO,1 年前,4,此地可遠眺對岸的社子島，是基隆河與淡水河匯流處的濕地，是騎單車、散步休閒的好地方
張素雲,1 年前,4,很開闊 感覺舒服
林佳鴻,1 年前,4,
黃明文,1 年前,4,涼風徐徐吹來伴騎著腳踏車，很愜意
衣晴,1 年前,5,風光明媚，散步或騎腳踏車都很舒適！
陳明章,2 年前,3,河濱公園
C.H. HUA,2 年前,5,
吳秉樺,2 年前,3,練習拋竿的地方
Minh Kha,2 年前,5,
蘇心怡,2 年前,5,
楊若蕙,2 年前,4,
Jyun,2 年前,4,水水的
jacky,2 年前,2,
張俊信,2 年前,3,一般豆漿店的味道
林清煬,2 年前,5,
Paochu Chou,2 年前,5,
Chang Hsuan Lin,2 年前,5,
Bert Chen,2 年前,4,
羅振明,2 年前,4,
winston wan,2 年前,4,今日霧霾高，能見度約300公尺
Tân Nguyễn Minh,2 年前,5,
王緒本,2 年前,4,
李金樹,2 年前,5,雖然大家都知道的密境，騎腳踏車才能到 的美麗地方，讚噢
紀宏德,2 年前,4,潮起潮落的濕地生態，招潮蟹、彈塗魚、白鷺絲還有其他好多的生物齊聚在這裡，就是他們的快樂天堂。
黃明忠,2 年前,4,
Tina Chen (A Ping),2 年前,4,很恬靜的寬廣視野
Benny,2 年前,4,
林憲政,2 年前,4,
施美芳Chris-Restaurant,2 年前,5,路地前的化身
happy Huang,2 年前,1,
