name,setTime,star,content
Minglin Jang,1 天前,5,"很棒的瀑布，可惜這次到訪水量有點少，下次要再來一次。

20230826 第二次來訪，水量大更壯觀了。"
大包子,3 天前,5,
阿昌,3 天前,5,讚啦
Suzanne Wu,4 天前,5,涼亭小憩，非常棒喔！停車拍照要小心，有些遊客直接停在路中很危險
林小呆,6 天前,5,
吳曉貞,3 週前,5,因在路邊，所以雖然是瀑布，但感覺只是下車拍照後即可上車走人無停留價值….當下看著瀑布感覺還是很不錯的！
歐政嵐,1 個月前,5,
社會觀察員,1 個月前,5,漂亮
陳輝富,1 個月前,4,
陳文清,1 個月前,5,
張進明,2 個月前,4,
遊俠,2 個月前,5,
YingYu Chen,2 個月前,4,蠻漂亮的瀑布
曾健雄,2 個月前,5,
Kai Yang,3 個月前,5,五重橋旁的瀑布，旁有涼亭，對面馬路較寛廣，停車方便！
陽陽,3 個月前,5,往福山路上，特殊的Z字型瀑布，水聲療癒，是值得停下來的美麗。
林坤盛,3 個月前,4,
HSIN Jk,3 個月前,3,路邊不用走，有涼亭就可喝咖啡欣賞的瀑布
莊美,3 個月前,2,烏來到福山村群山峻嶺猶如北横公路·五層瀑布雨季特別壯觀
chu sentry,3 個月前,5,涼爽，風景美，綠意盎然。
Travel Child,4 個月前,5,瀑布有點高 沒辦法一次到底 需要轉換過繩
李啓豪,4 個月前,5,騎車就可抵達～很棒
Reyyang Bai,5 個月前,5,路邊美景
緋澄,5 個月前,5,就在路旁的景點，涼亭對面有空地可以停車（如照片位置），這次去由於比較早一點，所以整個空地都沒人，因為我就把車子停在這個地方，方便將機車與總柴聯同瀑布一起攝影，此處建議停留時間大約十分鐘左右，拍個照，休息一下就可以繼續往裡面前進了👍
張秉中,5 個月前,5,高山流水，群山環繞，飛濺山泉，產生美妙聲樂，親自感受身歴聲的大自然的嗚唱。
蕭大灑,5 個月前,5,
William Chiang,6 個月前,4,
William Chiu,6 個月前,5,很漂亮的瀑布，水勢恢宏，旁邊有涼亭可以休憩。
陳英彥,7 個月前,5,不用爬山，下車就可以拍照的好地方！
黃章銘,7 個月前,5,水量充沛、型態壯麗
Paul Chen,9 個月前,5,"烏來通往福山
路旁一座壯觀瀑布
歷經風災重新一個面貌
有些人不顧危險攀爬上去拍照
希望注意安全"
馮燕惠,9 個月前,4,
吳嘉珍,9 個月前,3,連下ㄌ幾天雨之後上去的，水量沒想像中的大，但一路風景宜人舒適
早安人早餐魂,9 個月前,5,天氣好的時後真的很美🥰 …
yu pin Liao,10 個月前,4,
Milly Ou,10 個月前,4,就位於路邊，瀑布景致蠻美。
廖志祥,10 個月前,5,
Lo Lo,10 個月前,5,好的
鍾小佑,10 個月前,4,舒服的好地方
Pei Ying Huang,10 個月前,4,壯觀，美麗
姜榮道,10 個月前,4,
彭式均,10 個月前,5,第一次與好友來走走，五重美麗壯觀的瀑布，參與烏來博克多馬拉松選手們加油喔，多補充水份喔
Cheng Xuan Zeng,11 個月前,5,棒
Jaynoya R.S,11 個月前,5,"在前往福山部落的路上，可以看到壯觀的五重瀑布，旁邊有個小涼亭，因為去涼亭休息的人滿多的，所以環境也比較乾淨，至少沒有被自然吞掉。

路邊有足夠的空間可以停車，汽車可停大約五台左右，看完瀑布也別忘了回頭看看遠方的山，那邊也有許多高度相當高的小瀑布存在，不過這些小瀑布在枯水期應該就會消失了。

偶爾地上會看到休息遊客丟的垃圾、菸頭，你他媽的把垃圾帶走很難嗎？"
David Wang,11 個月前,4,很幸運在9/18在五重溪水量充足，非常有氣勢，旁邊有小路可下去
Max Yang,11 個月前,3,該景點在轉彎處 要注意車子
Oscar Su,11 個月前,4,很好抵達的瀑布。
張建中,1 年前,4,
Yo Tsai,1 年前,4,瀑布蠻帥的，路過可以停一下
Keico Lee,1 年前,4,"五重溪瀑布
位在烏來往返福山的北107縣道9公里處，路邊停車，下了車瀑布就在路邊等你了～
現在處於枯水期，水量很秀氣！"
chi way,1 年前,5,在路邊就可以看到瀑布
周慶祥,1 年前,5,
Richeal R,1 年前,5,路邊美景❤️
Li Andy,1 年前,5,
Ricky Chung,1 年前,5,路旁超方便。
Ren Hui,1 年前,4,雨季過後水量多時很漂亮
張金堯,1 年前,4,
邱小斌,1 年前,3,旱季水量較少
夜夜,1 年前,4,路途有點遠，建議有下過雨再來看，不然會看到水很少
hsu amanda,1 年前,5,"烏來山區內，往德拉楠部落途中行經的小瀑布。

雖然只是小瀑布，水量也是不少！山上的樹也特別翠綠！剛好有個小涼亭可稍作休息！"
Arthur Fang,1 年前,5,
林建宏,1 年前,5,路過停留一下還不錯的點
Edward Lee,1 年前,5,從烏來往福山的路邊，會看到此瀑布，路旁有一個小涼亭，大家會在此停車拍照，因為瀑布沿著大石頭傾洩而下，錯落有致。
Ivan Wu,1 年前,5,
dahwu08,1 年前,4,沿途風光明媚，空氣質量不錯
Summer,1 年前,5,很大很壯觀的瀑布，空氣非常的清新，是個欣賞風景與拍照的好地方。
Taosan Wu,1 年前,3,
Sean,1 年前,5,
小小,1 年前,5,
Ming Hsien Chiang,1 年前,3,烏來特產-瀑布！
