name,setTime,star,content
周爆炸,4 小時前,5,我的英文名字也叫伯朗
Yeh AC,7 小時前,5,"很多人來拍照，很空曠有鄉野美
我是來買紀念幣的🤣 …"
Kent Tang,10 小時前,5,旅遊打卡必到的地方，租一輛電瓶車、輕輕鬆鬆吃吃喝喝快快樂樂。（建議逗留3小時）
NC夜喵,1 天前,5,
HOYEN HSU,1 天前,4,
謝祥志,1 天前,5,踩點 當網紅
陳韻如,1 天前,5,很棒空氣好
加藤邪神,1 天前,4,值得一遊
馮景瑋,1 天前,5,
Uni L,1 天前,5,
蘇阿吉,2 天前,5,
鄭玄傳,2 天前,4,出外踏青的好地方。還可騎電動車出遊，車程約1小時真不錯👍
Lin Tina,2 天前,4,
游千慧,3 天前,5,風和日麗，景色優美
陳小白,4 天前,4,
Danny Wu,4 天前,5,風景很美但是周邊電動車的租金有點小貴，兩小時要800
趙秉澍,4 天前,5,畫框造景和伯朗大道地標，搭配藍天白雲綠地的背景，形成大家排隊拍照的一個超級熱門打卡景點
東東,4 天前,4,美美～美👍
Ivan Chiang,4 天前,5,
鄭雅玲,4 天前,5,很棒的田園風光 無邊無際綠油油的稻田很養眼 很想停下腳步融進這幅畫 是都市人療癒之地
lin jung Chang,5 天前,4,好拍
楊鳳仙,5 天前,4,
王世杰,5 天前,4,
青木秀吉,5 天前,5,
劉凱帆,6 天前,5,
吳應銘,6 天前,4,
Wai mei Yeung,6 天前,5,
emily Chen,6 天前,5,風景美麗，天氣好很適合騎腳踏車逛逛
YU SHENG CHU,1 週前,5,
小小啵,1 週前,4,
Joanne T,1 週前,5,筆直大路完全可以體會什麼叫天空是台東藍～
屏東人（舞小潔）,1 週前,5,
邱天,1 週前,5,
李雅文,1 週前,4,
廖景賓,1 週前,5,背景漂亮超好拍
李孟賢,1 週前,4,"我覺得這裡的景色比金城武樹更棒，地勢較高讓這個位置能將遠方稻田與山巒皆可盡收眼底，而且離公路較為接近，不必租車騎過去，停好車只靠步行即可抵達。
有公告畫框不要去坐、臥、趴等（具體動作忘了，反正就是不要加速它損害）動作，但實際上大多數的觀光客都不會管這個，想做什麼動作還是做什麼動作。"
林芳年,1 週前,5,畫框太多人拍照，需要等好一下
謝忠良,1 週前,5,
吳進宏,1 週前,4,
鄭欽元,1 週前,5,直線狂飆的道路，拍照注意當地人開車用衝的！
Barry Kuo,1 週前,5,
鄭文團,1 週前,4,
jason liao,1 週前,3,並無多大期望，只是來了台東路過看看，網美景點拍照可以，
姚恩智（捌佰姚龍）,1 週前,5,很舒服的景點！！
黃昭明,1 週前,5,只要天氣好，到處都是美景
卓淑春,1 週前,5,
產科酷吏王培中（產科酷吏）,1 週前,5,風景很好 不過有太多家店面在出租腳踏車 品質有點良莠不齊 可以選擇一下
百惠,2 週前,5,
江雅娟,2 週前,5,
張鈞評,2 週前,5,山景搭配鄉村稻田，別有一番風味，雨後也另有景緻，騎騎電動車，還不錯
Tseyu Lan,2 週前,5,
顏喬伊,2 週前,4,"一整片稻田，視野開闊
騎腳踏車晃晃很療癒"
Yan Yan,2 週前,5,
李婼昑,2 週前,3,
吳慧珊,2 週前,5,
mjlife60 mjlife60,2 週前,5,
蔡佳紋,2 週前,5,是個空氣好，很純淨的地方，值得去感受，重點是一定要嚐試在地的米，不忘此地好米
視覺資訊 / 秉均推好厝 / 住商安南店,2 週前,5,
徐崇文（Tree Hsu）,2 週前,5,地標，假日拍照需排隊。
鍾淼章,2 週前,5,
徐義裕,2 週前,4,
丁純慧,2 週前,4,
MingHong Chen,2 週前,5,
侯秉佑,2 週前,5,
Wei Wei,2 週前,5,
陳致仁（Dr. Ice）,2 週前,4,電動車的租用價格頗高
庵迪,3 週前,5,在伯朗大道上騎車很舒服！
澖小,3 週前,5,第一次來，很放鬆的行程，改天有機會再帶小孩走走！
薛大,3 週前,5,
鄭麗婉,3 週前,4,
wulin tsai,3 週前,5,
White Yeh,3 週前,4,
江軍,3 週前,5,五星景點，天氣好就很好拍！
志宏盧,3 週前,4,
Bebe Lam,3 週前,5,最棒的打卡位👍😂😂 …
陳山泓,3 週前,5,
海鮭,3 週前,5,很多遊客不懂排隊
志志王,3 週前,5,
蔡谷欣,3 週前,5,
蔡阿修,4 週前,5,"這個框框接著完美背景，
怎麼拍都好看耶！"
Jaimy Wu,4 週前,5,剛下完雨才到伯朗大道，畫框只有兩三組人在排隊拍照，朋友說好天氣的話排隊落落長。2023-07-19到訪
邱芳怡,4 週前,5,
Kunming Chen,4 週前,4,
李秀霞,4 週前,4,每次到 都在排隊 很受歡迎
WTY,4 週前,3,人氣景點
阿哲,4 週前,5,
楊岸彬,1 個月前,4,
Chen Lin,1 個月前,5,人好多，還好遇到的大多是文明人，拍照還會排隊
