name,setTime,star,content
邱世豐,1 天前,5,
James Hsu,1 天前,5,
Willy,1 天前,5,
林昆陽,1 天前,5,這是第一次來到碧山巖，可以說是又痛又愛；痛的是為了摸寺前那隻水牛， 看台北股市是否能一路常紅，結果被高低落差約十來公分的石階拌倒了（ 夜晚要小心），痛呀！愛的是能在觀景平台上俯看台北的美麗夜景，吹著盛夏的清涼微風，舒服呀！可惜的是沒做功課，差幾分鐘錯過了當晚的大稻埕煙火，建議您撥空來看看呦！
Andy Hung,1 天前,5,內湖看風景好地方
元忠廖,2 天前,5,
Alex艾力克斯,3 天前,5,
Robert Cheng,3 天前,5,"好停車，夜景很讚
汐止、南港、內湖、信義、大直都看的到
充滿回憶的地方
拜拜記得要逆時針參拜"
Wayne Laker,3 天前,5,美到不行
黃少童,4 天前,5,風景很美，適合大小孩子一起來玩
淑慧林,4 天前,5,造訪此地是為了爬忠勇山大約450格的階梯很好駕馭。任何人都可以達成，下山後開漳聖王廟旁的地下一樓有咖啡可以品嚐，建議選擇戶外區俯瞰整個台北景色101大樓～夜景更是美不勝收！大推～～～
andrew hung,6 天前,5,可睇台北市全景
顏敬塘,1 週前,1,
tsung han,1 週前,5,風景好
張Vanessa,1 週前,5,
Chen Alan,1 週前,5,
莊麗月,1 週前,5,恭奉開漳聖王勝地，香火鼎盛，沿著石階上去 ，到廟拜拜後，天公爐前面可鳥瞰內湖，更可遠眺101大樓，如果時間够，可去登忠勇山，白 石湖吊橋走一趟，過年期間還可採草莓，所以去碧山巖既是有教信仰聖地，也是觀光好景點。
黃小弘,1 週前,4,休息的好所在
Curtis Lin,1 週前,4,欣賞台北市怎好所在
沈肚肚,1 週前,5,從劍潭走大縱走第五段，滿好走的，又沒下雨，風景也不錯，很值得走走。
power yu,1 週前,5,
Tommy Chang,1 週前,4,這裡可以一覽大台北，不但洗滌心靈還可健身，停車場廣闊不需排隊等候，是放空的好去處
NaiChih Kuang,1 週前,5,
Ja ming,1 週前,5,白天來可以看到整個台北市全景，雨天過後更可以看到美麗的山嵐，晚上來可以看到輝煌的101夜景。是一個台北市不容錯過的景點，也是重要的廟宇。
陳大德,1 週前,5,安靜地欣賞夜景的好地方
田隴海,1 週前,5,內湖碧山巖風景優美可鳥看台北101及松山機場的飛機起降，風水寶地要選總統及民代的必須要來參拜
MuMu Yang,1 週前,4,"平日晚上來看夜景，騎車可以到廟前面再走階梯上來，不用從最下面步道開始走
視野還算遼闊，但人滿多的，也有小孩在吵鬧
跟著廟內的拜拜指南拜了一輪，很有趣"
angel Liu,1 週前,5,視野很廣，可觀賞的角度很多，有乾淨的廁所，有很多台飲水機。
劉家福,2 週前,4,夜景漂亮，四周很乾凈
洪雅君,2 週前,5,
Chia-Cheng HE (Joe),2 週前,5,月光明亮、天氣舒爽，適合晚間散步～
Adam Tu,2 週前,5,
Tom Hsu,2 週前,5,
CC Y,2 週前,5,
Tai Wang,2 週前,5,風景超級棒晚上白天都適合附近也有步道跟吊橋
金麟鄧,2 週前,4,景觀良好
PEI TSU (最光陰),2 週前,5,
周文山,3 週前,3,
沈延壽,3 週前,5,"有美美的風景+優美的健康步道, 是休閒運動的好地方喔！走累了嗎？有下山的小2公車哦！"
劉月月,3 週前,5,
Shu SHU,3 週前,5,
Aoi Z,3 週前,5,日景夜景都很美
飛鴿傳書,3 週前,5,視野遼闊觀看台北地區好地方。
TK Hsu,3 週前,3,
李逸楓,3 週前,5,風景秀麗
闕英俊,3 週前,5,
謝芳穎,3 週前,5,
王小宏,3 週前,5,俯瞰台北景色的好地方，安全也好停車！
邱宥鈞,3 週前,5,內湖知名開漳聖王廟，也是台北大縱走的水源補給站，廟前視野遼闊也是欣賞夜景的地方
ya little,3 週前,5,"心中最棒的廟
心誠則靈
每次來都可以感受到平靜！"
Steven Tsai,4 週前,4,爬山、拜拜、看風景，一兼三顧。
陳建毓,4 週前,5,
雅純,4 週前,5,
Kimmy Chiu,4 週前,5,喜歡這地方，清幽
Ping Ping,4 週前,5,
曾建誠,4 週前,5,
廷,4 週前,5,
李明珠,4 週前,5,乾淨親切明亮
劉厚均,1 個月前,5,夜景很讚
竹竿,1 個月前,4,
李秋英,1 個月前,5,
李揚,1 個月前,4,
Dochu Kao,1 個月前,5,"開漳聖王廟的景色優美而且可以裝水
不想等公車徒步下山也滿愜意
約莫半小時就能到捷運內湖站吃肯德基"
國彥楊,1 個月前,5,"《春遊碧山》
忽逢彩虹破空至
雲煙蒸騰若翻江
山中綿雨風拂面
笑步輕歌挹花香

《夏登碧山》
山風斜斜雲纏綿
晴空奕奕天接地
浩世蒼蒼道長寬
聚散依依無古今

《碧山秋雨》
流光拋影星穿雨
褐坡歌壑演秋聲
獨步三村傘無潤
為覽碧山夜風清

《車行碧湖》
紫雲橘海金光火
暮雨晨風碧連山
昔時湖沼今高樓
河渠行車夜摩天

這是我寫來歌頌
內湖碧山巖四季
之美的七言短詩"
