name,setTime,star,content
Went Liu,5 天前,5,包場超讚 超舒服的體驗
張佳薇,1 週前,5,參加飯店免費導覽，早起運動，呼吸新鮮空氣，看看天然景色
Jongyie Chen,2 週前,5,走完嘉明湖步道後來這裡泡腳消除疲勞不錯
Kevin Hou,2 週前,5,
施純興,2 週前,5,
sean lee,2 週前,4,"過天龍飯店沒多久就会發現的泡腳区約在台20,179公里處,開車或騎車有點累時,剛好可以泡腳休息一下再上路。可泡只有三池多時要等一下。"
盧祥如,2 週前,5,南橫路上最輕鬆的野溪溫泉泡腳一下👍 …
李國瑋,3 週前,4,
江軍,3 週前,5,要煮蛋的話，要記得攜帶煮蛋容器，才能享受超級美味的溫泉蛋噢！
陳美玲,3 週前,4,
洪文政,4 週前,5,好玩方便的免費景點
施宣妃,4 週前,4,胡迪說溫泉舒服！
林林林kufu,1 個月前,5,"南橫公路從摩天農場下來後
可到六口溫泉泡腳休息一下
再上路"
閱讀樹托嬰中心余郁樺,1 個月前,5,
卓小芊,1 個月前,5,
段玉,1 個月前,4,享受大自然的美～舒服
張小誠,1 個月前,5,腳可以泡溫泉、停車位只有4位、路邊景點
Joe Lo,1 個月前,4,路邊的一個小景點，可以泡腳休息一下。
許大熊,1 個月前,4,
pinga Knut,1 個月前,2,
Jason Yi,1 個月前,3,沒什麼吸引人
林耀麟,1 個月前,4,
安中興,1 個月前,5,位於南橫的知名景點大家一定會來六口溫泉朝聖，現在大多可以來泡足湯煮溫泉蛋，還能大口享受最天然的芬多精，六口溫泉來自於碧山溫泉，其水源從新武呂溪流旁的鐘乳石岩洞或是自溪床冒出，為野溪溫泉。
S.H. Lin,1 個月前,5,
李俊宜,1 個月前,4,
YIH-TIAN “BV5OQ” KE,1 個月前,5,悠悠山林
楊成輝,1 個月前,5,
Ivy Jheng,1 個月前,5,可以煮蛋，三口水的溫度不一樣，對面三山壁是溫泉，很特別的體驗
s8888spower,1 個月前,4,有三口溫泉可以泡腳，水溫還蠻燙的，另外一口60度是可以煮雞蛋的，例假日不好停車。
jiuan Tsai,1 個月前,5,三口可以泡足湯，另有一口溫泉原湯標示有95度高溫，可煮溫泉蛋，第一次使用利用網袋浸泡25分鐘，蛋是不熟的（不能吃）建議帶鍋子成功率可能較高！
Sam Sun,1 個月前,5,
yi shun Hu (找蟹達人),1 個月前,4,冬季泡脚应该不错
jan ring yu,1 個月前,5,小小的，有三口可以泡，溫度不一樣，人少泡起來比較沒有壓力
陳志明,1 個月前,4,
垣達鑄造行,1 個月前,5,
校正興,1 個月前,4,
chia feng,1 個月前,5,天然的景點，還有泡腳池
Li-Te Chen,1 個月前,4,
bob Chung,1 個月前,5,泡腳好舒服
Eric chang,1 個月前,5,
徐其明,1 個月前,4,
簡惠萍,1 個月前,5,南橫公路中的一個小景點。景色優美
Bo Feng Huang,1 個月前,3,
一一,1 個月前,3,只是簡單的六個四方口，內有溫泉水供來訪者，可以泡泡腳。
陳建宏,2 個月前,4,一邊泡腳ㄧ邊欣賞風景很不錯，只是地方有點小！
韓山錚,2 個月前,4,
李雨錡,2 個月前,5,風景優美
Roy Lai (Roy Lai),2 個月前,5,
素還真,2 個月前,5,"<<六口溫泉  煮溫泉蛋>>
虧我設計了這麼棒的煮蛋方式，
帶了這麼好吃的調味料，
但…
網路說一個小時煮不熟，
我實驗了2個小時也不能熟…
所以要在這兒吃溫泉蛋，
還是自取溫泉到容器煮較快啦！"
黃懋誠（吖輝仔）,2 個月前,4,"停留泡🦶的好地方、看看風景、了解、自然風化山線之美！
滿推薦大家🈶️到南橫、池上的遊客路過看到👀就來泡溫泉♨️⋯⋯ …"
陳胤志,2 個月前,5,"免費泡腳煮雞蛋，建議帶水壺煮雞蛋，可以直接把熱水漏進水壺，溫度會比較高，我們是帶網子，熱水下來會被水池稀釋，所以煮了一個多小時，蛋白還是糊糊的跟布丁一樣，也是另一種風味啦！
溫泉旁邊可以停三台車，就看運氣囉！"
黃復猛,2 個月前,4,
Janet Yeh,2 個月前,5,來看看你們找不找得到土地公、觀音像和黑猩猩
賴木根,2 個月前,5,
