name,setTime,star,content
Dale Chen,2 週前,3,
董忠仁,2 個月前,4,
廢柴契悟,2 個月前,5,很壯觀，但是景點有點小，路過剛好來參觀
嘎領帶ㄟ,3 個月前,5,
HUNG TA CHANG,4 個月前,4,
菜菜,4 個月前,4,
Sunny Shiao,6 個月前,4,"今天 跟 老公 到 六堵險圳 遊玩. 我們是從 生肖公園這端進入, 經過 慈鳳宮, 福德宮, 就到 六堵險圳 步道. 整個步道長 約 350 公尺, 但緊鄰 基隆河, 沿途風景倒是秀麗.  根據 險圳 大峭壁 上碑文的描述, 這裡在 清朝時 曾有民兵 在 峭壁上方 與 荷蘭兵 對抗, 讓 荷蘭兵吃盡苦頭. 故 立此碑文以紀念此事蹟. 而此處的 山形 山勢, 從另一側(小武夷山 圓拱門那側) 看起來, 頗類似 大陸的 武夷山, 故 有小武夷山的稱號. 漫步其間, 怡然自在; 經過這裡 別忘了 進來一遊.
因進來時 直接走 古圳道; 所以回程時 就到 生肖公園 補拍照片. 根據 老公的說法, 這裡應該 要有 12 座生肖動物, 但今天只看到 8 座.
後面依稀看的到空的石頭, 動物不見了. 不知 基隆市政府  未來 是否會 再 整修?"
vicky HO,11 個月前,5,
黃俊哲,1 年前,4,
Ecloud Su,1 年前,5,風大，涼爽，騎車休息站
Yt L,1 年前,3,
Wei-Jen Liao,1 年前,5,
阿鴻,1 年前,3,散步時巧遇兩隻臺灣藍鵲。
Gilbert Wu,1 年前,4,"沿著基隆河旁的步道,風景還不錯；天氣涼涼的騎腳踏車很舒服"
Hsin Shih,1 年前,5,"視野空氣品質好,初春騎單車、健行好去處。"
C.H Wu,1 年前,5,
梁展肇,1 年前,3,
楊麗雪,1 年前,3,
李建興,1 年前,3,
趙文龍,1 年前,3,
真真,1 年前,4,整潔乾淨 文史地點
hsinjr hu,1 年前,3,七堵通往百福社區的自行車道，會經過的一處地點。接近傍晚來散步健走，清風徐來，相當愜意。
Andy Chen,1 年前,4,
味留 料理中的料理人熟成與甦熟,2 年前,5,釣魚好點
Martin Chang,2 年前,4,"2021/07/19,16:00,高氣壓和低氣壓，形成汐止山頭雲氣！"
Kevin Wang,2 年前,4,
紫羅蘭,2 年前,5,簡單好走的步道
詹献祥,2 年前,4,疫情期間不能趴趴走，這裡倒是個不錯的戶外活動地點，我幾乎每兩天自行開車停好車，從八堵NISAN 維修服務中心旁的基隆河堤岸快走穿過六堵險圳，走到近五堵社區，再回頭至原起始點，約80分鐘的運動，渾身氣血通暢達到健身與娛樂的目的，沿途行人稀少，河堤兩岸風景優美，已成了我的生活習慣。
蘇長欽,2 年前,5,
s s,2 年前,4,
花生2580,2 年前,5,
JAMES LEE,2 年前,5,爽
雨晴,2 年前,3,沒啥看頭
lement0818@yahoo.com li huo sheng,2 年前,3,歷史古蹟，景點單薄，沿河步道，親子同樂。
廖文毓,2 年前,5,按赞。
陳立群,2 年前,5,
Kelly Chen,2 年前,3,"2021.02.14，停車停在旁邊頂圳福德宮，棧道散步途中經過六堵險圳，沿路河川有垃圾、私宅、農田沒什麼風景。
歷史遺跡，碑寫道『...清朝年間與荷蘭作戰，我民兵集結於險圳上方，居高臨下...先民為紀念事蹟，命名為險圳...』。"
陳宗德,2 年前,4,輕鬆的路途，適合任何年齡。
徐崇宇,2 年前,4,有歷史性意義的地理環境
a920791,2 年前,5,
歐司邁,2 年前,4,
嚴伯祭,2 年前,5,
Dietmar Watzke,2 年前,4,
趙進益,2 年前,4,
謝振豐,2 年前,5,可連貫基隆河堤步道和自行車道，適合輕度運動的路線。
謝惠能,2 年前,4,
廖金蘭,2 年前,5,
Gavin Shiau,2 年前,4,
林宏俊,2 年前,3,
王懷民,2 年前,4,景觀優美
陳美玲,2 年前,5,
王新明,3 年前,4,感覺看到水中魚兒游來游去，身心舒暢。
小鴨子,3 年前,4,
李志忠,3 年前,3,適合早上和傍晚來此的運動騎腳踏車並可觀賞基隆河裡的魚兒悠遊和路白鷺鷥的捕食悠閒的畫面 當地居民常常有的活動場所寺廟可工拜拜
Eddie Chang,3 年前,5,蚊子多 被叮很爽
蔣德豐,3 年前,5,
Used Car,3 年前,5,
毅家軍,3 年前,5,是可以來看看歷史
謝德財,3 年前,3,
楊長翰,3 年前,5,"在河濱步道旁,該處有簡介說明"
曾俊榮,3 年前,3,
林鶴年,3 年前,3,美
sean lee,3 年前,4,位處基隆河六堵與泰安之間的通道，早年難通。基隆河整治時一併用木棧道連接。因其石壁平滑幾成90度，故稱小武夷。
高偉豪,3 年前,3,一個歷史景點
趙子賢,3 年前,4,
joseph lan,3 年前,3,適合散步、練習長跑
Han Han,3 年前,3,
老貝,3 年前,3,就是基隆河邊一道垂直的岩壁而已。
謝伊婷,4 年前,5,小秘境
吳基弘,4 年前,4,這是基隆河的一段有腳踏車道及延河岸兩邊步道可以觀賞基隆河的美，延途有六堵土地公廟，基隆慈鳳宮，自來水廠，延續到百福社區，可看見河川的美
