setTime,star,content,seg_result
7 小時前,5,,
21 小時前,3,"入園有送一張DIY折價券但門票不能抵消費.園區內有馬羊牛兔子可以餵食飼料要額外付費.也有滑草活動可以體驗依年齡有不同價位.一人門票200但票券完全沒有任何折抵每項活動也都要額外付費個人覺得CP值不高
園區內的商品雖然偏貴但蠻好吃的來玩可以嚐鮮.",入園 折價券 門票 消費 園區 兔子 餵食 飼料 付費 滑草 活動 體驗 年齡 不同 價位 門票 200 票券 沒有 任何 折抵 活動 付費 覺得 園區 商品 好吃 嚐鮮
22 小時前,5,,
1 天前,5,規劃的很好超值,規劃 超值
2 天前,4,,
2 天前,3,,
2 天前,3,"平日門票100元園區看似很大其實放牧區就占了很大的部分但放牧區牛很少就是草皮
其餘的園區除了可愛動物區有一些動物之外其餘都是要消費的區域如賣鮮奶蛋糕義大利麵小火鍋等
結論不是很好玩",平日 門票 100 園區 看似 放牧區 部分 放牧區 草皮 其餘 園區 可愛 動物區 一些 動物 之外 其餘 消費 區域 鮮奶 蛋糕 義大利麵 火鍋 結論 好玩
3 天前,5,,
3 天前,4,假日人很多家長都帶小孩來這裡遛可以餵羊餵牛還有兔子,假日人 很多 家長 小孩 這裡 兔子
3 天前,4,更多的動物會很棒,更多 動物
4 天前,4,,
4 天前,4,,
4 天前,5,初鹿牧場位在台東縱谷裡的高海拔台地上是台灣最大的坡地牧場假期可以來這玩可以玩上一整天初鹿牧場園區面積約72公頃是台東大型觀光牧場規畫有放牧區可愛動物園區森林浴等不同區域,初鹿 牧場 位在 台東 縱谷 高海拔 台地 台灣 坡地 牧場 假期 初鹿 牧場 園區 面積 72 公頃 台東 大型 觀光 牧場 規畫有 放牧區 可愛 動物 園區 森林浴 不同 區域
4 天前,4,滑草很好玩,滑草 好玩
4 天前,5,,
5 天前,5,"以為風景區的餐應該都還好
但是真的還不錯吃",以為 風景區 不錯
5 天前,5,全家人走走 遛小孩,家人 走走 小孩
5 天前,5,,
5 天前,5,假日去的話要有排隊的心理的準備,假日 排隊 心理 準備
5 天前,5,休閒放鬆的好地方要準備防蚊液夏天很多小黑蚊牛奶好喝,休閒 放鬆 地方 準備 防蚊液 夏天 很多 黑蚊 牛奶 好喝
5 天前,1,小黑蚊恐怖的多啊,黑蚊 恐怖
6 天前,5,年初現在.兩趟.全家高興,年初 現在 全家 高興
6 天前,3,112環島之旅12牛奶新鮮好喝適合拍照,112 環島 12 牛奶 新鮮 好喝 適合 拍照
6 天前,5,"台東就是好山好水好漂亮
牧場裡面的飼料通通只要30
可以挑選牧草魚飼料或是紅蘿蔔 ","台東 漂亮 牧場 裡面 飼料 30
 挑選 牧草 飼料 紅蘿蔔"
6 天前,5,,
6 天前,5,,
1 週前,5,,
1 週前,4,,
1 週前,5,"很棒的牧場腹地很大
適合遛小孩放電還可以滑草皮",牧場 腹地 適合 小孩 放電 滑草皮
1 週前,5,維護的不錯牛奶好喝草原遼闊很棒的地方,維護 不錯 牛奶 好喝 草原 遼闊 地方
1 週前,5,,
1 週前,4,,
1 週前,5,,
1 週前,5,"有許多可愛動物牛隻在廣袤的草地遊走非常逍遙自在產出的鮮乳可想而知也會不錯
鮮奶霜淇淋和奶酪非常美味濃醇
是個適合大人小朋友遊憩放鬆的好地方",許多 可愛 動物 牛隻 廣袤 草地 遊走 逍遙 自在 產出 鮮乳 不錯 鮮奶霜 淇淋 奶酪 美味 濃醇 適合 大人 小朋友 遊憩 放鬆 地方
1 週前,5,"小動物蠻多的門票稍貴
但值得來一趟",動物 門票 值得
1 週前,4,,
1 週前,5,親子悠閑假日的好去處,親子 悠閑 假日 去處
1 週前,4,走走不錯空氣超好適合帶小孩與小小孩來玩,走走 不錯 空氣 適合 小孩 小孩
1 週前,4,,
1 週前,1,"當時售票窗口有兩邊
左邊現金+量體溫
右邊可以刷卡 ",當時 售票 窗口 左邊 現金 體溫 右邊 刷卡
1 週前,5,,
1 週前,4,小孩放電好的方,小孩 放電
1 週前,5,,
1 週前,4,動物環境蠻髒很希望台灣能發展這樣觀光景點重視一點像人家日本一樣其餘到還不錯,動物 環境 希望 台灣 發展 這樣 觀光 景點 重視 一點 日本 一樣 其餘 不錯
1 週前,5,環境規劃良好非常適合全家出遊景點 ,環境 規劃 良好 適合 全家 出遊 景點
1 週前,2,,
1 週前,3,,
1 週前,5,可以喂羊和滑草適合帶小孩來玩,滑草 適合 小孩
1 週前,5,,
1 週前,4,我愛乳牛,乳牛
1 週前,4,,
1 週前,5,,
1 週前,5,還不錯 只是要記得帶防蚊液 超多小黑蚊,不錯 記得 防蚊液 黑蚊
1 週前,5,"冰淇淋不錯吃 但是要小排隊一下
整個園區還不錯逛 也有滑草可以玩要額外付費",冰淇淋 不錯 排隊 一下 園區 不錯 滑草 付費
1 週前,5,台東的好山好水很適合全家大小一起去,台東 適合 大小
1 週前,2,"48週六假日入園
兩大兩小一車共450(小孩不收費) ",48 週六 假日 入園 450 小孩 收費
1 週前,5,"老少咸宜適合全家大小造訪的好地方
只要不介意空氣中瀰漫著各種動物的自然香氣裡面可以眺望風景也有發呆亭咖啡館蛋糕店  休閒放鬆好去處 ",老少咸宜 適合 大小 造訪 地方 介意 空氣 瀰漫 動物 自然 香氣 裡面 眺望 風景 發呆亭 咖啡館 蛋糕店 休閒 放鬆 去處
1 週前,4,空氣好停車方便適合全家休閒,空氣 停車 方便 適合 休閒
1 週前,5,,
1 週前,4,,
1 週前,5,很讚的遛小孩地方可以餵動物吃東西但是原本小火車沒有了小小朋友會失望,小孩 地方 動物 東西 火車 沒有 小小 朋友 失望
1 週前,4,已經是第三次造訪此地了喜歡草地跟小動物的遊客這邊很不錯門票200元且不能折抵消費有點貴我們是關園前40分到的所以獲得了半票的優待園區裡面很多體驗活動應該蠻適合家長帶小朋友來各種相關的製品都蠻好吃的但隨著物價飆漲也慢慢覺得貴了,第三 造訪 喜歡 草地 動物 遊客 這邊 不錯 門票 200 折抵 消費 關園 40 獲得 優待 園區 裡面 很多 體驗 活動 適合 家長 小朋友 相關 製品 好吃 物價 飆漲 慢慢 覺得
1 週前,5,環境漂亮舒服適合攜帶家人小孩跟另一半一起來逛逛,環境 漂亮 舒服 適合 攜帶 家人 小孩 另一半 逛逛
1 週前,4,,
1 週前,5,,
1 週前,4,悠閒賞景及 療癒可愛動物,悠閒 賞景 療癒 可愛 動物
1 週前,5,乾淨東西也不錯吃滑草很好玩,乾淨 東西 不錯 滑草 好玩
1 週前,5,,
1 週前,5,"場地很大盪鞦韆很好玩
羊牛驢子都很可愛 (O)
還花了50元玩滑草是個特別的體驗 ",場地 盪鞦韆 好玩 驢子 可愛 50 滑草 特別 體驗
2 週前,4,,
2 週前,4,初鹿牧場風景不錯讓人很放鬆也有不少DIY活動小朋友來更適合,初鹿 牧場 風景 不錯 放鬆 不少 活動 小朋友 適合
2 週前,4,,
2 週前,4,,
2 週前,5,,
2 週前,4,鮮奶冰淇淋及火鍋好吃喔也蠻適合帶小朋友來這裡玩,鮮奶 冰淇淋 火鍋 好吃 適合 小朋友 這裡
2 週前,5,,
2 週前,1,"冰品好吃冰品店外有一排鞦韆椅坐著慢慢搖一邊吃冰一邊休息很舒服所有的餵食動物園方都有準備好的全都要自己投錢到竹筒裡再拿卡片到服務中心換發票
雞蛋糕號稱不加一滴水口感紮實原味5顆75但是非常不推薦很紮實沒錯但實在是太乾了",冰品 好吃 冰品 鞦韆 慢慢 休息 舒服 所有 餵食 動物園 準備好 投錢 竹筒 卡片 服務 中心 發票 蛋糕 號稱 口感 紮實 原味 75 推薦 紮實
2 週前,5,雪糕好吃 還有很多可愛的動物,雪糕 好吃 很多 可愛 動物
2 週前,4,,
2 週前,5,,
2 週前,4,,
2 週前,3,"舊地重遊
東西差不多
可愛動物區多些動物ㄉ話會更好",舊地 重遊 東西 差不多 可愛 動物區 動物
2 週前,5,"動物都好可愛
平日門票100
汽車停車50 ",動物 可愛 平日 門票 100 汽車 停車 50
2 週前,5,,
2 週前,5,,
2 週前,5,來三次了真的是一待就能待23個小時的地方食物非常推薦義式廚房的鮮奶甜甜圈還有藍色屋子的霜淇淋,23 小時 地方 食物 推薦 義式 廚房 鮮奶 甜甜圈 藍色 屋子 霜淇淋
2 週前,5,"環境優美服務人員都很親切很棒的入園體驗很多牛奶製品的伴手禮可以買看到人人手上都有買牧場鮮奶也馬上馬來試試
兒子看到大孔雀好開心 有機會會再訪",環境 優美 服務 人員 親切 入園 體驗 很多 牛奶 製品 伴手禮 看到 人人 牧場 鮮奶 試試 兒子 看到 孔雀 開心 機會
2 週前,4,,
2 週前,5,,
2 週前,5,溜小孩的好地方玩的不想離開,小孩 地方 離開
2 週前,5,,
2 週前,4,相關奶製品種類多可選購優酪乳蛋糕霜淇淋都很棒另有滑草和餵食牛羊活動,相關 奶製品 種類 選購 優酪乳 蛋糕 淇淋 滑草 餵食 活動
2 週前,2,,
2 週前,3,門票不能折抵園區商品有點可惜喂喂羊牛就差不多了可以走了,門票 折抵 園區 商品 可惜 差不多
2 週前,5,讚,
2 週前,5,小朋友放電好地方,小朋友 放電好 地方
2 週前,5,太美了空氣乾淨小動物也很親人廁所提供衛生紙且維持的很乾淨店員服務態度也很好含滑草廣大的草原太美了,空氣 乾淨 動物 親人 廁所 提供 衛生紙 維持 乾淨 店員 服務 態度 滑草 廣大 草原
2 週前,5,"大約停留23小時
連假不能使用Klook購票",停留 23 小時 使用
2 週前,5,,
2 週前,5,規劃得還不錯 雖然門票收費有點高但美麗環境本來就要花錢來維護  很適合親子同遊,規劃 不錯 門票 收費 美麗 環境 花錢 維護 適合 親子
2 週前,3,"準備入場停車的時候 被擋住告知要等個2小時左右才有車位我們只好停在路旁搜尋要去的下個景點在搜尋的同時看到一輛一輛車開始進場停車

裡頭要大不大 要小不小要不是可愛的小動物真的不會想進來 ",準備 入場 停車 時候 擋住 告知 小時 左右 車位 搜尋 景點 搜尋 同時 看到 開始 進場 停車 裡頭 可愛 動物 想進來
2 週前,4,現場環境很乾淨很舒服推薦大家吃冰淇淋唯一可惜的是滑草50 元次蠻不懂的這樣的算法而已,現場 環境 乾淨 舒服 推薦 冰淇淋 可惜 滑草 50  這樣 算法
2 週前,5,,
2 週前,4,小而美的牧場適合親子遊,牧場 適合 親子
2 週前,3,"推車不友善之地
這裡明明就是個親子區
園區真的很小一下結束了",推車 友善 這裡 親子區 園區 一下 結束
2 週前,4,,
2 週前,3,,
2 週前,3,,
2 週前,5,各式乳製品都推薦鮮奶茶鮮奶拜託一定要喝霜淇淋也超讚而且很適合帶孩子來認識小動物草地也可以盡情奔跑大孩子也有DIY課程可以參與裡面的員工都很親切,乳製品 推薦 鮮奶茶 鮮奶 拜託 霜淇淋 適合 孩子 認識 動物 草地 奔跑 孩子 課程 參與 裡面 員工 親切
2 週前,5,距離台東市區沒有很遠的一個牧場可以帶著小朋友們來這裡一進門就有一群迷你馬和山羊等著迎接客人旁邊都有在賣牧草和紅蘿蔔可以自由投幣一份30元讓你餵各種動物後來買了紅蘿蔔因為各種動物都愛吃還有孔雀.外國奶牛其實牧場不大大約兩個小時就一定走得完但是距離市區真的方便,台東 市區 牧場 小朋友 這裡 迷你 山羊 迎接 客人 旁邊 牧草 紅蘿蔔 自由 投幣 30 動物 後來 紅蘿蔔 動物 孔雀 外國 奶牛 牧場 小時 市區 方便
2 週前,5,,
2 週前,5,"滑草一次50是在盤幾點
其他地方還不錯",滑草 50 其他 地方 不錯
2 週前,5,之前常跟前女友來園區滿大的也有各式各樣農產品可以買現在這邊只剩下回憶而已了,之前 女友 園區 農產品 現在 這邊 剩下 回憶
2 週前,3,一直都沒有新的設施 供觀賞,沒有 設施 觀賞
2 週前,5,小朋友玩到最開心的地方動物也很開心的被小朋友餵食,小朋友 開心 地方 動物 開心 小朋友 餵食
2 週前,5,,
2 週前,5,可愛小動物小孩很喜歡,可愛 動物 小孩 喜歡
2 週前,3,,
2 週前,5,門票不便宜但園區保持很乾淨整齊餵小動物很好不會人太多而很擁擠,門票 便宜 園區 保持 乾淨 整齊 動物 太多 擁擠
2 週前,4,,
2 週前,5,,
2 週前,5,森林浴步道散步可愛動物觀賞品嚐牛奶冰品慢活牧場時光,森林 浴步道 散步 可愛 動物 觀賞 品嚐 牛奶 冰品 慢活 牧場 時光
2 週前,4,,
2 週前,5,,
2 週前,3,,
2 週前,5,很放鬆的地方,放鬆 地方
2 週前,5,,
