name,setTime,star,content
Home Lieu,1 週前,4,
mike hung,1 週前,5,"景觀優美步道設施完善的親子健行好去處，有很多遊客散步，騎自行車請速度稍慢些，謝謝！
有蠻多樹蔭與位於山陰處，並不會太熱！
蠻推薦的踏青地點"
忍冬someme,3 週前,5,
葉宗穎,3 週前,5,
藍色天空,4 週前,3,步道環境風景美 ，但自行車道沒有維修，且吊橋及河邊架高的部份仿木板棧道已破損，深怕騎車掉下去，希望能改善，這自行車道算蠻美的，可惜蠻短的且中間段因土石流封閉，整修後應能受到大家歡迎
C.J. Chou,1 個月前,5,
Jordan Tai,1 個月前,4,現在已經封閉了，只剩下大約10分鐘可以騎乘（但風景還不錯），建議要來的先看看有沒有重新開通
Spencer Hwang,2 個月前,5,
陳世昌,2 個月前,3,
jcanw99,2 個月前,5,輕鬆自在
吳承憲,2 個月前,5,
David Barak,3 個月前,4,
李曜輝,3 個月前,4,
瑞娜刘,3 個月前,5,
unicorn huang,3 個月前,5,
pan Pan,4 個月前,4,"2024.04.28今晨走完（ 坪林）（水柳腳步道）後，順走一段（北勢溪）自行車道還是維修中，而且部分木棧道有毀損，不過景色依舊極美
很適合（老中青幼） 健行，沿途溪水乾淨，處處茶園景色極佳，可惜今天只走到（ 林園營地），因坍方自行車道封閉了"
Allison Kao,4 個月前,5,依山傍水，很適合夏天騎自行車或步行。1.5k坍方，得繞道通行才能接回原來路線。
原富,4 個月前,5,
ALLEN CHENG,4 個月前,5,好騎景色美
蔡秀英,4 個月前,4,
Frankie Lin,4 個月前,5,很棒的地方
許義信,5 個月前,3,好風景 好行道 可惜1.5k處嚴重坍塌多月未修。
HL,5 個月前,5,
Joseph Stone,5 個月前,5,
楊景朗,5 個月前,4,
林柔羽,5 個月前,5,"北勢溪自行車道臨北勢溪而行，騎了一會兒就能看到大型茶園梯田，繼續向前會看到一旁碧綠的湖水～終點處是攔砂壩，一側是水勢磅礡的溪流，另外一側是寧靜優美的溪流，完全截然不同的景緻真是令人驚艷！
騎著腳踏車在梯田茶園間穿梭著，沿途欣賞著優美的溪流風光及茶園景色，坐擁山河環繞景觀，相當愜意自在，讓人忘記了都市的煩惱～想不到北部也有這麼靜謐的地方！
北勢溪自行車道不長，但是條讓人不自覺想放慢腳步，靜靜享受眼前的景色的美麗地方～這裡知名度不高，幾乎沒什麼遊客，不像熱門景點人擠人，能夠盡情地拍照，近距離接觸茶園、溪流與山林～是一條相當紓壓的路線喔！"
黃yah1o28@gamiI.com,5 個月前,4,北勢溪自行車道在北二高交流道附近，這座號稱全台最美麗的自行車道全長表示2公里長，實際走一次只有一公里的距離，再往裡面是私人土地進入得購票。北勢溪沿途有好幾處露營區，在自行車車道上可以看到青山綠水還有茶園，長長的一段車道都是架高的，走在自行車道上感覺非常舒服，由於路途不長若是騎車可能不是很過癮！
kentaro sekiguchi,5 個月前,3,在中間露營地關閉
Franco Li,5 個月前,4,風景真的非常優美，青山綠水是沿途的景緻，有走來很放鬆。
Murphy Wu,6 個月前,4,還行
NYTerry,6 個月前,3,散步還可以，騎車就太短了這段路
張啟信,7 個月前,4,
傅昌興,7 個月前,5,
Carol Chang,7 個月前,5,"風景優美如畫
平坦好走的步道
男女老幼都適合來"
Iop Cheng,7 個月前,4,"景色很美
但約1.5公里處 過林園露營地後 道路坍方還未修復有點可惜。"
yinghwa ho,7 個月前,5,
檸檬花開,7 個月前,3,很美的步道，可惜1公里處因爲坍方，封路了，希望可以修復
張布魯斯,7 個月前,5,
鍾東家,8 個月前,5,
胡智強,9 個月前,4,
Wonderic Chen,9 個月前,5,"雖是自行車道，但更多人選擇步行，延著北勢溪而建的高架步道一路蜿蜒，轉角處可能便藏著花明之嘆，漫步於此不覺間便是青山綠水映藍天白雲，溪水潺潺伴鳥鳴，驀然鷹影空中盤旋，方寸之間霎時納了千里之闊！
若遊興正濃，不妨直行至粗坑口健行步道，練練脚力，賞賞茶園風光也非常的愜意。"
江隆義,10 個月前,4,步道長約2、3公里，但今天前往因道路損壞封閉，只走了一小段；沿路可欣賞北勢溪兩岸風光，又可欣賞茶園，步道也平坦，很適合大家在修護後到此走走，是很棒的健行步道，令人身心愉快。
Wei Lin,10 個月前,5,騎乘在車道上是舒適的
謝當條,10 個月前,5,
liest wang,10 個月前,5,雖然北勢溪自行車道不長，但非常值得慢下腳步細細品味，每一處都能得到不同收穫。真的不用千里迢迢跑到外縣市，北部也有半小時就能輕鬆抵達的秘境，走完一圈馬上又能充飽電力
Joe Cafe,10 個月前,5,
蔡進旺,10 個月前,2,
吳欣樺,11 個月前,5,
豪大,11 個月前,5,"2小時內可完成的步道
這次是步行，有遇到一家人騎UBIKE(聽說附近有站)
如果有時間還是推薦用走的
因為沿路風景不錯(茶園、河景
溪流時間乾淨，頭跟尾段可以泡到水，中間都下不去
我們九月初到訪，茶園開的不是很美
但空氣好，水清澈好比太魯閣水質
建議可以中午吃完頭骨肉麵店，再開車晃過來
剛好完成一日CHILL行程
PS如果是帶女友，要確定他熱愛步行
不然可能回家要罰跪喔!"
方明雄,11 個月前,5,
石振吉,11 個月前,5,
Jack Jou,11 個月前,4,延著北勢溪蓋的短短自行車道很好騎
陳天行,1 年前,5,"坪林發展低碳觀光旅遊，積極興建自行車道。2013年完成北勢溪沿岸的自行車及人行步道。我們這次由坪林遊客中心對面吊橋進入逮魚堀溪自行車道，一路往金瓜寮前行，沿途平緩，而且風景優美，也會經過一些茶園和農園，適合各年齡層。我們騎到渡南橋就回頭了，如果從渡南橋繼續騎往金瓜寮茶香生態村會比較辛苦，我們是歸還自行車之後開車進去的。
附帶一提，遊客中心旁邊有微笑單車租借站喔！"
Ruiyu,1 年前,5,
魏素卿,1 年前,4,"自行車道指標太少，常找不到出入口。
小心迷路😂"
邱珮綺,1 年前,5,
Mark Chiang,1 年前,4,舒適好走的步道/自行車道。可惜只能原路往返，不能到對岸，而且途中缺乏小憩的地方，對老人家小孩不友善。
李瑩澤,1 年前,4,
Minghsien Lin,1 年前,5,
冕,1 年前,4,蠻幽靜的地方，風景很美，雖然是自行車道用步行的也是非常的不錯，停車場下面有個玩水泡腳的地方，裡面有很多魚但是不能抓喔
許博修,1 年前,5,
chieh ping chan,1 年前,4,以自行車道來說路程太短，沿北勢溪旁風景清幽，當作健行步道相當好
林信鑫,1 年前,4,
張玉能,1 年前,5,
Chang Cliff,1 年前,1,
jack Lan,1 年前,5,相當不錯的一條自行車道，人員行走也相當不錯，適當的距離，A進A出或是A進B出，都可以。沿途可以一邊欣賞北勢溪沿岸的美景，又有許多營地可以駐足，是一條不錯的自行車道。今天是用步行方式完成全程。
黃大毛,1 年前,5,
Stanley,1 年前,5,很舒適！但夏天真的熱😓 …
林翰,1 年前,5,
Wen Der Liao,1 年前,5,來此茶鄉在自行車步道因山風徐徐吹來茶園飃香.及溪流交响曲及鳥語花香.令城市人能在此分享鄉村樂趣亦是極佳美景讓拍攝美景勝收.記得在清晨有山霧更如仙境。
