name,setTime,star,content
Ann恩,1 年前,4,市內人滿為患 往擎天崗也是 乾脆往金山方向 看到了將近十年未曾造訪的北海岸 遊了一圈 實在太舒爽了😄 …
鄭柏林,1 年前,4,"本處目前施工整修中沒有開放，施工期間到2021/12/25到2022/06/222

目前咖啡廳有營業"
徐銘鴻,1 年前,5,
林銘志,1 年前,3,"裡面很小,不用門票,加上因為疫情的關係,很多設備都沒有開也不能體驗,前方廣場往下走有沙灘,帶小朋友到那走走還OK"
王肇君,1 年前,5,
黃勝棋,1 年前,3,
James S,1 年前,4,拍照的好地方
陳嘉苓,1 年前,4,這裏是一個好地方，可看山看海，又有麟山鼻步道，值得一遊
黃裕峰,2 年前,5,疫情當下微解封可以帶小朋友出來走走快開學了！防疫還是不要疏漏！
沈勇廷,2 年前,3,
陳銘洲,2 年前,4,可以清楚的認識北海岸的一個好地方
Daniel郭定恩 K2-1-3,2 年前,5,
Herschel Wang,2 年前,4,
楊文樂,2 年前,1,不該壞的設備都壞掉了，該修理的都沒修，怪不得我們包場，沒有其他遊客。政府單位只會建一些蚊子館，不懂人民要的是什麽，更不用心維護設備的堪用狀態。
陳信忠（shinchung）,2 年前,3,
陳家豪,2 年前,1,
黃臻,2 年前,5,從淡金公路一直到金山萬里整個北海岸真的超美尤其夕陽～今天在石門洞拍夕陽及沿岸美景～真的很美，台灣真的是超美超漂亮的寶島
T H,2 年前,4,明顯缺乏維護經費
Chia-Chun Teng,2 年前,4,很多互動體驗
Michelle,2 年前,5,有2個東西可以操作，一些北海岸風景復刻，大概30分到1小時可逛完，小休息的景點
陳永順,2 年前,5,"適合小小孩的場所
服務人員很親切
但硬體設備已需要維修"
Dora Chen,2 年前,5,免費車位 免費入場的小憩館區
林榮國,2 年前,3,可以是個休息的地方有冷氣吹舒服
Melody Hsu,2 年前,5,可申請導覽   也有孩子喜歡的互動遊戲  VR自行車
尤偌兒,2 年前,4,導覽員很熱心
li零錢,2 年前,4,還不錯
林大叔,2 年前,5,導覽很明細
陳淑瓊,2 年前,1,以為很大，但好小
莊坤霖,2 年前,4,
洪小玲,2 年前,4,聽導覽 玩遊戲  還蠻特別的小館，雨天的好去處
Wayne,2 年前,5,一個還不錯的小地方，有一些有趣的體驗，都還蠻有創新的，但設備較舊，希望地方政府能撥點預算更新設備。
王珮璇小姐,2 年前,5,
曾文君,2 年前,4,
yu shan chen,2 年前,5,下雨天的方案，裡面有一些東西適合小孩玩。
hans Liao,2 年前,3,
Thomas Chiang,2 年前,4,有VR可以模擬在北海岸騎腳踏車的感覺 ，太陽很大的時候可以先去吹冷氣
雪兔,2 年前,5,
賴威任,2 年前,3,
黃承政,2 年前,4,海景很美 海生館有解說 增進了解
HSIN I Chien,2 年前,3,
張炳杰,2 年前,4,
Liz Wang,2 年前,5,有冷氣 有洗手間 還可以吸收新知識 不錯
Yenpo Lin,2 年前,4,
Haung E-d傳哥,3 年前,3,環境不夠整潔～服務人員不友善--
偉阿,3 年前,5,
Tom Chen,3 年前,5,不錯玩!
石孟宗,3 年前,5,讚
leilei wang,3 年前,5,工作人員挺負責的，適合少年兒童去看看.
陳美玲,3 年前,4,館內吳大姐很熱心專業導覽，停車免費。要戴口罩拖鞋子入館
楊書豪,3 年前,5,
鄭玫瑰,3 年前,4,有可以自己動手的開船，腳踏車
張天瀚,3 年前,5,
真紅,3 年前,5,
國漳劉,3 年前,4,
Naomi Lin,3 年前,3,互動設施都關閉有點可惜！
胡濟輝,3 年前,5,遊客中心介紹們清楚的
張榮顯,3 年前,4,北海岸遊憩探索館，是整個北海岸經典濃縮，裡面有海陸活動，海底世界，海岸自然生態景觀，空中飛禽和水鳥等…是一個戶外生態教學場所，適合所有年齡層造訪。
宋建武,3 年前,2,沒有明顯特色
葉可文,3 年前,4,
王尚達,3 年前,4,
王盈尹,3 年前,5,"裡面有冷氣，夏天的好去處！
適合全家大小一起去的地方。"
小宇宙,3 年前,4,免費參觀免費停車，但內容不多，可下來走走上廁所跟看看海，有茶水間跟下午茶餐廳。
ICE,3 年前,4,適合親子同遊，工作人員很親切～
林明宗,3 年前,4,停車方便 展覽內容豐富 人員親切
Tony Tony,3 年前,3,
Ann,3 年前,5,覺得裡面的設備景緻還不錯只是很可惜很少人進去
徐睿麟,3 年前,4,
沈宜儒,3 年前,5,
江和興,3 年前,3,
Any Wang,3 年前,5,解說員超級棒
