setTime,star,content,seg_result
1 天前,2,適合一二人輕旅行親子不大行,適合 一二 旅行 親子
1 天前,5,,
1 天前,3,錢來也雜貨店真心不推薦東西貴冰淇淋一支90元 別的风景区才賣7O元豆花Nogood老闆娘臉色超級臭啊不想做生意就不要開店關掉就好了,雜貨店 真心 推薦 東西 冰淇淋 90 別的 风景区 7O 豆花 老闆娘 臉色 做生意 開店 關掉 好了
1 天前,5,,
2 天前,5,,
2 天前,3,沒什麼令人驚訝的景就一些彩繪牆與販賣鹽相關產品,驚訝 一些 彩繪牆 販賣 相關 產品
2 天前,5,讚,
3 天前,3,,
3 天前,5,遊客中心內洗手間超乎想像的乾淨,遊客 中心 洗手間 超乎 想像 乾淨
3 天前,5,,
5 天前,4,,
5 天前,4,,
1 週前,4,身處台南沿海區的鹽採舊鎮懷舊氣氛悠然自在,身處 台南 沿海區 鹽採 懷舊 氣氛 悠然 自在
1 週前,4,,
1 週前,5,好玩,好玩
1 週前,4,,
1 週前,3,,
1 週前,3,,
1 週前,5,古色古香呦,古色古香
1 週前,5,,
1 週前,5,,
1 週前,5,"免費的停車場很大互動式體驗很有趣這次來得比較趕沒時間好好逛很可惜
外面還有舊工廠的一部分看起來破破爛爛的
旁邊的公園拍起來也很漂亮只是可惜去鹽田體驗區看不出甚麼也可能是我走錯路",免費 停車場 互動式 體驗 有趣 時間 好好 可惜 外面 工廠 部分 破破爛爛 旁邊 公園 漂亮 可惜 鹽田 體驗區 走錯
1 週前,5,"到訪時間2023410 1430
假日前往令我驚艷原以為會很多人拍照又得排隊結果完全相反許多景點都可以自由發揮","到訪 時間 2023410 1430
 假日 前往 驚艷 以為 很多 拍照 排隊 結果 相反 許多 景點 自由 發揮"
1 週前,5,親子同樂好地方,親子 地方
1 週前,3,,
1 週前,5,,
1 週前,4,以往不用收清潔費 現在每位20元(除特別身分)還好是停車不用收費,以往 清潔費 現在 20 特別 身分 停車 收費
1 週前,5,,
1 週前,5,在這裡你可以消磨一下午的時間有滿滿的藝術壁畫讓你瘋狂的拍照到處逛來逛去都不會感覺到無聊值得你來走走,這裡 消磨 下午 時間 滿滿 藝術 壁畫 瘋狂 拍照 感覺到 無聊 值得 走走
2 週前,5,"雲嘉南濱海國家風景區北門遊客中心坐落於台南市北門區是由北門洗滌鹽工廠舊建物群中的西南側倉庫群所改建外觀仍保留著原工廠山牆斜屋頂造型
北門為台灣僅存的洗滌鹽工廠包含辦公室廠房倉庫沉澱池等等直到2009年整體建築才被公告列為歷史建築此地被改建為北門遊客中心後依然保留工廠舊有的樣貌內部則由北而南介紹雲嘉南地區的景點並且整合鹽業歷史濕地生態宗教人文地方產業與文學藝術等主題除了提供觀光影片各項多媒體互動裝置外展館的另二特色為洪通的藝術展牆及巨大的抹香鯨標本",雲嘉南 濱海 國家 風景區 北門 遊客 中心 坐落 台南市 北門區 北門 洗滌 工廠 建物群 西南側 倉庫群 改建 外觀 保留 工廠 山牆 屋頂 造型 北門 台灣 僅存 洗滌 工廠 包含 辦公室 廠房 倉庫 沉澱池 2009年 整體 建築 公告 列為 歷史 建築 改建為 北門 遊客 中心 保留 工廠 樣貌 內部 介紹 雲嘉南 地區 景點 整合 鹽業 歷史 濕地 生態 宗教 人文 地方 產業 文學 藝術 主題 提供 觀光 影片 多媒體 互動 裝置 展館 特色 藝術 展牆 巨大 抹香鯨 標本
2 週前,5,"裡面有一些結合科技親子的遊戲大人小孩都可以玩遊戲結束還能下載照片做記念
外面還有網拍景點還能一人花100元坐小火車遊整個遊客中心
尤其是在傍晚時間去最舒服吹著涼涼的海風看著夕陽
附近有一家萊爾富可以買杯咖啡看著夕陽放空",裡面 一些 結合 科技 親子 遊戲 大人 小孩 遊戲 結束 下載 照片 記念 外面 網拍 景點 100 火車 遊客 中心 傍晚 時間 舒服 涼涼 海風 夕陽 附近 咖啡 夕陽 放空
2 週前,4,走走晃晃附近還有不少景點,走走 晃晃 附近 不少 景點
2 週前,3,還可以參觀一下吧,參觀 一下
2 週前,5,,
2 週前,3,不推薦錢來也雜貨店服務差東西又貴貴貴,推薦 雜貨店 服務 東西 貴貴
2 週前,5,這景點免門票又有介紹北門將軍七股的圖文還有互動遊戲非常好玩挺值得去的,景點 門票 介紹 北門 將軍 圖文 互動 遊戲 好玩 值得
2 週前,5,,
2 週前,5,,
2 週前,5,,
2 週前,5,風景很好很漂亮,風景 漂亮
2 週前,5,,
3 週前,4,有製鹽老設備看,製鹽 設備
3 週前,5,互動遊戲很有趣周邊也可逛逛都不用錢,互動 遊戲 有趣 周邊 逛逛
3 週前,4,,
3 週前,5,,
3 週前,5,"好吃 好玩 但 粉曬 曬到忘記工作壓力跟疲勞那種
也很適合曬恩愛等各種曬",好吃 好玩  粉 忘記 工作 壓力 疲勞 適合 恩愛
4 週前,1,"錢來也雜貨店拍照可以東西貴老闆娘態度不佳
隔壁商店東西便宜
不推薦東西貴貴",雜貨店 拍照 東西 老闆娘 態度 不佳 隔壁 商店 東西 便宜 推薦 東西 貴貴
4 週前,4,,
1 個月前,3,"錢來也雜貨店還是未改善老闆娘一點也沒有服務業的精神態度特差東西又貴
隔壁商店的阿姨就不錯東西又便宜",雜貨店 改善 老闆娘 一點 沒有 服務業 精神 態度 東西 隔壁 商店 阿姨 不錯 東西 便宜
1 個月前,4,,
1 個月前,5,,
1 個月前,5,,
1 個月前,3,地方寬廣但設施有待加強沒有國家公園景色及味道,地方 寬廣 設施 有待 加強 沒有 國家 公園 景色 味道
1 個月前,2,無趣的地方,無趣 地方
1 個月前,5,,
1 個月前,5,,
