name,setTime,star,content
S小姐,3 小時前,5,"很漂亮，一個小時可以來回走，
記得帶防蚊液～"
Xuan,7 小時前,4,舒服寬廣的視野，很棒👍 …
洪建明,10 小時前,5,看海看龜山島的好地方，旁邊還有東西可以買來吃
wei mars,11 小時前,5,
鍾台富,11 小時前,5,吹吹海風，放鬆心情的好地方。
Helen Chuang,11 小時前,5,登高望遠、美景無敵！
vivian Huang,12 小時前,3,
拍,14 小時前,5,天空及海景很美
張玉能,1 天前,5,
陳友,1 天前,5,不錯，只是太熱了
Yuan,1 天前,5,北關海潮公園有停車場、廁所，也有販賣在地乾貨的攤販，例如：魚乾、海帶等等，也有飲品。這裡看海可眺望龜山島，海也十分湛藍，很漂亮，還有步道可沿路看海、岩石，以及一線天，可散步又可看海，放鬆的好地方。
peng chien hsun,1 天前,5,美麗的大海
亞霖,1 天前,5,打卡聖地～
張婉玲,1 天前,5,
麥芸綺,2 天前,5,
尹聖欽,2 天前,4,進入公園需要停車收費
Che-Wei Lin,2 天前,5,
car S,3 天前,4,在這很適合欣賞東北角海岸，且有停車場假日可來走走
全裕王,3 天前,5,
鍾小雲,3 天前,4,
Leo Chen,3 天前,5,
王攀發-勤業眾信聯合,3 天前,5,
阿北,3 天前,3,入口處攤販阿嬤賣的海燕窩石花凍不錯喝（3瓶100）
彭桂英,4 天前,5,求生存事情
PW W,5 天前,4,
035趙子維,5 天前,4,風景很美
心瑀Ivy,5 天前,4,"20230824
臨時起意的半日遊，想看看大海，嚐嚐海鮮，到北關海潮公園不會讓你失望。
由於出發時間稍晚決定先到北關海鮮城吃午餐，餐廳的價格透明合理，食材也很新鮮，頗受老小的歡迎。用完餐後開車不到五分鐘的時間即抵達南口停車場🅿️，由於是平日的下午，人潮不多，所以可以悠閒的漫步在步道上，欣賞海景，雖然當天氣候不是挺好飄著小雨，依舊不減大海的美景；回程時經過阿宗芋冰城，不免俗的快速下車購買以解口腹之慾😂
感覺就是在夏天結束前感受大海的澎湃，然後吃冰消暑😆"
Leo Cheng,5 天前,4,
umaylin,5 天前,5,很漂亮，風景優美，即使是早上11:20造訪，下午一點離開，因為有樹蔭沒有想像中的熱，有野柳地質公園的美，也有公園樹蔭的乘涼空間及味道
陳英美,5 天前,5,
張銘標,5 天前,5,太棒的旅遊景點，輕鬆就可以眺望龜山島，還有豐富的海岸步道，當地特有植物生態，有景、有生態，可以動態也可以靜態參觀
吳明宏,5 天前,4,
JieWei Chang,5 天前,5,看龜山島的合適地點
WEI CHEN MA,6 天前,4,
邱志偉,6 天前,5,
空白,1 週前,4,"適合放鬆散步的好地方,海邊有許多豆腐岩等地質景觀,在制高點可以欣賞龜山島海景跟鐵道山景。
停車場旁有小販在賣海鮮乾貨,每家賣得都差不多,也有公廁可以使用。"
Iris,1 週前,5,
張芳榮,1 週前,5,"北關海潮公園
一線天秘境
必賞：單面山、豆腐岩
神像：北海觀音、地藏王菩薩
眺望龜山島最佳景點.沿海岸線步道走去原本榕樹旁觀景台上有兩尊古砲，這兩尊古砲是頭城鎮公所在武營里興建分駐所時，於地下所挖掘出來的，砲身上均鑄有「嘉慶二十二年冬月吉   奉   憲鑄造噶瑪蘭營大砲一位六百斛」等字樣。目前僅存砲座"
andrew hung,1 週前,5,一線天👍
connie Tseng,1 週前,5,靠海岸邊的簡單步道，也有小山走走，火車搭到龜山站再走15分鐘即可抵達，覺得龜山島近在眼前，很棒的景色.
陳大熊,1 週前,3,最具代表性的那段走道故障沒修，禁止通行
王麗芳,1 週前,4,
君,1 週前,5,漂亮可以走一走
yuen wei,1 週前,5,好漂亮
文祥,1 週前,5,好地方 常來
日設參忠汶宿奎水,1 週前,1,"該地交通不方便。停車還要繳停車費。這真的很神奇。

除了地質景觀外。就沒有其它特色。

若要買東西。只能到梗枋漁港(中油北關站)對面的便利商店。"
chen jing,1 週前,5,用餐環境氛圍好
邱堂坤,1 週前,5,停車方便.不用門票值得來此看看風景
champ yen,1 週前,5,
洪諾（阿諾）,1 週前,4,
陳慶煌,1 週前,5,"〈望龜山〉● 陳慶煌冠甫2000.8.1.
追浪海灘癡幼狂，夕陽吻別太平洋。神龜靜夜屏山護，明日扶桑又發光。"
