name,setTime,star,content
張Susu,4 天前,5,歷史建築
穎彤,1 週前,5,
Zin-Zong Chen,1 週前,4,古時候生活的遺跡，但是就是有觀光客自以為是的講錯，說的當時候打井的技術不好，三條線，是因為打井貴，不是人人都可以打井，這户有錢人才打了一口井一半在自己家圍牆裡，一半給路過
詹小明,2 週前,4,
菁姐,3 週前,4,歷史
Yoichiro Ando,1 個月前,3,"曾經存在的一口井的遺跡。
井的取水口有一半放在路外，方便來往的人和鄰居使用。
現在已經乾了。"
陳淑芳,1 個月前,5,體驗鹿港人文，歷史建築，老街特色小吃
Franco Li,1 個月前,4,歷史古蹟的保存，說明了人性的善。
ALEC HO,1 個月前,3,"一座枯井，路過立即拍片後繼續走。
延途的店家可以逛逛。"
Steven Lin,2 個月前,5,古人智慧善良的設備，值得大家探訪的古蹟！
Yu Hong,2 個月前,5,希望討厭的大哥卡在井裡三天三夜拔不出來
Han-uei Lin,2 個月前,5,
羽音,3 個月前,4,老街裡的一個小景點，就是一口荒廢古意的丼，紀念的是曾經的人情味，也讓人遙想曾經的景致吧~
bmbsb S,3 個月前,4,這個井的故事比井的模樣更有意思，身為古蹟當之無愧。
郭書峰,4 個月前,4,
柚柚,4 個月前,4,特色老街
Jazz Krall,4 個月前,5,一個值得傳承的作為
華麗無雙,4 個月前,4,
tsai mingwei,4 個月前,3,就在老街路上，但人潮擁擠時，可能會不小心錯過
政翰,4 個月前,4,鹿港景點之一 在老街裏面 井已經填土
Sam Huang,5 個月前,4,
楊淑惠,5 個月前,5,
陳志仁,5 個月前,4,
Jessica Lee (秋秋),5 個月前,3,感覺早已廢棄，長雜草，井口早已封住
花生2580,6 個月前,5,
莊再豪,6 個月前,5,
賴承歌,6 個月前,5,地方的小景點.......
Hung Chuang,7 個月前,5,讚
李志煌,7 個月前,5,值得一看
guillaume a,7 個月前,5,如果您在台中，請毫不猶豫地繞道前往這個宏偉的小鎮。
th kuo,7 個月前,5,路過可以看一下典故
CHI MING CHEN,7 個月前,5,鹿港老街內一座已經枯水的水井，很像是該府的人牆、內外使用方便才這樣做的。
Hiteru Jama,7 個月前,4,
王志郎,8 個月前,3,
黃浩澍,8 個月前,4,
趙義德,9 個月前,5,
wei wang (喜歡壞脾氣),9 個月前,4,風景名勝區，文化藝術氣息濃厚！
張威,9 個月前,4,先民胼手胝足的開創事業，不忘照顧過往路人
四月さかな,9 個月前,2,
廖家興,9 個月前,4,
Gordon Chan,10 個月前,2,古時候的人能夠推己及人，將半口井置於牆外，方便鄰居打水，值得我們學習。
Huai-Wen Hsu,11 個月前,4,
何孟勳,11 個月前,5,讓孩子知道以前的半邊井是什麼作用，很有教育意義！
涂莉卿,11 個月前,5,
家億愛旅行,11 個月前,5,
Gaap Liu,11 個月前,4,在老街上不明顯的地方
游文龍,1 年前,3,清代王家人將水井的一半置於牆外，與路人分享，可見是積善之家，宅心仁厚。在老街逛逛，許多手按水井亦在巷道上，不知是否古之遺風。
Chi YA,1 年前,5,
Marco Lu,1 年前,4,在鹿港老街的一個小景點，如果不知道典故，充其量也就是一個荒廢的井；如果有專業導覽，才知道三槐挺秀的故事。
Rex Chou,1 年前,4,半邊井就是有一半的井給外面的鄰居使用，象徵互助的精神。
양충림,1 年前,4,老街古蹟：半邊井！
寒凌,1 年前,3,雖然只有一小角 不過富含滿滿以前人們的故事
G CEH,1 年前,2,"說真的 形象發展的單位要好好來經營一下
井裡面已經變垃圾桶了⋯⋯"
黃小心,1 年前,5,
劉瑞端,1 年前,4,"願意分享～
一半一半～很好的故事！"
雅倫李,1 年前,5,分享很美好
康kang,1 年前,5,國小教科書有教
黃紹棊,1 年前,5,
jesan lee,1 年前,3,
我就是愛玩,1 年前,4,就在鹿港老街裡頭
Yan Yan,1 年前,4,
林義棠,1 年前,4,砌作半邊井是前人好心腸的分享美德💞👍 …
Jasper Chen,1 年前,5,讚
金城剛志,1 年前,4,"感嘆 !!
遊客的公德心要提升...."
Peter Huang,1 年前,3,
wawa,1 年前,5,意欲很棒，分享的意義，值得教小孩。
siaohuei chen,1 年前,3,先人智慧分享，若有導覽小牌說明，立意更好
趙秉澍,1 年前,5,沒有水的半口井
mag h,1 年前,4,保存很好的古建築， 讓人一窺 鹿港的繁華。
Ilu Chen,1 年前,5,
