setTime,star,content,seg_result
1 天前,4,,
1 天前,5,,
2 天前,5,,
4 天前,5,,
5 天前,5,,
1 週前,5,台東休閒的好地方空間大空氣新鮮 適合親子活動,台東 休閒 地方 空間 空氣 新鮮 適合 親子 活動
1 週前,5,很棒的地方,地方
1 週前,5,,
1 週前,5,,
1 週前,5,場館外公園新增一些設施 值得參觀,場館 公園 新增 一些 設施 值得 參觀
2 週前,5,"這個公園距離台東站約10分鐘路程公園很大是當地人散步和慢跑的地方還有原住民住過的房子博物館考古遺址等等所以很適合利用台東站調整時間的地方
公園裡的博物館要幾百日元才能進去雖然不是很大但是裡面有很多展示當時土著生活的展品所以如果有時間的話可以順便逛一下就是這個地方.
博物館裡面有埋葬死者的石室好像是真品柱子複製品拔牙儀式看起來很痛苦等非常有趣的展品
日本人也深入參與了柱子的發掘據說在統治時期一個名叫鳥居龍三的人對發現做出了貢獻",公園 台東站 10 分鐘 路程 公園 當地人 散步 慢跑 地方 原住民 房子 博物館 考古 遺址 適合 利用 台東站 調整 時間 地方 公園 博物館 幾百 日元 進去 裡面 很多 展示 當時 土著 生活 展品 時間 一下 地方 博物館 裡面 埋葬 死者 石室 真品 柱子 複製品 拔牙 儀式 痛苦 有趣 展品 日本人 深入 參與 柱子 發掘 統治 時期 名叫 鳥居龍三 發現 做出 貢獻
2 週前,4,離台東火車站步行可逹的景點史前遺址頗有可觀又有大公園可以親子遊,台東 火車站 步行 景點 史前 遺址 可觀 公園 親子
2 週前,5,,
2 週前,5,,
2 週前,4,風景很棒空氣清新展覽很有教育意義,風景 空氣 清新 展覽 教育 意義
2 週前,5,台東最棒的大草地,台東 草地
2 週前,4,,
2 週前,5,風景絕佳人潮稀少值得推薦的秘境,風景 絕佳 人潮 稀少 值得 推薦 秘境
2 週前,4,,
2 週前,5,就看看,看看
3 週前,3,,
3 週前,5,有空曠的草皮適合奔跑,空曠 草皮 適合 奔跑
3 週前,5,,
3 週前,4,,
3 週前,5,舒服的,舒服
4 週前,5,,
4 週前,5,,
1 個月前,5,尋根,
1 個月前,5,,
1 個月前,5,喜歡歷史文化的很建議过來走走,喜歡 歷史 文化 建議 过來 走走
1 個月前,4,,
1 個月前,4,,
1 個月前,4,它真的很乾淨而且設計得很好,乾淨 設計
1 個月前,5,,
1 個月前,3,,
1 個月前,5,,
1 個月前,5,,
1 個月前,4,很有歷史考古的公園園區很大親子散步很棒,歷史 考古 公園 園區 親子 散步
1 個月前,5,,
1 個月前,5,,
1 個月前,5,,
1 個月前,1,,
1 個月前,5,"考古現址復原家屋模型讓歷史課本內容變3D的感覺
很大很舒服的公園離台東車站也很近來走走很棒",考古 現址 復原 家屋 模型 歷史 課本 內容 3D 感覺 舒服 公園 台東 車站 近來 走走
1 個月前,4,散步的好地方,散步 地方
1 個月前,5,"環境不錯ㄟ可惜忘了帶錢去入館參觀
餐廳也很好",環境 不錯 可惜 入館 參觀 餐廳
1 個月前,5,,
1 個月前,5,,
1 個月前,4,,
