name,setTime,star,content
chin,4 週前,5,
盧肇星,1 個月前,5,
Lin Naomi,2 個月前,5,
Elep Wang,2 個月前,5,
靖翔曾,2 個月前,4,
Zkk Wiang,2 個月前,5,很好
unt ya,3 個月前,5,
jessie,4 個月前,5,
Camiliar Yang,4 個月前,5,百年古蹟媽祖廟，純樸南屯老街文化，僅存的台中市農具發跡歷史。
蔡誠恩,4 個月前,4,
sunny THC,5 個月前,4,"南屯老街舊稱犁頭街，位于南屯街和萬和街的交口,不算長的一小段街，是台中最早開發的街區，有台中第一街之稱！有一甲子的大有麵店，香純自然的老豆腐店，打鐵店，還有巴洛克老建築的三角街店，麻薏作的月餅店------,值得去走訪逛逛！"
小塵埃,5 個月前,5,"從小在這長大，感覺政府沒有再另外的觀光規劃，保持著僅有活動時才擠進的香客，平常僅有居民和隔壁市場的喧囂。

其實蠻棒的，每踏入這都能感受內心的穩定"
鄒建群,5 個月前,5,
黃永順,5 個月前,3,
今年夏天,5 個月前,4,說是老街，其實比較像是一般廟口市場。但好吃的看起來蠻多的，簡單走走看看吃點東西還行。
卓志鴻,5 個月前,3,非商業化，很短老街
Ting Chang,5 個月前,2,"本來以為是像三峽老街鶯歌老街那種可以逛逛走走的
想不到沒有什麼攤販
真的就是一條普通的街"
簡蒼海,5 個月前,3,
春天的微笑,6 個月前,1,原本該有的機.汽車停車場都不對外開放了，害我跟後面很多輛車到現場尷尬一路後退出去，附近停車也很麻煩很難找到停車位.....逛了三圈找沒車位後直接不進去走人了！要去的朋友先找停車位吧！你很閒的話....
劉彥廷,7 個月前,5,
國林,7 個月前,3,古色古香
張秀滿,7 個月前,5,中南米麩店的糙米麩很特別的製法，將米製成“米香”再磨成粉，香氣很特別。林金香生餅行特製麻芛系列的月餅、太陽餅等值得嚐鮮。阿有麵攤的扁食很實料還有很多攤美食小吃，歡迎到南屯老街走走逛逛。
林立凡,8 個月前,1,無聊
楚珩霈,8 個月前,5,
Bernard Goh,8 個月前,3,
白松露,9 個月前,5,第一次徒步在南屯老街走動😅
Shih Yi Wu,10 個月前,4,
柯智祥,11 個月前,5,
何玉婷,11 個月前,5,呃……！這是我第一次自己去逛！給我的感覺，就是以前的年代！也仿佛可拍攝戲劇的片場！
簡弘偉,11 個月前,5,
低能兒,11 個月前,5,
王仁秀,1 年前,4,從小時到長大後，依然留存的濃醇人情味。購物品項不少，價格費用也實在，交通便捷。
蕭敏堯,1 年前,5,
阿布,1 年前,5,好多人^_^
Sunny Kuo,1 年前,5,
fyne weng,1 年前,4,
黑仔（阿黑）,1 年前,4,
陳建榮,1 年前,4,
陳勵志,1 年前,3,期待能夠有特色的規劃
chihlin yeh,1 年前,2,
WSH Donna,1 年前,3,"一個幾乎沒有任何整治與規劃的地方
雖然建築物看得出有年代歷史
小巷弄也有不少老米行、洗衣店、中藥行等等
但除了這些店舖之外，也沒有太大的老街特色，不太需要特地去
但去萬和宮拜拜可以順便附近走走"
宋雲忠,1 年前,4,這裡比較建議一人獨行，細細品味僅存的幾棟老宅樓，順道在這裡吃點美食小吃，還算是滿不錯的體驗。
謝東霖,1 年前,3,只有一些房子還是過去老街的風貌，很多都已是現代的建築了；這裡沒有規劃成觀光景點，所以來客不多，大都是南屯附近居民；但也是有幾家特色店家。
王芷芯,1 年前,4,悠閒時間是可以來這裡走走，這裡並沒有完整規劃，只是有些樓房還保有過去的痕跡，慢慢逛，還是可以找到一些樂趣。
鄭英山,1 年前,4,有一些古老的建築，十分有風味，可以細細品味，但這裡不太算是個觀光老街，營業的特色店家也不多，所以若是把這裡當作是一個觀光景點，可能就會有些失望。
andrew Wu,1 年前,4,
陳玉婷,1 年前,4,
陳慶容,1 年前,5,
Jason Huang,1 年前,5,"適合走走看看
古色古香的地方
-摩托車可以停在萬和宮～"
黃秀金,1 年前,3,
廖福祥,1 年前,5,
葉錦良,1 年前,5,
Candice,1 年前,5,
ren hsi Huang,1 年前,3,部分建築物有保留當年歷史的痕跡，但如果要逛老街就會比較失望，整條店家沒開幾間，要逛當地特色商品店也沒有，體驗美食的店家也沒幾間，特別去逛老街的話建議一定要再排其他行程，因為很快速可以逛完，附近還有萬和宮這間國定三級古蹟廟宇可以去走走喔！
曾曾,1 年前,4,南屯老街，幾乎沒有一般老街會有的舊建築物
吳青河,1 年前,5,
王文周,1 年前,3,應有盡有
羅俐,1 年前,5,
張明明,1 年前,3,在地百年老街，惜沒有什麼特色
張祐誠,1 年前,5,懷舊風情
Anna Wang,1 年前,5,小時候常來的地方，很有歷史感，充滿兒時回憶。
主角光環,1 年前,3,
吳尚儒,1 年前,5,
Carlos Chen,1 年前,5,
吳佳慧,1 年前,5,
賴連宗,1 年前,5,
Chin Yang Chiu,1 年前,3,沒什麼特別的
Roger Leung,1 年前,3,"真是老舊的, 相信是南屯的舊區域.
公有零售市場有生/熟食物, 文昌公廟頗多人氣."
Cheng-Mao Jiang,1 年前,3,
陳坤志,1 年前,4,中南歷史老店……米麩製品……多種選擇
