name,setTime,star,content
錢企鵝,1 個月前,1,碧海藍天擴音放著本土閩南歌 真的@oooxxx&^@
林佳鈺,3 個月前,5,"簡單停留的小景點，

討海館早年屬於軍方管轄的海防官兵哨所。軍事建築出現在南方澳的歷史，可溯自戒嚴時期，早年在南興里及南建里，也曾有過海防營區的設置。
民國63年，政府為提升化國家總體經濟發展，規畫進行十大建設，蘇澳港即於此時開始興建。建港時為了防範商港南堤一帶治安問題，乃在豆腐岬北側山壁闢填出一塊平地，建造營房供警備總部港檢處海防班哨進駐。而這海防班哨，也就是目前討海館的所在。
民國76年，軍管解除，原由警備總部主持的治安任務，多移交予警察單位負責，而此哨所，亦改由內政部警政署基隆港務警察所第五崗哨入駐使用。
民國90年4月，基隆港務警察所也撤離此地，自此該哨所成一閒置空間。
由於討海館曾為軍事建築，建物造型展現出方正、嚴肅而單調的特色，壁面上供射擊使用的射擊孔、圍牆上嚇阻入侵者的玻璃片，也都是呼應那一段歷史背景的、具體而微的證明。"
蘇文妍,4 個月前,4,蘭陽博物館所轄南方澳討海文化館，位於宜蘭南端的蘇澳，園區總面積675平方公尺，主建築面積166.27平方公尺，2009年開始營運。館內有常設展及觀眾服務區。以『南方澳討海文化』為主題，展示在地的人文歷史、漁業文化等多樣面貌，成為認識南方澳的窗口。 討海館位於豆腐岬邊，豆腐岬為台灣第一個記錄珊瑚產卵的地點，經過本館的調查，水域內擁豐富的珊瑚族群，討海館也成為宜蘭推廣海洋保育重要基地。討海文化館作為南方澳文化觀光窗口、文化及生態保育的基地，整合環境生態與觀光旅遊，強化地方永續經營。
FD L,4 個月前,4,
LISA LISA,5 個月前,5,
YEN LIN,6 個月前,4,
林美純,6 個月前,5,
陈博文,7 個月前,1,工程維護中，開放參觀了，也多了商業模式
ドドドShin wei,8 個月前,4,
n̶e̶Y̶ o̶H̶,10 個月前,5,"介紹豆腐岬
討海人的生活
可以來看看"
張威,10 個月前,3,展示資料、物品太少
艾爾頓遊記造咖,11 個月前,3,"南方澳討海文化館旁有新蓋的建築物, 有圍籬尚未完工的樣子, 新的功能不知為何!"
Frank Lee,11 個月前,5,
kaye Wang,1 年前,3,還好
魯珂,2 年前,5,
polaris shining,3 年前,3,3/13前往時才發現休館
S.J. Lin,3 年前,4,應該是以前海巡11營的埤子尾哨
sj Lin,3 年前,4,
邱瓊凰,3 年前,5,
陳古意,3 年前,5,"(封）三炷香 跑遍天下

時間 109.01.15-16:32
地點 宜蘭蘇澳南方澳大橋

案由：2019/10/01早上9點多發生、宜蘭南方澳大橋斷橋事件造成6死、願罹難安息

行程 快閃行程 「無須起駕 或 降駕」
案由：奉 彰化國聖井東龍宮 城隍爺 指示 前往協助處理 （疑難雜症 & 收服孤魂野鬼 ）大事化小、小事化無、傷害降至最低

免費開放、信徒申請、各地方廟宇 或 住家
前往協助處理 疑難雜症、孤魂野鬼......等等
住家、公司、工廠、不平靜、不順事...等等
地方道路口、不平安、車禍頻傳地點...等等"
LC LC,3 年前,5,
小軒,3 年前,3,
chen betty,3 年前,4,
Shinkeng Chen,3 年前,4,海景
青菜啦,3 年前,3,
Hui Ju Lee,3 年前,4,
謝秋蘭,3 年前,4,
amber wang (Anh Kuan),3 年前,4,路過可以看一下
shan73,3 年前,2,
Huo-ming Ko,3 年前,3,
卓三杰,3 年前,4,
Htc,3 年前,3,
莊亦馨,3 年前,4,
Davi Li,3 年前,3,玩沙玩水的地方，可以順便逛一逛
張冠誼,3 年前,4,
Roger C,3 年前,5,
Hsuan,3 年前,4,
Mercy Pong,3 年前,4,館不大，有些文物展示，館長伯伯很親切，還會介紹導覽
喵喵,3 年前,5,
A Botello,3 年前,5,
陳建宏,3 年前,4,
Chan Chui Ling Rosvisa,3 年前,5,是一個小小的博物館，最值得推薦是工作人員的服務態度，非常有礼及helpful。本來路經找公車站回蘇澳，順便入內看看，工作人員熱情地講解班車情況，还陪伴我們等到車來才回去，真要給他5粒星!
Kuei,3 年前,5,一般般的文化館，但卻有個100分的講解大哥，對地方歷史，特色，美食如數家珍
Jing-Luen Yu,3 年前,5,很少人來的地方，可以上洗手間
aniki chang,3 年前,3,雖然只有小小的，但是官方人員非常親切，還有可以清洗腳上泥沙的地方很棒！
蔡明圳,4 年前,3,
盧猛浪,4 年前,5,討海人的智慧
鐵木,4 年前,5,教練人不錯，風景優美，玩得開心。
vimchiztw,4 年前,5,解說員熱心又博學多聞，非常棒！
杜仲教學,4 年前,5,
黃Jason,4 年前,4,就長知識的小地方
盧昀萱,4 年前,5,
蕭國平,4 年前,4,雖然真的很小的景點，但是解說熱情專業！也有廁所和冷氣，剛好和豆腐岬形成一個探索範圍
周尚禎,4 年前,5,
林大黃,4 年前,4,可以吹冷氣，導覽員很熱心
MIKE,4 年前,5,
正董,4 年前,5,蝦餅好吃
廖大瑋,4 年前,2,有厠所、飲水機、 販賣機
Pingyin Chen,4 年前,2,內容太少了。
盧杰駿,4 年前,5,請搜尋海派生活
曉月,4 年前,4,
Stella Wei,4 年前,5,
陳智明,4 年前,3,泛舟集合點
ncku16howard,4 年前,3,小歸小挺特別
FINEMAKERS,4 年前,4,
陳麗如,4 年前,1,場地暗沉，沒有發揮功用！
林宗明,4 年前,4,免費參觀的好地方。雖然地方不大，東西也沒有很多。但有來南方澳，值得繞進來走走看看。旁邊還有廁所可以使用。
Tiaoho Chou,4 年前,2,很小的一個博物館，比家裡的東西還少，展示幾件早期討海人的物品。
YaoPeng Yeh,4 年前,4,路過可以來看看
Yu Yo Hsiao,4 年前,3,靠海邊的一個小景點，還ok
