name,setTime,star,content
Anthony Yu,16 小時前,5,散步的好地方
游子賢,20 小時前,5,"超級棒的公園，除交通便利性輸
不如大湖公園，其他都贏過大湖公園許多"
張思考,2 天前,5,
H.T. Shih,2 天前,5,可愛的野生動物
Ken Kuo,2 天前,4,
方雅婷,2 天前,5,
林林言印,2 天前,5,常去運動的地方
黃鈞,3 天前,4,
hat red,3 天前,5,南港地區最好玩，最多元的休閒場所，再多語言不如您自己來體驗，一定會讓你大開眼界喔！
謝建凱,3 天前,3,
John Yu,4 天前,4,
yiping leu,4 天前,5,
郝星媛,4 天前,5,
Stock Team,4 天前,5,
鄭果子,5 天前,5,有很多夜鷺和白鷺鷥
Debbi Ayu Lestari,5 天前,5,
林禾粢大林,6 天前,5,"這裡繞一圈散步多舒服啊！
準備了咖啡，坐在休息椅上，看著運動、散步的人們，在疫情嚴重的期間，開放空間是最好的地方
湖邊有些人會釣魚，很有趣的是，他們釣起來後，親一下又放回湖中，哈！去看看吧

又過了一年，我帶家人們來了。
這次走兒童遊戲區，開心的玩
厲害的是能量場，我感受滿滿能量
老爸立馬體驗"
Yuh-Ching Gau,6 天前,5,很適合散步跑步的公園。沿途的無障礙設施很方便。稍微可惜的是還是會遇到抽菸的人。
祁偉豪,1 週前,5,好玩，夠大。
開香（比目魚）,1 週前,5,
涂文昌,1 週前,5,
林大瑋,1 週前,5,"環境清潔 下午散步的人不多 停車方便
踏青的好地方"
陳世穎,1 週前,5,適合全家大小一起來踏青的好地方
亦賢,1 週前,5,很棒，適合散步
李熹,1 週前,3,著名的舊城公墓區，在地人晚上覺不會過去閒晃，陰森森，外來觀光客日間沒感覺！
Steppen,1 週前,4,很棒的公園 非常豐富的生態環境 植物和動物的種類都很多 有許多松鼠和鳥類 也有許多涼亭可供避雨乘涼 跟台灣所有的公園一樣 夏天小黑蚊的數量都很多 防蚊液是必備的
Tzou Brad,1 週前,5,"Good place for leisure and sports in Nangang.
南港區休憩、散步、運動的選擇之一，從捷運後山碑或昆陽站騎Ubike只需數分鐘，遠離塵囂，呼吸森之活力。"
Angela,1 週前,5,兒童遊戲區設計非常棒
yating yang,1 週前,5,釣魚的好地方 環境乾淨整潔
彪黑（Sullivan）,2 週前,1,步道太黑
莊璨瑆,2 週前,5,適合親子玩樂的地方，但蚊子很多
田隴海,2 週前,5,港湖區是台北最好的風水寶地，有山（大崙頭尾山，金面山及忠勇山，鯉魚山，白鷺鷥山等）湖（大湖公園及碧湖公園）河（基隆河貫穿了港湖兩區）南港展覽館及港湖兩科技園區，南港公園的芬多精及能量廣場最強（外國人的評鑒）
Jiech Ren Chang,2 週前,4,很適合親子遊玩及行走的地方
洪MU,2 週前,5,
陳華明,2 週前,3,"有山有水樹木覆蓋率大,空氣清鮮,腹地也不小,運動散步兩相宜"
台北安哥,2 週前,5,地段不錯！公園動線也很棒，遊戲區有重新整修，變得更好且新穎！
Jan Sipek,2 週前,5,可愛又乾淨的綠地。遊樂場、籃球場/網球場、池塘……散步、慢跑等的好地方。
Dzway Tn,2 週前,5,
蔡緣,2 週前,5,
Teresa Chen,2 週前,5,
白碧玟,2 週前,5,"很適合全家大小子孫三代帶小朋友去玩去消秏精力
的地方！！"
黃路易,2 週前,5,晚上來散步別有一番風味
美美的曉晴,2 週前,5,
73翁永崑,2 週前,5,
王俊兵,2 週前,4,空氣品質好，適合全家大小帶寵物來玩
小小羊,2 週前,3,南港公園位於台北市南港區東新街，一進去大大寫著南港公園，這裡不分時段都很多人來這吸收正能量，運動，打卡景點，打球也有，還有大魚池可以觀賞，大家趕快來運動唷！運動完還可往東區sogo百貨逛街，各位來就祝你玩的開心逛的愉快😀😀😀 …
Bren Chiu,2 週前,4,很多座椅 貼心👍 …
李兆陽,3 週前,4,開闊清幽
leslie hsu,3 週前,5,"山，水，草皮。
兒童遊戲區，好公園"
游小曄,3 週前,5,可以釣魚跟休憩的好地方，廁所跟設施都不錯。
johnson Hsu,3 週前,4,
lin Winson,3 週前,5,
丁謀昌,3 週前,1,
Leocrv Liaw,3 週前,4,
老仲,3 週前,5,悠閑散步運動的好地方
Tiger Lo,3 週前,5,
阿M,3 週前,5,"非常寧靜的地方，鳥語花香

在都市裡面，能有一個可以好好放鬆靜心的地方

真的不容易"
包國安,3 週前,4,
王百達,4 週前,5,
Jose老師,4 週前,5,
謝夏天,4 週前,5,"很棒的公園 有垂釣區可以坐釣
遊樂場設施豐富"
Steven Lee,4 週前,4,晴天時好拍
郭承珅,4 週前,5,
anna hsu,1 個月前,4,很適合大人小孩來遊樂區和散步👍 …
CKChen Kevin,1 個月前,5,"很棒的綠地
有滿滿的能量！"
朱柏任,1 個月前,4,
葉士誠,1 個月前,5,是平常休閒活動好地方。
王香文,1 個月前,5,
Steven Tsai,1 個月前,4,位於市區的休閒空間，風景悠美還有漂亮的藍鵲。
林秭萱,1 個月前,5,"很大 跟安森有得比 但人比較少
適合遛狗 適合放電
晚上會有阿伯們釣魚 很適合情侶、家庭散步 晚上也很漂亮"
李家程,1 個月前,5,小孩放電的好地方
林頌婷,1 個月前,5,
M C (自由的作者),1 個月前,3,
Charles Qin,1 個月前,4,
洪湘玲,1 個月前,5,
Weni 31,1 個月前,5,愛
a k,1 個月前,2,嗯~~~~
Lu Wen-ling,1 個月前,4,
monica wei,1 個月前,5,充滿能量的場域
沈大師,1 個月前,4,
李宗恒（勝鉉）,1 個月前,5,滿滿能量
Bao Hoai Le Vlog,1 個月前,5,偉大的 ！我在這裡度過了愉快的時光！
岑嘉鴻,1 個月前,4,
Yinbin Lian,1 個月前,3,蚊子多
Johnny Wu,1 個月前,5,環境優美，還有運動場、遊樂場、大池塘，應有盡有，是很不錯的綜合公園
Ari Sastromihardjo,1 個月前,5,
鍾嘉麟,1 個月前,3,
黃俊皓,1 個月前,5,很大，需要點時間才能全繞完的公園
游天傑,1 個月前,5,從小玩到大 是讓人放鬆運動的好地方
sue ttn,1 個月前,5,範圍很大。裡面有一區住了幾隻神龍。有好幾區裡有住神明。另一區較陰暗的地方有一些不乾淨的東西。氣場強大，赤腳踏草坪可吸收地氣。
胡裕,1 個月前,4,很美又舒服的公園，有籃球、網球場，兒童戶外娛樂設施，不錯的公園
丁m于珊,1 個月前,5,"生態很豐富的公園
可以散步.釣魚.看鴨子.找松鼠.溜滑梯.玩沙...."
jhesen chen,1 個月前,5,全方位的公園，讚👍 …
范紀塿,1 個月前,5,
Anny Chang,1 個月前,5,
Sedine Huang,1 個月前,5,不錯的地方
吳忠憲,1 個月前,5,
JN C,1 個月前,5,
林永勛,1 個月前,5,
魔羊娛樂-阿伯,1 個月前,5,很舒適的釣魚點
黃Micah,1 個月前,5,
alan Chen,1 個月前,5,公園內有山有水，富有深度的公園。
謝雅青,1 個月前,5,難得有可以釣魚的公園， 有多種鳥類欣賞， 能量氣場感受場合
yaci chen,1 個月前,5,能量很棒，可以放鬆身心，可以帶水晶.礦石.雪利跟的頂利來接收能量
宇宇陳,1 個月前,5,地靈人傑好地方
Sri Asih,1 個月前,5,
陳國財,1 個月前,5,
吳輝雄,1 個月前,4,
Meltice Ted,1 個月前,5,
黃秀榆,1 個月前,4,
蕭潮卿,1 個月前,5,
wade lee,1 個月前,5,親子和善公園
陳亮江,1 個月前,5,
張淑珍（una kiko）,1 個月前,5,
許小喬,1 個月前,5,夏天除了小黑蚊很多，其他都很不錯。
KAI FENG,1 個月前,3,大大大公園，休息處風吹來很舒服，有三處特殊的能量廣場非常特別。
Shawn Chen,1 個月前,5,超讚的大公園。大草坪。芬多精步道。兒童遊憩區。球場。雨棚。自然生態五色鳥。
family fan,1 個月前,4,
qaz,1 個月前,5,兒童設施豐富 環境舒服 腹地廣大可以騎腳踏車
鬼_GHOST,1 個月前,5,釣魚環境乾淨
骆俊伟（KT）,1 個月前,5,
蔡維鈞,1 個月前,5,
黃毓明,2 個月前,4,
Ma小馬,2 個月前,5,釣魚的好地點 停車方便 適合帶小孩 有設施 有沙坑 空氣新鮮 人多熱鬧半夜不恐怖
Jack Wang,2 個月前,4,
Wen-Chieh Chen,2 個月前,4,
Wenlih Hsu,2 個月前,4,"公園入口具古味，一座寬廣多樣風貌的好去處（有能量池,有益身心）"
Berlin Tsou,2 個月前,4,
丹丹漢堡,2 個月前,5,
Hsuan,2 個月前,5,
Hardy Cheng,2 個月前,5,很悠哉的地方，早上晚上都適合來
THL,2 個月前,4,
Chun-Hsien Wu,2 個月前,5,
陳正典,2 個月前,5,蘊藏世界罕見的能量！ 台北市南港公園，能量指數最高，只要民眾常常散步，靜坐，就能吸收大地精華，提升免疫力，效果比森林浴還要好，休閒活動設備正陸續增建，還可以在池塘旁邊垂釣休閒。
Alice Lin,2 個月前,5,五星級的運動公園！
李國桓,2 個月前,5,
林建宏,2 個月前,4,
Willie Chiu,2 個月前,4,"遠離都市的緊湊感,來這裡可以看到很多的釣客悠閒有耐心的等待,另外這裡也是翠鳥的棲息地."
啊旗林,2 個月前,4,
喬就,2 個月前,5,很大風景很好感覺不錯
黃秀秀,2 個月前,4,環境尚可！很多人釣魚
Yulu Han (寒雨露),2 個月前,5,
cellar879330,2 個月前,4,
Tristan Chen,2 個月前,5,很舒服的公園
孫暉忠,2 個月前,4,
劉梅凌,2 個月前,5,假日早上通常沒有停車位推薦平日或假日的3、4點來比較會有車位，這邊很適合各種不同年齡的人來，也可以釣魚、蹓狗、 蹓小孩吸收芬多精是都市中難得的綠地！
黃Jason,2 個月前,5,親子、老人友善公園！
meiling tsai,2 個月前,3,腹地很大有最好磁場的綠地，可惜不是非常乾淨舒服的感覺！
布布,2 個月前,5,孩子們的有趣的地方
Leo Chang,2 個月前,5,
you-jie yu,2 個月前,5,晚上的時候可以看到很漂亮的101
John Liang,2 個月前,5,設施豐富，佔地廣大，值得推薦，幼兒至老人都適合。
lin林文清,2 個月前,5,
王懷銘,2 個月前,4,
林寶珠,2 個月前,3,
陳昱廷,2 個月前,5,
吉祥如意,2 個月前,5,
陳立炎,2 個月前,5,好地方
周嘉寧,2 個月前,4,
程阿諾,2 個月前,2,
JOHN HO,2 個月前,2,被小黑蚊偷親30好幾個吻
陳文河,2 個月前,5,美壓
李文崇,2 個月前,4,
潘信弘,2 個月前,5,
Huang Arthur,2 個月前,5,公園很大，共融遊戲場器具多，但迴旋旋轉架須留意，若有小孩外掛於旋轉架外，過度加速產生的離心力可能會將架外的小孩不定向甩出°
HSIN I Chien,2 個月前,5,
李克昂,2 個月前,5,適合孩子們放電的好地方
廖文傑,2 個月前,5,五星級公園. 能量公園
林文男,2 個月前,4,
Sahak Thun Chhuon,2 個月前,4,
溫榮俊,2 個月前,5,休閒運動好去處
張伯鎧,2 個月前,4,因南港花園社區(國宅)而改變成平坡寧靜安全，老少皆宜還有釣魚區的好休閒散步慢跑運動的大公園。
Jyun Liang Chen (陳俊良),2 個月前,4,
Kevin Cheng,2 個月前,5,
JIN Cho,2 個月前,5,
郭又綺,2 個月前,5,環境清幽，空氣清新，占地很大，散步跟慢跑都很適合
achel R (馬艾),2 個月前,5,
Xavier Yen,3 個月前,5,
Yak,3 個月前,5,很棒，但是有小黑蚊要注意
tu Tu,3 個月前,5,兒童遊具改造完，假日人車非常多
Elena,3 個月前,5,
仇昱鑑,3 個月前,5,
Dali Huang,3 個月前,5,
黃信貿,3 個月前,5,樹蔭多，遊樂器材多，佔地廣大，風景優美，很適合一家大小休息玩樂
張Zmc,3 個月前,5,親近大自然的好地方，寬闊綠秀
