setTime,star,content,seg_result
51 分鐘前,5,很適合約會,適合 約會
10 小時前,1,比家樂福還爛東西貴走到腳快斷找不到可以暫時休息一下的地方甚至連手機充個店的地方也沒有像話嗎,爛東西 走到 休息 一下 地方 手機 地方 沒有 像話
12 小時前,5,很大很好逛的百貨公司賣的東西很齊全美食街東西也不錯吃還有威秀影城目前有一館和二館館中間很常有活動汽機車皆好停,百貨公司 東西 齊全 美食街 東西 不錯 影城 目前 中間 活動 汽機車
16 小時前,5,很大,
18 小時前,5,,
20 小時前,5,,
1 天前,4,,
1 天前,5,,
1 天前,4,寬敞 餐廳多,寬敞 餐廳
1 天前,5,大又好玩但離車站太遠,好玩 車站
1 天前,5,好大間百貨公司,好大 百貨公司
1 天前,4,許多美食,許多 美食
2 天前,5,寬敞,寬敞
2 天前,4,,
2 天前,5,台南唯一最好逛的百貨公司,台南 百貨公司
2 天前,5,,
2 天前,3,,
2 天前,5,很好逛,
2 天前,5,"好吃的很多購物也方便是一家很棒的百貨公司

週六日人多所以我覺得平日和連續假期來比較好",好吃 很多 購物 方便 百貨公司 週六日 覺得 平日 假期
2 天前,5,,
3 天前,5,"連接老爺行旅得的購物中心
餐廳多很適合吃飯的地方",連接 老爺 行旅 購物 中心 餐廳 適合 吃飯 地方
3 天前,5,,
3 天前,5,,
3 天前,4,,
3 天前,5,很大很好逛,好逛
4 天前,4,,
4 天前,5,,
4 天前,5,非常好逛適合全家大小休閒的好地方,適合 大小 休閒 地方
4 天前,4,,
4 天前,5,夢想舞台兌換全館回饋,夢想 舞台 兌換 回饋
5 天前,4,很好逛,
5 天前,5,讚越來越好了雖然我依舊會在裡面迷路,裡面 迷路
5 天前,5,,
5 天前,4,沒有高雄的夢時代好逛,沒有 高雄 時代
5 天前,5,,
5 天前,5,,
5 天前,5,,
5 天前,5,停車動線有點難懂也一直分不清楚A1A2是哪棟地下街很多美食,停車 動線 難懂 清楚 地下街 很多 美食
5 天前,5,不用形容評論啦台南市東區最好逛的精華區聽啊,形容 評論 台南市 東區 好逛 精華區
6 天前,5,,
6 天前,4,地下室的泰國美食,地下室 泰國 美食
6 天前,4,,
6 天前,4,,
6 天前,3,"生魚片滑口新鮮滿喜歡的.火腿片可以包生菜吃醃鮭魚好吃但不能貪心多片
燙魚片個人感覺還好.螃蟹太瘦小
我喜歡乳酪香和口感
甜點因為晚去.前面吃了不少東西太趕只淺嚐舒芙蕾和巧克力
下次要吃烤布丁試試

海鮮選擇太少看評價去有點小失望",生魚片 滑口 新鮮 喜歡 火腿片 生菜 鮭魚 好吃 貪心 燙魚片 感覺 還好 螃蟹 瘦小 喜歡 乳酪香 口感 甜點 前面 不少 東西 淺嚐 舒芙蕾 巧克力 布丁 試試 海鮮 選擇 評價 失望
1 週前,5,,
1 週前,5,不錯,不錯
1 週前,5,,
1 週前,5,店鋪數量與新竹古堡不相上下稍事休息就到隔壁皇家飯店大堂的星巴克那裡有洗手間和吸煙區值得推薦,店鋪 數量 新竹 古堡 不相上下 休息 隔壁 皇家 飯店 大堂 那裡 洗手間 吸煙區 值得 推薦
1 週前,5,,
1 週前,4,,
1 週前,3,,
1 週前,3,,
1 週前,5,,
1 週前,5,,
1 週前,3,精品美食街豪華氣派,精品 美食街 豪華 氣派
1 週前,5,,
1 週前,5,,
1 週前,4,,
1 週前,5,,
1 週前,5,,
1 週前,4,,
1 週前,4,"1 停車場有點難停 一般百貨都設有綠燈表示空車位 南紡沒有設 導致找車位時需要開車一直繞 有點麻煩

2 電梯分散
搭到B1有時是停車場 非美食街
搭到5F又搭到戶外 選電梯要很注意

3 櫃位規劃有點擠
相較其他百貨 櫃位排列有點密集
特別是B1美食街用餐時段
感覺逛起來跟夜市差不多擠
很難舒服的用餐
用餐最好選擇各樓的餐廳",1  停車場 百貨 設有 綠燈 表示 空車位 導致 車位 需要 開車 麻煩 電梯 分散 搭到 停車場 美食街 搭到 5F 搭到 戶外 電梯 注意 櫃位 規劃 相較 其他 百貨 櫃位 排列 密集 特別 美食街 用餐 時段 感覺 夜市 舒服 用餐 用餐 選擇 餐廳
1 週前,4,,
1 週前,5,,
1 週前,1,"電梯設定有問題
等很久等很久等很久",電梯 設定 問題
1 週前,5,,
1 週前,4,還不錯可逛,不錯
1 週前,4,,
1 週前,5,空間蠻大的,空間
1 週前,5,,
1 週前,1,IRIS 艾莉詩 415晚班的櫃姐態度惡劣無故對走道上等待餐廳位置的人咆哮惡言相向咒罵有被害妄想趨勢樓管不用監督處理的嗎,晚班 櫃姐 態度 惡劣 走道 等待 餐廳 位置 咆哮 惡言相向 咒罵 妄想 趨勢 樓管 監督 處理
1 週前,5,,
1 週前,5,海底撈服務人員優秀,服務 人員 優秀
1 週前,5,,
1 週前,1,非常塞 排隊進停車場還可以被檢舉,塞  排隊 停車場 檢舉
1 週前,5,"要是假日停車要排隊很久的問題可以解決就好了
即便我有vip
要穿越其他車開進vip通道也是要花很多時間
覺得之前入口在東寧路的時候比較方便",假日 停車 排隊 問題 解決 好了 穿越 其他 開進 通道 很多 時間 覺得 之前 入口 東寧路 時候 方便
