name,setTime,star,content
白劍寒,2 週前,5,
mike yiin,3 週前,5,原有的眷村改成文創園區，環境整理的很好，平日人較少，假日人超多，很好慢活的去處，值得走走。
jwujwu jwujwuven,3 週前,5,"台中市民假日的慢活景點
必來走走 網美照多多"
ALEN HAUNG,2 個月前,5,來演講
紀明仁,2 個月前,5,值得你前往的好地方。
SI-YU CHEN,2 個月前,5,"原流新創聚落 Llyung Startup Cluster，取名自 Llyung 這個字，是泰雅族的河流 / 流域之意，象徵族人順著河流生活，也發展出各自不同的樣貌。

這裡由一群熱愛土地與部落人文歷史、生態環境與產業故事的人們匯聚。聚落就在光復新村的隔壁而已，也是中部原住民族的第一個產業交流平台。

📍開放時間：週二 ~ 週日 10：00-17：00，假日則會延長到 18：00，週一公休。

📍商家有哪些：木雕創作、義式天然冰淇淋、原流生活選物（皮件、工藝品之類）、原流主題故事館、那花社等。

另外，查詢其官網發現可以預約「職人課程」，製作原住民頭飾的花環、編織杯墊、植物玻璃罩鐘 DIY。

那由於這裡串流了各式產業，因此不僅僅在霧峰，也有旅行體驗可以在官網購買，例：到松鶴部落的獵人體驗 & 谷關泡溫泉、雙崎部落做原民工藝體驗 & 泰雅風味餐等，讓很想接觸原住民文化的朋友，有一個地方能夠更好入門呢！

🙌 更多旅人需要的小細節：

有廁所、哺集乳室 >> 先跟著標示走，但其實它外頭標示並沒有很明確，如果你看到外面似乎有站了一些人在等待，那邊就是廁所了。"
Johnny Tsai,3 個月前,5,
劉育廷,3 個月前,5,
楊耀鋒,4 個月前,5,"原流新創聚落環境優美
是個悠閒，休閒的好地方
園區有位子可以坐著休息"
福榮,6 個月前,3,"這邊小小的景點 很漂亮 可以走走
但是廁所可以在標清楚了 大部分人都找不到 真的可以在清楚一點"
陳文斌,8 個月前,5,原住民創生行銷點
稗子釀的酒,8 個月前,5,小小的，晃一下下就逛完了，但有一群很可愛的人（應該是店主？），今天下午駐唱在唱歌的時候有個叔叔突然喊：「拍手！」他和其他兩個人開始跳舞，現場經過的民眾隨著口令拍起手來，氛圍超級棒！
Ruyu Yuan,8 個月前,5,在光復新村旁，去的時候剛好休息，好像有販賣一些原住民的商品
Reco Fu,8 個月前,3,
Yu Cheng Chen,9 個月前,3,偏小型展場
ina lin,9 個月前,5,一定要來，多了這裡光復新村多了很多光彩
林至,10 個月前,5,很棒的文化之旅
Shun Neng Yang,10 個月前,5,
沈東峰,10 個月前,5,崁入在老眷村中的原民藝術聚落，週末下午還有吉他自彈自唱的演出，很值得來走走。
chen家慶,11 個月前,5,完全展示了原民的手作及代表各族原民的創作，色彩鮮豔強烈非常搶眼
楊桃汁,11 個月前,5,原住民的新創聚落 傍晚時刻過來走走還不錯 晚上就打烊了
友旮恩YUKAN芃軒,11 個月前,5,很用心規劃，商家陸續進駐，有特色的園區。
Shun Neng Yang,1 年前,5,"小而美的新創聚落，假日還有草地音樂會🎼
有空可以來走走 …"
1Ning,1 年前,5,"台中 原流新創聚落

在光復新村旁邊，
很適合假日來逛逛，享受慢活生活，
有攤販、文創商品、駐唱，
附近停車要找一下，停車算方便，
環境乾淨整潔，還不錯！

到訪日期：2022.05.01"
OWL WEI (大海龜),1 年前,3,跟預期有落差
林小雄,1 年前,4,環境很文青的新園區，但來時進駐的店家還沒有很多間，且每間房舍裡面也不知道是賣東西還是展覽東西沒有明確的招牌，從外面走過還真不知道裡面是幹什麼的。
WanChen Wang,1 年前,4,"藝文空間，有一些店家和小展覽。近期的展「狼煙時尚」工讀生妹妹很貼心也很可愛，有問必答也幫我們用了紋身貼紙，給他一個讚👍

有些空間看似有一些展覽，但人員不知道為什麼臉很臭，詢問可以進入嗎？也沒回覆。自己進進出出，好像把我們當空氣一樣～

這裡環境氛圍和推廣的不錯，我們不需要人員熱情服務或一一介紹，只求基本的禮貌，或是清楚的標示是否可以進入也好，這樣就不會誤闖了。"
jason. TSao,1 年前,5,就在光復新村隔壁 應該剛開沒多久 現場有一個迷你型的草地音樂會 有一個舞台 有人在演唱 是一個新創聚落 主要與原住民為主 可以進來走走逛逛 不用10分鐘就可以逛完
魔羯座,1 年前,4,小小的新創聚落
歐美加,1 年前,5,新的原住民文創園區，期待更好
