name,setTime,star,content
黃冠繽,4 天前,5,
Tsugumi,5 天前,5,讚讚
殷建勳,1 週前,5,古亭穀倉 廢墟 老屋 怎麼拍怎麼美 好停車
張碧如,4 週前,5,"正宗韓式料理澎湃上桌，親朋好友聚會第一首選 ，絕對要來這一味😋

除了視覺上很豐盛之外，味覺和口感也是超有層次~
配上一口清涼燒酒🍻，完全只有爽能形容了啦！🤣

除了東西美味好吃 店裏的服務人員都好棒🥰 不論男生女生👍服務品質超好，有一位服務人員「阿駿 」很有耐心的幫我們一直拍照📷（拍很多😂），讓喜歡拍照的我們敲開心🥳的👍👍👍

宜蘭吃什麼 就是要來吃這家🫶"
維洋蔡,4 週前,3,
陳柏羽,1 個月前,4,
Mei Karen,1 個月前,4,"園區不大，停留時間大約5~15分鐘，就看你逗留時間、拍照的滿意度。
裡面有停車場。
這裡的農會及最裡面的稻穀乾燥中心還有在營運作業，平日上班時間會有貨車出入，所以平日來注意來車。
附近用餐、喝咖啡後，可以順道過來拍照。
這次來，沒有看到突兀的商業擺設品了，很好拍照。

沒有廁所。"
Alvin Chen,1 個月前,5,
林梅惠,1 個月前,1,廢棄的穀倉很蒼涼，空氣瀰漫著豬圈味，感覺很不舒服
陳琳覲,1 個月前,5,"可以來走走逛逛。雖然不是很大。但蠻舒服的地方

旁邊有甜點店可以喝咖啡還有韓國炸雞店。"
涵涵,1 個月前,5,"雖然是小小的園區，但逛起來很舒服，超適合拍網美大片～
園區入口有超大可樂果好可愛，旁邊是（我不曉得是什麼公所），裡頭有賣一些特別的農產品，便宜又好吃好喝。
有很大的停車場，建議可花30分鐘停留走走喔！"
鄭進豐,1 個月前,4,可樂果是焦點很大包，但只有一次性的造訪！
林惠純,1 個月前,5,很讚喔
Chueh Bryan,1 個月前,5,拍照的好地方
Miles Chiang,1 個月前,3,
Elva Yang,1 個月前,4,廢棄碾米廠
梁瑀玲,1 個月前,4,很漂亮的地方，旁邊有兩家小店。
Jack Jou,2 個月前,4,舊榖倉改造的裝置藝術
George Hsu,2 個月前,3,舊穀倉與現在穀倉對比，別有鳳味
Jimmy Wu,2 個月前,4,旁邊的建築古色古香，路樹修剪的非常漂亮
Frank Huang,2 個月前,5,
Cheng 0804,2 個月前,5,
yanyun,2 個月前,4,能拍的景點大概就兩個穀倉，整體偏少及小，但是氛圍不錯，喜歡拍照的可以前往。
DAPING,2 個月前,5,讚👍
草莓凱莉（草莓Kelly）,3 個月前,4,
陳緹潔,3 個月前,4,就是一種純樸.慢活的地方.
品嫻,3 個月前,3,
米の野遊x道具,3 個月前,5,
Lance,3 個月前,3,懷舊的感覺
Derek Jiang,3 個月前,3,活化舊園區 拍照景點 值得一訪
Hua-Tung Wu,3 個月前,4,
葉育里,3 個月前,5,可以訂位和帶寵物的餐廳真的值得推薦♡
陳佳盈,3 個月前,5,服務超級好 可以帶貓貓狗狗 好喜歡寵物友善的餐廳 食物也好好吃😍😍😍 推♡⃛ …
Jane Shen,3 個月前,4,"大概花個5分鐘就可以逛完的迷你景點
不用特別過來
也沒有廁所可以上喔🥹"
禪寶寶,3 個月前,4,有些缺乏管理，包括廁所無法使用，純粹拍拍照景點
立日口貝,3 個月前,5,旁邊那間農會賣的有些東西很特別
Wong Ron,4 個月前,5,景很美很好拍
Sudamethi Sunthornrangsri,4 個月前,5,靠近我家的好地方。研究水稻和田地故事的古老地方。
belinda8262筱茹,4 個月前,5,
胡志鴻,4 個月前,5,
ChiLung Yang,4 個月前,3,"餐點價位偏高，僅有2~3樣菜品值得一嚐。
整體CP 值不高。"
林欣奇,4 個月前,5,
陳俞伶,5 個月前,4,
Tu Yueh Heng,5 個月前,3,
Mocha,5 個月前,5,
Lee Bruce,5 個月前,4,
何俊明,5 個月前,4,
小陳,5 個月前,5,第一次來，滿好吃的，有飽足感
abow tony,5 個月前,5,
小琬,5 個月前,5,餐點好吃😋適合朋友聚會一起來❤️ …
cy Chen,5 個月前,4,
蘇子涵,5 個月前,5,
蔡美霞（小丸子）,5 個月前,5,
蔡美雲,5 個月前,5,
尤茂桉（AN）,5 個月前,5,
范儷齡,5 個月前,5,宜蘭壯圍百年穀倉，適合拍照看看歲月古蹟，非常幽靜的地方，遊客不多，旁邊有停車場，也有好吃的甜點店.咖啡店.韓式炸雞店，也可以買到壯圍米。
敏芬林,5 個月前,5,
周大金,5 個月前,5,
Yao宏,5 個月前,5,
簡裕,6 個月前,5,
李嘉祐,6 個月前,5,那是很好吃的
余品志,6 個月前,3,
楊桃汁,6 個月前,5,適合拍照的網美景點 以前的舊穀倉拆除後的場景很不錯拍照
梁乃云,6 個月前,4,
徐玉雯,6 個月前,5,
Alex,6 個月前,5,氣氛很好
趙柏達,6 個月前,3,看看就好
潘重彧,6 個月前,2,
淑華,6 個月前,5,超好吃
游振順,6 個月前,5,好吃的食物
游蕙霙,6 個月前,5,每道美食都非常好吃營養好喝的雞湯和起司雞肉~大推！
黃靜慧,6 個月前,5,好吃，服務態度很好
李叔玲,6 個月前,3,
信旭陳,6 個月前,4,
游小萍,6 個月前,5,
賴素玉,7 個月前,3,看看古蹟、拍照很好拍
0926 a,7 個月前,3,
楊宜杰,7 個月前,4,第一次來吃，店內很乾淨，店內別桌小孩吹哨子沒人管，覺得耳朵不舒服
Jia Huang (嘉),7 個月前,5,"第一次來訪，點了雙人餐加一隻雞，很期待！
只是剛好遇到其他桌小孩吹哨子很吵，辛苦店家了！"
張立典,7 個月前,5,
何主安,7 個月前,4,
徐翊庭,7 個月前,3,快速瀏覽、散步景點
謝錦和,7 個月前,5,
melvin yang,7 個月前,4,
葉斐瓊,8 個月前,3,
qoo 119,8 個月前,4,路過不錯過 悠閒逛逛走走
andy Chen,8 個月前,4,"位於壯圍鄉農會古亭辦事處前的古亭穀倉，原來是一間碾米廠的廢棄穀倉，經過活化後讓廢墟重生，成為宜蘭一處網紅打卡秘境⋯⋯

頹廢的圍牆裡隱藏著碾米廠過往的風貌，還可窺視輾米老機具，不知道為什麼的幾塊光滑大石頭，卻變成網紅最愛的拍照背景⋯⋯

沒有屋頂的穀倉斑駁的磚牆上，佈滿了著錯綜盤據的樹根，形成了懷舊氛圍，似乎這裡就是一處裝置藝術，每一個角落都是好風景，來宜蘭非常推薦順路一遊喔！"
陳宏慎,8 個月前,4,
劉建佑,8 個月前,3,
Chao Yuan Yu,8 個月前,3,
陳淑真,8 個月前,3,沒有特殊處，大約停留10分鐘，就會走人的景點。
王勝峰,8 個月前,5,宜蘭走走
Sin Rong Chen,8 個月前,4,
歲月靜好,9 個月前,2,2022.11.30前工程在進行整修，店家未開，所以只能簡單的晃個5-10分鐘就結束。
邱映昕,9 個月前,5,光影很美的地方～有洗手間更好
Alex Kuan,9 個月前,5,以前的老倉庫，現今活化再利用，變成很美很文青的拍照地點，隨便拍隨便好看，值得一遊。
鍾岱岱,9 個月前,5,不錯的新景點👍 …
Peishu Fan,9 個月前,2,破舊的倉庫廢墟，簡單的佈置，實在難讓人吸睛，若要吸引人潮，要有吸引人們到此一遊理由，說明標示說明的前世今生，此外週邊道路、商店和餐廳，都需配合，加油吧！
Queenie Tseng,9 個月前,4,"舊穀倉很好拍
入口還有兩家咖啡廳
也挺有特色
藏甜手作坊
木予田商行"
ivan Lo,9 個月前,5,點不大 但很好拍
闕素哖,9 個月前,4,壯圍的小景點、已廢墟的碾米廠穀倉、整理後加入藝術風在配上廢墟的感覺、很有特色、旁邊好像有店家也在規劃設計、相信下一次去ㄧ定更有特色😊
jj lee,10 個月前,3,設計可以再豐富些
林柔羽,10 個月前,5,"古亭穀倉位於壯圍鄉農會古亭辦事處前，原是碾米廠穀倉，經過整理讓廢墟重生成為宜蘭最有氛圍打卡景點喔！
這裡保留了碾米廠原先的風貌，還藏了許多過往的象徵物，像是隔著窗框能窺見的機具、象徵白米的幾塊光滑大石等等，從一個個斑駁的紅磚窗向外望，都是不同的風景～
廢墟斑駁的穀倉沒有屋頂，灰色斑駁的磚牆上佈滿了樹根，搭配綠意盎然的樹木和植栽，真的非常有氛圍！靜謐充滿廢墟風格的老建築，充滿了歲月的痕跡，這裡像是一處大型裝置藝術，每一個角落都非常好取景，非常推薦來壯圍能順路一遊喔！"
K DY,10 個月前,4,還在營運的穀倉，但是透著寂寥與殘敗的頹廢風
曹家垚,10 個月前,4,
David B,10 個月前,5,
ABC,10 個月前,3,早期穀倉保留既有建物，裡面放置簡易裝置藝術石頭，看到一些人取景拍照，可惜附近不太熱鬧，顯現平靜，對面有農會可簡易採購。
傅麗娟,11 個月前,3,
cherry chang,11 個月前,1,
James Chen,11 個月前,3,
tommysos Gao,11 個月前,3,蚊子有點多
吳怡震,11 個月前,3,
簡亞當,11 個月前,5,非常好拍的地方
彼得平,11 個月前,3,路過可以進來！ 小吃部零食很多在地化
凱翔,11 個月前,3,
徐乙云,11 個月前,5,
林小圳,11 個月前,5,
黃德智,11 個月前,4,這是廢棄的榖倉稍作整修並加了一些裝置藝術，好有拍日本兵電影場景的FU，壯圍鄉農會也在這裡，也買了一些農產品，超推薦屏農的萬丹紅豆湯，紅豆飽滿綿密又不太甜。
張文宇,11 個月前,4,"寧逸的小景點！三點多的斜陽灑在壁面上的影子增添了另一個維度。

若是能有文字介紹過去的歷史則更有知識性。"
Jessie moyo,11 個月前,4,"早期做穀物的地方
黃昏時刻來剛剛好，

歷史遺跡，舊倉糧地上滿地的落葉飄落

多了一層滄桑的感覺"
Miowowo Kuo,1 年前,5,好逛好買
張其嵩,1 年前,5,國糧署的米都在這
字字,1 年前,4,打發時間的空檔，悠閒的晃晃還不錯。
Marco,1 年前,4,"東西偏貴
對面有像廢墟的地方可以拍照"
王弘,1 年前,4,
