name,setTime,star,content
Stephen 夫子 Chen,1 年前,5,"祖靈屋是排灣族舊部落與祖靈的象徵，是族人與神靈、袓靈對話的媒介場所，也是族人記憶和懷念祖先的地方，更是整個排灣族 5年祭與傳統信仰的中心。
排灣族祖靈屋，由石板構成依傳統工法採公石板及母石板錯綜排列，部落導覽老師表示，為尊重部落習俗，女性參觀止步界線在祖靈屋門口大石板前，男性則可稍為往前在門口石階前。"
EN Jian,4 年前,5,
念榛胡,4 年前,5,
John強,4 年前,5,
陳致懷,4 年前,1,
蕭安成,4 年前,3,不知是古蹟，還是新蓋的。
蔡君,4 年前,2,
Timian Mcmaster,4 年前,3,
yunchen ma,4 年前,2,
黃淑梅,4 年前,4,
李建國,4 年前,5,
鄭雷震,4 年前,5,
han-yuan Lin,4 年前,5,
柳淑萍,4 年前,5,
范小寶,5 年前,4,
張建良,5 年前,3,
Ljavaus,5 年前,5,
王志慶,5 年前,3,古蹟
林瓊娥,5 年前,2,
尤賢壯,5 年前,4,
鄭勝勇,5 年前,5,
許新明,6 年前,5,
家無賣,6 年前,5,
Jomy Lin,6 年前,3,
滕紹元,6 年前,3,
飛行鳥,8 年前,5,古樓祖靈屋
