name,setTime,star,content
薰衣草,3 天前,5,一顆有歷史的榕樹 樹下有神明供奉 微風陣陣吹來 在路旁稻田中 不注意就又繞遠了。
蔡琦紳,3 週前,4,"沒想到台中也有金城武樹🌲
來這裡適合騎機車🛵來比較方便
景色優美拍照留念打卡
放慢腳步看看南屯鄉村的風景"
張帥瑋（無聊的地瓜）,1 個月前,5,很休閒又舒適，但建議在下午陽光比較沒那麼刺眼的時候再前去造訪，不然很容易中暑
林忠炫,2 個月前,5,
Giles Hung (Giles),3 個月前,3,
Arthur Chang,3 個月前,4,簡單優美的鄉間樹
楊文興,3 個月前,4,
太微垣（富甲天下）,4 個月前,4,
馬力歐,4 個月前,1,沒見過樹嗎⋯⋯
加菲貓,4 個月前,3,風景還不錯，附近的稻田比樹還美
Ricky Huang,4 個月前,2,騙很大的一棵樹
Ting,5 個月前,1,"千萬不要來！
只是自家農田旁邊的一棵樹！
旁邊的落羽松也千萬不要去！
落羽松下方養了蜂箱，到處都是蜜蜂🐝 …"
向濟雯,5 個月前,4,"散步運動把這裡當作目的地！
過環中路是個考驗，按地圖導引走「新鎮河路」要與車爭道，很驚險啊！
回程走「廣式養生功夫雞」與「霄特國際股份有限公司」間的小路，一樣可接到環中路，安全多了！
就是很簡單的一棵老榕樹，四周沒有什麼特別的景色！只有田、小菜園、大樹樹苗圃！"
神奇寶貝大湤,5 個月前,5,路過拍拍照
黃炯,5 個月前,3,光騎車就要找一下子才會到，停留時間還比找的時間短。只適合住附近的人加減走走，景色還可以，旁邊一小片雅致的落羽松，配上藍天白雲與綠秧，與遠方的壯麗高樓建築，形成一幅別具風味的景觀。
Studio Goscorp,5 個月前,5,很美、很好逛
尤金,6 個月前,4,
Chiung yueh Hu,7 個月前,1,僅有一棵大榕樹跟青榕君小廟
徐慶志,7 個月前,5,
小魚,8 個月前,5,"首先，車子別開進來、車子別開進來、車子別開進來，因為很重要所以說三次！！
這地點最好搭配旁邊的稻田一起來才會有意境，否則跟很多廟口大榕樹是一樣的，在年末秋收之時，金黃色的稻穗搭配百年有型的大樹，的確不錯！"
詹文豪,8 個月前,4,
pin u,8 個月前,5,其實就是一棵樹 如果是喜歡大自然 喜歡拍拍照的可以去 或是順路的話也可以去拍拍照 不然不需要特地去 車停在旁邊的路邊 那時候很多人在停 跟著🤤
賴承歌,8 個月前,4,地方的小景點..路過可以看看..
西瓜超人,8 個月前,5,很有故事的地方☺️
戴辰初,8 個月前,3,不值得去
G Hj,9 個月前,4,百年老榕樹
Yayuha,9 個月前,5,旁邊的稻田也很美～
李鴻麟,9 個月前,2,
