name,setTime,star,content
和昌李,3 天前,5,
吳玉珍,3 天前,5,
Chin生活,4 天前,5,花季的時候都會管制，建議騎車前往比較適合。花況還不錯。這裡視野很好，下午三，四點來拍照很適合。
Sushan Haung,4 天前,4,
郭光哲,1 週前,4,
阿騰子,1 週前,5,
Hsin Yeh,1 週前,5,美不勝收，少有地方，好好保護
湛藍居,1 週前,5,
NA L,2 週前,5,
Rodney Long,3 週前,2,"8月初沒開花

下山的路要找一下，繞了幾個圈才出得去"
Tanmy Hsia,3 週前,5,風景很好，令人新曠神怡
JOSH liao,3 週前,5,山頂沒有樹的六十石山。讚👍很美 …
余johnny,1 個月前,4,路很陡要小心。
劉銘智,1 個月前,5,"2023.07.10 PM16:00
最高點小瑞士觀景台，午後斜射光絕美"
吳佳豪,1 個月前,5,
莊英邦,1 個月前,4,
CHEN CHUN LUNG,1 個月前,5,
林盈毅,2 個月前,5,很漂亮的一個地方，目前非花季，上山路順暢，但下山路有崩塌無法通過，如果導航導你從下山路上山的話是不通的
Alex Liu,2 個月前,5,非旺季很適合來這走走
林秋富,2 個月前,5,
王龍臣,2 個月前,5,風景秀麗!路況不佳。
大車林,2 個月前,5,
紅茶歐蕾,2 個月前,3,"六十石山的金針品種是高山金針，預計8月開，才會有炸金針可以吃喔
因為地震路段都裂了非常非常難行
雖然政府有預算編列鋪路
但店家說到目前為止都還沒開始動工
可能開始鋪路整修剛好就是花季
今年應該路段會很難走
可能明年有空再來吧

但是非常感恩店家自發性種植了漂亮的繡球花，十幾年了，六月剛好是花季，整條盛開很美^_^"
陳秋薇,3 個月前,5,
金賈強,4 個月前,5,
蔡ASUNG,4 個月前,4,
廖志財,4 個月前,5,彷彿到了瑞士超美
霖姆露正,5 個月前,5,
許豐鎰,5 個月前,5,放鬆，無憂的地方。
蔡湘庭,5 個月前,5,
柯兆群,7 個月前,5,
李佩珊,8 個月前,2,
崴廉William,8 個月前,5,
ian Du,10 個月前,5,"可以俯瞰六十石山金針花海及花東縱谷,夏日晚上還能用縮時攝影紀錄星軌的絕佳位置"
傅千娥,10 個月前,5,
蔡梅,11 個月前,5,美麗的地方，讓人心曠神怡
劉蓮,11 個月前,5,"微笑金針花海
一望無際好散步
配合花季放眼望去都很美麗
全家出遊踏青郊遊野餐休閒的好地方"
Nina Chang,11 個月前,5,
Phoenix小菲,11 個月前,5,上午上山的，剛好金針花快季末了，觀景平台上往下看風景超級漂亮的！喜歡💕下次還要再來！ …
Paul Chiang,11 個月前,5,
Su Su,11 個月前,5,遠眺遠景 景色很美，旁邊也有滿滿金針花可拍照
Janet LO,11 個月前,5,"📅旅遊日期：2022.09.11

可惜今年缺水金針花的滿開率約50%
到訪的早上突發大雨🌧，但約15分鐘後雨後天晴☀️Lucky~
附近的小店炸金針花還有金針花湯
料多實在，真心推薦😄"
Hou John,11 個月前,5,"來六十石山一定要上來，
美景盡收眼底。"
龍小軒,11 個月前,4,人太多車位不夠沒上去小瑞士.隨便拍風景真的就很美
yanyun chen,11 個月前,5,
Jenny Li,11 個月前,5,算是六十石山最漂亮的地方
Ting-Shu Wu,11 個月前,5,慶幸在地震發生前造訪
李志芬,11 個月前,5,"缺水，今年的花開的沒有往年美。
我的回憶停留在幾年前來這裡露營， 晚上在觀景台這裡看見滿眼的星河 ～太美了！ 只有夜宿六十石山才能看見的美景。"
鄭凱仁,11 個月前,4,不好停車，風景漂亮
lin daniel,11 個月前,5,
CC Chen,11 個月前,4,"真的很美
還好是花季非假日到來"
yoko,11 個月前,5,"可惜下著雨，景色不佳，但金針花開得正旺。農民們在田園詩般的田園風光中趕著收割。傍晚，雨停了，景色美極了。
撫慰心靈的絕妙療愈之地❗️"
楊明達,11 個月前,5,這個地點屬於制高點，視野特別好
Allen Yu,11 個月前,5,第一次拜訪六十石山金針花海就遇到耶穌光真的太美了，尤其前方那片綠地就像是瑞士的某一角，值得再訪
魏秀珠,11 個月前,5,天氣好時，有雲，有山，視野廣，心情頓時一掃陰霾，有如天般的寬闊
Michael Wu,11 個月前,5,風景優美！值得推薦！
monica Hsu,11 個月前,5,"沿途的九彎十八拐
終於到達一片綠油油的山坡
還有一區一區的金黃花朵
綿延數十里的花海與翠綠山坡
站在觀賞亭上俯瞰花東縱谷
吹著微風，靜靜看著這樣的景色，令人身心舒暢"
顏永昇,11 個月前,1,昨天的旅遊好心情在這裡完全被破壞了，好不容易等到了一個車位可以來這裡賞花，孩子爬到一個看起來像三角點的位置，旁邊的採花農沒有阻止也完全沒有說話，我也想到這個位置看看風景，當我快到達的時候一個年輕的採花農說我是不是沒看到他在這裡採花，我問他這裡是不是不能進來呢？我向他道歉就下來了，在我下來這時間他劈裡啪啦的罵了一大堆，我也沒跟他回嘴只是跟他說對不起不好意思，可是我回頭想想你也沒有寫禁止進入啊，我小孩子進去你也沒有阻止也沒有說話啊，後來我開車下山的時候路邊有一些花田有寫著本區沒有補助請勿進入，這就讓人感覺不是很好了，我去年去赤柯山沒有這種情況發生，也沒有看到什麼沒有補助的牌子，幾乎所有的花田都可以進入，若是不能進入人家會圍起來或是寫清楚請勿進入，我們是抱著一個好心情來觀光旅遊的，沒有必要用這種態度對待我們。
梁哲源,11 個月前,4,好美的金針花海
吳志忠,11 個月前,5,
楊宏達,11 個月前,5,風景好
張謹濠,11 個月前,5,
DAV L,11 個月前,2,金針花狠漂亮的，有申請國家補助費就不採讓它開花，沒有的需待沒開之前趕緊採收，在赤柯山、六十石山，新鮮的未烘乾的1斤100元，但需包好放冰箱，不要天天吃，它是涼性食物，較清腸胃，因此可伴以薑，麻油
Minshun Hsu,11 個月前,5,眺望花東縱谷的好地點！
小魚,11 個月前,4,聽說最近幾年，六十石山的花況都不盡理想，沒有赤科山開的多……
Chan Kuo,11 個月前,5,原來台灣有這麼美的地方，但是路非常難開，開車的人請注意再注意！
歐文,11 個月前,5,
Chia-yi Huang,11 個月前,5,
梁宜慧,11 個月前,4,超美的
徐維楨,11 個月前,5,好吃的冰淇淋
Steven Lee,11 個月前,5,
曹銓鴻（QQ）,11 個月前,5,非常漂亮值得來拍照📷 …
陳地瓜,11 個月前,4,整片有開非常好拍。
蘇小妹,11 個月前,4,
柯妹妹,11 個月前,5,風景如畫的地方
Hunter Cat,11 個月前,5,瑞士聯邦[註 3]（德語：Schweizerische Eidgenossenschaft；法語：Confédération suisse；義大利語：Confederazione Svizzera；羅曼什語：Confederaziun svizra；拉丁語：Confœderatio Helvetica[註 4]）簡稱「瑞士」（德語：Schweiz[註 5]；法語：Suisse；義大利語：Svizzera；羅曼什語：Svizra；拉丁語：Helvetia），為中歐國家[註 6]，由26個州組成[註 7]。瑞士為典型的分權自治型聯邦委員會制國家，組成聯邦的各州擁有廣泛的地方自治權力，而且瑞士的國家元首為瑞士聯邦委員會全體成員，並非聯邦總統或其他特定的人。伯恩是聯邦政府所在地兼事實上的首都，日內瓦、蘇黎世也是該國的重要城市，並且是多個國際組織的總部駐地。瑞士北靠德國，西鄰法國，南接義大利，東臨奧地利和列支敦斯登。
mic,11 個月前,4,
黃雲姿,11 個月前,4,"地景製作的很雅緻，也有創新的小巧思，還放了杯型的鞦韆很有浪漫的意境，8月底正是金針花盛開的季節, 整體感覺極美。"
吳美玲,11 個月前,5,
shih ting Huang,11 個月前,5,
廖宗能,11 個月前,5,
劉泰山,11 個月前,4,美景
Lai Maria,11 個月前,5,耀眼金黃色的金針花，看了心情都 hi 起來，山腳下還有賣 不錯吃的 炸金針花……，讚
周杰瑞,1 年前,4,好可惜今年雨水太少，沒看到各個山頭都被金針花染黃的美景
