name,setTime,star,content
峰迴路轉,1 天前,5,"路過...
再往上去桃園第一高山泰矢生山（雪白山）"
文彬,1 天前,5,
詹陵珠,5 天前,5,
黃種瑤,5 天前,4,
雪梅 Mei Chang,1 週前,5,
Zheng an-feng (阿弟),1 週前,5,泡在雲霧飄渺的紅檜長成大樹
鄭安峰,1 週前,5,群山圍繞下的小山，水氣充沛以涵養巨木，天時地利人罕至使然
陳雅娟,2 週前,5,"聖地無誤   飽覽巨木群
想再來走走 🫶"
Stanley Lin,2 週前,5,"太美了，巨木群多又密集又壯觀！且步道也重視永續發展，都架高了避免過度踩踏。

平緩相當好走，邊拍照邊聊天，走走停停來回大約5小時，中間有兩個廁所，及兩三個涼亭休息區。巨木群步道規劃的非常好👍，真不愧是上帝的部落。

單程約5.3k，慢慢邊走邊拍照，來回約4.5小時完成。全程無明顯陡坡，步道寬度平均也約有2.5個人以上寬度，相會或超車皆不用停等；路面皆經過翻整相當平緩，是CP值非常高的部落私人營運步道！

1.7k及3.8k二個廁所；高山景觀廁所！高山清潔不易，垃圾請自行帶下山！偶而水源不足，還可能沒有水可以洗手，隨身帶濕紙巾，但擦完的垃圾請自行帶下山。"
林文祺,2 週前,5,"一群不老騎士🛵😊
有機會ㄧ定要來看看
是一個很好的體驗 …"
辜蛋割,2 週前,5,平常沒運動走到巨木群真的是要累死 但是真的很值得一來 拍照也好拍
創界電腦組裝工作室,2 週前,5,
呂alumi002,2 週前,4,
周阿丸,2 週前,5,
maggie lo,3 週前,5,"上帝的部落，保有著許多傳統文化與自然資源⋯
巨木群的壯觀、水蜜桃的美味、當地人的熱情⋯
只能說：就是願意每年來親近一回⋯"
唐佩琪,3 週前,4,
王溪鬥,3 週前,4,
sc su,4 週前,4,坐車坐好遠
陳永寳,4 週前,5,
Ching-Hsuan Li,4 週前,5,
Lee Howard,4 週前,5,howard值得再次造訪
廖惟晴,1 個月前,5,可以帶狗狗去健行，很好走。
Joseph Yang,1 個月前,5,不是美字可形容！真不愧稱為“上帝的部落“！
陳冠中,1 個月前,5,
QQ比熊,1 個月前,5,
謝自哲,1 個月前,5,一生一世一定要到一次
黃滄郎,1 個月前,5,步道樹蔭多，涼爽舒適，巨木群壯觀，途中還有兩座廁所，真棒。
楊約瑜,1 個月前,5,
yao Canond,1 個月前,5,"路程有點距離
延途處處驚喜
讚嘆不虛此行"
Allie Wu,1 個月前,5,
蕭瑞聖,1 個月前,5,
吳崇勛,1 個月前,5,真的，有機會一定要跟團來看巨木群
陳教官,1 個月前,5,巨木群步道維護非常良好！
蔡英琴,1 個月前,5,
羅元鴻,1 個月前,3,
ÚI-tek LĪ,1 個月前,5,
丁肇寵,1 個月前,4,不變的神木步道 感覺已經商業化的部落
王快樂,2 個月前,5,嘆為觀止！願世世代代都能朝聖瞻仰。
Ernie Xu,2 個月前,5,
江育仁,2 個月前,4,適合家庭一起同遊的好去處
蔡順隆,2 個月前,4,
ARES hsieh,2 個月前,5,"漂亮
涼爽
芬芳
夏日好去處
停車費100元"
陶嘉興,2 個月前,5,
hao Lee,2 個月前,5,"11：00開始走
12：10分到巨木群
一路沒有停
來回腳程快的3個小時初可以來回
進去神木區 空氣的芬芳就是不一樣
都是紅檜的味道
看到YaYa神木 覺得很震撼
我們一定要好好珍惜"
roudolf chen,2 個月前,3,步道整修，未來路更適合大眾行走，但目前少了1/3路程還在封閉
蘇坤成,2 個月前,5,
wang minder,2 個月前,4,值得探訪
李國銓,2 個月前,5,
Jonathan Yang,2 個月前,5,
盧鶴濱,2 個月前,5,
zoom wang,2 個月前,4,
龔小慧,3 個月前,5,巨木古道很好走，沿途是生態非常原始的森林，有竹林，櫻花林和黃衫林及最後的巨木林，最後的巨木林古木參天姿態非凡，尤其YAYA紅檜巨木，真的走這一躺都值得了。
zoneting lin,3 個月前,5,
張超凡,3 個月前,4,
Selim Bhankaraully,3 個月前,5,
陳慶仕,3 個月前,5,
I Tang Chang,3 個月前,5,
徐恩惠,3 個月前,3,
odin chen,3 個月前,5,
鄭碧美,3 個月前,5,
劉甚伶,3 個月前,4,步道雖然很長，但是好走，看到2500年的神木被震懾很久很久...
洪乙介,3 個月前,5,巨木群宏偉，櫻花盛開，步道平易近人，適合全家人一起走走
yuan apple,3 個月前,4,超遠 感覺是非常有規劃的觀光步道 很長 但不難走 部落沒有太多其他可看的 非櫻花季來 感覺特色較少
Streifi Greif,3 個月前,5,照片無法捕捉到這些樹木的規模。有些已有數千年曆史，值得一看。一個需要注意的地方。
徐仕丞,4 個月前,5,筋疲力盡，全身疲憊不堪，難得的爬山運動體驗很棒！
翁月英,4 個月前,5,
甘明鑫,4 個月前,5,
林一鳴,4 個月前,5,
陳世雄,4 個月前,5,
Albert Shen,4 個月前,5,來回10.6k，含照相約4.5小時， 巨木很集中，有流水其中
12345 jrsm,4 個月前,5,
育伶,4 個月前,5,一輩子一定要走一次，上帝的部落
Casper Boss,4 個月前,4,"路程遙遠但看到巨木真的很驚豔，但路程不艱難很好走，只是中間有點boring因為都長一樣呵呵。
迦南早餐和木屋都很棒，比阿里山的好太多了。雲海很美"
艾石生,4 個月前,5,
呂文濱,4 個月前,5,
chun-ming Wu,4 個月前,5,舒服易到步道
陳鋒仁,4 個月前,5,
李銘洋,4 個月前,5,巨大神木 一棵比一棵大 值得一遊
CBA,4 個月前,5,
林宗霖,4 個月前,4,
曾友南,4 個月前,5,
vivian wu,4 個月前,5,非常棒的景點！建議帶著登山杖走！
莊育智,4 個月前,5,還算好走的步道，腳程快一點應該4小時走得完！
林威志,4 個月前,5,環形巨木群很好拍照路線動向也標示的很清楚 每個神木都有標示告示牌說明年份樹種非常用心
Elmo Wu,4 個月前,5,"沿路指標都改善的非常清楚
可惜非櫻花季又遇到枯水期
但是巨木群真得非常壯觀"
WINNIE CHEN,4 個月前,5,新增設的木棧道非常好走，巨木群森林療癒人心，步道沒有難度，走就對了
fOoLjImMy Chiang,4 個月前,5,來回雖10K，步道好走神木群壯觀不虛此行
Hsin-Han Wang,4 個月前,5,最美的地方
劉貴玉,4 個月前,5,
A12121 Chang,4 個月前,4,
Lunch Lo,4 個月前,5,獨特的林地，保護良好的大樹。輕鬆徒步 2 小時即可到達那裡，沿途風景優美。
Yumiko Lin,4 個月前,5,
陳重昇,4 個月前,5,
魯宏洋,4 個月前,5,非常棒，值得你去走走
小葉,5 個月前,5,"陶冶心靈的森林浴場
看著壯碩千年級別的神木散落各處
慢慢體驗森林帶來的舒暢與都市沒有的寧靜感"
陳威霖,5 個月前,5,
