name,setTime,star,content
Pin Hung Peng,3 週前,5,
蔡麗卿,3 週前,5,導覽解說很細心，展覽場地很溫馨，還有提供餐點選擇，是一個放鬆心情重點心靈的好地方
lee benjamin (李建成),4 週前,5,有深度的藝廊
廖祿民,1 個月前,4,古色古香
Wei Wei,1 個月前,4,
融意設計寶自,1 個月前,5,有畫展，有吃飯咖啡，不過要先預約喔！
Han-Yu Chang,3 個月前,5,藝術家很多
于正葉,4 個月前,1,
叁G真紀錄,7 個月前,5,一個很棒的地方
葉進榮,9 個月前,5,建築古色古香，館內裝潢優雅，展品豐富
莊宜蓁,9 個月前,3,
maymei ye,9 個月前,5,裡面有館長收藏也有特展展出，環境舒適，附近有專屬停車場，很不錯的藝術空間！
威,1 年前,5,這次經人推薦來看了張曼麗這名畫家的抽像畫展 非常喜歡他的畫風 非常獨特 在台灣很少看到像他這樣的畫作 希望下次還能看到他另外的作品
林candy,1 年前,5,
Ada Lin,1 年前,5,有著滿滿歡喜心的能量場
范小波,1 年前,5,竹東很棒的藝術館，一樓有很多奇特的收藏品，二樓是畫展區，三樓有其他畫和一些瓷器。運氣很好逛到陳嘉慧的創作畫展：自然隨想！
Esperanza Huang,1 年前,5,
胡宏全（david）,1 年前,5,充滿藝術的氛圍
周韻琳,1 年前,5,在住宅區的藝術館，有專人導覽解說，值得前來走走欣賞。
Peter Pan,1 年前,4,有理想的高品質藝術展覧空間！
梁晉蓉,1 年前,3,
吳木城,1 年前,5,驚豔  滿間的藝術品 還不用門票 接待人員不但很專業 還很客氣  感恩
CH Chao,1 年前,5,非常值得參觀！獨具風格的收藏品味
黃智淞,1 年前,5,
梁鳳妹,2 年前,5,讓人放鬆
Brian,2 年前,4,"免門票,  1F 有許多特殊物品與裝置, 2F 美術展覽, 3F 器具古物展,  值得一遊."
keisuke inaba,2 年前,5,
羅啟勳,2 年前,5,
v,2 年前,5,"裡面漂亮得不像話！雖然位在偏鄉，一進去就很震撼，原來裡面腹地大得驚人。外面還只是透天厝裡的小巷子呢！還架起二、三樓。還很貼心開闢場地當成停車場給來賓用。

裡面是藝術品的寶庫！尤其以鐵銅材質最多，收藏量驚人。請來的招待員還是國立大學生。讓人好奇品冠背後的老闆，身家有多少。"
KC Wen,2 年前,3,
grace hsu,2 年前,5,馬芳渝的畫在二樓持續展出，本以為錯過了上次的展期，沒想到今天還看得到，真是意外的驚喜。
DENNIS,2 年前,5,必須參觀竹東鎮的畫廊
Johnathan Yeh,2 年前,5,享受藝術的夢幻之地。來新竹一定要去畫廊。
Jiyun Liang,2 年前,4,
黃仁智,2 年前,3,不錯玩
Jenny Chen,2 年前,5,"不用門票
很多厲害的作品👍🏼
很有風格的一個藝術館
會推薦給親朋好友！ …"
Harvey,2 年前,5,
Crysky Wei,2 年前,5,
蕙卿jessica,2 年前,3,
許文奎,3 年前,5,
黃柏棟,3 年前,5,有很藝術品可參觀，又在簡餐、咖啡，服務又周到
canen1990w,3 年前,3,藝術作品豐富，但其實是藝廊，專門販賣藝術品的地方。
黃聰明,3 年前,5,讓人身心放鬆的好所在，漫遊藝術品的隨興、結合專業人員藝品的解說，隨著木梯卡啦卡啦的作響看到不一樣的境界！現代藝術、中國古文明～～又隨著一步步下樓後啜飲一杯手工現沖咖啡，伴隨陳總監不疾不徐道出藝術館的歷史，時而興起的微醺！夠了～～就這樣夠了！不用再多了⋯
建富廖,3 年前,5,
溫風燈,3 年前,5,藝術收藏多
鄭階和,3 年前,5,
訪客,3 年前,4,
曾子明,3 年前,4,
NE Hsiao,3 年前,5,
葉蕙英,3 年前,3,
Sekai Lee,3 年前,5,
劉家源,3 年前,4,
優命多明哥,3 年前,1,
曾文泓,3 年前,3,
官進昌,3 年前,4,
小宇宙,3 年前,4,不用門票，這是私人博物館的感覺，裡頭有周代青銅器，還算不錯看，若是文字介紹在多點，可以讓人更了解其價值，有個免非停車場，在博物館斜對面，能有這種私人可以參觀空間來說，算是不錯了。
Fang Lee (iamfang___),3 年前,5,小天地
藝禎高,4 年前,5,
孫金成,4 年前,5,
讀溢許,4 年前,4,
黃英桃,4 年前,3,
范永永,4 年前,4,名冠藝術館雖然地處邊境有些偏僻、但豐富的人文素養高尚、羽扇綸巾氣質出眾、大新竹區所有自認層次優雅的上流人仕、都會想來這裡聚會。
Giant Su,4 年前,4,
范振湧,4 年前,5,名冠藝術、藝術冠全台。
熊彦彦,4 年前,4,
顧震亞,4 年前,1,
LIU SSU CHIEH,4 年前,4,
楊華英,4 年前,5,喜歡更親近人的美藝術館，其擺式典雅，國際級畫家與藝術創作者各種不同樣貌呈現它超越和力量所在，時代即進的名畫家們時有展示創作品在其間。
猶在,4 年前,5,
陳宣竹,4 年前,5,
