name,setTime,star,content
陳素平,1 天前,5,
江王華,2 天前,5,小火車可以坐坐看
陳婉玲,3 天前,5,
Tony Lin,4 天前,5,
翁偉程,1 週前,5,
Howard Chang,2 週前,4,
LEO CHENG,2 週前,5,
徐先生,2 週前,5,
Alpha.,2 週前,3,我的整體體驗很棒，儘管我相信還有細微改進的空間。其中一大亮點是兒童迷你火車，但我個人覺得票價有點高。成人149元，小孩99元。然而，令人印象深刻的各種火車展示確實讓我感到驚訝。博物館坐落在草地上，增添了魅力。考慮到所有因素，我會給我的訪問打 7/10 分。
楊大帥,3 週前,5,
Good Leung,3 週前,4,這沒關係
Gbh Fvu,3 週前,4,
貳柒,3 週前,5,
Victor Lau,3 週前,5,良好的親子玩意。當天很熱很曬，准許我們撐著傘參與。
米寶寶,4 週前,5,乾淨，整潔，明亮，寬敞，舒適自在，放鬆
Lin Eric,1 個月前,4,
Chun Jung Huang,1 個月前,4,小孩很喜歡，到終點還不肯下車，如果能留一些跟小火車的拍照時間會更棒
衛斯理,1 個月前,5,好玩好逛好吃好喝假日高雄最夯地標。
鍾沛緹,1 個月前,5,"適合各年齡層來逛逛～
逛戶外市集建議帶陽傘或帽子噢～"
謝鎰勵,1 個月前,5,親子樂園
UWC Economics,1 個月前,5,
許展嘉Chan-Chia Hsu Mike,1 個月前,5,
Koko Cheung,1 個月前,5,很棒的火車模型值得一看。
냐하하,1 個月前,5,坐火車真是太有趣了，彷彿回到了童年。
好喜歡香蕉油的Nono,1 個月前,5,
Ofey Chen,1 個月前,4,
陳晉堅,1 個月前,5,
Cheng-Yu Wang,2 個月前,5,
蔡一修,2 個月前,5,很悠閒的景點
kk kk,2 個月前,5,
張琬庭,2 個月前,5,
燁離,2 個月前,4,
謝政元,2 個月前,5,牛
"劉惠玲（Helen, Feeling, 噹噹,小貓）",3 個月前,4,
Jh Quek,3 個月前,5,
潘玲,3 個月前,5,
SIU HANG ERIC CHENG,3 個月前,5,
sophie chang,3 個月前,5,小火車很好玩，繞駁二滿大圈的，兩個兒子都很開心，三歲以下99元還可以看火車模型展，好細緻好可愛，大人套票219
許芳瑈,3 個月前,4,
羊羊,3 個月前,3,
甄,3 個月前,5,跟姐搭哈瑪星駁2線小火車並參觀鐵道展覽
蔡志宏,4 個月前,3,好玩
蔡忠穎,4 個月前,4,小孩會喜歡的小火車
戴文俊,4 個月前,5,
David Kuang,4 個月前,5,
Man Fai Adrian Law,4 個月前,4,
程晉昇,4 個月前,5,值得親子同遊
和泳村,4 個月前,5,
Holly Li,4 個月前,5,
蔡甭吉,4 個月前,5,
劉浚銘,4 個月前,4,可看的東西很多，但夏季好熱陰涼處很少，假日人多難放鬆。
林姮妤,4 個月前,4,
HuaHsin Only,4 個月前,5,
Tian Yu,4 個月前,4,
洪金菊,4 個月前,5,
chin hsieh,4 個月前,5,
陳品言,5 個月前,5,
陳彥,5 個月前,5,
Tom Tom,5 個月前,4,乘坐迷你火車
Jiun頹廢,5 個月前,5,
Hermes Chiu,5 個月前,4,不錯
張芝蓉,5 個月前,4,
張Ray,5 個月前,5,"228連假在Klook 上的錯訂之後，駁二後續的處理方式讓人非常感動。

至於Klook 這個app的客服後續處理方式真的讓人非常傻眼，大家小心謹慎使用啊！"
Y.S K,5 個月前,3,
Justin Chen,5 個月前,4,小貨車很愜意，模型展很精緻，但有點不太夠豐富，真的是專門的模型展，其他方面缺乏。
黃湘婷,5 個月前,4,
陳miss,5 個月前,4,
李姍珮,5 個月前,5,
林妤臻,5 個月前,5,園區規劃的很好 很適合帶小孩來放電的好地方
Nina Wang,6 個月前,5,今天天氣涼爽，不會人擠人，空間很大很舒服
CHUN HUNG CHIEN,6 個月前,4,
Chuan Huang,6 個月前,5,
王陸燈,6 個月前,5,
Andrea Sng,6 個月前,5,
Roy Wang,6 個月前,5,優雅慢生活好去處
BAO A,6 個月前,5,是個旅遊的好地方
JIM TSAI,6 個月前,5,
JT S,6 個月前,5,讚！
Memo Chiu,6 個月前,5,
Tom Lin,6 個月前,5,超有儀式感的小火車
張Rosa,6 個月前,5,
孫明君,6 個月前,4,很適合親子遊戲，情侶遊玩好地方
Jimps wind,6 個月前,5,比其餘地區的小火車CP值算高，工作人員也滿盡責的
REX SU,6 個月前,4,小朋友很愛小火車，可以當小小鐵道迷
陳建宏,6 個月前,5,
王美惠,6 個月前,4,
JL YOU,6 個月前,5,
邱詩宸,6 個月前,5,覺得來駁二可以玩玩看，大人一個人150元小還有折扣，他不是很短的時間就結束，還有開了一下子，不過人蠻多的，但是也還好不會等到非常久，覺得大人小孩都很適合，都會覺得是個很特別的體驗，服務人員也都很親切，都會在周圍打打招呼，一坐上去就會瞬間覺得很有趣，真的很好玩，路上也有一些裝置造景，覺得很推推~~
錢愛智,6 個月前,5,有小火車體驗，大人150元小孩100元，繞一圈大蓋5分鍾。
張惠琪,6 個月前,4,坐電動小火車是很好玩的體驗，春節沒有固定發車時段，有車就上車，所以只等10-15分鐘左右。路線總共有兩段，沿著房子跑，可以跟路人揮揮手^_^
joe Chen,6 個月前,3,
jingle Liang,6 個月前,4,
賴嘉彬,6 個月前,3,"乘坐小火車增添樂趣,春節或假日應多開班次,減少排隊時間。"
楊鎮源,6 個月前,4,大人小孩出遊好地方
