name,setTime,star,content
hsu evan,1 個月前,4,很適合走走，漂亮
高連芳,1 個月前,4,很用心
滷肉飯,1 個月前,1,雜草叢生 步道短 小黑蚊很多 橋也斷了走到後面就沒路 真心覺得要發展的話至少先從草的部分和橋重建！
Jenny Wang,1 個月前,5,
林昊平,4 個月前,4,"2021.06.19 初訪

當初有個岩壁攀爬遊樂設施，後來好像就這樣消失了

2023.04.25 二訪

感覺草長得更高了，這次有種野外探險感，頗刺激。一開始沿著相對完善的木棧階梯一步一步向上走，中間有一小段像在叢林間 off road 漫步，渾然之間，一整片新鮮剛落的油桐花步入眼簾，鋪滿的是腳下踏過的泥濘，步伐與步伐間拈起了片片白色的花瓣，跟隨著我一起去探險。

「生命就像一盒巧克力。你永遠也不會知道你將嚐到什麼口味。」

在這段充斥著蜘蛛網的路途上，處處是驚喜，走著走著，我來到了溪旁，溪水匯集處的油桐花具的更密集了，各各漂向此處、只想將最好、最美的呈現。

似乎是盡頭的地方，往上一望，看見熟悉柏油馬路的瀝青色，腳步聲從遠方傳來。"
黃日聖,4 個月前,5,"生態極好
探險好地方"
日日通環保疏通排水管清洗水管通水管通馬桶0910766000,7 個月前,5,
歐陽峰,7 個月前,5,公務，風景宜人，
謝效中,9 個月前,4,
袁明清,10 個月前,3,
陳安琪,10 個月前,4,
宇農,11 個月前,3,年久失修，沒在維護，雜草叢生，但好處是景色還不錯，可惜了
Chih Hsuan Yeh,1 年前,3,入口處並無設立明確的指示牌，橋也沒有再維修，從斷橋邊看溪的對向，原本應該有設立廁所，但感覺已經荒廢了，步道到處佈滿落葉及蜘蛛網，應該也是很久沒有整理維護了，蠻可惜的。
劉美玲,1 年前,4,
Shuai HSU,1 年前,3,
tweed Service,1 年前,5,適合遛小孩的地方！
Brian Chen,1 年前,5,人少，僻靜，沒什麼停車空間，不過因為在野外防小黑蚊的東西還是塗好塗滿，不然會癢到懷疑人生
Chiachia Gina Chan,1 年前,3,一個不錯的地方，但很長一段時間沒有得到照顧。
Alger Lin,1 年前,4,環境很自然，但設備近乎廢棄。夏日很涼，可是蚊蟲不少
李有財,1 年前,3,"溪水潺潺！樹青草綠！
政府要維護！小孩要小心！"
吳世揚,1 年前,5,可以遇到很多生物
Eric,1 年前,3,缺乏維護人煙稀少的景點，竹橋已經損毀移除，走到步道盡頭後沒有路標指示只能回頭
Chuching Liu,1 年前,4,幽靜的步道，維護要加強。
張舜堯,1 年前,4,步道的指示較少，路程不長，有部分非常天然的路段要小心行走！
Steven chang,1 年前,3,夏天蚊子有點多，步道比較潮溼一點
Hung-Hsiang Wu (吳麥克),1 年前,5,水流清晰
chiayun lu,1 年前,3,小黑蚊很多，但可能水質不錯，被咬也不會癢^-^，但是需要整理，太多掉落的枯木還有水上漂流著小垃圾
林佩德,1 年前,5,
Chingshih Wu,1 年前,3,
劉國驊,1 年前,3,可以來走一走，步道生態較豐富。
yu-tang tai,1 年前,3,步道感覺不太有在維護了，告示牌斑駁，步道旁的草很高，請注意自身安全
駱重鳴,1 年前,5,"雖然此溪很短小
卻是生機盎然
蜻蜓和豆娘棲息的美地
陽光灑下時
景色格外美麗
暑期多雨時節
流水潺潺
特別消暑"
Steven Liu,1 年前,4,很棒的磁場能量很好的吸收靈氣，欣賞生態的戶外踏青地點～🙂 …
bbb aaa,1 年前,4,
Ling-yueh Yang,1 年前,3,告示牌模糊，沿途標示不太清楚，走起來不時會擔心是否走錯。部分路段窄小或崎嶇，需留意。整體還不錯。
楊政彬,1 年前,5,環境優美，生然生態豐富，溪水非常乾淨
Karen Chang,1 年前,5,
Ted Chang,1 年前,2,
酷猫猫,1 年前,3,"已經沒什麼在維護  設施、木棧道開始破損 溪床裡滿滿的垃圾
希望政府單位加強管理及維護"
吳明勳,1 年前,5,
張志傑,1 年前,2,步道很短 入口的不明顯 後半段橋樑已無法使用 整段路程大概10分鐘
黃芸鈺,1 年前,5,清新舒服
黃澄光,1 年前,4,大自然
汪玉英,1 年前,3,清幽的地方 聯絡相關主管機關會有導覽員解說相當不錯 小溪裡有很多的魚兒溪水清澈 也適合親子活動 有興趣不妨走走 吸收芬多精也很棒。
Jerry Wu,1 年前,5,
美食雷達,1 年前,5,"這裡可以抓到青蛙.小蝦.小魚（這裏的魚蝦都是被保護的，請勿帶回家）有許多蝴蝶、蜻蜓等昆蟲，真的是大自然生態教室，沒有商業氣息，生態保持的很好，小孩夏天可以來這裡玩水太棒了！
入口不太明顯，如果地方政府單位願意重視這裡，稍加整理一下，這裡會是很棒的夏天遛小孩的大自然地點，是人工遊戲區無法提供的。"
黃信華,1 年前,3,普普的
張人杰（小豆/190）,1 年前,3,
Angus安格斯頻道,1 年前,5,只有這張有字的地上石頭招牌及右邊一些菜園可看喔！但上面一點有立善寺大雄寶殿可看還不錯
伍瓊娥,1 年前,1,
羅明志,1 年前,3,
ewing yang,2 年前,1,
Hsini Wang,2 年前,1,已荒廢
范元駿,2 年前,4,
Arno Lai,2 年前,3,是一沿著四寮溪的小步道，可以看看溪水，也容易到溪床。步道不長，可以沿木階梯上到景觀台，只是還是在樹林中，有幾處出口可連馬路，走累了可直接走馬路回原點！
Stanley Lee,2 年前,1,年久失修也沒指示牌。
好吧,2 年前,3,來走走散步好
吳建淞,2 年前,4,夏天消暑的好地方
廖繼聖,2 年前,4,
