name,setTime,star,content
HSIN KUAN,3 天前,5,"軍事迷朝聖別錯過，陸海空退役武器大會師！在以濕地生態聞名的大園區圳頭，海軍驅逐艦、登陸運輸車、F5E戰鬥機｢中正號｣等退役軍武，悄悄現身台61線西濱快速道路高架橋下。想要體驗飛行員的帥勁或是與當年的｢沙場英雄｣近距離相見歡，走一趟圳頭里軍史公園過足你的軍事癮！

園內陳列的每一架軍武，都滿載著故事﹔扮演著捍衛台海和平要角的F5E戰鬥機，是台灣與美國共同生產的軍機，當時為慶賀蔣中正總統88歲誕辰，因此冠上｢中正號｣的名號。眼尖的軍事迷不難發現這款戰機還曾出現在電影《捍衛戰士》中。站在3米高的軍機前，假想電影中緊張刺激的空中激戰，也是旅行的樂趣之一。同樣由美國製造的還有M48A3中型戰車，在80年代時期是國軍越野戰鬥主力。一旁的海錨、螺旋葉是躲過神風特攻隊重撞但未沉沒的慶陽艦元件，當時還因此有｢幸運艦｣稱號，傳聞登上慶陽艦服役的艦長，榮升將軍的機會可以大幅提升。還有曾歷經八二三炮戰的LVT.P5-A1登陸運輸車、5吋38倍航空母艦單管砲等軍武，帶你走進震撼的戰爭史。

除了壯觀的退役軍武，公園內也存放大園仁壽宮於整修時特別留存的石獅、龍柱，並規劃兒童遊樂設施、健康步道、簡易健身器材，與橋柱上的風景、卡通等特色彩繪，構成一處舒適的休憩環境。"
游象調,2 週前,5,
19連恆德,2 週前,4,👍 …
Tyshman,2 週前,4,"<單車輕旅請進>

個人評價7分
也許自己不是軍事迷，加上年久失修，這個景點沒有特別吸引我，唯一的好處是橋下可以免費停車+防曬，是個單車出發點的秘密基地。

從圳頭公園沿路跨過新街溪乃至許厝港自行車景觀大橋，戴著耳機聽喜歡的歌，欣賞沿途的海景，很是療癒。跨過景過大橋後可以到達草漯沙丘公園，算是蠻簡單寫意的路線。"
Tim Hsieh,3 週前,4,很難得有戰車、戰鬥機的實體模型展示，周邊也有籃球場和簡易的兒童遊具，感覺是周邊社區民眾的好去處，不過可能因為在快速道路下方，灰塵較多，要是好好維護，應該是個有特色的公園
王楨程〈程哥〉,3 週前,5,地點不太好找，在西濱高架橋下，飛機大砲坦克都有，只是維護狀況不佳，灰塵很厚鳥屎一堆。橋下有一座大園仁壽宮(大廟)多年前重建時，把舊的龍柱廟門石雕等依序擺放定位，免受日曬雨淋，難得一見的尊重信仰與古蹟保存的精神值得大大鼓勵。
陳志忠,4 週前,4,"好可惜的飛機，五吋砲，泛水車，坦克車，慶陽軍艦前錨，車葉，
都蒙上了一層灰"
馬莉蘭,4 週前,3,
林玉山,1 個月前,4,
國華,1 個月前,3,
王金乘,1 個月前,3,
何奕廷,1 個月前,5,
王辰樂,1 個月前,5,
胡宏利,1 個月前,4,帶小孩看飛機
ant shen,1 個月前,4,台61橋下，旁邊有水有廁所，優良的休憩中繼點
洪育文,1 個月前,4,
帥氣哥哥,1 個月前,4,展示台灣已汰換的一些軍事武器
藍道爾,1 個月前,5,
cd ww,2 個月前,1,
史美恒,2 個月前,4,
Tim Chou,2 個月前,1,治安死角，建議加強維護遊戲設施與警察巡邏
莊麗華,2 個月前,4,
黃沛婕,2 個月前,5,真的很棒，沒有日照問題，下午2:30到這公園，好停車又有公廁，老人小孩待的好地方。
chun-wei huang,2 個月前,3,公園維護的算不好，可能也是很少人造訪的原因，但是象徵性的軍事設備很稀奇
will,2 個月前,4,小小的地方公園，有廁所停車場
Rane Lee,2 個月前,1,入口處有居民固定在這裡餵食流浪狗
John Huang,2 個月前,4,"有飛機，坦克，船艦砲，登陸艇
是退役下來的實體
適合給小朋友教學
大約停留30分鐘
場地地面有點髒亂"
許献堂,2 個月前,5,參加體育大園全民健走快樂行活動。讚……
Yu yu,2 個月前,1,環境不優！躲太陽的好地方
chong-xian Xu,2 個月前,3,
陳勇任,3 個月前,5,
vance watson,3 個月前,4,好的地方可以浪費大約 20 分鐘。一些設備可以使用油漆工作。確保您的出租車在等您。之後找到一個需要一段時間和很長的步行路程。
黃順昌,3 個月前,5,
活力學姊,3 個月前,4,戰車很多耶
謝Hsieh曉芳Dawn,3 個月前,5,
Sm J,3 個月前,5,都是警察在跑三千的地方，一成不變
林泓鯨,3 個月前,3,
鄭榮輝,3 個月前,4,
馮人安,4 個月前,3,走61想上廁所再去就好，沒有細心保存，要重上61要繞一下，最近的閘道施工中。
RED SHOES,4 個月前,5,"有飛機,坦克,船錨等展示
附近還有籃球場、散步專用步道，是個適合全家大小逛逛的好地方
有免費停車場和男女分開的公廁，很便利
逛完還可以沿着河堤到海邊看海看夕陽，好不愜意啊～"
蕭智強,4 個月前,3,免費景點 走走看看
陳茹（Milu）,4 個月前,5,
William Chiu,4 個月前,3,其實不用專程拜訪，展示品保存狀況不佳。
Jonh Michael Cruz,4 個月前,5,當谷歌給我錯誤的方向時我看到了這個
富源,4 個月前,2,
甯永吉,4 個月前,4,看看過往軍用的坦克和飛機順便也能打藍球盪個鞦韆是個不錯的場所。
Fan Willie,4 個月前,4,不錯哦
Hung Chuang,4 個月前,5,很棒
林俊豪,5 個月前,5,
賴志皇,5 個月前,5,
陳誌宏,5 個月前,4,
sy lai,5 個月前,3,適合國小以下的學生
李國輝,5 個月前,2,快速道路橋下，噪音過大，不是很好的休息地點
C詠兒,5 個月前,4,看豬鼻子沙灘意外發現，位在橋下很安靜，不怕日曬雨淋，可以近距離欣賞退役軍武，F5E戰機、M48A3戰車、兩棲登陸車、驅逐艦砲
高傳文,5 個月前,2,
洪百東,6 個月前,4,
呂玉美,6 個月前,5,"今天來的時候剛好是漲潮
細細地海風吹來 很舒服
一望無際的海邊走起來很輕鬆
好喜歡這個國家級濕地"
Alan Chang (Birdwade),6 個月前,5,好看又好玩 享受當地的象棋麻將最佳去處
洪再成,6 個月前,5,
陳安平,6 個月前,5,讓孩子了解戰地文化，場地好
KAKU樂,6 個月前,2,有點無趣
Jeffery Chang,6 個月前,3,整個公園位於高架道路，除於兒裡遊樂設施及籃球場外，也放置了報 廢的戰車、戰機... 等。可能是因為風沙大，所有的設施都覆上一層灰，觀感不佳。但停車相當方便 ，也有洗手間。
黃進雄,7 個月前,4,
李政芳,7 個月前,4,
北大,7 個月前,5,寒風大雨紛飛中，提供了一個讓我們遮風避雨優渥的好停車場，車宿在這一夜好眠到天明
Alvin Yang,8 個月前,3,看看退役的軍事飛機、戰車、船艦砲台
李宏治,8 個月前,3,看坦克，飛機，大炮
黃明貴,8 個月前,3,環境有待加強
王王爾格,8 個月前,5,
阿波陳,8 個月前,5,水厠方便，下雨天不用怕
許淑姿,8 個月前,5,
王建超,8 個月前,2,
卓志鴻,9 個月前,5,一個軍武公園在61橋下不用曬太陽
Bibby Cheng,9 個月前,4,
Ken Huang,9 個月前,4,小孩子喜歡的戰車戰鬥機都有，但風大時會有風沙
許志偉,9 個月前,4,隱身在快速道路下的軍史公園，海陸空都都有！
游俊銘,9 個月前,5,
FT Chan,9 個月前,5,小公園
sabarose hung,10 個月前,3,太髒太吵
黃亦玄,10 個月前,5,有戰車，灰機，挺酷的.
nasser Jiang,10 個月前,5,
wang遊,10 個月前,3,
李治緯,10 個月前,4,
Guava Zhang (グアバ),10 個月前,5,太讚了
江美鳳,10 個月前,2,
郭家賓,10 個月前,5,
Bernachon白嫂,11 個月前,4,
黃小胖,11 個月前,4,
Tien-shou Lin,11 個月前,4,
王信評,11 個月前,4,具歷史意義，還有橋下步道可散步或運動。晚上光線稍差，公廁清潔待加強。
ha c,11 個月前,4,在快速道路下方，就幾台廢棄的戰車飛機，沒有其他了
顏一加,11 個月前,4,適合親子，很有特色，好停車，有公廁
王阿茶,11 個月前,5,
徐茂茂,11 個月前,5,
邱為雄,11 個月前,5,清涼好地方
陳銘賢,11 個月前,5,環境很乾淨
巴哥,11 個月前,5,有紀念歷史意義的好地方，適合帶全家大小來
蔡hsin,11 個月前,4,
