name,setTime,star,content
周阿良,1 小時前,4,"太早來了    店都沒開
不過農會的茶類冰淇淋很好吃～  有茶香又不會太甜"
高文堂,11 小時前,4,茶葉之鄉不錯
王大強,12 小時前,4,
金緣投,13 小時前,5,
湯玉蓮,13 小時前,5,
小川清,1 天前,5,
Alley Lin,1 天前,4,
Walker Shao,1 天前,5,這裡的人潮已經下滑，連帶的老街不剩幾間店，僅存的有圖片中的這間甜點店，老闆人很好，甜點也很好吃，值得來坐坐。
天使魚,1 天前,3,散步賞魚的步道，護魚有成，有好多大魚
湯豐吉,2 天前,4,
林阿仁,3 天前,3,幽靜的老街，不像熱門老街這麼熱鬧，但也因為安靜，所以適合坐下來喝杯茶
李萬寶,3 天前,5,
佐丹奴佐丹奴,3 天前,5,
洪建凱,3 天前,5,
Stone Kung,3 天前,5,
賴懿貞,4 天前,5,"下坪林交流道，國中路左轉，三分鐘內可到達的老街。
以坪林的茶葉為主題，老街上滿是茶行，也有相關產品商店，例如：茶葉蛋、茶葉粿、茶葉冰棒、茶冰淇淋等等，都是傳統美味的小點心，加一瓶冷泡茶，消暑又體驗在地特產。
眾多老街裡，坪林老街算是比較沒有商業化的恬靜老街，安靜的氛圍，就像茶香，隱隱迴繞，特色獨具。"
電動車,4 天前,5,
林振芳,4 天前,4,遊客不多可以很悠閒地看茶園逛茶店品嚐包種茶！
Hsin Yang,6 天前,3,"純粹下車填飽肚子，小吃店大約3、4家左右，隨性選了一家吃茶油麵線，麵線油而不膩，茶香有到位。老街外圍也有茶莊餐廳，不一定要在老街裡選。
必須說，這裡冬天我會給3.5顆星，夏天……2.7顆，因為，這。裡。沒。有。冷。氣。
沒有一家小吃餐廳有冷氣，不是沒開，是壓根沒裝啊，鄉親們！連全家便利商店的冷氣都弱到不要不要的，不知道是不是坪林人比較耐熱？
想試試大汗淋漓，或是熱到累格的人可以夏天來逛逛，不然還是等秋高氣爽以後再來吧！"
黄家興,6 天前,5,
高德隆,1 週前,4,
熊燦輝,1 週前,4,
許立凡,1 週前,5,
黃韻華,1 週前,5,
hanhuang tseng,1 週前,4,
pika tw,1 週前,4,
David Lin,1 週前,4,
Barry Kuo,1 週前,5,
邱俊智,1 週前,5,
