name,setTime,star,content
Eric yang,4 天前,5,
FrostBid,5 天前,2,沒什麼可看的
Junch Liu,1 週前,4,晚間散步好去處～
HAPPY,2 週前,5,
wu lele,3 週前,5,
cialin hsieh,3 週前,3,
c j,1 個月前,3,
許昕豪,1 個月前,5,
Randy Lim,1 個月前,5,好的
鄭淑蓮,1 個月前,4,
孟春,1 個月前,4,
鄭梅月,1 個月前,5,
原天成,1 個月前,3,
賴paula,2 個月前,5,
Catherine Su,2 個月前,4,很多裝置藝術
劉行,2 個月前,3,就是一個有裝置藝術的人行道
郭年達,3 個月前,5,
Gbh Fvu,3 個月前,4,開放的空間
Ryan sue,3 個月前,4,
陳碧華,3 個月前,5,
律小容,3 個月前,5,美美的裝置藝術~喜歡
Louise Yang,3 個月前,3,
黃美麗,3 個月前,3,已經荒廢很久，只有幾個裝置藝術 沒甚麼人在這裡逗留
伊萊,3 個月前,4,
Chris Miao,4 個月前,5,具有設計感美麗，且適合全家大小來遊玩的美麗景點。非常推薦
Carlos Lai,4 個月前,5,沒有原來光廊的喧囂 安靜的公園一嶼也不錯
黃國慶,4 個月前,5,
邱政輝,4 個月前,5,超好
Ruyi,4 個月前,5,散步的好去處
定少,4 個月前,4,"有不少的裝置藝術可以童趣
在市區中的公園走走看看也有番風味

2015/01/03 [1ST"
劉家源,4 個月前,3,
Kevin yo,4 個月前,5,
洪嘉甄,4 個月前,5,空間廣濶又跟中央臨近，我常常會利用非假日去走路運動，順便尋寶（一類是各季的特殊花草或樹木，另一類則是抓寶可夢）。我通常是三點左右到把機車停好後先走外圍一圈再走裡面一圈，因為要尋寶所以走走停停，有時還會停下來打黑蛋，但每一趟最起碼都會超過一個半小時以上，非常省錢的健身處所讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚！
balunlun8,4 個月前,4,好的
Virginia Uy,4 個月前,5,
許文俊,4 個月前,4,
黃奇文,4 個月前,5,"112.04.01星期六到訪，很舒適很乾淨的公園～
🍎在新崛江商圈對面喔～"
Car_enthusiasm,5 個月前,1,不要像我一樣被谷歌上的評論騙了……這裡什麼都看不見！
范翔傑,5 個月前,3,
QLEAKQ,5 個月前,3,
Buzx wa,5 個月前,5,散步的好地方
ChuanYu Tsai,5 個月前,3,
張育銘,5 個月前,5,
Yu Wang,5 個月前,4,有創意的地方
Brian Hsu,6 個月前,5,
Rrr,6 個月前,4,"白天看起來只是一般的公園，有一些柱條和彩繪圖案以及裝置藝術，到了夜晚搖身一變另一個場景，將不起眼的人行道變成光輝奪目的藝術場所

整條光廊約200公尺上下，是一種充滿時代感的藝術作品，樹叢、玻璃平台、天幕、支架、廣場、立體字等等各式各樣的東西都裝上了燈條或是燈具，增添了不少神秘的氣氛，視覺不經意的會被這些聚焦的發光體吸引住，另外還有水景、藝術品、光牆都頗具氣氛，現場有很多的情侶結伴同行，變成了一個另類的浪漫的散步地點"
庭興許,6 個月前,5,
呂子芮,6 個月前,5,
陳如琪,6 個月前,4,
陳祥立,6 個月前,4,
244B 03黃耀德,6 個月前,1,"晚上別來很黑沒什麼好看的網路上照片應該都是以前的吧
好雷"
jung s (LONG),6 個月前,4,光鮮亮麗的城市隱藏著看不到的另一面
蔡金源,6 個月前,4,
周光輝,6 個月前,3,
Jeff Tsai,6 個月前,4,
LH L,6 個月前,4,
Ming,6 個月前,5,
bim 2023,6 個月前,5,
陳思益,6 個月前,5,
Big daniel,7 個月前,5,
