name,setTime,star,content
邱寅,3 小時前,5,每一個觀景台、漁港與休息區都有它美的地方！不妨停下腳步看看這美麗的風景。
鄭士浩,1 天前,5,
鄭,2 天前,5,風景優美，可遠眺三仙台，還有一望無際的太平洋，很棒的景點。
鄭瑞隆,1 週前,4,暖暖的陽光，涼爽的海風，環境非常乾淨
ching yu Hsu,1 週前,5,晚上經過意外發現光害少可以看流星雨，看其他評論照片原來白天這麼美，下次有機會經過的話要往旁邊小路下去看大海好美呀！
Lala Huang,1 週前,5,小涼亭可以休息看海一下 蠻愜意的
蔡文榮,3 週前,3,
布佬浩克,3 週前,5,
周水清,1 個月前,5,超漂亮的海岸景致
Cht Cht,1 個月前,5,戴旅客欣賞海浪.還有海邊的風景.
安羽晞,1 個月前,5,
宋武助,1 個月前,5,
Delia Cheng,1 個月前,5,
陳風,1 個月前,5,
MT Chuang,1 個月前,5,獨坐亭下，面向湛藍無際的太平洋，放空自我融入海天一色景中，進入忘我的天地人境界！
葉玲君,1 個月前,5,視野好，適合短暫休息
Mickey Huang,1 個月前,4,無敵海景，可已吹吹風很好的休憩涼亭
KUNG YA LIN,1 個月前,4,
王英美,1 個月前,5,
鬼塚玥,1 個月前,5,很棒的景點休息點，視野很棒，海風要看天空做不做美，環島，旅遊過往我必定停下休息一下。
양충림,2 個月前,5,海景優美的小涼亭！
12號張進忠,2 個月前,4,
m88 c.h.,2 個月前,4,
羅德宏,3 個月前,5,
薛靜微,3 個月前,5,看海風景不錯，短暫休息的好地方，有涼亭。
陳元晟,3 個月前,5,"發呆吹海風的好地方~
請隨手把垃圾及菸蒂帶走 謝謝！"
吳琮賢,4 個月前,3,
劉秀Sofia,4 個月前,4,往花蓮的路上經過，長濱是很喜歡的台東鄉鎮之二一。今天天氣不好沒有停留太久，停車休息個10分鐘就離開了，斜對面的民宅有開了一家新的餐廳已納入口袋名單下次再來
Kevin T.,4 個月前,5,
彭進輝,4 個月前,4,
miao hsin sun,4 個月前,4,賞海聽浪的好地方
珠珠,4 個月前,4,路過
李艾庭,5 個月前,5,
程文遠,5 個月前,4,
jackey Milk,5 個月前,5,
朱娟娟,6 個月前,5,
Hey Robin,6 個月前,5,小秘境好拍照
楊明貴,6 個月前,5,奇岩巨石美的無法形容
Jeffrey Chen,6 個月前,4,可感受大自然的美及寧靜。路邊設有三格停車位。面對大海右邊草地有隱藏的石梯可到海邊走走，但石梯年久失修，是否值得冒險請三思。走上觀景台觀賞到的風景更美。
王立維,6 個月前,5,聽海浪淘洗礫石的聲音很舒壓。
連小姐,6 個月前,5,
永仕,6 個月前,3,
別叫我阿,7 個月前,5,環島一定要來拍照留念
黃國立,7 個月前,5,
西瓜瓜子,7 個月前,5,
nita a,8 個月前,4,值得停下來 有群壯觀的礁岩 無廁
賴東邦,8 個月前,3,看海天一色的好地方。
yoyo,8 個月前,4,
fishlisa53,9 個月前,2,建議可新增廁所🚾
Jie Ge,9 個月前,4,看海發呆好地方
黃永旭,10 個月前,4,180度無敵海景
李玉琳台東推薦房仲,10 個月前,4,
0 0,10 個月前,5,超級放空
順興王,10 個月前,4,東海岸的景色都宜人，休息區沒廁所是個缺憾。
艾曼達,10 個月前,4,
Hero Chu,10 個月前,4,
蔡嘉仁,10 個月前,5,
王裕成,10 個月前,5,很適合稍作休息觀海觀浪
Fone Yang,11 個月前,5,
阿智,11 個月前,5,很美
張忠邦,11 個月前,4,看介紹説可以下去，但是因為來的時候是漲潮所以就只能在上邊看看。
黃淑雅,11 個月前,5,
Jolin Li,11 個月前,5,"風景秀麗，視野超好
吹吹海風，悠閒享受台東藍"
盧榮文,11 個月前,4,
甯世漢,11 個月前,5,位於台11線上的休憩區，是旅遊花東海岸線時，中途休息的好選擇👍 …
Tai Neng Wang,11 個月前,5,
Gavin Lai,11 個月前,4,
Yaya Hu,1 年前,5,
黃雲龍,1 年前,4,
peifang li,1 年前,5,
