setTime,star,content,seg_result
3 週前,5,不錯的遊客中心還提供遊客拓印的東西很棒,不錯 遊客 中心 提供 遊客 拓印 東西
2 個月前,5,休息一下,休息 一下
2 個月前,5,,
2 個月前,5,"***這裡不是墾丁國家森林遊樂區喔很多人都會混淆兩個地方而跑錯
這裡是墾管處的遊客中心如果來恆春半島遊玩多日滿建議在這停留一小段時間有展覽影片放映不定時會有解說志工可以認識墾丁的自然生態歷史人文等面向",這裡 墾丁 國家 森林 遊樂區 很多 混淆 地方 跑錯 這裡 墾管處 遊客 中心 恆春半島 遊玩 日滿 建議 停留 時間 展覽 影片 放映 解說 志工 認識 墾丁 自然 生態 歷史 人文 面向
2 個月前,5,志願者非常友好幫我參觀了展品並重點介紹了國家公園生態的不同景點和特殊元素兩天后當我即將離開時我很高興能順道拜訪獲得有關該做什麼和該看什麼的寶貴指導,志願 友好 參觀 展品 重點 介紹 國家 公園 生態 不同 景點 特殊 元素 離開 高興 拜訪 獲得 有關 寶貴 指導
2 個月前,5,頂級的景區,景區
2 個月前,4,"這裡介紹關於墾丁風景
也介紹了當地有名的動植物
還有人文歷史",這裡 介紹 墾丁 風景 介紹 當地 有名 動植物 人文 歷史
2 個月前,4,,
2 個月前,3,裏面有一些導覽介紹可惜已經不知道多少年沒更新了每年來都沒改變過導覽設施略顯陳舊,裏面 一些 導覽 介紹 可惜 知道 多少 更新 改變 導覽 設施 陳舊
3 個月前,4,已經期待以後能再訪墾丁了,期待 以後 墾丁
3 個月前,5,"遊客中心有服務人員
有小區展覽有餐飲有廁所
一應俱全餐廳很美目前為華泰飯店餐飲接手營運",遊客 中心 服務 人員 小區 展覽 餐飲 廁所 一應俱全 餐廳 目前 飯店 餐飲 接手 營運
4 個月前,4,服務人員態度良好,服務 人員 態度 良好
4 個月前,4,,
4 個月前,4,服務親切,服務 親切
4 個月前,2,"帶毛孩來走走 解放
館內的解說人員志工都友善

唯獨停車塲廁所的打掃阿姨
口氣不優口罩也沒戴
垃圾桶上標示不可丟回收
只不過丟了一包垃圾就被要求撿起來

最低一星..多一個給館內人員
第一次來也是最後一次Bye",毛孩 走走 解放 解說 人員 志工 友善 停車塲 廁所 打掃 阿姨 口氣 口罩 垃圾桶 標示 回收 垃圾 要求 撿起來 人員 第一 最後
4 個月前,5,遊客中心提供如此美味的小吃是一個美妙而驚喜的選擇不僅它們非常美味而且所有食材均選自當地特產有些甚至代表著當地人的文化我強烈建議大家嘗試一下,遊客 中心 提供 美味 小吃 美妙 驚喜 選擇 美味 所有 食材 當地 特產 有些 代表 當地人 文化 強烈 建議 嘗試 一下
5 個月前,3,,
6 個月前,5,,
6 個月前,5,解說的小姐很熱心,解說 小姐 熱心
8 個月前,1,"後壁湖管理處
不只地址入口錯誤上個廁所管理員還會破口大罵不要我們去
而且還會在裡面玩手遊 睡覺完全不理會我們的詢問",後壁湖 管理處 地址 入口 錯誤 廁所 管理員 破口大罵 裡面 玩手遊  睡覺 理會 詢問
8 個月前,4,"適合充實自己的地方
了解更多生態
可以觀看影片與客氣的導覽員",適合 充實 地方 了解 更多 生態 觀看 影片 客氣 導覽員
9 個月前,4,有影片可以觀賞也有冷氣可以吹人潮也不多,影片 觀賞 冷氣 人潮
9 個月前,5,"20220622

設備完善

服務人員親切

導覽人員專業",20220622 設備 完善 服務 人員 親切 導覽 人員 專業
10 個月前,5,雖然很少遊客但是冷氣很涼展場也很豐富適合親子出遊的短暫休憩點,很少 遊客 冷氣 展場 豐富 適合 親子 出遊 短暫 休憩點
10 個月前,5,,
10 個月前,5,,
1 年前,5,有很多貓貓超讚,很多
1 年前,4,,
1 年前,5,"櫃檯的阿伯很熱情的幫助我們外國遊客
The uncle at the reception counter was very helpful and friendly towards us foreigners (I dont know if he speaks English or not though)",櫃檯 阿伯 熱情 幫助 外國 遊客
1 年前,5,,
