name,setTime,star,content
Jason,1 天前,5,
劉永隆,2 天前,2,
許菲菲,2 天前,5,
鄭惠如,3 天前,4,館內舒適，有展覽和不錯的Diy
Mami,3 天前,5,
柯允,4 天前,4,一開始的設計的是「白海豚」，施工之後為何變成「蓮花台」？
李佳樺,4 天前,4,
alice Shih,5 天前,5,大安區重要景點，不定期辦活動，假日有志工值班，未來潛力股。
mn Li,6 天前,3,如果修繕完成後能妥善管理，連結附近海邊景點，應該會是很不錯的地方
林貴有,6 天前,3,沒完工的景區，只有基座，當天正好有辦活動，所以得已進入，平時一片荒涼景象
王秋美,1 週前,5,
林佩融,1 週前,5,藍天大海真美，很值得一遊
黃婉婷,1 週前,5,
張慶宗,1 週前,5,外面很美，內部有精彩展覽
Q C,1 週前,5,"初體驗，不是蓮花座啦，
向上是白鯨，向下是海浪🌊！ …"
王秀月,1 週前,5,
珍珠Jennifer,1 週前,4,
朱哥,1 週前,5,
XinYi Zhang,1 週前,5,室內有展覽，還不錯，戶外有時候有草地音樂會，附近就是海邊，可以看夕陽，踩踩沙灘玩玩水
姓格,1 週前,2,蓋一半的園區，台中有很多「盧」一半的建設。
Rich Liao,1 週前,5,
徐宏源,1 週前,3,
gali lee (鴻宗),1 週前,3,
林冠豪,1 週前,1,巨大蚊子館，根本沒啥人。不如去媽祖廟人還比較多。
## 213,2 週前,1,爛
samp sheu,3 週前,3,
黃中,1 個月前,5,
ky ke,1 個月前,3,沒有營運的蚊子館🦟，希望市府能好好運用😒 …
呂辰心,1 個月前,1,會不會等它開放時，我以入土、孩子都老了？
陳茂盛,1 個月前,3,從蓮花座建物西側的高台廣場北邊向北望或站在北汕漁港北邊道路向南望向蓮花座建物，如局部拍照的話，居間的那條大排水道感覺宛如是它的護城河。北汕溪虹橋改建完成後就又可重新從大安濱海樂園串聯至此園區及附近海灘以及往南的其他景點。路通人通錢就通，排除一切人為障礙，將此景點活化，打開封閉已久的大門，清掃内部的灰塵，擦亮建物外觀門面招商進駐，迎接休閒的人潮。
温宗翰,2 個月前,5,
Zeo Huang,2 個月前,3,"根本沒開放的蚊子館...
雖然建築很漂亮"
Moony Chio,2 個月前,3,還沒完成，目前養蚊子
宏,3 個月前,3,
李.,3 個月前,3,啥都沒有
李四,3 個月前,3,還沒有建造好的一個景點
徐步舜,4 個月前,2,
Luke Chiang,4 個月前,2,儼然成為蚊子館，回一些上面網友的話，我剛在附近完成14天教召，所以如果你看到最近有國軍在裡面完全正常，這是蚊子館現在唯一的功用了。
黃先生,4 個月前,5,很棒很有台灣文化氣息
吳羽,4 個月前,3,"鄰近大甲鬧區  而旁邊就是海邊
本來想過去走走看看
但附近全是國軍
好像靠太近也不太好😅

而且還有大包小包穿便服的人
往遠方的帳篷處去報到
感覺現在變成教召的集合地了
？🤔"
Ching-an Chen,4 個月前,4,
臭毛,4 個月前,5,
褚明倫（luen）,5 個月前,3,風景不錯，但都無人員管理⋯
蘇宏裕,5 個月前,5,
Daniel Lei,6 個月前,4,
鄭小容,7 個月前,4,"從 興建時 就一直 觀望的蓮花 昨日 特意 路過看看  底座 早已完成多年 現今 狀況

#政府已經花了6億預算在媽祖文化園區上，然而目前只有基座完成而無雕像，該園區可能會淪為蚊子館。為解決此問題，媽祖文化園區設置「雨露恩澤」和「風和日麗」兩件藝術品，期望能夠吸引人潮！

#媽祖雕像的部分，政府希望透過尋求民間捐贈來解決此爭議，目前興富發公司已表明捐贈雕像的意願，預計在""2024""年年底前能夠安置雕像•

#還未使用的園區早破敗不堪，花了6億蓋的基座遭民眾揭露，基座大樓本身關閉，要走上平台的樓梯已因風吹雨打而「黑化」，平台上原本有的裝飾園案也一片片斑駁未補，而基座本體也處處出現裂痕。至於原本規劃的類似「宮燈」或「蓮花座」造型的燈飾，有的裂開，有的因吹海風而整個都生鏽，甚至石材為主的基座平台，也在石片跟石片間長出雜草，可以說是人煙罕至，荒涼一片。

#身處風大處，爬樓梯時，連我都被吹到一直往後 ，行走困難，感覺要加點安全防護措施"
Buzz Tu,7 個月前,4,"順遊，可遠望海邊
夕陽拍照應該不錯"
GRACE WANG,7 個月前,3,"2022/12/31
到此一遊，但還沒完工
建築外觀是一座蓮花，應該是花了不少錢
（這應該不是盧秀燕市長任內所花的預算）"
江盛文,8 個月前,3,"應該是已經閒置了,沒有人在這裡管理或指引,在觀景平台上看看風景吹吹海風只能如此了"
石明松,8 個月前,4,
Robin Chen,9 個月前,4,好
Yuan Yuan,9 個月前,1,浪費納稅錢的蚊子館
Wikiss,9 個月前,5,沒有開放
范順傑,9 個月前,5,
Carolyh Lu,9 個月前,1,"海線雙港核心地區計畫???
大型蚊子館
這樣對嗎？"
封靈（被寵壞的瘋癲蠢妹）,10 個月前,5,
霹靂東東,10 個月前,5,
啊張,11 個月前,2,周圍很空曠 沒特別的地方
陳肇銘,11 個月前,5,
黃偉豪,11 個月前,4,造型很特別，今日去有軍人進駐
馬肉,11 個月前,5,遠看很像巨金怪
Wu Mavis,1 年前,5,好可惜的蚊子館
趙宇揚,1 年前,3,媽祖基座等了三年多還沒安座，儼然成為海線最大蚊子館，建築主體並不難看，只是媽祖未安座而內部也沒啟用，希望能夠盡快啟用！
NS L,1 年前,1,原來納稅人的稅金是這樣揮霍浪費的，真是情何以堪啊...
Berna Wang,1 年前,3,"到大安海水浴場，
再順來看看就好。"
老吳拖露生活,1 年前,4,
吳斜槓,1 年前,3,花大錢蓋的建築物，真浪費
ls Song,1 年前,3,還是沒有媽祖像...
Smile Liao,1 年前,5,
S F,1 年前,3,沒有開放
