name,setTime,star,content
WISH Chen,5 個月前,3,
Fen Lin,5 個月前,4,放在路旁的攤位 自由付錢買水果 桶柑也可用來走步道時解渴一下 雖然不是很甜還不錯吃
YuWen Hsieh (嚕嘟),6 個月前,5,旁邊有橘子自助販賣區XD  拿走一袋  投入100即可
張益榮,6 個月前,5,
黃金安,6 個月前,5,"體驗果園的地方，還不錯。橘子沒有說很甜，但是還可以。
兩大一小，外帶了快 4 斤橘子，老闆收 350，應該是 3y5m 的小朋友也有收門票吧。
階梯很陡，運輸農機的軌道沿著階梯，所以要小心跨越，因為有潤滑油。"
陳沁芸,6 個月前,5,好吃好玩～
劉澤範,6 個月前,5,老闆非常熱情 橘子吃到飽 好吃
林秀真,7 個月前,2,
張子元,7 個月前,3,橘子甜度普通，橘園地勢陡峭。
亮哥,1 年前,5,請問可以來這裡抓鍬型蟲嗎
lion 988,1 年前,4,
YanYuZheng,1 年前,4,桶柑樹的高度剛剛好可以給幼兒園的小孩摘，可以邊摘邊吃（很甜），吃多少都可以剩下的再秤重算錢；山坡很陡要小心，還有老闆的台車軌道有潤滑油要小心別沾到。停車可以停路邊但是路有點窄，洗手間要請老闆開鐵門。邊爬坡邊摘邊吃讓小孩很快就放完電
Chilles77 Liao,1 年前,5,"超好吃的桶柑❤️
意外發現的山間小路上賣桶柑的小攤子，買到超好吃的桶柑，雖然沒有亮麗的外表，但回味無窮、吃一顆意猶未竟的美味！讓我再次前來購買！
第一次買的時候老闆不在，採全自助式購買，挑選好你購買的數量，將費用直接投入塑膠水管內，還蠻有趣的👍🏻
這次來老闆親切招待，介紹產季到5月❤️ …"
黃士倫,1 年前,5,
樂樂,1 年前,5,風景優美，桶柑好吃，老闆親切~
Gina Chia,1 年前,4,一袋100元（約10-15顆），橘子算甜，因為要爬山只買了一顆秤斤要25元；有點貴；有開車的可以去裡面走走，入園費100元，橘子隨你吃，走的時候還可以帶一斤橘子走
Tino澍Tino澍,1 年前,5,有意思的特色柑園。
樊錦杰,1 年前,4,
林瑞全,1 年前,5,北投特產桶柑，偏微酸帶甜，風味佳，價合理，好吃喔
LP 10KG,1 年前,4,帥呆了 自助式 自己拿
丁小頎,1 年前,5,
謝承澐,1 年前,5,老闆人很好，橘子很多很甜
陳惠妤,1 年前,4,老闆人很好又很親切，而且每一顆椪柑、桶柑都長得很好(可見老闆是多用心在照顧)，不過要去採的話除了要和老闆聯絡外最好帶登山杖(因為上下去比較難走)
Queen Yang,1 年前,5,開車經過的小夜景👍不錯 …
Zishen Yang,2 年前,5,
陳立哲,2 年前,5,
TATSU HSU,2 年前,5,可採菓的秘境
杜春惠,2 年前,4,
陳進益,2 年前,4,偶而當農夫也不錯，努力吸一口新鮮空氣
Anson Peng,2 年前,3,上下太抖了，其實提戰利品非常不方便
唐玉蓮,2 年前,4,
Martin Chang,2 年前,4,"不錯吃！2021/02/04,一路賞櫻花，吃甘味橘！😋 …"
康kang,2 年前,4,地形坡陡太小的小孩不建議來採，背小孩的更是不建議，危險。
張阿政,2 年前,4,"可以採摘橘子，只是坡道陡而且土滑，又要閃充滿潤滑油的軌道讓小孩子直呼可怕和叫不要~看到好幾組人跌倒。
但在這裡空氣不錯，步調也令人放鬆。"
Kent Hung,2 年前,5,
Ta-Chun Chen,2 年前,5,橘子很多也不錯甜
甘佳琪,2 年前,5,"老闆非常親切
桶柑好吃
風景佳"
fiona chen,2 年前,5,"老闆人很nice，一到五需要預約
六日開放不用預約，爬坡陡峭，慢慢爬
小孩健行+採橘，橘子好吃，行至橘園上面風景緻麗，北投站公車小6可到"
寧,2 年前,3,"採橘子的路上很陡～
建議找個好天氣再去喲！

IG: ccccp.food"
Lon Lv,2 年前,3,很棒的強迫消費
施凱傑,2 年前,5,坡有點抖，建議帶個不要的破布，上下山時很好用
曾怡潔,2 年前,4,
蔡阿堂,2 年前,4,
吳永全,2 年前,5,舒適
黎藝,2 年前,5,
王建勳,3 年前,4,很多小路都是私人土地，經過時要多注意
鄭淑禎,3 年前,4,開放採果季節時，果園外的路邊，設有無人良心攤位（得來速的概念），每袋桶柑100元，買者自行投錢至“特製機關內”，桶柑品質好吃滿分。
林小羊,3 年前,5,
李淑菁,3 年前,5,有機農場，讚讚讚
Jan Lee,3 年前,4,很棒的採橘子體驗，老闆很熱情。由於我們最後一批客人。老闆所幸把沒賣掉的超大根菜頭還有一堆小菜頭直接送給我們。讚👍 …
平金蓮,3 年前,4,
FangTzu Wu,3 年前,5,
Lawrence,3 年前,5,水果很甜但不死甜，園內乾淨，經營用心，很棒的地方
李建源,3 年前,4,
Bing Hung Lee,3 年前,4,
Wilson Liu,3 年前,4,橘子好吃無籽，有蟲蟲去前要噴一下防蚊液
I Chia CHANG,3 年前,5,"老闆很親切，山坡有點陡, 小朋友要小心. 採果還可看風景"
Crazy Dolphin,3 年前,5,好吃的大屯桶柑
musa Muhammad,3 年前,5,"值得體驗一下不同的翻山越嶺採果樂
老闆親切，物超所值👍
花個小小小錢，新鮮橘子讓吃到撐破肚皮😋 …"
徐文桐,3 年前,4,
詹苡暄,3 年前,3,
Tony Tsai,3 年前,5,很自然的果園，人很少，老闆很親切。可以悠閒的採果的地方
德瑞克的山林足跡,3 年前,3,
許智通,3 年前,3,
李謙誠,3 年前,3,
胡啟鈞,3 年前,3,
Cheng Chloe,4 年前,5,
Wenkuang Chieh,4 年前,5,位在台北市的農場十分悠閒，還可遠眺台北孟地夜景，風景怡人治安良好。
Kinght Cross,4 年前,4,
花志忠,4 年前,5,
