name,setTime,star,content
Gary Huang,4 天前,4,散步的好地方
Hoi Phan Kim,1 週前,4,非常好
李宗欽,1 週前,5,
游崇賢,2 週前,2,
Su Li,3 週前,3,
陳建榮,1 個月前,4,
林獻隆,1 個月前,5,
Hensan Chen,2 個月前,5,
志勝蔡,2 個月前,5,
文小泓,2 個月前,5,
chen亨,3 個月前,4,
美惠,3 個月前,3,運河邊的生態公園，渺無人煙，鳥類繁多，散步看河面倒影也是不錯
龔恭明,3 個月前,4,
小辣椒,4 個月前,3,
林美杏,4 個月前,1,狗便多
林建鏵,4 個月前,3,就算是大熱天，還是可以感受到徐徐涼風吹來，美中不足的就是有陣陣尿騷味還有許多蒼蠅
Jasmine Chang,4 個月前,3,河邊散步不錯 但女生晚上要小心 有常駐流浪漢 而且河流後面很臭
周信雄,4 個月前,4,
Borg Chen,4 個月前,4,環境維護有待加強，人少，旁邊有停車場蠻方便的
Eric Huang,4 個月前,5,
阿賴A-Lai,4 個月前,5,
熊豫,4 個月前,5,散步放空的好地方
最愛慧邦,5 個月前,5,風景很美，河裡很多魚，帶小朋友去溜溜很適合
Bens Wang,5 個月前,3,
林瀚埕,5 個月前,5,非常好的生態公園
吳協性,5 個月前,2,
Owen Cheng,6 個月前,5,
黃裕銘,6 個月前,3,
王建程,6 個月前,3,"臨安橋下
周圍都是一些丟棄垃圾
空氣散發不好的味道"
51,6 個月前,5,
蔡坤隆,7 個月前,4,大樹一顆，樹下乘涼，有椅子二三可休憩。
顏誠,7 個月前,5,
洪秋梅,7 個月前,5,
Razor C,7 個月前,4,"運河旁邊的小公園,運河可以映照出旁邊大樓的倒影,蠻漂亮的"
琪小琪,7 個月前,5,
NewKai,7 個月前,5,
Henry Wang,7 個月前,4,
鄧老二,7 個月前,5,
陳建强,8 個月前,3,有司機大哥在此小號，煞風景
LIN KC,8 個月前,4,"是偏荒涼的草地
適合散步看河中倒影"
王俊傑,8 個月前,4,
Abby Yang,8 個月前,4,
方信文,9 個月前,4,環境很不錯，只可惜池子的水少了點
FALKEN,9 個月前,4,河岸風景超漂亮
許素娥,9 個月前,4,
陳村村,9 個月前,3,
楊小渝,9 個月前,4,河岸邊風景很漂亮
烤.玉米,9 個月前,5,
陳布布,9 個月前,3,
陳小彥,9 個月前,4,河畔風景很美，對岸兩棟金融大樓，隨手拍拍都是明信片的美景，很可惜河岸步道很短，步道樹蔭也很少
星空下的我,9 個月前,3,
張芳昭,9 個月前,3,
SHU HAO,9 個月前,5,
洪永祥,9 個月前,5,
博,10 個月前,5,上午到台南運河周邊散步覺得蠻舒適的
Gordon Kao,10 個月前,5,可以申請下水划SUP
wayne teng,10 個月前,5,夕陽風景無限好！划獨木舟或立漿下水點、但記得先掃QR Code噢！
麥宜國,10 個月前,5,SUP的下水點
小水滴,10 個月前,5,
Papa Jay (小豆子),10 個月前,5,講解專業風趣
黃皓杰,10 個月前,5,很棒的SUP下水點、還有停車場。
勇仔,10 個月前,5,
Wei-Li HSIA,10 個月前,5,
Kenny Hung,10 個月前,4,台南市區中心位置的大涼生態公園，位於台南運河轉直角處，是市區精華地段不可多得的休閒綠地，更可就近觀賞小魚、白鷺鷥的野外生態，也是電影 “總舖師” 的取景處。
Cynthia,10 個月前,5,
ab cd,11 個月前,3,
淵老爺,11 個月前,3,沒什麼樹，太熱了
郭由昌,11 個月前,3,
Oris Ooh,11 個月前,4,
韓森,11 個月前,4,很安靜的地方
Dondon Huang,11 個月前,5,夜景好美
Angelslover Jiang,11 個月前,1,
鄭南宏,11 個月前,4,運動&散步的好所在...🤗😘😍 …
Oris Ou,1 年前,5,
莊帛硯Boyce,1 年前,1,狗太多了
林耿龍,1 年前,3,
晁瑞光,1 年前,4,這地方悠哉的看運河風景挺美，且沒有吵雜的人群。
吳小雨,1 年前,4,
麻雀（麻雀）,1 年前,5,
李彥德,1 年前,3,
白麝香,1 年前,5,
張崇泰,1 年前,4,
世明黄,1 年前,5,不錯給人散步風景區
陳阿榮,1 年前,4,清幽清幽
文碩郭,1 年前,5,
洪宸珦,1 年前,4,附近有許多停車位，也有人在湖邊釣魚
陳晏隆,1 年前,4,
陳志忠,1 年前,3,
葉尼克,1 年前,5,
張耿淦,1 年前,3,
