name,setTime,star,content
許嘉宜,16 小時前,4,
林秀英,3 個月前,4,從新嶺步道上到大湖頂山，再到405，大約40分，下山更快。這裡群山連綿，可到大榕樹，鶯歌石。現有熱心人士舖設輪胎，把道路變好走了。走在其中，可看到山月桃花開，全景還保有原始風貌，真是難得。
李志偉,4 個月前,5,相當親民的路線，繼續往上走30分鐘內就可以到達大棟山405高地
王俊儒,7 個月前,3,登上了大湖頂山，山頂無展望。
Smile Liao,9 個月前,5,
謝俊界,10 個月前,5,爬山健行好路段
YONG JHEN CHEN,11 個月前,5,
Danny Tang,1 年前,4,"好爬的郊山
從產業道路往上6分鐘可到
屬桃園市龜山區"
姜心媛,1 年前,5,小郊山步道拉繩路況，都整理的很棒
鍾松財z19651016,1 年前,4,步道維護的很好
Eddy Lu,1 年前,4,
Ed Tsai,1 年前,4,大湖頂山，標高242m，山頂為一處小平台但無展望，有一建設廳礦補2103號基石。自兔坑產業道路過來雖一路陡行但不用10分鐘。續行則可到大棟山405高地。
江碧珍,1 年前,5,"這是我的最愛，在此種菜，堅持不灑農藥所以有很多生態這樹蛙是在我菜園拍的，3,4月又是五色鳥築巢的季節到處都聽得到五色鳥的叫聲，藍鵲成群"
Shiang Chi Chen,1 年前,5,
bart Yuan,1 年前,5,優質步道，輕鬆好走
陳鶯諄,1 年前,5,
Scott Kang,1 年前,4,
jack chen,2 年前,4,好走的步道
HUILING SUN,2 年前,4,
林崧期,2 年前,5,
謝東海,2 年前,3,
yangKai Liu,2 年前,4,路程輕鬆有樹蔭。山頂無展望。
Anne Wang,2 年前,5,
shengder,2 年前,4,好走的一條山徑，可以從新嶺山步道開始沿著大湖頂山、大棟山、馬頭厝山、馬頭尖、東嶺頂山、新朝嶺山走一圈O型回來，這樣走一圈收集基石約3個小時。接近大棟山時遇到一隻很親人的小黑狗，身上很乾淨毛黑到發亮，應該有人養不過沒有項圈，可惜手邊沒有零食可以給牠...
阿風,2 年前,4,
李詩鎮,2 年前,4,山不高遮陰佳很舒適的步道
John Hsieh,2 年前,3,龜崙嶺山區景觀資源豐富，區公所朝都會公園發展的構想，但都會公園太過人工化，龜崙嶺山區地勢陡峭並不適合，且以此地的景觀而言，可比觀音山、八卦山，但此兩地現在是國家風景區。而且本區是跨縣，不論都會公園或國家風景區，主管單位都屬中央，龜崙嶺山區長遠的發展應有國家風景區層級的思考，可對開發進行限制，本區現在雖大多為山坡地保育區，但濫挖濫建相當嚴重，以大棟山路這一段而言，從90年代至今，已多了10間廟，2條路，2家土雞城，2間住宅，這些還要附帶廣場或停車場，對環境產生很大的壓力。
Chen tonychen,3 年前,4,風景不錯 值得一遊
chu chucrafts,3 年前,3,路徑清晰
黃百韜,3 年前,5,
pei wang,3 年前,4,運動休閒活動好地方
卓怡君,3 年前,3,
miku protozoa (米沽),3 年前,4,大凍山附近有多條步道可互相連接，現在民間登山人士多有做一些指標，但因路線連來連去，建議還是事先看一下附近的步道路線圖。路況寬敞，坡度不大，多在林蔭中行走，昆蟲植物等生態豐富，夏天需預防蚊蟲，蚊子多。
榮富,3 年前,5,
明陽,3 年前,3,
曹志淵,3 年前,2,
高美惠,3 年前,5,平易近人的小山頭，没展望，四周雜林遮蔭，步道寬闊好走，離大馬路不遠，適合全家大小散步踏青。
張銘杰,3 年前,2,
許國男,3 年前,3,"這個景區的 標示牌，景點指標圖比較缺少 ，又山上的路線分叉路特別多，如果沒有當地人可以問，你一定會迷路的。
這個是個人的一些觀點。
供你參考。"
洪嘉勝,4 年前,4,
陳金裕,4 年前,4,
黃祐祥（Pak Huang）,4 年前,4,郊山步道，樹蔭下涼爽，值得一遊。
hope ho,4 年前,5,很舒服好走的山林步道!
鄭松茂,4 年前,5,路邊山頭
劉敏川,4 年前,4,以前有去過最近沒去也不知道先況如何但以以前的感覺是很好環垸優美。
Chingpo Cheng,4 年前,3,
鍾建旗,4 年前,5,風景優美
CST H,4 年前,5,
林正沐,4 年前,5,台灣百岳中的～大棟山(龜山新嶺入口)
chen yc,4 年前,4,
Jue-Chi Chang,4 年前,4,多年前這條往405高地的稜線山路，甚少人走動，這二年龜山新嶺里發展協会有心人士用心有陡坡處拉線整階梯，已成為一般人都能安全健走的優質稜線山路～
Carlos Wang,4 年前,4,這裡很天然，可以天天來走走。
周竟成,4 年前,2,
chi-hong wu (Letter cases wu 吳信宗),5 年前,4,
文念慈,5 年前,4,路徑清楚，可由大棟山經大湖頂山，走到桃園龜山。形成樹林到龜山的縱走。全程都在山區，約一天的行程。
張勇為,5 年前,1,
Chin-Yi Chu,5 年前,3,"大湖頂山,,礦務補點,礦補第2103号, 342m"
