name,setTime,star,content
陳虹妤,2 小時前,5,
陳金省,15 小時前,5,很不錯，溜小孩的好地方，跟本玩瘋了。
陳緯忠,15 小時前,4,
王政中,1 天前,5,
吳志元,2 天前,5,
John,3 天前,4,
張榮勝,4 天前,3,
Jerry Cheng,5 天前,4,
Vince Chung,6 天前,5,很棒的公園環境，也盼請各位來走走的朋友們隨手帶走你的垃圾，共同維護環境清潔！
popo po,6 天前,5,中等大小公園，有蠻特別的滾輪溜滑梯，樹木不少，也有廁所，小溜滑梯旁邊就有洗手檯，算是一個帶小朋友放電不錯的地方
楊玉玟,1 週前,5,
cllotinhy hsu,1 週前,4,佔地面積大，有穹頂球場、廁所、兒童遊戲區等
黃泳嘉,1 週前,4,
fai hsu,1 週前,5,是個運動的好地方
Ngoc Thao,1 週前,4,公園裡面樹很多夏天來很涼
Dale Chen,1 週前,4,
葉富田,1 週前,5,公園很廣大 有兒童玩樂器材 還可以運動散步 環境整潔漂亮
DONOVAN HONG,1 週前,5,
洪靖宜,1 週前,5,
咪阿,2 週前,5,"腹地號稱萬坪
每次到此一遊都有種這就是人生的感受，著實有幸福感。
綠意盎然、花木扶疏、春天還有櫻花，家長遛小孩超適合，一眼望去小孩都能在你的視線，很安心
我不推薦，我私心要把它當作我的後花園"
嚕Phone,2 週前,5,假日好去處，閒逛，蹓狗好地方
邱賢科,2 週前,4,
勝勝社群行銷,2 週前,5,
Stacey Tober,2 週前,5,
戴逸蕙,2 週前,5,
EASON CHEN,2 週前,4,
和泳村,2 週前,5,
蔡慈慧,2 週前,5,
Esther,2 週前,5,休閒娛樂場所，空間大，適合全家大小來走走，還有機會看到松鼠
翁浩程,2 週前,5,
簡嘉信,2 週前,5,樹有樹名，增廣見聞
陳秋燕,3 週前,4,
李阿榮,3 週前,5,
WenChan Chiu,3 週前,5,
07呂慶智,3 週前,5,
賴盈辰,3 週前,5,
cheng hao huang,3 週前,4,
劉興堂,3 週前,4,
鄭西風,3 週前,4,
Hsueh Ting Pan,3 週前,5,公園很大，設施超好玩的
江郁柔,4 週前,5,"空氣清晰、乾淨整齊、環境很chill👍🏽
超大的公園，一大片綠地和樹木有身處大自然的愜意，選擇天氣不錯時來野餐感覺也很不錯。
走道很多，喜歡散步者的好選擇。
空間規劃的也不錯，有公園、涼亭、坐椅等公眾設施，還有完善的排水系統。
冬天風較大，會比較冷。
最喜歡帶寵物來這邊❤️"
汪易丞_地產獵人說（househuntersay）,4 週前,5,很有森林感覺的公園
古兆恕,4 週前,3,樹蔭蠻多的，小孩子玩的很高興.
朱志培,1 個月前,5,"比一般公園大
裡面有比較特別遊樂設施
還有座橋
跨越國道
有屋頂的籃球場"
鄒學凱,1 個月前,5,地大樹多設施多，非常適合帶小孩來放電
張玉香,1 個月前,5,
林徹,1 個月前,5,空氣品質算優，太陽直接照射的部分，有樹分擔，熱氣上升有土有風可解。
林志川,1 個月前,4,
葉順隆,1 個月前,4,
鍾玉梅,1 個月前,4,
邱奕傑,1 個月前,5,
Suhsun Wu,1 個月前,5,
阿和,1 個月前,5,
Kelly Chen,1 個月前,4,
Joanna,1 個月前,5,
朱仔生活,1 個月前,5,比一般公園，有些遊樂設施不一樣
翻轉俱樂部,1 個月前,5,比一般公園大，有些遊樂設施比較不一樣
ธวัชชัย เขื่อนสอน,1 個月前,5,綠油油的草坪，綠樹成蔭，適合各個年齡段，散步，跑步，拍出美美的照片。
陳韻鈴,1 個月前,5,停車位多，有遊樂設施
Aicilef,1 個月前,5,公園大，廁所方便，好停車。
夜雨熊（熊仔）,1 個月前,5,
胡國正,1 個月前,5,
林治威,1 個月前,5,
呂曉玲,1 個月前,4,場地寬廣，草地樹木交錯，遊樂設施也不錯玩，是個非常有水準的好地方
趙承朝,1 個月前,5,
孫淑美（Carol）,1 個月前,5,
北大一哥,1 個月前,5,規劃很棒的公園，不管散步，跑步都是很棒的地點！
李其霖,1 個月前,5,
宋惠凉,1 個月前,5,
吳旻翰,1 個月前,5,
steven yeh,1 個月前,5,
陳運承,1 個月前,5,
趙淑君（C.C）,1 個月前,5,
孫瞳,1 個月前,5,公園佔地很廣，不過停車很不友善。
Mini妤,1 個月前,5,
德琺,1 個月前,5,"帶小孩放電的好地方
🔺防蚊液一定要"
林彥伶,1 個月前,5,
yu hsu,1 個月前,5,
就是那麼強悍NO,1 個月前,1,一堆蒼蠅 超多蒼蠅 無敵多蒼蠅
雅君廖,1 個月前,5,
Alex Chuang,1 個月前,4,
豬大王,1 個月前,5,秋天時候公園很漂亮🤩 …
mark C.C,1 個月前,4,"橞花棋盤腳
地點：大溪埔頂公園
時間：7/8晚上
白色的花全開 粉紅色的花 含苞待放
運氣好可以看到天娥覓食"
熙嵐阿邁,1 個月前,4,
陳傳旺,1 個月前,4,
Tsai Ming-Ye,1 個月前,5,
宋靈芝,1 個月前,5,
黃依棟,1 個月前,3,空間廣 放輕鬆 隨你走 很休閒🥳 …
呂淑妃,1 個月前,5,感謝鄭市長用心，把這裡整理非常棒~值得一看在來玩……
小薇,1 個月前,5,"花名：橞花棋盤腳
日期：2023/7/2
地點：大溪埔頂公園
等不到花全開，卻等到雨神來
所以有點可惜"
sin,1 個月前,5,
王琳傑,1 個月前,5,
打雜的,1 個月前,5,公園非常大，很乾淨，適合任何人來運動散步遛狗
范茵茵,1 個月前,5,
William Chang,1 個月前,5,"寬廣舒適的親子公園，很適合散步跟遊樂，廁所也大致乾淨。
但小缺點是雖說是親子公園但廁所沒有看到尿布台，有待改進。"
bessel huang,2 個月前,4,"不擁擠，視野良好。冬末前往,樹葉變色,更是美"
邱觀彥,2 個月前,4,
Chih-chiao Lee,2 個月前,5,
Bless Star,2 個月前,3,
李明昌,2 個月前,5,非常喜歡
王麗芳,2 個月前,4,
EVAN HSU,2 個月前,5,環境乾淨 整齊 適合散步
Hexane Chang,2 個月前,5,
郭政鴻,2 個月前,5,公園面積大，樹蔭多，走起來很涼爽。有許多親子遊具，是一個大人小孩一起遊玩的地方
淑平林,2 個月前,5,
Anita wang,2 個月前,5,
吳文琪,2 個月前,1,"超級爛的公園⋯
不能騎腳踏車？
有設帳篷區結果搭個遮陽帳篷也不行？
請問是設心酸的嗎？
什麼都不可以是要叫什麼公園？"
黃奎勝,2 個月前,5,
彭振,2 個月前,5,
黃湘茹,2 個月前,5,有沙坑，滾輪溜滑梯🛝、盪鞦韆、遊具，也可以野餐，騎滑步車，讓小孩放電的好地方👍 …
yuchueh chou,2 個月前,5,
long Kimchi,2 個月前,4,
Elsa Tseng,2 個月前,5,休閒運動娛樂的好地方
Peter Huang,2 個月前,5,
楊唯俊,2 個月前,4,
簡宏霖,2 個月前,5,
vickey yen,2 個月前,5,"樹很多不會太熱～但要帶防蚊液，過條馬路就有小7，附近還很多賣雞蛋糕蔥油餅之類的解饞点心
遊具有更新"
chien hui chen,2 個月前,5,適合兒童運動
牙齒好痛,2 個月前,5,
鄭君龍,2 個月前,5,"第一次騎車到大溪的第一站😊
早上9點多來的，人也是不少的
很漂亮的公園👍👍

很大又遼闊空氣清新，很多地方都是絕佳的拍照地點，來這裡散散步真的很不錯❤️

遊樂運動設施很多，就算是大人也可以玩的很開心唷~❤️"
余昱頡,2 個月前,5,很大的公園，遛小孩又可以看高速公路的全心體驗
張sa,2 個月前,5,"地方超大  廁所方便也超乾淨
周邊停車位多"
森光亮,2 個月前,5,
杜順安-宥璁-宥綸爸爸,2 個月前,4,
Yiyu Huang,2 個月前,5,
蕭美蓮,2 個月前,5,
Min Yu CHIU,2 個月前,4,
呂富振,2 個月前,5,
明,2 個月前,5,
謝財麟,2 個月前,5,
吳寶寶,2 個月前,1,"這是我人生中遇到第一個最爛的公園
🙄不能騎腳踏車！！
🙄不能用野餐墊！！
🙄不能搭遮陽帳！！
🙄沒下釘也不行哦！！
什麼都不行到底叫甚麼公園真的很無言==
以後死也不會來！
浪費我一個美好假期！
想來得人請三思！！"
王年發,2 個月前,3,前後設施差異大，夜晚燈光不足
正（ccccc）,2 個月前,4,
Lynn Yan,2 個月前,5,綠蔭許多、步道也規劃的很寬敞，這裡十分清幽，適合家庭來野餐、帶著孩子來遊樂設施玩耍、情侶來吃早餐散步，在日常的週末裡替身心靈來一場靜心的公園踏青之旅。
劉欣和,3 個月前,4,規劃完善的休閒好去處
Sa Sa,3 個月前,4,漂亮
楊惠茹,3 個月前,5,空間超大～小朋友不會爭先恐後搶遊樂器材
房地產相關業務_哈比,3 個月前,4,地方寬廣，綠樹草坪都很大。讚
林宥騰,3 個月前,4,恬靜~悠美~
張春暉,3 個月前,5,
APTX4869,3 個月前,5,👍 …
Daniel Haung,3 個月前,5,五甲多地遼闊的公園，環繞埔頂公園有許多步道，以及各種運動設施；天幕籃球場完成後，尤其適合各類健身運動和休閒活動。此外園內花樹繁多賞心悅目，活動空間充足，經常到公園走走，樂活又健康！
Mei-Ling Kuo,3 個月前,3,很大的綠地公園，適合散步。有一些溜滑梯設備。
FRANK LIN,3 個月前,5,很棒的公園
黃立靖,3 個月前,5,大溪埔頂附近居民散步休閒好地方
李秉翰,3 個月前,5,
