name,setTime,star,content
yusiang,6 小時前,5,
劉秀杞,21 小時前,5,讓碼頭成為一個休閒愉樂的地點真的是一個不錯的點子
劉韋志,2 天前,3,
Hung Money,2 天前,5,
錢伍佰,3 天前,4,
張小文,3 天前,5,被大稻埕，這3個字，吸引直接進入眼簾，哇塞！
回憶總是最美,3 天前,4,
Hsin-Jui Hsiao,3 天前,5,
Sophia YH Liu,5 天前,5,
Queenie li,5 天前,5,我覺得很棒👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
Kai,6 天前,5,夏天中午太熱了，建議快傍晚的時候再去
C.C L,6 天前,5,
YM&KT,6 天前,4,"七夕情人節 大稻埕的煙火秀很好看
有歌手駐唱 現場氣氛熱鬧
唯獨動線管理不佳 散場擁擠堵塞
場地因雨泥濘不堪 易造成事故"
徐慧鴻,1 週前,5,
林淑卿,1 週前,5,
Zen Eric LIN,1 週前,5,煙火節超棒
呂凱芢,1 週前,5,風景很好。適合散心的好去處
Julio,1 週前,4,大稻埕碼頭從民生西路底進入就是5號水門，𥚃面有貨櫃市集啤酒吧。旁邊的迪化街商圈的夜晚會變得更好玩；白天穿縮迪化老街、買南北雜貨、喝下午茶或咖啡，吃點路邊小吃，傍晚時分來到大稻埕碼頭看夕陽夜景、夜晚吹吹涼涼的淡水河風，享受大稻埕碼頭貨櫃市集的熱鬧氣氛、音樂，有咖啡、啤酒，也有各種異國小吃聚集，適合全家大小，扶老攜幼全家一起出遊的景點。 …
SK Weng (SK),1 週前,5,不錯，蠻有感覺的
敏敏,1 週前,5,
洪健洲,1 週前,4,風景佳 氣氛好，可惜還是有些黑蚊，能夠整理更乾淨一點
葉昇暐,1 週前,4,
張凱評,1 週前,5,看煙火的好位置
黃再興,1 週前,5,
Shafamanda 234,1 週前,4,
infinity light,1 週前,5,
Barry Kuo,1 週前,5,
傑西,1 週前,5,
蕭世璋,1 週前,5,
陳阿文,1 週前,5,
Ryan Lin,1 週前,4,很多人存在的地方
G H,1 週前,3,
施淑娟,1 週前,3,
陳Miss,1 週前,4,煙火棒棒
Walt Tsai,1 週前,3,
詹靜臻,1 週前,5,"8/16今天晚上是大稻埕煙火倒數第二次施放，我也來湊熱鬧人潮洶湧呀！

7/1~8/20在大稻埕碼頭有夏日節活動，今天是第一天我想人會比較少，沒想到人比預想的多，大約17:00到晚風吹來很涼爽，播放的音樂好悠閒，度過療瘉的時光💕💕💕"
이상훈,2 週前,5,夕陽美麗的地方
薛文隆,2 週前,4,
billion1203,2 週前,5,可以熱鬧也可以安靜的地方，有廟宇有河岸，可停車還能上廁所...😉
Leo Chen,2 週前,3,
Vincent,2 週前,5,
Stanley Hsu,2 週前,4,悠閒放鬆，但餐點不便宜
E HSU,2 週前,5,
Tzuyu Lee,2 週前,1,
Bill Lin,3 週前,4,
江志宏,3 週前,3,適合散步，賞景
簡玲蘭,3 週前,5,風景優美
安安,3 週前,4,晚上三五好友或自在獨處時  叫杯涼飲坐下來  放鬆的好地方  假日一位難求喔
Lucasえいた,3 週前,5,"臨時決定，週日下午去借腳踏車練騎。之後在大稻埕碼頭有幸搭到花博三號17：30夕陽航班,很幸運天氣好看到的夕陽下山，很美！！！航程70分鐘，導覽老師很認真,内容很有深度，工作人員也注意安全，很愉快的航程，謝謝大家。（搭船怕頭風的記得戴帽子或穿有帽的上衣擋一點風）"
大億,3 週前,5,
Jose Pereira,3 週前,4,
Huang Hung-ming,3 週前,2,
Jason Lin,4 週前,5,看河景約會的好地方
Stan,4 週前,4,氣氛不錯，稍微類似淡水，但比較都會區感覺，但是沒有淡水東西豐富。
金安倫,4 週前,5,
洪文興,1 個月前,5,
黃琍琍,1 個月前,4,
陳萬子,1 個月前,1,
陳德輝,1 個月前,5,
蕭佳昇,1 個月前,5,"離大稻埕碼頭最近的停車場
但是位置不多 需等待"
andy lien,1 個月前,5,有很多小酒吧，也有免費座位可供飲食，但場所不是很大，跟淡水差滿多的。
Kimi,1 個月前,5,煙火活動 非常壯觀 人潮也非常的多😳 …
小誠,1 個月前,5,
Joy R,1 個月前,3,
江麗玲,1 個月前,5,在民生西路底，靠近迪化街，是賞夕陽、啖異國美食、騎單車、夏日傍晚乘涼的好地方。
江豪,1 個月前,5,
鄭博彰,1 個月前,5,
嚴海水,1 個月前,4,
Aileen Shen,1 個月前,5,
王保羅,1 個月前,4,傍晚夕陽很美
karl,1 個月前,2,
