name,setTime,star,content
楊毅群,2 週前,3,路很小條，標示不太明確，沒到就回頭了
林振宏,3 週前,5,
吳登淼,2 個月前,4,
楊文雅,3 個月前,3,被樹林遮擋到的瀑布，也有少見的含羞草
Linda Chen,3 個月前,5,太偏僻了
旅行家,4 個月前,3,"空氣好,很少人來"
曾信翰,4 個月前,2,施工中，溪水混濁
曾善美,4 個月前,5,小時候的記憶和現在的場景完全無法聯想，桃之颱風後幾近滅村，隨著歲月慢慢的再重建，現在的大興瀑布還要走一段路才能抵達，只有遠遠的著瀑布細流。環境非常乾淨希望遊客，把垃圾帶走。
黃建倫（冷冷）,6 個月前,2,"到目的地可以看到砂石地跟一個巨石上面註明大興瀑布
遠挑可以看到一個瀑布的影子
只是下河床發現水流有點急不太適合過溪也未發現其他路線
想到對岸去目前看來只有找枯水期但是瀑布也會枯了
不然就是要有朔溪的準備了"
古莫氏,9 個月前,5,世外桃園
林老爹,9 個月前,5,美美的風景，安靜的山林環境，讓人感到空氣的清鮮，芬芳的檳榔花氣味，
郭魯蛋,11 個月前,5,休息散步好所在，安靜
劉芷綺,11 個月前,5,
范伯瑋,1 年前,3,
Ju Wang,1 年前,4,
彭川恩,1 年前,5,
潘靜廷,1 年前,4,
chen yang,1 年前,5,
iyabasonliu,1 年前,1,沿地圖一路開車往上，但還沒看到瀑布就上不去，走路還要1-2小時，到一半時路坍也上不去…完全看不到網路圖片上的樣子
哈哈呵呵,1 年前,5,遭受風災摧毀步道路徑，所以必須涉溪而過，不太好找！不過，瀑布不大，水色潔淨，清幽安靜，很不錯！附近所築攔河堰，形成幾個小池，可以戲水！山澗冰涼乾淨，暑熱暫時消除。
Webber Wu,1 年前,5,玩水很棒，還有人在這烤肉
張合辰,1 年前,3,
林堃憲,1 年前,4,
Wasir Wu,1 年前,5,很棒的自然戲水區域，沒有危險的深潭，也不至於水淺的很無趣，清澈冰涼的溪水大人小孩都玩得很開心
宗興林,1 年前,4,算祕境，冰涼的溪水在夏日特別感覺清爽！
熊熊,1 年前,5,
王惠美,1 年前,3,"1110626目標是花蓮光復鄉「大興瀑布」，經過「大興公園」，公園的建置算不錯，但沒有整理和維持，非常可惜！
往上看見綠色隧道，是我覺得這裡最棒的地方了！
再往裡走，可見山上涓涓細流應該就是瀑布了，但距離很遠。
雖然在攔沙壩旁看到寫著大興瀑布的巨石，卻無路可走，都是雜草叢生。
攔沙壩的水清澈冰涼，看起來是可以戲水的地方，旁邊腹地大，停車方便只是缺少水廁是一大敗筆"
朝雄莊,1 年前,5,
林美君,1 年前,4,"第一次去光復大興瀑布
我覺得這裡的玩水環境非常安全又舒適
很適合全家親子一起烤肉玩水的地方

環境很乾淨 沒有垃圾
也真的沒有什麼遊客來玩
雖然覺得幸福但又覺得可惜

請大家來這裡玩時
務必帶走自己的垃圾"
丁秀津,1 年前,5,
新來的排長,1 年前,5,經歷過大自然的深深洗禮 心理與生理皆是 我還會再攻頂一次
姜駿彥,1 年前,5,
漫漫,1 年前,5,
Henny swift,1 年前,2,植被不足
鄭智華,1 年前,5,
林英妃,1 年前,3,聼山友説，這裡是特殊地點，除了本來就應該需要注意的安全，最好人多時才待在此地，比較好，聽懂了吧！
月島花,1 年前,5,大人小孩都可以泡泡水~清涼
王東琳,1 年前,5,
Jason Chen,1 年前,5,瀑布前的攔沙壩蠻適合戲水的，不過沒救生員（廢話），所以要下去玩水的自己要注意。山區下雨時不建議去。
我在海岸山脈的生活,2 年前,5,
王士銘,2 年前,4,快要荒廢的景點 須涉水
許富盈,2 年前,5,泥地、過溪、沙灘越野，三個願望一次滿足！
林安森撿松果,2 年前,4,可惜步道壞了
Fannie Lin (粉圓妹趴趴走),2 年前,5,"大興瀑布位於光復大興村與萬榮馬遠村的交界，馬錫山與嘉羅蘭山之間的河谷，南清水溪小型攔沙壩後方。

大興瀑布曾經是花蓮中部著名的休憩景點，昔日還有一座紅色吊橋橫跨於南清水溪之上。

因受到桃芝颱風土石流重創大興村，經過10多年的家園重建、農村再生計劃，漸漸恢復生機，看到如此美麗的社區，很難想像它曾經有這麼悲傷的過去。"
陳惠萍,2 年前,3,
郭John,2 年前,3,可以一走的地方，因少人去設施都荒廢了！可惜
吳銘記,2 年前,4,人煙稀少
aego yeh,2 年前,5,
郭明璋,2 年前,2,
倪辰宇,2 年前,4,風景美，玩水很安全
張振亞,2 年前,5,
李旭庭,2 年前,5,整治過後，環境超優，適合大小朋友一起渡假，垃圾要記得帶走喲～
田宜恩,3 年前,1,"導航導到草叢，根本沒有路。
直接往河的上游，需要爬石頭
水不大
但慶幸看見彩虹🌈離我們很近 …"
Hank Yang,3 年前,1,根本沒水
邊走邊修（跑跑人生）,3 年前,5,
Jing Yeh,3 年前,4,當地大興村民玩水的好去處。水質非常乾淨，是個可以玩水的祕境。
劉益宗,3 年前,5,
yutoa SU,3 年前,5,善良的本性
Yuting Shih,3 年前,5,
潘Una,3 年前,4,要過攔沙壩才有可以玩水的地方，但沒有什麼遮蔽物
王若平,3 年前,5,風景佳 ，適合戲水遊玩
李世傑,3 年前,5,不好走。人煙稀少
陳國明,3 年前,1,
dabbennylee,3 年前,2,沒水了
許先生,3 年前,5,山林中的流瀑美景
廖偉安,3 年前,5,測量
吳智偉,3 年前,3,標示不夠清楚，上游攔沙壩的水質清澈，但要注意安全
謝智權,3 年前,5,去瀑布的路上風景很美，幸運看到猴群山豬，一個樸實的部落，住民有客家、原住民、閔南……，也許沒有眾多著名景色，但是寧靜在人心
李春連,4 年前,4,
陳佳龍,4 年前,3,
