name,setTime,star,content
胖達（Panda）,3 天前,5,
Lucy Ding,6 天前,3,適合有體力一家老小戶外健行的好步道。
Angel Man,6 天前,4,值得一遊
林逸塵,1 週前,4,
Charlene Chen,3 週前,5,"初次造訪，覺得一張票50可以遊玩天空步道、天空繩橋、宇內溪戲水區很值得喔！
當天幸運的看到因溪流水霧而產生的彩虹，超美的😍
天空繩橋是單行道，會繞到龍鳳瀑布唷！可以走走看看風景😁

只可惜小烏來海拔不夠高，面對36度的高溫加上我們先去義興吊橋（一連串的樓梯）走完已經滿身大汗……😅，建議涼一點再去比較好。"
Amy Cheng,1 個月前,5,"“天空繩橋”是在桃園的小烏來風景區，距離著名的天空步道僅有5分鐘的步程，與走在玻璃為底的“天空步道”上，是迥然不同的驚險體驗，感覺上則似乎更為刺激、富於冒險感，非常值得來此旅遊！

天空繩橋是以底部鋼索固定繩橋的方式，把全長70公尺的繩橋，固定在離地約50公尺的大利幹溪谷間。這是全國最長的繩橋之一，走在繩橋上，繩橋會搖晃，人越多，搖晃越厲害，令人不油然產生些微驚悚感！周圍包括腳底下，又是那麼深淺不一的綠色森林，美得令人動心！

繩橋雖長，但寬度不大，僅約100公分，民眾須排成前後一長排，依序地走上繩橋，是無法併肩而行。

這繩橋在結構設計之上，強度是規劃為承載120噸。不過，由於前後遊客的共振效應，仍然會感覺繩橋搖晃得厲害。

繩橋橫跨溪谷，溪谷裡連綿的濃茂林海，美麗得令人讚歎。走到繩橋中段時，亦可看到掩藏在密林中的神秘瀑布，令人為之驚豔！"
morning yang,1 個月前,5,很悠閒可以走上半天 景色自然豐富
SC Liu,2 個月前,5,有點恐怖，但非常值得推薦來走走
Eric Tseng,2 個月前,4,
Ryan,2 個月前,5,
李祥生,3 個月前,4,
李維庭,3 個月前,5,
藍榮鈞,4 個月前,5,
max sun (crazy old man),5 個月前,2,
Jhih Wei Syu (許智瑋),5 個月前,5,會晃哦！蠻好玩的！
鄭寬仁,6 個月前,5,"休假帶我家的校長來戶外走走,加上舒適溫暖陽光,感覺很棒~"
Thokozani Sawasawa,7 個月前,5,愛它
小劉,8 個月前,5,給天空繩橋五顆星，因為這裡算很有氣氛的吊橋，限單向道且僅能一人通過，走在橋上還會有搖晃感😆 …
chou Dai,9 個月前,5,"很刺激的橋
上去需有天空步道票根
可以繞一小圈到龍鳳瀑布"
Aaushi Tariyal,10 個月前,4,美麗的
Cindy2022,10 個月前,5,還可以
光育,10 個月前,4,
SP R,11 個月前,5,這吊橋很容易走。
Jamie T,1 年前,5,很美的風景，吊橋人多的時候蠻晃的，確是很刺激！注意安全扶著旁邊即可
CHINA YUN TSENG,1 年前,5,
黃冠澂,1 年前,4,吊橋位於天空步道再往上走約70公尺，採單向通行，繞一圈約15分鐘，可順道欣賞龍鳳瀑布。
詹宸誌,1 年前,5,走走
林國華,1 年前,4,
Q,1 年前,5,很酷很酷 橋中間看兩邊的山 景色很美
You D,1 年前,5,
Erik Huang,1 年前,4,
peiyun cynthia,1 年前,5,繩索吊橋很棒的體驗，到中間比較容易晃，有工作人員管理，沿途風景很漂亮，綠蔭讓人心曠神怡！
Yi-Shing C.,1 年前,5,平日人少可以更悠閒的漫步山林❤️
Tseng Kenie (雷姆踩點筆記),1 年前,4,"需驗票，單行道走吊橋到外面
從吊橋左邊的階梯回來
來回約15分鐘路程含拍照"
呂坦融,1 年前,4,
巫協森,1 年前,4,這是小烏來特別的景點，單行道吊喬，需付費通行，值得體驗。
Michael Yang,1 年前,4,吊橋不算特別長，但視野好！
Tony Stark,1 年前,4,小小的沒有很好走
風中奇緣,1 年前,5,
施誌嘉,1 年前,5,
陳雨晨,1 年前,3,步行吊橋上風景不錯
翎翎,1 年前,5,走到龍鳳瀑布不遠，輕鬆好走。
許道平,1 年前,4,
孟祥志,1 年前,4,
Yaoyi Wang,1 年前,5,
YuSiang,1 年前,5,與天空步道同一張門票非常划算
Ya Ling Huang,1 年前,4,比起天空步道和繩橋，略為老舊，可觀看龍鳳瀑布
袁景中,1 年前,5,
YVV Dude,1 年前,5,很安全好玩的吊橋
Lu Chang,1 年前,4,天空步道一般般，但這吊橋的感覺很棒，橫過一個幽幽山谷…
Wallace Wang,1 年前,5,美不勝收，健走的好去處！
Jane Lee,1 年前,5,很好玩的吊橋 小孩覺得很刺激
陳智勇,1 年前,3,小家碧玉的吊橋
劉左手,1 年前,5,
YC Lee,1 年前,3,
Jason Cheng,1 年前,4,視野開闊，山巒起伏美景盡收眼底。
James Chen,1 年前,4,"小烏來天索橋，雖然橋晃動，但是走過去還是很安全的。行走在峽谷上方50米處、長達70米的索橋上。俯瞰神秘的瀑布，驚險又好玩。
小烏來風景區位於下云坪與復興橋之間的東側山區。是北台灣跨島公路沿線著名景點之一。"
范振烜,1 年前,3,
林新弘,1 年前,4,
黃佳皓,1 年前,3,
林宜潔,1 年前,5,會晃 讚
黃平,1 年前,2,只是一座吊橋不需為此開那麼遠的路程
大洪洪,1 年前,5,
許垏,1 年前,5,這邊憑天空步道的門票可以免費進入，是小繩橋單行道，只能通過不能往回走，但竟然來了走走也是不錯的體驗，喜歡拍照的不能錯過，平日來這邊就是你個人的伸展台嘍⋯⋯🤣 …
紫蛍,1 年前,5,很重要的吊橋~古色古香~
林俊賢,1 年前,5,真的很棒！
吉米,1 年前,5,
Kevin Yeh,1 年前,5,就在天空步道的旁邊，也是必遊的景點喔
陳弘育,1 年前,4,
騎車治百病丸弟,1 年前,5,"超讚👍。消暑地方。這邊還有人跑下去釣魚🎣🐟不知道他們怎麼下去的。

希望等疫情穩定能夠開放戲水區 游水消暑 …"
