name,setTime,star,content
暢敘幽情,4 天前,3,沒什麼人來，說不上評價。
王致鑑,1 週前,5,
湯雯,1 週前,4,
林俊宏,3 週前,2,
Tina HUNG,4 週前,3,
黑仔（阿黑）,1 個月前,3,
スウハハハ,1 個月前,4,
Easter Hung,1 個月前,4,
allen Lin,2 個月前,5,由百蝠橋出發，步道長約750公尺，可惜目前步道整修中，無法前往蝙蝠洞。步道不長，沿途都是綠蔭，即使在炎炎夏日來走，也不易曬到太陽。來太平遊玩，可排入行程。惟此處須注意荔枝椿象。
princess Anna of Arendelle,2 個月前,5,睡覺好場所
火腿,2 個月前,5,"還蠻多蚊蟲的 要多多防範 很喘很累 好地方。
適合踏青 沒看到蝙蝠有點可惜。
接受大自然的好去處"
N F,2 個月前,5,下雨過後，盡量不要去，水道都濕的。
林華玲,2 個月前,2,不知啥原因？要過去洞口前方就被圍起來不給進，有點掃興，只能在周邊晃晃。
陳淑芬,2 個月前,3,
吳昀儒,3 個月前,2,沒東西，現在沒開放
Hsin Yi Wang,3 個月前,3,
黃俊隆,3 個月前,5,這裡公廁很乾淨，但人煙稀少，有點令人害怕..
杜和村,3 個月前,4,
HD C,3 個月前,2,蠻好玩的，很有探險的樂趣，缺點就是沒冷氣
豪哥,3 個月前,5,"41351號
台灣省台
中市太平
區太平蝙
蝠洞吊橋
國家公園
區散步拍
照留念.啦"
陳冠侑,4 個月前,5,進去會卡住的地方
Zoe Chen,4 個月前,4,
黃明祥,4 個月前,5,
小安,4 個月前,3,很特殊景觀，要來看要帶手電筒，但目前內部多段積水，已經無法全線通行。只能從頭尾進去稍微參觀，進入前行約30公尺即積水，且並無標示進出方向，內部僅供一人通行，故絕對無法會車。景觀超特殊，可惜相關單位沒管理及維護好，目前幾乎沒什麼人進去。這裡有公廁，可順遊蝙蝠橋登山步道，上下起伏有點大，但木棧道造型優美，適合順遊，約一個半小時來回。
ALEX FU,4 個月前,3,沒什麼人潮了
吳順風,4 個月前,3,這是一個很好的景點，值得一遊
羅書偉,4 個月前,5,
蘇福亮,4 個月前,5,記得帶手電桶😅
陳冠銘,4 個月前,3,不怎樣。。。。
許咪若,4 個月前,3,"很輕鬆的一條步道，從百蝠橋開始走，但走到終點才發現出口被鐵門關起來？？？旁邊張貼私人果園請勿進入？無奈只能原路返回，很奇怪的一條登山步道
蝙蝠洞很狹小，帶手電筒進去探險很有趣，可惜走一半地上有積水跟泥濘我們一般球鞋沒辦法繼續走下去，令人驚奇的是蝙蝠洞裡真的有蝙蝠，探險蝙蝠洞時發現了一隻小蝙蝠倒掛在睡覺"
iu M,4 個月前,5,散步休閒好去處
chi Chi,4 個月前,5,"太平136線道邊的小吊橋，往吊橋過去是登山步道。
不要走吊橋，往旁邊走約100公尺的橋下才是蝙蝠洞。環境很乾淨，公廁在橋下的蝙蝠洞這邊。公廁很乾淨。"
葉正清,4 個月前,5,
魏文洲,4 個月前,4,
林慧鳳,5 個月前,5,👍 …
Peter Chen,5 個月前,4,
陳建平,5 個月前,4,
Nana Chiu,5 個月前,4,
徐宗瑋,5 個月前,4,
陳文哲,5 個月前,5,讚
我來野,5 個月前,3,
Kuo-Ying Hsu,5 個月前,3,地方不錯，爬山健身体間。還有進步的空間。
Tina Sprint,5 個月前,5,
廖家煌,5 個月前,3,自然形成的洞穴，以前有蝙蝠居住在裡面後來缺乏維護就慢慢的沒落了
洪文進,5 個月前,5,夏天消暑的好地方，前往新社及國姓的中繼站。
宗豪,6 個月前,5,非常有趣的景點，可惜上次去忘記拜入口的月老。
洪禎徽,6 個月前,5,
謝政利,6 個月前,5,百蝠橋這邊才有辦法停車，這邊過去個人覺得蠻陡的步道，雖然不長也挺累的，蝙蝠洞非常酷，可以進去，洞口有很多個，步道容易有落石，要快速通過
陳慧,6 個月前,5,
Klimpaloon 7414,6 個月前,5,"聽說有人住在裡面
我不清楚 我不知道 我不專業"
