name,setTime,star,content
hanmin,1 天前,5,"算是比較秘境 人比較少的觀景台
天氣好的時候來這邊很推薦 旁邊有廁所
幸運的話可以剛好拍到火車經過😆 …"
謝誼杰,3 天前,4,沒有遮蔭
HAOHUNG WU,3 天前,4,
lin lin,3 天前,5,
王世杰,4 天前,4,
Rita,6 天前,3,
洪湞詠,1 週前,4,"因為道路上有在施工⚠️
今天人潮還蠻多的～
可惜⋯水才8分🈵️⋯⋯
如果水是滿就會倒印藍色天空的美景！ …"
吳愷宸,1 週前,5,一個小小的地方，風景很讚，很適合拍照，太平洋一覽無遺。
陳錦全,1 週前,3,
陳雅萍,1 週前,5,這裡照相真的很漂亮在高處往下看海水真的美炸了雖然場地沒有很大但是拍照效果100分👍 …
陸金豐,1 週前,4,
趙中傑,1 週前,5,
張芳榮,1 週前,5,
MM C,2 週前,5,這個地方真是太棒了！它擁有美麗的自然風光，引人入勝的文化氛圍和豐富的活動選擇。無論您喜歡探險還是想要悠閒的休閒時光，這裡都能滿足您的需求。當您漫步在這片風景如畫的地區時，會被大自然的奇觀所震撼。此外，當地的文化和歷史充滿魅力，您可以探索當地的博物館、古蹟和傳統活動，感受濃厚的文化氛圍。而且，這裡的美食總是讓人回味無窮，您可以品嚐到當地獨特的美味佳餚。如果您想要度過愉快的假期，這個地方絕對是您的首選。無論您是和家人、朋友還是獨自一人來這裡，都會找到適合您的活動。總的來說，這個地方簡直是一個天堂，您一定會愛上它的！
王琇玲,2 週前,4,
楊佳媛,2 週前,3,
萊斯Adam遊樂趣,2 週前,5,
林德銘,2 週前,5,台東的海
楊菁菁,2 週前,5,
庵迪,3 週前,5,看日出好景點！
粘漢銘,3 週前,5,藍天白雲壯闊的山與海，旅人的台東藍
蘇啟源,3 週前,4,
楊震豪,3 週前,5,
連育銳,3 週前,5,
Ron Chen,3 週前,4,賞心悅目，心曠神怡的海岸風景。
陳州清,3 週前,3,
Andy黃,3 週前,5,
張祐銘,3 週前,4,
Nathan,3 週前,5,
陳水草,4 週前,5,
tsai mxic,1 個月前,5,景色優美
鄧麗華,1 個月前,5,
李明和,1 個月前,3,
劉昌訓,1 個月前,5,
藍天影舞,1 個月前,5,
邱淑惠,1 個月前,5,很美麗的海岸線……
terence huang,1 個月前,5,
劉秉穎,1 個月前,4,
jerry,1 個月前,5,這裡才是拍照的好地方
趙育倫,1 個月前,5,
Lee Roger,1 個月前,5,
洪乀,1 個月前,5,欣賞月光海、看火車的好地方
zi-feng Xiao,1 個月前,4,"天氣對了
什麼都對了"
nni ckk,1 個月前,4,風景優美，免門票，有洗手間。
林錦淑,1 個月前,4,
王枝照,1 個月前,5,
taiwan fang,1 個月前,5,
姚朝誠,1 個月前,3,
大和,1 個月前,5,
KUNG YA LIN,1 個月前,4,
Allen Chung,1 個月前,4,
張世明,1 個月前,4,
林慈玉,1 個月前,5,拍照打卡的小景點
陳國龍,1 個月前,3,
顏莉綺,1 個月前,5,
馬國忠,1 個月前,5,環境好乾淨
楊士英,1 個月前,5,
TSAI MYY,1 個月前,3,算是看曙光的好地方，也可以看火車或是海景，車子要停在路邊
李嬰姣,1 個月前,5,
lieng cheng,2 個月前,5,風景好 雜草較長 需注意安全
王淑貞,2 個月前,4,
Chengyi Liang,2 個月前,3,
Edward Huang,2 個月前,5,"好夏天的陽光景觀台，
可遠觀海景看得見蘭嶼綠島
只是要做好防曬，真的很熱"
吳瑀慧,2 個月前,4,
Chou Chou,2 個月前,4,
先生柯,2 個月前,3,
蕭比爾,2 個月前,4,
褚柏翔,2 個月前,4,
陳青達,2 個月前,4,很好的觀景制高點，欣賞華源海灣，也可以觀看火車奔馳。唯雜草破壞環境，顯得相當不協調。
陳哲安,2 個月前,5,
施智仁,2 個月前,4,海景美麗，但是太陽太大，沒有遮陽的地方和停車位。
Arriane Joy Bobis,2 個月前,5,
小傑,2 個月前,5,
Hu Wu,2 個月前,5,走舊南迴平日沒人，就算陰天景色也很好
林英芳,2 個月前,5,
楊進達,2 個月前,4,
Calvin Tsai,2 個月前,4,
Tsai Eugene,2 個月前,5,"置高點看海, 風景很不錯, 只是週邊沒什麼配套, 感覺有些荒涼."
Peyyu,2 個月前,5,景觀優美，容易到達，鐵道迷拍火車的好地方
Chun-Ching Chiang,2 個月前,5,
宋朋融,3 個月前,5,
王雅萱,3 個月前,5,
林麗娟,3 個月前,5,風景漂亮
何浣熊,3 個月前,5,很妙的景點。
琪琪,3 個月前,4,
allen Lin,3 個月前,4,雖然天候不佳 依然可見美麗的台東海岸及浩瀚的太平洋。
葉定彰,3 個月前,5,海很好看
安德玲,3 個月前,5,
SYU SHUN,3 個月前,5,風景不錯喔
蕭哥,3 個月前,3,下雨天景色不佳
Chia-Le Hsu,3 個月前,4,心曠神怡
企鵝油,3 個月前,5,2023.5.1(一)造訪，🅿️路邊停車大概2台，無停車場，風景很美很好拍🟥🟧🟨🟩TAIMAL🟦🟪🟫⬛
簡長欽,3 個月前,5,
林家鋒,3 個月前,4,
發哥,3 個月前,4,
Jeff H,3 個月前,4,
洪子雅,3 個月前,3,
林秀卿,4 個月前,4,
Ken Lee,4 個月前,4,
龍嘉莉,4 個月前,5,
Yao ching,4 個月前,1,"不同海拔角度高度欣賞
海灣之美，咔踏車可鬆安全上來"
王淑賢,4 個月前,5,"這是在太麻里華源海灣附近，覺得最適合停留休息的新景點，只是尚無公廁，建議上完廁所再上去欣賞風景，才不會因內急而無心觀賞美景。
一次可以把美麗的太平洋海岸線+9號公路+南迴鐵路(若有算好火車經過的時間，還可以拍到火車)全都入眼簾，一拍入鏡，路好開(是南迴公路南北坑舊線)，路邊可暫停，真的是個很棒的觀景台。"
阿毛龍,4 個月前,3,風景不錯
REX,4 個月前,4,"2023-04
景色優美，無停車場。"
瞎囧,4 個月前,3,不明白
廖先生,4 個月前,4,
jerry hsieh,4 個月前,4,多良車站的另一個選擇
Le e,4 個月前,5,很美的風景！幸運遇到火車經過～^_^
曹嘉宏,4 個月前,5,景色優美，好拍，好看
胡志強,4 個月前,4,
阿治,4 個月前,4,可以繞進來拍照，沒什麼人知道的點
呂映萱,4 個月前,3,有曙光才屬光
簡榮傑,4 個月前,5,"望向太平洋,望向無際,心情飛揚,無線舒暢"
wei an chen,4 個月前,5,
陳芝玲,4 個月前,4,
陳柏志,4 個月前,5,非常漂亮的一個地方，一覽無遺整個海灣，打卡拍照必來。
林秀英,4 個月前,3,很不錯ㄟ可走走看看逛逛👍
min te Ko,4 個月前,5,漂亮地標
謝博隆,4 個月前,4,
Yiting Huang,4 個月前,5,海邊景色很美，剛好有火車經過，非假日沒人太舒服了～（不過非假日洗手間🚻沒有開放）
李秀玲,4 個月前,4,海岸線很美，好拍
Max Chen,4 個月前,4,
劉培強,4 個月前,5,
陳曉慧,4 個月前,2,觀景台雜草叢生，也無人管理，建議想待久一點休息的人去多良車站比較好，景色也比較美
邱瑞榮,4 個月前,5,
米卡,4 個月前,4,
Yen Huang,4 個月前,4,
Stanley Chen (小義家族),4 個月前,5,
陳秀芬,4 個月前,4,觀景台 可以等火車經過
Sean Lin,4 個月前,3,大海很美，只是無聊一點
瑪拉松,4 個月前,5,
Sandy Huang,4 個月前,3,
向少華,5 個月前,5,
hanny,5 個月前,5,
Chu Ryan,5 個月前,5,景色優美
翔琳,5 個月前,5,
少甫黃,5 個月前,3,海岸線漂亮，觀日出景點，但路邊不太好停車，廁所也鎖著，不太理想
Tu Tu,5 個月前,3,很小 很小的地方
徐志男,5 個月前,4,
Rayan Su,5 個月前,4,景色優美，但不好停車
郭福緣,5 個月前,1,簡單的地方，已過時的境，連給旅人方便的廁所的上鎖了，還沒有留下水尚能洗洗手。
鄭明輝,5 個月前,4,
V C,5 個月前,5,"舊台九的觀景台
可以看到鐵路、公路、海岸線
平日沒有人潮，可在拍拍台東藍"
陳婷,5 個月前,5,台東的海真的太美了
Elyza Lin,5 個月前,5,好沒的曙光
黃俊策,5 個月前,4,
黃耀東,5 個月前,4,
lishing kan,5 個月前,5,漂亮的日出
林采儀,5 個月前,2,請問有大巴遊覽車停車的地方嗎
張啟德,5 個月前,5,剛好今天包場 安靜 視野好
Luke Wu,5 個月前,5,座落於舊南迴公路旁的一個小型觀景台，可以一覽湛藍的太平洋、往來奔馳的火車及美麗的華源海灣。晚上也是觀賞銀河、月亮海的好地方，惟該處沒有停車位較為可惜。
大膽島上的一座牆,5 個月前,5,漂亮的海岸，天氣好可以看到綠島，還可以欣賞火車從下方通過的快感。
Qiu Z,5 個月前,5,
SHAOHAN DUNCAN,5 個月前,3,
林大祥,5 個月前,4,看看海景
鄭順意,5 個月前,5,真的有點遠，但是抵達之後會覺得一切都值得。
將進酒,5 個月前,5,
黃子玲,5 個月前,5,
Wu (其實是我),5 個月前,4,
林文吉,5 個月前,5,
韓志煌,5 個月前,5,
modo Lan,5 個月前,5,
張懿德,5 個月前,5,開車騎車輕鬆可到，不用擔心路小條，有華源海景可看，火車從眼前經過，有小型天空之鏡水池可拍攝，太麻里英文字，拍照留念的好地標
SUNG LIN,6 個月前,4,欣賞景色還不錯的地方，有廁所但是還沒開放，路邊停車，禁止烤肉
林怡文,6 個月前,5,
楊吉村,6 個月前,4,
XIANG liao,6 個月前,4,不錯的風景
SING SIANG,6 個月前,5,看海天一線的好地方
Janice Chen,6 個月前,5,
周俊志,6 個月前,4,
趙建立,6 個月前,4,
糖醋醬,6 個月前,5,
郭宜勝,6 個月前,4,工程尚未驗收，廁所不能使用。
Nancy Chiang,6 個月前,5,值得走走看看的感覺⋯⋯
小杉弘一,6 個月前,3,風景很好，但因為附屬廁所關閉，所以我遇到了麻煩。
林祐銳,6 個月前,4,
張文遠,6 個月前,5,我們家鄉的
企惶梁,6 個月前,4,"這裡相對天空之鏡一樣美
人更少更好停車
還愛有一個小水池
也不知道要幹嘛
沒人照顧"
Jia賈東斯,6 個月前,4,海邊度假勝地風景美占到好空間，拍照，喝下午茶很有趣，休息一下吧！
Tsai Chris,6 個月前,4,
黃大吉,6 個月前,5,
hf shen,6 個月前,5,
鄭衣穎（衣衣）,6 個月前,5,
Sandy Wang,6 個月前,5,往市區的路上繞上來看看，風景不錯也沒什麼人～廁所昨天早上去的時候沒有開
Ruru Lin,6 個月前,5,"沒什麼人的景觀台是最棒的
拍照不用擔心背景有別人
可以從高點看那一望無際大海
還可以看到火車呼嘯而過"
連捷,6 個月前,4,賞海景觀日出的好去處。
奕玲,6 個月前,5,旁邊有廁所。
洪健峯,6 個月前,4,
Yuhui Cheng,6 個月前,5,
士豪王,6 個月前,5,算是新型態的台東地標。創新裝置藝術搭配海洋美景。
陳國,6 個月前,4,不錯拍景，還有地方可坐
cougar cheng,6 個月前,5,
秋天,6 個月前,5,
YiTsung Tu,7 個月前,3,
David H,7 個月前,4,"這裡的景色其實不輸多良車站
海岸線公路線鐵道線  三線盡收眼底"
吳家興,7 個月前,5,
李川明,7 個月前,5,其實景跟多良車站差不多；但是人潮少非常多；不過這裡沒有賣吃的…
飯糰咬一口,7 個月前,3,
Jason Li,7 個月前,5,無敵觀景平台，更勝多良，而且人少。
陳盟崧,7 個月前,5,"有展望看景的好地方又可以拍火車
台東藍我的最愛"
王竣宣,7 個月前,5,
BC A,7 個月前,5,非常美
邱文陞,7 個月前,5,
藍文呈,7 個月前,4,
孫嘉澤,7 個月前,5,"美炸！
今天來時天氣超好！
綠島 蘭嶼超清楚！
海的顏色也超漂亮！
可惜的是剛到時看到火車路過
下一班火車是一個小時後了
看來只能下一次隨緣～
很值得來一趟～
趁現在還沒什麼人知道這個景點趕快來～
超美的超美的～
❤️❤️❤️❤️❤️❤️❤️❤️❤️
隔壁有個貨櫃看起來平常是有營業的
這趟是過年來的可能沒開
下次再來體驗一下
如果是在這邊來杯咖啡甜點一定很棒！"
Aquei Lin,7 個月前,5,
bill bright,7 個月前,5,
Eric Wang,7 個月前,5,
克勞薩,7 個月前,4,
蔡明峰（lovecool）,7 個月前,5,"不好停車
拍照的景點
停留時間大概15分鐘就夠了"
徐琬甯,7 個月前,4,風景不錯
Kevin Shih,7 個月前,4,看火車和欣賞海景的地方。
陳勝龍,7 個月前,5,風景超美，值得一遊
mark lin,7 個月前,3,
FangYi Lai,7 個月前,5,
Shengchen Hsu,7 個月前,4,
陳定宏,7 個月前,5,遼闊的海景，配上藍天白雲心情愉悅
劉時軍,7 個月前,5,此處視野遼闊讓人心曠神怡，晴朗天氣可看到綠島，值得一訪。
Wenying JENG,7 個月前,4,
朱華錦,7 個月前,4,居高臨下眺望太平洋，美麗海灣沙灘極佳地點
?????,7 個月前,4,天氣不好沒看到日出，不過來了還是可以在沙灘上走走、踏踏浪
Natto Tsai,7 個月前,5,
王瑩,7 個月前,4,
林鋐鑫,7 個月前,5,有小多良的稱呼！看的到火車與美麗的海岸線，但還是沒有正港的多良車站那麼美，多良的火車鐵軌比較近，車輛通過時山海藍天白雲畫面比例較為好看！這的優點是地勢比較高看的遠！算是新場景！
麗國旅遊,7 個月前,5,欣賞美麗海景的好地方
1153345,7 個月前,5,停車稍微不便(畢竟在山坡上)不過景色真的很棒，可以眺望整個太麻里海岸線
Yeh Ruby,7 個月前,3,工程還未驗收
蕭珮珊,7 個月前,5,"縱使下雨天，依然是很美的風景
很值得再來"
Scott Wei,7 個月前,4,海天一色 壯闊海景 踩點後可閃
吳建興,7 個月前,5,
劉建明,7 個月前,4,
陳沛鈞,7 個月前,5,
ZCT IAM (IAMZCT),7 個月前,5,好睡
Irene Hsu,7 個月前,4,登高望遠拍拍照～
郭士郁,7 個月前,5,
程小道,7 個月前,3,
黃玉荃,7 個月前,5,
mn m,7 個月前,5,很漂亮，但沒停車的地方。還是去千禧曙光紀念園區比較讚（第二張圖），海上的日初真的很美！
愛染王,7 個月前,3,
張敦賢,8 個月前,3,
berkut62,8 個月前,5,
劉啟仲,8 個月前,4,從沒來過的景點，位置超棒！視野不輸多良車站
張仁豪,8 個月前,3,很適合烤肉的地方，很可惜不烤肉
huang lan,8 個月前,4,就一個看景的平台
鄭雪敏,8 個月前,5,迟迟无法再怎么能提供即时更新了起来也在美国到底想跟着你觉得我已经不无趣味儿时玩伴着她和我
謝曉坤,8 個月前,4,
江文雄,8 個月前,5,住在華源景觀區上華源美麗灣民宿看海景超級無敵👍 …
ricky chou,8 個月前,4,
Mbu張,8 個月前,5,
吳小鈴,8 個月前,5,景觀超美麗，就愛台東藍
Lu Lin,8 個月前,5,好的
吳國治,8 個月前,3,
chi,8 個月前,5,漂亮的景點，但只能停車在路邊。
NELSON HAN,8 個月前,4,
陳麒楓,8 個月前,4,一個看海同時可以看火車的好地方
張東福,8 個月前,4,"喜歡這顏色鮮艷的裝置，
配上遠望的海灣，好看好拍"
