name,setTime,star,content
雄一,2 小時前,3,"我乘坐阿里山鐵路到達這裡，遊覽了該地區，吃了午餐，然後下車。
由於颱風的原因，路線巴士服務被取消，而且巴士站的位置也因週末的時間表而改變，這讓我很困惑。
谷歌地圖信息不可靠。"
徐人貴,5 小時前,5,
罐頭,9 小時前,4,還可以啦，老街小小的😶 …
gonbin tseng,12 小時前,4,
ying huang Kuo,14 小時前,5,慢活的休閒午後，遇上雷震大雨
李逸文,15 小時前,5,
Todd Tsai,16 小時前,4,
丁泖泖,17 小時前,5,天黑蠻快的注意，很多便宜的小攤可以買，麻糬跟涼糕都很好吃，便當攤要注意蚊子🤣
旱溪義守龍,18 小時前,5,台中-嘉義跑山一日遊的好地方
Bugson Lin,18 小時前,5,夏天避暑勝地，只是午後容易下雨
李尚憲,19 小時前,5,適合散步。購物。有些攤販人很好
廖閎淯,1 天前,5,阿里山公路上的優質旅遊點，好吃好逛！😘😘
Brian Feng,1 天前,5,
王詩姍,1 天前,5,
林孟佳,1 天前,3,雖然很擠很小，除了台灣自種的芥末以外，沒有太多特色的傳統老街，有機會到奮起湖走走還是可以逛一下分，附近的食物或是排隊美食也普通，有的甚至是山下就有，或是批貨上山來賣的，消費者自己的衡量囉！
劉明臻,1 天前,4,與小朋友一起搭乘小火車有很好的體驗，建議搭乘最早班火車，才能有充足時間排隊美食與悠閒散步森林步道
SING SIANG,1 天前,5,
羅志偉,1 天前,5,
林晉輝,1 天前,5,
歡喜心,1 天前,4,很熱鬧！
李雨陸,1 天前,5,舒服
steven ong,1 天前,5,非常好的体验，很温暖的感觉。各种东西琳琅满目，价钱公道，没有硬销，很舒服的感觉。赞
陳小夯,1 天前,4,歷史悠久的觀光景點！
周蓉慈,1 天前,5,
林楷真,2 天前,5,因是平日去所以人不會很多，店家也沒有全開，在下雨及籠罩在霧中行走的感覺很不錯。
Rime WU,2 天前,5,空氣佳，美食好吃
Chris Wang,2 天前,2,老街沒特色，店家的東西比其他九份或南莊都貴，吃的選擇性不多，很無聊，小火車雖然風景很美，但是坐的很不舒服很晃動，反正就人生體驗過一次就好了
周方亮,2 天前,4,
Mandy Wu,2 天前,5,"你吃過奮起湖素食的便當嗎？
還真好吃"
劉員宏,3 天前,5,空氣清新，很有老街的特色
陳貴華,3 天前,4,
時尚酷仔,3 天前,5,"山中小巷
感官不錯"
蔡淙祐,3 天前,5,很有特色老街，是台灣少數有自己文化風情的老街，湯圓草仔粿愛玉便當甜甜圈必吃
S Chen,3 天前,5,
陳建成,4 天前,5,
Ian Matthews,4 天前,5,完美的台灣老街。甜蜜的美食、清涼提神的飲料。來到這裡一定要體驗一下狹窄的傳統老街。我強烈推薦便當，就在主街旁邊，走幾步就到了。我想叫阿里山101。
趙雅,4 天前,5,還不錯
蔡麗敏,4 天前,4,可以悠閒逛上半天，吃吃小吃👍✌️ …
Lin Randy,5 天前,5,"來去阿里山必經景點之一
最出名的就是無障礙的奮起湖火車站
沒有火車的時候可以自由在鐵軌上拍照，除了火車站還有一個老火車頭展示區，
展示一些奮起湖的歷史照片。
火車站周圍還有老街可以逛街
肚子餓的時候有鐵路便當可以享用
平日遊客比較少，不用在老街上人擠人。
也不用怕周圍找不到停車位

這裡除了老街還有一些街邊美食
百年檜木甜甜圈現炸甜甜圈吃起來超好吃
甜甜圈攤位附近有台灣肖楠步道可以行走

不遠處還有人氣的街仔尾草仔粿
吃完小點心還可以到附近的杉林步道走走
裡面充滿了酚多精，走在裡面非常的舒服
步道被整片的杉林包圍。"
鄭凱木,5 天前,5,好山好水好風景
梅祖恩,5 天前,4,就是老街。推鐵道山城懷舊鐵路便當🍱 …
眼鏡哥,5 天前,5,
Chaochih Hsu,6 天前,3,"星期天,人車很多.午後下雨,沒地方躲雨."
謝淑靜,6 天前,5,山上的清新氣息，很舒服，每一攤食物都有特色
Dylan Chang,6 天前,4,
林雅欣,6 天前,4,
吳振明,6 天前,5,
Jiayu Chen,6 天前,5,天氣陰 人潮還是很多
Sparkle Hsu,6 天前,4,
黃慧仔,6 天前,5,"停車位有限
如果自行開車 建議早點到
老街的商店普遍都開蠻久的
也有多家便當店可供挑選
奮起湖之旅 老街逛上一圈大約30分鐘到1小時"
范庭瑜,6 天前,4,"跟大部分的老街差不多
主要賣便當、愛玉、山葵、甜甜圈
甜甜圈蠻普通的
停留1-2小時最多
偏無趣的地方"
楊金源,1 週前,4,
陳家穎,1 週前,4,
Joe Lo,1 週前,5,北九份，南奮起湖，山城傳統文化的體驗。
盧俊逸,1 週前,5,
You-Liang Liu,1 週前,5,
張輝,1 週前,5,"漲價了110
筍湯30"
廖淑芬,1 週前,5,
張凱復,1 週前,5,比九份老街好多了
劉憲忠,1 週前,5,
CHEN YUNGCHIH,1 週前,5,
SHU YUAN CHUNG,1 週前,5,
cm c,1 週前,4,適合慢遊 散心
cellar879330,1 週前,4,
KUO-LIANG LIAO,1 週前,3,有點炒過頭的景點
哈歌,1 週前,5,古色古香，發思古之幽情
劉明洋,1 週前,5,
胡小佐,1 週前,4,
洪兒樂,1 週前,5,
尚官,1 週前,4,"2023-8-12
假日車站的人潮很多，都是要搭短程的火車來一段舊鐵道之旅，附近的老街也可以走走，大約可以消耗半天的時間。"
Tzu Chi Lin,1 週前,4,吃的東西超多，不過火車很晃，會暈車的不推……
Paul S,1 週前,5,
Ngọc Hồng,1 週前,5,
李金翰,1 週前,5,放鬆
JACKS千早夫（保密中）,1 週前,3,下雨天時路滑天冷，不適合体力不足及老人遊玩，且森鐵每班次消化旅客才30人，不符合觀光鐡路基本條件。
林富祥,1 週前,5,讚
呂秋明,1 週前,5,
austen liao,1 週前,4,老街不大 平日很多店家沒營業
Erhpao Chen,1 週前,5,
蔡志賢,1 週前,5,
伍應榮,1 週前,5,
Alina Lin,1 週前,5,阿里山火車的中繼站，山林、鐵路、雲霧、人文結合的地方
小李同學,1 週前,5,"從阿里山下山一定會到奮起湖老街用餐
這次選了有別以往的鐵路便當
不同的配菜換換口味也蠻好吃的😋
好喝的愛玉特調
買了肉乾，還有一些特色餅乾
走走逛逛
雖然偶爾有雨，但是也別有一番美麗
甜甜圈也是必吃的"
Anita Wang,1 週前,3,來過一次、吃過便當就好了。
邱敏靜,1 週前,5,空氣清新，甜圈圈要趁熱吃喔，無骨鳳爪好吃。
GM.,1 週前,5,
蕭惠蜜,1 週前,5,8/17 霧氣濃 濕氣重
青菜怪物21,1 週前,5,便當，草仔粿，小米甜甜圈都好吃
YuChi,1 週前,5,
簡詩怡,1 週前,3,
sililila opipi,1 週前,4,
周玟君,1 週前,5,
游美侖,1 週前,5,
丫信,1 週前,4,
Katsuyoshi,1 週前,4,
公狼五路,1 週前,5,
何玉堂,1 週前,3,
鄧宇翔,1 週前,5,
芳梅陳,1 週前,4,
魏建壽,1 週前,5,
陳山姆,1 週前,5,夏天的自然冷氣，常容易遇見雲霧繚繞，適合走走逛逛
Emily Tsai,1 週前,5,
I3A0,2 週前,5,
陳枝泰,2 週前,4,
Nick Ni,2 週前,5,現在還沒大爆滿：）
LAINE LAI,2 週前,5,
harriet hung,2 週前,4,
白靈,2 週前,3,就像一般的商店，沒啥特色！
謝文桂,2 週前,5,"可自行開車、搭公車、搭火車、組團旅遊還有騎腳踏車前往，沿途風景秀麗且不用怕沒地方用餐還有原始的餐點鐡路便當、草仔糕、黑糖米磚、甜甜圈、方塊酥等伴手禮盒任您挑選。
另一個熱門就是步道健走，適合各年齡層的人前來休憩避暑。"
Stone Conrad,2 週前,5,
cc lou,2 週前,5,巧遇鄭導在做講解，他是奮起湖之光， 知名便當也水漲船高.....
鄭明杰,2 週前,5,
周玉才,2 週前,4,蠻好
許東正,2 週前,5,
洪海紋,2 週前,5,
花若盛開蝴蝶自來人若精彩天自安排,2 週前,4,
林介信,2 週前,3,
張永龍,2 週前,4,古老的味道十足
鍵二十三,2 週前,4,動線較狹隘，商品樣式單調，空氣清新
王民和,2 週前,4,
吳錦如,2 週前,2,没什麼特色的老街
洪海紋,2 週前,5,
anderson huang,2 週前,5,
詹皓翔,2 週前,5,
張似鴻,2 週前,3,
Serena Hsu,2 週前,4,老街比想像中小，但還算有特色，居然買得到整株山葵。烤甜甜圈和便當都好吃，風景不錯。
鄭竺殷,2 週前,5,很棒的地方
陳嘉羚,2 週前,3,
曾浚騰,2 週前,5,
毛毛貓,2 週前,3,不暈車  是很休閒的好地方
mike piazza,2 週前,5,
劉哲文,2 週前,5,
MinHui,2 週前,5,
林榮崇,2 週前,4,"懷舊的阿里山森林中的車站,鐵路便當更是讓人回味不已！"
安普勒,2 週前,5,
Chien Cheng Lin,2 週前,4,
吳子諺,2 週前,3,不知道是不是因為平日的關係，沒有想像中熱鬧，6.左右吃完道地的便當，老街上已經剩沒幾家店營業。
莊明堯,2 週前,5,不一樣的老街風光
siao H,2 週前,5,坐上阿里山小火車，搖搖晃晃兩個多小時，抵達這個讓人難忘的老街，唯一的缺點大概只有廁所要等比較久，回程記得提早去排隊。其他的一切都很美好，甚至在人群中艱難前進都覺得開心？樹蕃茄汁真的很值得一試，下山後還念念不忘的好滋味。便當這次去吃了兩間，分別是奮起湖大飯店跟懷舊，都還不錯吃，小米麻糬有機會也可以買來嚐嚐，另外老街中段也有賣燈籠果、櫻花桃等特別的水果，燈籠果當天買單一顆試吃是10元，櫻花桃比較貴，一袋是250～
蔡再發,2 週前,5,
蔡大甲,2 週前,5,停車位有點少，停在斜坡上面時，可以從活動中心下去，距離比較近。
Phát Đạt Lê (Cu Đạt),2 週前,5,"比較安靜。還有非常好的飯盒出售。
住宿服務僅停留在基礎水平，設施還算夠用。"
S K,3 週前,4,10年如一日、是個幽思情懷、見證曾經木伐產業及日據時代輝煌的地方
黃黃,3 週前,5,
聖育,3 週前,4,不是湖的奮起湖
黃正銘,3 週前,4,
Nelly Lu,3 週前,4,有許多特色的小吃，值得一訪
Sueo Maruo,3 週前,4,
陳健瑋,3 週前,4,
Neil Liu,3 週前,5,停車位有限，晚來的遊客可能要停在上坡比較遠的地方，假日警方要開單取締違停的車輛，鐵路便當有多家，個人口味不同，價錢也不同，任君選擇（推薦懐舊便當，不在老街，可問別的店家），老街尚有人氣甜甜圈、愛玉、阿婆草仔粿及米製品、火車餅，不勝枚舉，伴手禮讓人收獲滿行囊，但荷包要大失血
陳盟信,3 週前,4,
包東平,3 週前,4,
張至岩,3 週前,5,
Mariana,3 週前,5,"老街附近很多步道，都規劃的很完善
清晨走走享受滿滿的酚多精，還有各種鳥類可以觀賞"
殷介賢,3 週前,5,
黃小妞,3 週前,5,
陳琪韻,3 週前,5,"美麗的風景，清新的空氣，好吃的甜甜圈，超天然的愛玉山粉圓，樹蕃汁也好喝哦!

病了一陣子了，抱病出遊，才知道在清新的空氣中走走，身體才會舒服些，等我退休，孩子獨立了，考慮到山上租個房，常常去渡假住住運動，身體一定會健康又强壯的。現在雖然、鼻塞、喉嚨痛、肺部不太舒服，還好白天睡一整天了，期盼明天能早起到教會。"
cai john,3 週前,5,
林福壽,3 週前,5,
B許維展,3 週前,5,好玩的地方
C.H. Chen,3 週前,4,下車吃便當🍱
Matt Huang,3 週前,4,很悠閒好逛
邱偉廉,3 週前,3,
shihlien Chen,3 週前,5,很適合吃吃喝喝
邱新在,3 週前,4,好吃的甜甜圈、草仔糕，購買須大排長龍！
蔡朝鴻,3 週前,5,
梁蕭坤,3 週前,4,
許志豪,3 週前,5,
oo Zola,3 週前,5,"到訪時
下了雨，增添不少氣氛
來到奮起湖怎麽能錯過鐵路便當🤤"
houli8plus 9,3 週前,5,還不錯 很清幽 大自然很舒服
Zheng Yu Shih,3 週前,5,平日人潮比假日少很多，但同時店家也開的較少，要注意。
琪珪蔡,3 週前,4,
陳勝一,3 週前,4,
PinHsi Yu,3 週前,5,
邱睿軒,3 週前,5,離車站非常近，有賣許多伴手禮。不過有些地方太過狹窄，人潮容易水洩不通。
