name,setTime,star,content
郭川滕,1 天前,5,
同學蔡,1 天前,5,"夏天避暑好去處～☀️
感覺還沒什麼人知道這邊 假日挺少人的
很多魚～適合泡泡腳"
Joy Chang,1 週前,5,夏天去完全不熱 還可以看到魚
Yeh Wei-Ting,2 週前,5,
Charles Lin,2 週前,5,"好玩
有秘境
要小心"
陳勵志,3 週前,5,
陳舒瑄,3 週前,5,
Y.L. Chen,3 週前,4,
Lai Pamela,3 週前,5,
蘇裕義,3 週前,4,好山好水 親子好去處
劉秀珍,3 週前,5,"第二次造訪
一個很不錯的地方
大人小孩都玩得開心"
王軒,3 週前,3,
yuanchun chang,3 週前,5,"公園分2大部分幼兒戲水河道及林蔭環山步道適合半日遊,林蔭環山步道全程約1小時屬輕型登山活動老少皆宜全程都在樹蔭下免曬太陽."
張芸庭,3 週前,5,消暑的好地方！讚唷！
Andy Lin,4 週前,5,
Hisashi Asakura,4 週前,2,水不是那麼乾淨。
吳明璋,1 個月前,5,
W Shih,1 個月前,5,
Wang marco,1 個月前,5,人少，溜小孩方便
Yen Tsai,1 個月前,5,"我是附近的居民，夏天這裡很涼也很消暑，很歡迎大家來玩、來爬山！但兩周前開始，週邊道路出現了很多垃圾....
這裡的溪是保育溪，山裡還有很多的野生動物，如果您留下垃圾，將對這裡的生態造成巨大的影響！懇請大家離開時相互提醒、帶走垃圾，共同維護這裡的美麗風景和乾淨溪水，謝謝！"
阿雄,1 個月前,5,有山有小溪有小魚，可惜溪邊樹蔭還是不夠
秀貞貴,1 個月前,5,"路過歇息一下很舒服
幽靜 溪水清澈很多魚"
MR HUGO x雨果先生,1 個月前,5,從七堵火車站出來，在七堵郵局搭乘701號公車，大約30分鐘抵達大華三路100號站下車即可抵達，整條步道共有3個涼亭，不過裡面是沒有座位的僅遮陽棚，入口處有張貼禁止戲水招牌，公車班次滿少的最好來之前先查好班次。
鍾侑杉,1 個月前,5,適合大人小孩一起玩水的景點，人多安全，水乾淨，可以看到魚蝦出沒
ya lily,1 個月前,4,
王惠美,1 個月前,5,"基隆市七堵區
富民親水公園&瑪西賞桐步道
原來只想走走親水公園，意外賺到賞桐步道，這親水公園水質清澈又不深，水裡不乏小魚蝦，非常適合闔家出遊。
親水公園後面就是賞桐步道，這次採右進左出，爬坡路段較長，可能左進右出會較輕鬆吧？目前非賞桐季節，但徜徉在蒼鬱森林裡，也讓人心曠神怡，步道不遠大概30分鐘就能繞一圈，走完步道接著玩水、野餐應該還不錯耶⋯⋯"
楊志豪,1 個月前,3,
hsing-yu yeh,1 個月前,1,
余文龍,1 個月前,4,
Virginia Chou,1 個月前,5,平日沒啥人，超讚，乾淨、平坦又有樹陰，適合帶老人小孩跟狗狗一起玩水的地方
台唐橡膠張志鍇,1 個月前,4,
黃疌俞,1 個月前,5,"這裡真的蠻漂亮的，免費的玩水地方很讚！
只是要小心有水蛇😱😱 …"
Sundae Chen,1 個月前,4,有點熱
Rei-fong Chen (睿烽山羊),1 個月前,3,
王廷輔,1 個月前,5,小孩玩水的好地方
Sam Hsieh,1 個月前,5,遠離城市喧囂的溪流上游公園，有不少水淺的地方可以玩水，樹蔭也頗濃密，不用害怕陽光曝曬，非常適合全家一同前來遊玩，路邊有一座活動式公廁，假日來要注意路邊不好停車，建議平日來
閻培倫,1 個月前,5,
阿布（阿布）,1 個月前,5,
