setTime,star,content,seg_result
2 小時前,5,園區很大植物們都整理的很好很用心每一位員工都非常親切CP值很高寓教於樂很適合帶小孩去放電遊玩推推推,園區 植物 整理 用心 員工 親切 P值 寓教於樂 適合 小孩 放電 遊玩 推推
1 天前,5,"園區很大 很多不同主題 很多科學知識
拍照景點也很多 可以逛一整天
有孩童還有集章卡 小朋友到處找印章
逛完園區 集滿印章 還能領小禮物
全園幾乎都無障礙空間 很適合全家大小遊玩
到處都有廁所和垃圾桶 環境都很乾淨
平日的餐廳僅有一家開著 選擇較少
唯一一家有開 蠻好吃的
雖然天氣陰 但很幸運 至少沒下雨
體力活和動動腦 今天很充實",園區 很多 不同 主題 很多 科學 知識 拍照 景點 很多 孩童 集章卡 小朋友 印章 逛完 園區 集滿 印章 禮物 障礙 空間 適合 大小 遊玩 廁所 垃圾桶 環境 乾淨 平日 餐廳 僅有 選擇 好吃 天氣 陰  幸運 下雨 體力 活和 動動腦 今天 充實
1 天前,3,服務態度差其他還好,服務 態度 其他 還好
1 天前,5,適合帶家人孩子們一日遊體驗滑雪場請記得事先準備冬天的外套入場現場也可以花費租借外套等器具,適合 家人 孩子 體驗 滑雪場 記得 準備 冬天 外套 入場 現場 花費 租借 外套 器具
1 天前,4,,
2 天前,2,"本來覺得小叮噹樂園充滿著回憶
長大後帶著小孩造訪很多體驗都寫著故障
其中侵斜屋旁的體驗椅沒有安全帶寫著雙手放大腿沒有說明限制體重跟身高
照著說明使用器材 一滑
四歲小孩直接摔下去嚇傻
什麼爛設計
下一組孩子 玩 碰一聲也嚇哭

石製溜滑梯也不滑
門票有收品質要有",覺得 樂園 充滿 回憶 長大 小孩 造訪 很多 體驗 故障 侵斜 體驗椅 沒有 安全帶 雙手 放大 說明 限制 體重 身高 說明 使用 器材 小孩 直接 摔下去 嚇傻 設計 孩子 嚇哭 溜滑梯 門票 品質
3 天前,5,"門票不貴適合親子同遊可以去走走
目前詢問是戶外區域寵物友善需要繫牽繩室內餐廳禁狗狗
建議自備開水",門票 適合 親子 走走 目前 詢問 戶外 區域 寵物 友善 需要 繫牽繩 餐廳 狗狗 建議 自備 開水
3 天前,5,小朋友玩得很開心,小朋友 開心
3 天前,5,,
4 天前,5,,
5 天前,5,親子的好地方,親子 地方
5 天前,5,隔宿露營好爽,露營
5 天前,4,,
6 天前,5,適合小孩放電大人享受短暫時光,適合 小孩 放電 大人 享受 短暫 時光
6 天前,5, ,
6 天前,5,還不錯,不錯
1 週前,5,,
1 週前,5,好玩,好玩
1 週前,4,適合到一定年齡,適合 年齡
1 週前,3,第一次到小叮噹科學主題樂園是在國小父母未離異時這次趁著孩子們不在這個月票價380時再帶著老婆來此探路找尋兒時回憶,第一 科學 主題 樂園 國小 父母 離異 孩子 票價 380 老婆 探路 找尋 兒時 回憶
1 週前,4,合家人走走,合家人 走走
1 週前,5,,
1 週前,5,滑雪好玩,滑雪 好玩
1 週前,4,,
