name,setTime,star,content
吳小鈴,1 天前,5,等漲潮時再來風景才會漂亮，早上來太陽還不會很曬也逢漲潮很美，中午之後就會開始退潮
逆天仇,1 天前,5,
菁菁葉,1 天前,5,
冼文騰,2 天前,3,
金顺子,2 天前,5,要查好潮汐時間退潮和漲潮景觀看起來差很多
裘裘肉,4 天前,5,
Ivy cheng,4 天前,5,要看潮汐的景點，漲潮時蠻適合來走走拍照的📸，旁邊還有剉冰可以吃🤭
Jerry,5 天前,5,建議滿潮探訪，風景比較佳
呂冠賢,5 天前,5,
徐瑞伶,6 天前,4,
George Yang,6 天前,5,
簡小憶,6 天前,5,美
小小,6 天前,4,這景點在二崁聚落附近，可以順便來走走雙曲橋，記得要漲潮的時候來，因為退潮的雙曲橋沒那麼美（完全沒有藍色海水）
坤義王,1 週前,3,
賴宗億,1 週前,5,
Ryan Lou,1 週前,5,
九十分,1 週前,5,
詹竣翔,1 週前,5,看看風力發電
Lin Leox,1 週前,3,風景不錯。
jennifer,1 週前,5,
江昱廷,1 週前,3,
林小羊,1 週前,5,
張甄庭,1 週前,4,退潮的時候去，就沒那麼好看了
米果,1 週前,5,退潮時間無法拍出美麗的藍色海水
江晨右,1 週前,5,網美景點
緋比,2 週前,5,"拍色天氣：陰天
基本上是很涼爽
如果天氣好的話一定會很好看更美
基本上停留的時間不會太久
但一定可以拍出美照"
廖竟妤,2 週前,5,"一個很人工的橋，不過，這次看到了沒水岩石裸露，和漲潮的時刻（有湛藍的天空更美，不然灰濛濛的），最重要的是等到超美的夕陽餘暉，同一地點，三種不同風情....
這裡完全沒有可遮陽的地方，幸好人潮不多，真的要留意，實在太熱了，得小心中暑！
水質清澈透亮，周圍有台階若有空閑，還能下去觀察潮間帶生態！（不過仍是得小心礁岩）！"
303 13鄭宇倫,2 週前,3,
佩佩,2 週前,5,
楊雅婷,2 週前,5,
Ghhjjj Hhh,2 週前,1,
劉嘉雯,2 週前,3,
黃小韜,2 週前,4,美麗的海邊景色
李宇峰,2 週前,4,車可停廟前。漲潮時比較漂亮，旁邊還有池西柱狀玄武岩的小景點。
C P SU,2 週前,5,
Ren Liu,2 週前,5,
郭鎮維,2 週前,4,
婉婷,2 週前,5,
蕭詠淳昆蟲一,2 週前,4,
小饅頭,2 週前,5,
Patty Lin,2 週前,5,適合拍照的地方，但是小孩如果走路需要注意
Han,2 週前,5,生態很棒 水源清澈可直接看到水中的魚蝦
Old Ku,3 週前,5,很特別的地方，角度抓一下也可以拍出基礎網美照，風平浪靜或是清澈海水就看運氣了，推薦過來拍照的景點。👍
Cheng Celeste,3 週前,5,"建議多做好物理防曬，避免曬傷
雙曲橋建議漲潮前往拍照📷，拍照起來效果更好👍🏻"
1225 wu,3 週前,5,
George Tseng,3 週前,4,"建議不要在退潮時間來...。
四顆星：順路可以去。20230802"
仲夏蜀葵,3 週前,5,"很適合拍網美照的地方
一定要來走一走"
吳小羊,3 週前,5,
羅孟銣,3 週前,4,這裡可以玩立槳，適合小朋友來玩
bruce cc,3 週前,4,橋感覺有點舊了，風蝕的痕跡斑斑，不過海景還很漂亮。
Jose Lin,3 週前,5,漲潮跟退潮拍照各有不同感受。
zeus zhao,3 週前,4,要趁還沒有退潮的時候比較美
Akhmad 123,4 週前,5,
andacute liu,4 週前,5,拍不出網美照，又逆光，但不影響留影的紀念
張家豪,4 週前,4,
賴怡君,4 週前,4,
黃世宏,1 個月前,4,
吳建忠,1 個月前,5,
火焰蔡,1 個月前,5,漲潮超美的橋
KuoQin Yan,1 個月前,2,沒有什麼。
Tim Yao (大餅),1 個月前,5,
Chuang Mandy,1 個月前,5,網美打卡景點，藍天白雲、海平線，搭配白色的雙曲橋，拍起來真的漂亮。
芳芳兒,1 個月前,5,又是個很美的地方，一樣要抓好時間有水的時間😂😂
曹瑞生,1 個月前,5,涼亭很涼爽
鄧啟華（chi hua）,1 個月前,5,
雲中君,1 個月前,5,"可惜是白天來,晚上燈光下更加浪漫"
haussmann CHIOU,1 個月前,5,
黃作烋,1 個月前,4,
kevin chen,1 個月前,3,
