name,setTime,star,content
靈子,2 週前,5,較為冷僻的地方但完全不影響他的美，騎車進來走一下就可以欣賞這邊的風景，我坐在岩石下寫生一下午還是只有我一個人，若是喜歡人少點的景點，可以來這邊
Peggy wei,1 個月前,5,"偶然在不厭亭對面望著他
來一探究竟～～
人煙稀少～有點熱
沒有遮蔽物
地上小石子路小心留意
基本上沿路平坦喔～

PS.有點荒蕪探險感的地方"
momo stle,1 個月前,1,"不要有人來！
有這個地方就完美了
所以給一顆星
大家不要來：）"
何懿倫,1 個月前,5,
andy Ke,2 個月前,5,冒險的好地方
Unkai Garden,3 個月前,5,
Marco Lin,3 個月前,5,地質特別，很美的地方
Chris Yu,3 個月前,5,360度的視野 有山有海有茶壺 有礦脈有怪獸 很容易親近如果走對路的話 超級享受清淨清幽的地方 不厭亭 五分山 視野風景都沒這裡好 露頭凌絕頂 一覽眾山小👍
Jhe Wei Syu,4 個月前,5,"比起象山更有一點點挑戰性，
但真的很美很漂亮，超讚
山海的美👍🏻👍🏻👍🏻 …"
雲山水,4 個月前,5,看似河馬頭的小金瓜露頭……
soloand H (寒索洛),4 個月前,5,"天邊外的天邊/
1.「在九歲小孩子的心目中，這塊土地上什麼都有可能性。它是無限的永恆，伸展到宇宙的邊緣。
我住在美國東北部的布爾克夏山，有時候爬到屋後的小山頂向西遠眺，彷彿見到四十多年前，兩千哩外科羅拉多高原的老地方。我想起小時候爬到乾草堆頂上，四面八方一望無際，在天邊外再往西才是洛磯山。但，有時候我居然瞧得見...」
(節錄自美國作家Hal Barland/
------山在虛無縹緲間)

2.這一天，我們從九份老街底端九份國小旁的崙頂路(阿柑姨芋圓店邊)，繞經欽賢國中上到往樹梅坪的石板古道，一路向山上102號公路前行。
目的只是到公路附近的小金瓜露頭與大粗坑山。
路程很好走，不到半小時，我們循著步道旁的陳舊指標上到了小金瓜露頭。
露頭是一些岩塊崩出地表、堆擠隆起的小山頭。上面空間很小，就一個小客廳大。上去時，面對基隆山、茶壺山與基隆金山大海岸的視野面有一塊可以坐一個人或兩個人的小岩面。但，位置腳下也就是崖邊，大概有三五公尺或更高的落差。那時已經有一個留鬍子、高高瘦瘦的壯年老外靜靜的坐在哪裡，靜靜的在眺望著前方的山海遠景(也是這個場景讓我想到了前面的那篇短文，於是拿了文章的起頭來借用)。

3.四周非常的寂靜。我們沒來之前，大概這裡只有他。
這塊看起來可以說是其貌不揚，一半裸露一半雜草叢生的地方，是那麼的平常，甚至連平常的評語還稱不上。
簡單跟他打一下招呼，不好意思打擾別人的清靜。我們先過去前方鐵塔上面的大粗坑山。那裡視野更高，但沒有場景可以好好的坐下來。
這裡遊客不多，當然假日就不得而知。
不錯，「在九歲小孩子的心目中(或任何年齡層)，這塊土地上什麼都有可能性。它是無限的永恆，伸展到宇宙的邊緣。」

4.改天，一樣的平常日，我們會舊地重遊。因為，我們想知道，在這塊不施胭脂的山頭高地，天邊外的天邊，到底能看得到那裡。"
李志堉,4 個月前,5,視野遼闊
TERRY CHUANG,5 個月前,4,景色優美、傳說中的金礦源頭、360度視野、制高點地上有點沙石要小心滑倒
起風咯!,5 個月前,4,路線不太正確
Paul Pai,6 個月前,5,
紫蛍,6 個月前,5,"很容易登頂的小山坡，從入口閘門旁進入，沿著水泥階梯，過一條小水溝後就要左轉上去，去的時候可以看出路徑，但兩邊的草都長很高 🤣
上面感覺是很特別的礦體，風景很好，夏天要注意防曬~"
Google文,6 個月前,5,真的很漂亮的風景
Michael C (MIC),6 個月前,4,不錯，有fu又簡單到達
Chen Oscar,6 個月前,5,
陳振華,6 個月前,5,
Hoo Ricardo,7 個月前,5,較冷門的景點，但若沒去過可以去看看
彭司機,7 個月前,4,短短數百公尺步道，即能登頂。能一窺基隆山全貎及九份山城！
kuo michael,8 個月前,5,輕鬆可達頂端，有不錯的展望
jung oya,8 個月前,4,容易到說可看到很美的view
等一下Ok,9 個月前,5,
吳宜真,9 個月前,5,
Howd,10 個月前,5,天氣好的時候，可以放空～
黃禾瑄,11 個月前,5,
Pei-Lun Chien,11 個月前,5,不到30分鐘就可以抵達制高點的超棒健行處👍上面的視野超讚 不過風有點大要小心
政大-陳秉訓,1 年前,4,
Fitri Anna,1 年前,5,好美...你應該去那裡。輕鬆步行。
你要不要吃哈密瓜,1 年前,5,"小路被芒草掩蓋
石頭有點多
很熱
很棒"
Kenny Chen,1 年前,5,
Peggy Liu,1 年前,5,超美
冰淇淋,1 年前,5,"步道滿短的，
最近的入口處有閘門
🅿️外面可以停兩台汽車，沿線也有一些白線的凹槽處可以停車。
機車可以輕鬆騎進閘門！到最接近的步道入口。

這邊可以走O型
可惜沒有路線地圖可以看
走到某個地方 會稍微不知道怎麼上去石頭那邊 需要仔細找足跡的痕跡

有其他步道的人會經過這邊

石頭上面很漂亮 要小心爬
拍照起來很壯闊
可惜有一些礙眼的電線桿

滿曝曬的 沒有任何遮蔭處哦！有時候甚至沒有風。

路程上去約15分鐘左右
非常簡單的路 中間可能會經過泥路或石頭路
不建議穿高跟鞋👠除非愛美 慢慢走還算ok"
Williams Tsao,1 年前,2,
劉燕親,1 年前,5,
歸剛欸（Lien Yu Chun）,1 年前,5,
Wayne Huang,1 年前,5,登高望遠，值得一遊
Nate,1 年前,5,天氣好的時候視野很棒，可看見基隆山、茶壺山、劍龍稜，但注意很曝曬～
哥吉拉,1 年前,5,
Kevin Lo,1 年前,5,輕鬆賞美景眺望基隆山
王寶勛,1 年前,5,超棒的地質露頭，值得探訪研究
James,1 年前,5,
小粒子,1 年前,5,
藍青蛙,1 年前,3,不用花力氣爬高山，就能遠眺九份、金瓜石、基隆山全景的小小制高點
陳永豐,1 年前,4,風景美麗
Vincent Lin,1 年前,2,可以靜靜地看著 180 度海景
孫素雯,1 年前,5,登高望遠~
劉彥甫,1 年前,5,賞秋芒的絕佳地點之一
Cathy Lin,1 年前,5,"停車：小金瓜露頭入口或是路邊停車
風景：正值芒草季，滿山遍野的芒草，遠拍近拍都很棒！而且週日來人也沒有很多，走路大概10分鐘就可以到頂點，風景很好。"
Jamie Lin,1 年前,5,"20211003
不厭亭-小金瓜露頭-九份
不厭亭往小金瓜露頭這段公路走得有些放空，無窮盡的柏油路，有些不知盡頭在哪兒的感覺，路經前一天因虎頭蜂而被封閉的原定O型路線～大粗坑，下一條左轉，經過鐵柵欄，一路平坦好走，還可遠眺茶壺山、基隆山等較高難度的步道們，很舒適的登山結尾。"
吳俊義,1 年前,4,
羅世慧,1 年前,4,
JOHN CHOU,1 年前,4,"雜草叢生，路旁坡地旁有些許落石泥流
似乎無人管理，有點荒涼"
QL,1 年前,5,"金瓜石地區少數較無觀光客、開車又可方便抵達的美麗景點，不同天氣來會有不一樣的風貌（陰天佈滿霧氣、晴天藍天綠草坪），過去也是礦產的重要採源地，步道仍可看到過去運輸的軌道痕跡。

走到最高點，可以俯瞰整個金瓜石地區的景緻，很寧靜、舒服。"
榮華,1 年前,2,沒什麼特別之處
許智明（Mr. XU）,1 年前,4,
孫志國,1 年前,5,
孫志國,1 年前,5,
黃順得,1 年前,4,
藍明富,1 年前,4,"九份後山最早發現金礦的地方。樹梅坪觀景台再往前約100多公尺，右邊有一鐵門進去就是了，可爬到露頭最頂端，居高臨下風景360度，可俯視基隆山，野柳，北海岸峽灣，陰陽海，茶壺山，大屯山，基隆嶼。
冬天季節，雲霧環繞山間，很有悲情礦山的FU,個人還是對那些廢棄的採礦小坑道，礦石比較有興趣，經過這裡蠻建議上來走走。"
Wu Hammond,2 年前,5,
邱月娟（屁貓的媽）,2 年前,4,
林欣茹,2 年前,5,
Brandan,2 年前,5,
蘇玉盛,2 年前,4,沿路沒遮蔽物 且山路雜草都長高 不好走
N C,2 年前,5,漂亮但沿路路標不清楚
1acia,2 年前,5,360度美景 半山半海 安靜
林玉娟,2 年前,5,視野很好，風很大，可以看到不厭亭，日落的夕照很棒
