name,setTime,star,content
Sean,1 週前,5,拍照，吃海膽
Barry Lin,3 週前,4,澎湖本島北端的小燈塔，有著360度的絕美景觀
Li Jyuan Jian,2 個月前,4,
Winnie WU,2 個月前,5,
Ben,2 個月前,5,冷門景點，立志蒐集澎湖燈塔者必來
Clement,3 個月前,4,
DeLong,3 個月前,5,"通常大家都擠去看鯨魚洞，其實再往後走就能看到小門嶼燈塔，這邊幾乎沒什麼遊客打擾。基本上知道這個景點的人不多，會特別走上來的人更少。當然懶得走路的話還可以騎機車繞一小段路，稍微停在草原下方。這裡絕對更適合拍一些自己想拍的照片，或者是擺出自己最滿意的姿勢，當然最棒的是這裡的每一個角度和風景。
一望無際的大草原，搭配著前方蔚藍的海洋。
海風不斷的往臉上吹拂，彷彿訴說著這邊的自由與純樸。在與旁邊人多吵雜的鯨魚洞形成了強烈的對比，我想這裡就是我最愛的澎湖景點照了。
四年前來依舊是這麼的美，四年後來的人也一樣不多。好險這邊的景點還沒有爆紅。不然就失去她那獨一無二的景色。
仰望天空；俯瞰大地，面向海或面陸地隨你擺拍都可以一鍵換大頭貼。甚至我覺得這裡才是最值得來的地方。"
ling cheng ping,4 個月前,5,
徐小翔,4 個月前,5,騎車來比較方便，開車的話可能要稍微有一段路、但真的很值得來，超漂亮👍
張婉玲,4 個月前,4,
Michael L.,5 個月前,5,這裡可以看日出也可看夕陽、賞無敵海景，真是喜歡拍照的人夢寐以求的絕色景點
Sophia Chen,7 個月前,5,
AMY,7 個月前,5,"非常接近鯨魚洞，非常天然的地方～
風很大的澎湖"
林家德,9 個月前,5,
Sho Merry,9 個月前,4,
吃透透,9 個月前,5,小門嶼燈塔遊客比較少，適合拍照，旁邊可以停車 要步行一下
Aiya Gz,10 個月前,5,普普通通
poopooking2,10 個月前,5,傍晚時刻的景色漂亮，是個適合放空的地方
薛靜微,10 個月前,5,燈塔老舊了，但是還是值得爬上來欣賞風景吹吹風。
Yu-Chu Lien,11 個月前,5,悠閒的看夕陽，幾乎沒什麼遊客打擾
王友文,11 個月前,4,景觀不錯，不過有些散形遊客直接汽車就開上去了還滿破壞環境的
yang朝陽,11 個月前,3,地標景點 經過看到即可吧~喜歡的話 走上去 拍個照留念也可
成方仁,11 個月前,5,可以開車上去 走一小段而已
林坤河,11 個月前,3,
B133-郭煌宗,1 年前,4,舒服遠眺
Jerry Chen,1 年前,5,風景超美
毛絨絨飯糰,1 年前,5,
邱玉娟,1 年前,5,
黃相凱,1 年前,5,澎湖看夕陽很讚的地方。抵達後需要走階梯上坡頂才能看到海景跟燈塔。
林竑宇,1 年前,5,很漂亮！💖
呂小麒,1 年前,5,
Paul 楊 (阿森),1 年前,5,"可惜沒有遮蔭的地方，但視野遼闊可以看海鷗。
另外鯨魚洞在另外一頭，有停車場，停好之後需要步行走過去，天氣熱記得帶傘！"
eva W,1 年前,5,
陳炎能,1 年前,4,小門嶼燈塔位於小門嶼的最西側的小山坡上，可以經谷歌地圖導航，一路騎到路的盡頭，就會看到一條不長的小小階梯往上去即可抵達，也可以從地質搜索館旁邊的陡坡上去，這裡有兩座小燈塔，舊的是黑白條紋相間的鐵製小燈塔，旁邊有一座水泥製的新燈塔，兩座燈塔看似破舊卻位於小門嶼的居高點，這裡的視野遼闊，有著典型藍天白雲與湛藍海水搭配的美麗景色，若是回頭眺望，可以欣賞小門嶼村落，也可以看到小門國小與鯨魚洞，還有，你也會注意到前面小山坡上還有一座塔公或塔婆。
yiwen hsu,1 年前,5,
環島遊樂,1 年前,5,小門嶼燈塔位於大景點鯨魚洞旁在往內ㄧ點，所以可能經常會被忽略。但是這裡無論是地質還是海景都非常棒，天氣好的時候，如果您不趕時間，花一點點時間繞到這裡來，保證超值。
卓天仁,1 年前,5,這個地點好...
許心川,1 年前,5,
sarah Yeh,1 年前,5,真心想隱藏的地點，海景第一排，夕陽在正前前方沒入大海，滿天彩霞映照海面，超美。
謝孟樺,1 年前,5,
Aerolle Ameer Mitra,1 年前,5,令人驚嘆的地方，擁有令人驚嘆的海景和懸崖。地方如畫般完美！
Norman Su,1 年前,3,"很小, 不小心會錯過, 景點嚕"
Tomáš Havel,1 年前,2,
黃巧綺,1 年前,5,
Force,1 年前,5,
MH Samuel,1 年前,5,海天一色的秘境景點，海岬上有完整的石階道可以欣賞藍海與草原相互襯托的美景，意外有收穫的一個特色景點
Yu Ching Lee,1 年前,5,
Randolph Lai,1 年前,4,
gn01777584,1 年前,5,離鯨魚洞很近的一個點，風景很好
ken lin,1 年前,3,
黃吉男,1 年前,4,可以看到很漂亮的海
陳柏良,1 年前,4,
顏文彬,1 年前,1,"小門沒燈塔
説燈塔是外行"
棉木,2 年前,5,
陳錦榮,2 年前,4,堅持聳立
Sam Hsieh,2 年前,5,
ChengKai Huang,2 年前,5,
