name,setTime,star,content
Henry Wu,3 天前,5,適合散步的小鎮
林孟寬,4 天前,5,很有氣氛的地方
Mark Lin,1 週前,5,
劉士銀,1 週前,4,期待整個企劃的完成
鄭錦明,1 週前,4,
nelson chen,2 週前,1,不用特地來…
Alan Chang,2 週前,5,服務人員友善，市集氛圍佳
林順成,2 週前,5,很有質感的市集，很棒-歪腰市集
王昱苹,2 週前,5,
小黑守護者Светлана/Eva/芳,2 週前,5,有手作的一些小東西
江佩娟,2 週前,5,很可愛的小鎮
marley bob,2 週前,5,逛老街
喬鈺,2 週前,5,
梁國祥,2 週前,5,
陳煒鈞,2 週前,5,
心瞳靜語,2 週前,5,寧靜的街道上，難得如此熱鬧，攤位或許不多 但小而美已足夠了 左鎮久違二十年的夜市。
芳玉,2 週前,5,
林香妤,2 週前,5,不說不會知道的地方，好玩很懷舊
連守璋,2 週前,5,有趣的老街
tsu te Lee,2 週前,5,讚👍！ …
Angel Lin,2 週前,5,
Sherry,2 週前,5,
朵一,2 週前,5,
蘇凱溦,2 週前,5,左鎮老街純樸街道好像回到小時候的時光隧道～很悠閒很乾淨
莊政憲,2 週前,5,
簡江立,2 週前,5,
簡楷丞,2 週前,5,
蔡松原,2 週前,5,有趣
江瑤瑤,2 週前,5,好玩但很熱
林怡柔,2 週前,5,
蔡汯賰（Calintz）,2 週前,5,
王TIPPI,2 週前,5,
李GAZWA,2 週前,5,好吃又好玩
賴丁丁,2 週前,5,
hsueh-ling cheng,2 週前,5,
Fang Fang,2 週前,5,
仔慶,2 週前,5,
真,2 週前,5,
X Keberos,2 週前,5,老街熱鬧起來了
yuki yuki,2 週前,5,
juvi wang,2 週前,5,好玩有趣
柯晨芳,2 週前,5,
Yute Shieh,2 週前,5,好玩好吃😋
簡榮文,2 週前,5,
林雨萱,2 週前,5,左鎮歪腰市集
林錦徽,2 週前,5,左鎮歪腰夜市好好玩
hihi karo,2 週前,5,
YuFei Kao (Keiken),2 週前,5,
王玉成,2 週前,5,
王沛云,2 週前,5,
吳柏昌,2 週前,5,特色山城 很不錯的景點
tatkhiam tan,2 週前,5,喜歡來鄉下的感覺 很純樸
王玉霖,2 週前,5,
Jason Chen,2 週前,5,左鎮已有百年的歷史，但由於台20線的開通雖然交通便利了，卻也帶來人口的流失與經濟活動的轉移。現在的左鎮是一個人口大量外移居民嚴重老化的偏鄉。有一群熱血有理念的志工們正在努力改造與復興這個有百年歷史的小鎮。
繼安周,2 週前,5,"讚~左鎮老街慢慢有一群人""耕耘""再造 一定會去造訪的........"
Elaine Lee,3 週前,5,"一眼望盡的老街
濃濃古早味"
Fanny,1 個月前,5,有竹陀螺體驗活動，很有趣！
Kiki_ohya在這裡,1 個月前,5,老街已荒廢許久，近年再造，已不同於以往沈寂之樣，老街上目前營業的店僅有左達商行及沐重光咖啡廳，期待老街未來能有更多特色小店進駐。
Jasmi Lee,1 個月前,5,"超小老街
平日都沒有開門"
陳正文,1 個月前,3,規模比較小
買美茹,1 個月前,5,左鎮很美～
小乖諸,1 個月前,5,超級好玩，作品好有質感👍 …
討海人好,1 個月前,5,讚
YWL,1 個月前,5,
張凱莉,1 個月前,5,
jane husky,1 個月前,5,玩 藍晒手工書
奇美實業劉素華,1 個月前,5,
顏光斌,2 個月前,4,
藍乙庭,2 個月前,5,
YES小乖,2 個月前,3,做手作、交朋友，充滿人情味
吳典育,2 個月前,5,支持在地文化創生，很棒的手作體驗，謝謝小波老師的指導
甘喬欣,2 個月前,5,做輕黏土體驗很讚❤️❤️
裘裘陳,2 個月前,5,第一次停留在這個小鎮，帶小孩來走走做手創，是一個很棒的經驗，推薦可帶小孩來走走喔!
甲斐田晴X黛灰,2 個月前,5,"場地不大，但很適合放鬆心情
手做體驗的老師很親切👍"
夏盈姍,2 個月前,5,雖然小小的 但開始看到一些改變～ 還有有趣的體驗活動❤️（黏土體驗的老師很親切💯
江秋生,2 個月前,5,
詹宜臻,2 個月前,5,手作鑰匙圈 很有趣
heidy hu,2 個月前,5,
凃妃燕,2 個月前,5,
洪雅琴,2 個月前,5,很棒的黏土創作體驗
ARTHUR mai,2 個月前,5,
陳阿珍,2 個月前,5,老屋新生，很棒
Shinney Liu,2 個月前,5,很棒的黏土體驗
蔡世勛,2 個月前,5,很棒
江柏輝,2 個月前,5,端節活動-趣味拉花舞龍
Winnie Lu,2 個月前,5,很用心的修復老房子 搭配端午活動 在附近的話值得來看一下
Da-Ming Wang,2 個月前,5,
張䕒文,2 個月前,5,
Apple Yang,2 個月前,5,左鎮老街～街道很有歷史痕跡與人文風味，推薦愛文化的人，可以走訪👍
莫旋坤,2 個月前,5,看到阿嬤家漸漸的越來越有生氣～自己也感到很開心，歡迎大家一起來左鎮逛逛看看
林雅慧,2 個月前,5,親子手作舞龍，濃濃的端午節氛圍！
邱詩婷,2 個月前,5,"古色古香的老街
值得來一趟
懷舊之旅"
薰衣草,3 個月前,5,不知道怎麼形容 一條走三分鐘走完的街道 路過拍照配合藍天 很美
Jackal Wu,3 個月前,1,說實話 是真的沒東西可以逛 可以再加油
羅國瑋,3 個月前,5,
呂俊諺,3 個月前,5,
邱顯誠,3 個月前,5,
Ark M,4 個月前,4,順路經過，雖然點小小的，但看得出很多人對文創產業發展的貢獻
Jokey Weng,4 個月前,5,
王一兆,4 個月前,3,
Evelyn Su,4 個月前,5,
客人,4 個月前,1,大約100多公尺，其中有幾間像空屋的房子。
