name,setTime,star,content
龍龍,2 天前,1,以為會有老師傅在現場黏麵人 結果只是一般的 泥土教室....
张孟煌,3 天前,4,小孩可以玩好久！裏面也有餐廳!
黃鴻明,3 天前,5,
簡郁婷,3 天前,4,可以捏麵DIY，造型可愛，適合想體驗的人
楊曜丞,4 天前,4,遛小孩的好地方方
皮卡丘888,5 天前,4,
張恩啟,5 天前,3,
林小義,6 天前,4,親子同樂的好地方唷
黃勝堂,6 天前,4,適合親子，悠閒用餐
珊黃,6 天前,2,館場內容貧乏，環境動線雜亂，廁所衛生不佳，只有DIY可玩，假日配一個或兩個協助人員，只能顧一組客人，協助人員兩分鐘簡單解說如何製作，就不會理你了，或者你運氣好協助人員願意從頭陪伴到尾，一組輕黏土賣220元，提供親身經驗供遊客參考
家瑋張,6 天前,5,
廖彥鈞,1 週前,3,普通，裡面很多小孩
謝淑芬,1 週前,3,
Jill Chen,1 週前,5,好玩有趣，有問題詢問老師都會細心教導。
浣熊林,1 週前,5,園區不大，但夠小小孩玩半天，打發時間，DIY黏土很不錯有樣品可以跟著做，館內人員也很熱心，會主動解說~
琪珪蔡,1 週前,4,
李文亮,1 週前,4,有小朋友可以捏麵人（要買才材料），有表演藝人在此演奏，有餐點有咖啡廳有冷氣可吹。有國寶級大師在此捏麵人，技術一流。
林冠翰,1 週前,5,
邱元夆,1 週前,5,我很喜歡欣賞捏麵文化，可以看到台灣過去的風土人情，巫家捏麵館內的作品，就是保存許多以前台灣特有而逐漸消失的文化，值得來走走看看。
Mickey Xu,1 週前,5,"可以看到傳統技藝的地方
有很厲害的捏麵人保存著
有小朋友喜歡的DIY
需要購買材料
還有分解的作法可以對照著做
免費參觀，有停車場
裡面還有路易莎
按讚、打卡還可以扭蛋，有小禮物🎁"
政信李,2 週前,5,
陳勇彰,2 週前,5,
謝文彬,2 週前,5,
簡進 益,2 週前,3,"帶小朋友來體驗親手雕塑樂趣、培養創作、想像能力,重點費用不高"
魏國任,2 週前,5,小孩走走，學習的好地方！
Jason Lin,2 週前,5,
弘爺,2 週前,4,想知道關於捏麵人的文化，在巫家捏麵館可以得到解答，現場也展示許多捏麵作品，並告訴大家玩黏土的好處，只要是小孩子們都愛玩黏土，透過動手創作中培養創造力，看到他們的作品，隱約中都能感受到他們玩黏土興奮又快樂的心情！
Melody,2 週前,5,有小朋友可室內遊玩的小滑梯，跟糖果屋可拍照，室外有地下水水池可玩，夏天玩超冰涼，又消暑，玩一玩餓了渴了室內有路易莎咖啡，可以吃吃喝喝，超棒的
妮可捷婕,2 週前,4,假日親子活動好去處，本來要去戶外景點，突然來一場大雨，發現了這個捏麵館，買完材料，小朋友就可以親手DIY，今天學會了配色邏輯，透過觀察各種捏麵範本步驟就能成形，現場還有輔導老師協助，一份材料可以玩上1-2小時，做出至少10種以上的作品，連三歲小孩都可以發揮創意完成產品喲！
hansbird08,2 週前,5,
麗紋賴,2 週前,4,
林哲慧,2 週前,5,
Nancy Chiang,3 週前,3,
WEI LIN,3 週前,5,"第二次來玩，隔了4年左右，環境有變得比較好，參觀的人也多了很多。小朋友可以買黏土坐著玩，大人可以喝杯咖啡休息一下。

滿適合家庭旅遊的一個休息站"
黃欣怡,3 週前,3,
wen lichin,3 週前,2,除非想讓小朋友玩超輕土，否則毫無可玩可看之處。
林俊延,4 週前,5,
林德銘,4 週前,5,對喜歡做勞作的小孩，是很有趣的地方
陳思儒,1 個月前,5,
怡菱傅,1 個月前,3,內有紙黏土的DIY，有老師教學，也有販售咖啡和簡單的食物，及街頭藝人表演，小朋友在這可以玩很久。
周家鴻,1 個月前,5,好的
小華蔡,1 個月前,5,遛小孩喝咖啡聊是非的好地方
王舜民,1 個月前,5,
巫佩珍,1 個月前,5,很適合爸爸媽媽但小朋友一起去逛逛❤️可以一起做捏麵人還可以讓小朋友放電 裡面還有路易莎可以喝咖啡吃漢堡 也很適合朋友一起吃下午茶
巫宗席,1 個月前,5,一個可以很自由拜訪的休閒景點
袁義雯,1 個月前,4,
黃大都,1 個月前,5,本來以為只能待半小時，最後待了三小時
蘇合號,1 個月前,5,大熱天的帶孩子來這裡殺時間，冷氣很冷，又有免費的停車場，又免門票費，餓了有簡餐類可吃，也有咖啡點心可吃，裡面有賣黏土，讓孩子可以玩弄創作。
Kelly Huang,1 個月前,5,"天氣炎熱遛小孩的好去處，室內溫度很舒服，可以待在這裡一個下午吹冷氣，還會有巡場的老師教學做黏土，也有路易莎可以喝喔！外面還有可以泡腳跟魚池餵魚
消費比起地方觀光工廠算是平價了"
李佳憲,1 個月前,5,
涂峻豪,1 個月前,5,很適合親子同樂的地方！
謝咻咻,1 個月前,5,業主提供造型的製作順序參考，讓小孩自己觀察跟製作，老師會簡單教學跟指導！
張**,1 個月前,5,非常推薦👏親子值得一去 …
Peter Luo,1 個月前,5,環境悠閒，舒適，放空好地方
john joe,1 個月前,5,可以作為一個中途點休息喝咖啡
Loud Pig,1 個月前,5,很棒的地方
drango drango,1 個月前,5,孩子開心的好去處
lulu chen,1 個月前,4,大於五分鐘就可以出來了
Una Wu,1 個月前,5,
吳淑茵,1 個月前,5,免門票費，可進入參觀，館內有路易莎及小型餐飲區，現場也有相關產品可購買，還有DIY材料包（好像200元起，平價），且有人員可協助DIY，整個行程至少可以待個30分鐘以上。。。
鄧雲舟,1 個月前,4,
Torng,1 個月前,5,
博雅君,1 個月前,5,小朋友很愛，吃吃路易莎，休息好地方
chunhua chen,1 個月前,5,太有趣了這！本來想說姑且陪玩的，但沒想到透過老師講解後，越來越激發潛能。但做到中段卻發現跟樣品實在差太遠不知道如何解救而一度失去信心，迷失了自我。所幸看到孩兒們的成果，又將我的小宇宙點燃，完成了我的《滿臉刮鬍泡柴犬》。從大家一起充滿自信，到跌落谷底被親愛家人嘲笑與旁人冷眼，又熱血滿盈得到無數掌聲的站上巔峰。咦～只是捏麵人呀～怎麼有心情洗三溫暖的感覺。
楊峻維,1 個月前,5,
Yi Ting Liu,1 個月前,5,
jane kao,1 個月前,4,
Cunhao Wu,1 個月前,5,2023.07.06平日造訪，不需要門票大約3組參觀家庭，好看好玩也適合小孩放電。現場還可以直接購買成品捏麵人跟自行買材料包DIY，適合殺時間溜小孩。還有戶外火車（需投錢）、餵魚、滑草，因太陽太大來不及全部逛完。旁邊還有路易莎，參觀累了還可以喝杯咖啡～讚啦。現場買材料包還有步驟圖可以參考，製作中也可以找老師求助唷～～真的是個不錯的觀光景點。
日妍美學 TOP BEAUTY,1 個月前,5,
WEI JHEN Wu,1 個月前,4,
林志杰,1 個月前,5,
郭書綸,1 個月前,4,"可以到現場選你想做的造型然後再去買黏土製作
後面還有小火車可以坐，有樹蔭
還有一池不怎麼吃飼料的魚…不推薦花20元買飼料
停車很方便！室內冷氣些許不夠涼"
溫智華,1 個月前,5,
陳妙華,1 個月前,5,
七郎會,1 個月前,3,
周淑媚,1 個月前,4,夏日溜小孩的好地方
邱禎泰,1 個月前,4,
楊小肥,1 個月前,4,假日親子休閒好去處 ，捏麵館可選擇各式卡通圖案，再去購買所需黏土。也有小火車和一些投幣式遊樂設施可供小朋友遊玩。園區有簡餐館和路易莎咖啡，可休息享用餐點。
li A -Quei,1 個月前,5,適合小孩的地方，而且有專人指導玩捏麵人
哇哩勒,1 個月前,3,"喜歡動動小手做點造型的地方
大人小孩蠻適合的"
天真,1 個月前,4,
Lee cameo,2 個月前,3,
吳勻馨,2 個月前,3,
Bochun,2 個月前,5,溪湖高中代表，安靜舒服又有插頭
Garfield Chen,2 個月前,4,捏麵的認識與體驗，適合陪小孩子玩。
温子賢,2 個月前,5,
彭冬華,2 個月前,5,
廖素素,2 個月前,3,
山田花子,2 個月前,3,有很多土色鯉魚（笑）。廁所比較舊，不干淨，但是很大。這裡很安靜，所以有一種廢墟的感覺，但我能夠欣賞到神秘的展品。
沈宇庭,2 個月前,5,
圓圓,2 個月前,4,適合喜歡捏麵人DIY，如果只是單純想逛逛就比較不建議唷！
cheng大鄭,2 個月前,5,舒適的地點，可以再光臨。
EASON CHEN,2 個月前,4,
林健明,2 個月前,5,
騎士龍,2 個月前,5,
蕭宏德,2 個月前,5,"這是一個很不錯的好地點，很適合親子全家共同參與的活動，動動手 動動腦 運用創意，參觀免費，主要是讓你花錢買紙黏土來DIY,屋中有許多桌椅，大人小孩都能加入其中創作，冷氣夠涼,可在裡面待上兩三個小時都沒問題；內部還有 路易莎咖啡，冷熱飲 小點心，吃喝手作都方便 ！"
Lee kate,2 個月前,4,
YuSing Chang,2 個月前,5,
Hank Tsai,2 個月前,5,"免門票 可以遛一下下小孩
蚊子較多 別忘記防蚊液呦"
蔡梆梆,2 個月前,4,
Recall,2 個月前,4,內裝偏舊一點 但可以讓孩子玩玩水看看捏麵娃娃 也可以DIY 長輩也可以聽聽現場演奏的薩斯風 感覺還蠻愜意的 蚊子多到是真的
陳紹煒,2 個月前,4,
Aa A,2 個月前,4,
卓馨婷,2 個月前,5,一捏就能捏很久。樣本超多不怕不知道捏什麼。
施慧珊,2 個月前,4,
霍華德,2 個月前,4,
Frank Wu,2 個月前,4,
彭漢忠,2 個月前,1,歇業中的感覺，停留不到3分鐘就離開了
阮弘元,2 個月前,4,
Andy Wang,2 個月前,5,
蔡jared,2 個月前,5,
ken chung,2 個月前,3,
阿恩,2 個月前,4,有很多停車位 捏麵的介紹很有趣 有很多作品 有DIY活動可以預約
豆腐ni,2 個月前,5,"小朋友在這裡捏麵很開心
適合帶小朋友來體驗
老師也很親切
耐心教導"
梁忠義,2 個月前,3,看各人
