name,setTime,star,content
蘇釗義,22 小時前,4,風景很美，路況很差，瀑布下方可以站立的石頭非常滑，容易造成意外，建議大家看看照片就好盡量不要前往有發生意外的風險！
jia500429,5 天前,5,暑假的好去處 👍👍👍 …
李永欽,3 週前,4,天然的美麗景觀，從山莊到瀑布需經過一片茶園約15分鐘到達
巫憲裕,3 週前,5,
Yao-Ting Chang (David YT Chang),3 週前,5,有著沁涼的水氣 和 炫麗山崖的秘境！
圓圓,3 週前,2,路徑狹窄不易會車、雖然從停車點到瀑布沒多遠、但有幾處路段安全性都不夠、瀑布下的大石拍照點亮光光會滑倒、景點很小人多根本沒地方站、不適合老人小孩前往
李萍,1 個月前,4,
蘇瑞國,1 個月前,5,水量豐沛，渾然天成
黃家進,1 個月前,5,經立力行產業道路到達帖比倫山莊，再步行約20分鐘，下探瀑布時較為陡峭需攀爬，瀑瀑氣勢磅礡，風景優美，走森林步道可至上游溪流，途中可見泰雅族居住過的遺址。
Kenny Wang,1 個月前,5,
羅炳烽,1 個月前,5,
王明鵑,1 個月前,5,"帖比倫瀑布是一個夏天值得去玩的景點，

還沒出發時，心底就感覺能去看看藍天白雲，呼吸芬多精，本身就是一種幸福，

沒想到到了峽谷中間後，還要往下走，可那陡坡的石頭實在是間隔太大，以我的小腿是下不去的，

因此，我選擇了在樹蔭底下一邊等他們一邊吃著自己帶來的簡單野餐，

一個半鐘頭後，他們看完瀑布也用了午餐，才回來與我碰頭，一起再往回走，

經過了紅香溫泉，我與另兩個愛泡溫泉的伴侶一起下去泡腳了！

想想自己的年紀，其實也不適合去類似登山步道的旅遊，可是，真不去的話，也會令我與大自然接觸的機會，所以我覺得還是值得的，"
Abin Huang,2 個月前,4,
王欽鑑,2 個月前,5,隱藏在深山的密境，不虛此行
MythBuster TW,2 個月前,5,"(2017.12)
擁有湛藍水潭的美麗瀑布～
費時：如果把機車停在鐵門外，步行到瀑布大概需20-30分鐘
難度: 下去需要繩子輔助，小心一點難度不大，但對小孩子或是行動不便的老人家可能就要稍扶一把 （其實這地方對於年紀很大的老人家不建議來，因為回程的時候有看到因落差大阿桑上不太上來，所以坐在一邊等其他同隊的人）
其他提醒Reminding：週末遊客多，建議早點出發才不會人擠人"
黃朝楓,2 個月前,4,自然原始的步道，特別的迴旋式瀑布，特殊的七彩岩壁，唯獨步道上有三段高低落差比較大的地方，需要攀繩而下，太年長的長輩或年幼小孩需要多加注意，瀑布旁有顆很大的黑石頭，表面很光滑不建議往上爬行，一旦落入水中，拯救不易！
巧巧,2 個月前,5,
童童,2 個月前,5,
黃琦茵,2 個月前,4,
吳易展,2 個月前,5,很不錯的深山峽谷，只是有點兒遠啦⋯⋯
周柏岑,2 個月前,5,
Chihhsing Hsu,2 個月前,4,
Yiwen Chiang,2 個月前,4,
劉坤榮,3 個月前,3,
Jeff,3 個月前,5,"特意拜訪帖比倫瀑布，帶著老婆、四歲兒子與兩歲女兒，前往路況好許多的力行產業道路。
紅香部落應是我第六次到此一遊，每次來心情都特別興奮，紅香似乎比較少遊客來，所以人車都不多，出外遊玩這感覺特好！
帖比倫瀑布，其壯觀且美麗，讓人身心整個放鬆下來！
非常建議挑戰，但必須注意自身安全為上。"
大仁哥,3 個月前,5,很美
鄭勝憬,4 個月前,4,
黃炳榮,4 個月前,5,"風景優美很好拍照的地點
烏心石滑行走時要特別小心"
陳建志,4 個月前,5,風景優美~
江德清,4 個月前,5,"風景優美秀麗，步道需要攀繩
一番辛苦換來柳暗花明又一村
感嘆大自然"
耍寶志,4 個月前,5,很久以前去過 下次帶空拍機來造訪
y.f chang,4 個月前,5,好玩、景色優美、須攀爬
陳弘德,5 個月前,5,
P Princess (皮公主),5 個月前,5,
Wei Lun Huang,5 個月前,4,由三個深潭組成的峽谷瀑布，適合放鬆一下的秘境地點。在山莊停車後步行約20-30分鐘即可抵達。最後路段需拉繩下切及上攀。
林豐信,5 個月前,4,非常漂亮的瀑布，氣勢磅礴。體驗大自然所帶來的震撼
余俊緯,5 個月前,5,
陳永文,5 個月前,1,放鬆心情
吳存目,5 個月前,5,
洪玟羽,5 個月前,5,
吳碧霖,5 個月前,4,
野豬找樂子,5 個月前,5,美不勝收
朱小朱,5 個月前,5,祕境中的祕境
劉醇鴻,5 個月前,5,當地私房景點，因為需繩索小爬一下，到達後便能欣賞到美景，一切都是值得的，岩石會滑要小心
m.c chuang,5 個月前,4,
Randy CHEN,5 個月前,5,帖比倫瀑布極美，路程不長，但需要拉繩下切，小朋友要注意安全，請不要留垃圾，更不可下深潭戲水。（烏溪的上游）
九八七,6 個月前,3,
BeFo Jo,6 個月前,5,值得去一趟的美景，但是中途需攀繩，行動力較不便的不好到達，觀瀑石頭有點滑，要小心行走。
邱志,6 個月前,4,地點輕鬆可達 後段需拉繩 小心慢行
張宇祥,6 個月前,5,瀑布很美!與三五好友前往郊遊玩樂非常適合!
Andy,6 個月前,5,讚👍 …
陳振玄,7 個月前,5,👍 …
Anita Lin,7 個月前,5,
陳水龍,7 個月前,5,
tseng,7 個月前,5,
周聖仁,7 個月前,4,
