name,setTime,star,content
蕭一郎,18 小時前,5,多年前在此買的兩支傘，竟然不約同，一起送修。謝謝。
李芋萩,1 週前,5,投資買一把好傘，可以用5年以上，使用損壞還可以維修，真的很好又不浪費。
郭虹瑤,1 週前,5,雨傘品質好，因為使用不當導致內線都斷裂，回廠維修，商家細心維修，也為小孩添加一支陽傘，遮陽功能👍。是值得回購的商家
王聖賢,1 週前,5,
鍾承峰（小豪包膜、HAO中部總代理）,2 週前,5,Rainbow House傘的品質優、門市服務親切專業，一把傘用了四五年，維修免費還整理跟新的一樣！推👍👍
王小楚,2 週前,5,買了5年多了，傘面很大，晴雨兩用，很防曬，夏天非常需要，免費維修非常棒棒，喜歡~~
johnnie chen,2 週前,5,維修服務很好
simba blue,2 週前,4,"滿有趣的地方,東西精巧漂亮
可惜東西有點少!專程來有點可惜"
徐立芳,3 週前,5,"幾年前買的折傘近日骨架斷了，因為實在太喜歡傘面的圖案捨不得丟，所以送回維修，沒想到居然不需要維修費，真是太感謝了～
超推薦購買他們家的傘！"
林德銘,4 週前,5,網美拍照好去處
陳孝青,4 週前,5,
柯毓哲,1 個月前,5,"許多雨傘裝飾的景點，位於社區之中
旁邊有宮廟還社北極宮，宮廟對面有彩虹跑道"
Alan Hsu,1 個月前,5,3年多舊雨傘，2支傘骨和中柄都壞掉了。感謝店家願意維修，而且還沒有收費，真的是太佛了啦！
HSIAO YUN,1 個月前,5,有質感又好用的傘，還有免費維修服務，用心的店家讚
Siu Lai Sally Wan,1 個月前,5,非常好的售后服務！
林憶純,1 個月前,4,雨傘美品質好，之前購入2.3年的傘有脫線，售後維修服務很棒，值得推薦
Betty,1 個月前,5,雨傘精美好用，購入好幾年後有小損壞，店家提供免費維修，服務良好👍🏻
Freda St,1 個月前,4,"仲夏時節，阿爾沃氣溫約為 33 度。幸運的是，天氣有點陰，所以沒有被曬傷。

車停在北極宮，那裡有8-10個車位。那天是星期二，所以只有很少的遊客。

繞著這個區域走了一小段路，這裡的主要裝飾是雨傘，牆上還有塗鴉。

我建議在夏季以外的季節來，享受慢節奏的散步。"
美惠,1 個月前,4,彩虹傘巷，彩虹傘樹，彩繪村，金黃稲田襯著藍天白雲，後方咖啡館店貓溫和親人
陳琳,1 個月前,5,
王慎民,1 個月前,5,都修好了，感謝。
黃嘉伶,1 個月前,5,
楊旻良,2 個月前,5,服務好，這次送修傘免費，只要繳交運費2-3週內送到址。
Nick Ni,2 個月前,5,服務品質超優，送修雨傘服務一流，大推！
王妃,2 個月前,4,"“伸港-和美”一日遊，離開“白色海豚屋”，我們續往“彩虹屋-卡里善之樹”前進。
“卡里善”是“和美鎮”的舊稱，和美也曾經是製傘有名的地方。彩虹屋（Rainbow House）販售很多精美雨傘及雨衣，有些晴雨傘很別緻，都是設計師的彩繪圖案，價位不便宜，但有傘的獨特性，不太容易跟別人撞傘。
“和美”，也因為“卡里善之樹”，
帶來觀光人潮，站在“彩虹傘巷”，跟各色的晴雨傘合照，效果很好看，和剛買的傘一起拍照，開心好玩。
“卡里善之樹”巷弄無法開車進入，車子可停附近“北極宮”，村落冒險約1-1.5小時可完成。"
駱麗芳,2 個月前,5,許多年前買的傘壞了竟然還可以免費維修，工作人員現場處理並且很快地完成維修，省去送修等候寄回的麻煩，服務品質非常好。
林秋標,2 個月前,5,我去修理雨傘，馬上修理，服務很好
黃怡璇,2 個月前,4,
Oscar Wang,2 個月前,4,"小巧可愛的彩虹村莊～
有數個不錯的拍照點，拍照時注意往來車輛與自身音量。"
鐵雄一號,2 個月前,5,和美鎮除了紡織之外，也曾是雨傘生產重鎮。卡里善之樹利用彩繪與雨傘保存了文化。
張智揚,2 個月前,5,
許明郎（巴郎）,2 個月前,5,卡里善彩虹雨傘漂亮！適合帶小朋友去玩玩!
許若宸,2 個月前,5,服務佳！維修傘骨還發現其他問題一併幫忙處理，非常貼心
"李欣樺SIN-HUA,LI",2 個月前,5,彰化和美的卡里善之樹，有提供免費停車場，平日來幾乎沒什麼遊客，有店面販售雨傘及DIY活動，亦有販售簡單的小點，適合拍照前往
張彗瑜,2 個月前,4,好停車，可以來拍拍照的地方，如果不愛拍照一下子就逛完了，停車對面有一個公園，有滑軌好好玩，附近還有一家美麗珍餅行，蛋黃酥超好吃😋推推來這邊玩的朋友 …
黃俊傑,3 個月前,4,"蠻有趣的鄉間小路...
看得出鄉長或里長有在盡力促進推廣該地"
Fang CHIU,3 個月前,3,
黃彩雲,3 個月前,1,
Dennis Chen,3 個月前,5,"來修雨傘順便拍個照👍

想換個有花紋的傘
但傘用不壞找不到理由有點困擾怎麼辦（？ …"
Sam Hsing,3 個月前,4,鄉鎮村落的改造共榮，透過工藝及彩繪佈置營造村落精彩
Ke Lai,3 個月前,5,之前去現場參觀時買了把星空大折傘，與老婆共用同一把雨傘覺得很適合，後來收傘的時候有支腳無法順利收回，寄回去得到免費維修，現在感覺又像得到一把新傘^^真是服務良好，值得推薦！
羅銘元,3 個月前,4,"感覺是社區跟店家結合的地方
車建議停在北極宮籃球場 在走路進去
巷道小 不易開車
彩虹屋內有提供diy
外面有很多地方可以拍照 網美照
北極宮旁有公園可以讓小小朋友放電"
Chou雨點,3 個月前,5,"造訪時間 2023-05-01
社區結合裝置藝術、走在社區內、好悠閒🥰可愛的彩虹🌈樹、巷子內的雨傘☂️造景、好好拍！
北極宮的停車場🅿️好大、謝謝提供免費的停車服務❤️"
棋云鬼,3 個月前,3,
世界熊仔,3 個月前,5,住在附近，突然看到附近有個這麼棒的地方，推薦各位可以帶小朋友來走走，體驗在地生活！
陳秀菁,4 個月前,4,"4／9造訪，其實就跟彩繪村很像，走走停停拍拍照而已，不適合要找吃的玩的人，很適合網美拍照這樣而已，但不用門票，雨傘樹很吸睛
附近發現一顆很茂密的桑葚樹🥰"
shuyu chen,4 個月前,5,"奶奶家社區的優質雨傘店家！！推薦
傘堅固好用！"
Lisa Tsai,4 個月前,4,
顏昭,4 個月前,5,"很棒的小景點！蠻適合帶小小孩去走走～還有小公園可以玩喔！

**免費景點，但感覺處處都很用心**"
孟,4 個月前,5,"這裡好好拍！還可以自己手繪傘面！
有咖啡廳提供食物野餐～
車子可以停在北極宮，也有洗手間可以借用。"
HENRY CHEN,5 個月前,5,設計了很多彩虹拍照點，非常好拍，停車可以停在北極宮前很好停。
廖珮妤,5 個月前,5,
Kaiying Lin,5 個月前,5,里民親切、周遭拍照景點多
曾宗民,5 個月前,4,
萬昭榮,5 個月前,5,
許麗汝,5 個月前,4,"2023/2/25
車可停廟前廣場
很可愛的村落冒險，彩虹🌈屋可以DIY，有很多漂亮的雨傘☂️可買。
很適合街拍"
吳志鑫,5 個月前,5,很漂亮很特別
亨alla,5 個月前,5,人不多很愜意，帶小孩來走走拍照景點
蕭慶保,5 個月前,4,
蔡琦紳,5 個月前,4,"雨傘的故鄉
拍照打卡很好拍
網紅景點
喜歡拍照可以選平日比較沒人"
Ivy,6 個月前,5,不得不說這家傘店真的售後服務很好，雨傘也很輕巧、攜帶方便、耐用，真心值得推薦給大家👍 …
cha yao,6 個月前,5,有特色的地方景點，人潮沒有太多，可以很悠閒漫步在巷弄之間找尋各個裝置藝術、佈置。
啊心,6 個月前,5,2018年買下雨天都用到現在，只有一根骨架歪掉一點點，一個拖線跟兩個小破洞，而且「這樣維修不用錢還馬上就用好了」，裡面的人也都很親切，非常實用
潘素玲,6 個月前,5,"雨傘花色真美～～
值得人人擁有一把～～～"
49蔡碧芳,6 個月前,5,購買雨傘，還可更換骨傘及全傘檢查，環保且能延續傘的功能，大堆～
Steven Chou,6 個月前,4,地方不大，但是充滿繽紛色彩！喜歡攝影還是能待上一陣子的
王韋棟,6 個月前,5,
YuWei Wang,6 個月前,5,"整個社區都有相同主題的裝置藝術
搭配店家非常的一致
在巷弄內尋找小小的驚喜
非常的令人難忘
推薦到此一遊"
Hung Chuang,7 個月前,5,彩繪傘 棒喔
鐵捲門,7 個月前,2,建議有舉辦活動的時候再過來，應該會比較熱鬧，不然平常就只有社區彩繪可以看
Wenlin Chen,7 個月前,5,"車可停在北極宮前廣場
這是一個小社區
可以看地圖導引
傘可以預約DIY
來這逛逛拍照不錯👍🏻
這次拍的樹已沒傘裝飾 有點可惜"
林經偉,7 個月前,5,
張涵婷,7 個月前,5,
邱汶慈,7 個月前,3,寧靜的小鎮 拍拍照就能走了
馨櫻,7 個月前,5,雨傘很好用，售後服務非常棒，已經回購很多次！
熊君豪,7 個月前,4,
蔡昀霖,8 個月前,5,
邱健融（金久）,8 個月前,5,
清心至尊,8 個月前,5,老闆娘給櫃檯小姐服務親切東西新穎又漂亮價格高貴不貴物超所值良好的售後服務值得到此一遊打卡
weiting chang,8 個月前,5,文青小區域，拍拍走走滿不錯的，雨傘的布料花色質感很好，已經使用3年了，這次傘骨歪掉送修，拿回時就像全新狀態一樣，謝謝老闆
黃Jason,8 個月前,4,很棒的地方，賣傘的店，很用心ˊˊ
馨慧,8 個月前,5,"之前買了一支雨傘，用了好久
很輕也超耐用的。前陣子風太大，桿子被吹歪了
拿來修理（目前有免費維修服務）
在這裡買雨傘不只品質好還有保障唷😘😘😘
大推！能順道一遊這賞心悅目的小地方"
劉素玉,8 個月前,5,維修服務很讃！貼心👍
皮,8 個月前,3,造型樹跟旁邊的雨傘可以拍拍 其餘附近景點可以不用去 只有這邊好拍而已😅
張永昌,8 個月前,4,2017年初訪，於2022年11月再訪，維護的很好。
Dwi Risza,9 個月前,5,
柯奇君,9 個月前,4,"可以待個一小時，散散步走走滿不錯的，有幾個景拍起來很好看
但畢竟不是完全觀光地區，點與點的途中就是都一般住家"
YingChi,9 個月前,5,可以買到品質還不錯的傘😆 …
顏亦漩,9 個月前,5,拿折疊傘回來維修，在使用時被風吹到開花，造成零件脫落、傘骨歪掉。除了零件的維修，工作人員也很仔細的幫我檢查整隻傘的其他狀況，覺得很棒。因為是小維修所以現場等候大概10分鐘就能完成。
JC JC,9 個月前,3,
Hsin Huang,9 個月前,5,"有提供免費維修的售後服務很棒👍

以前雨傘不小心壞了只能整把丟棄，自從在卡里善買了之後，都不用擔心了！
晴雨傘已經使用五年，還是很喜歡👍"
姚希希,9 個月前,5,
Party Wu,9 個月前,5,2年前去彰化玩，無意間路過此地順便造訪了彩虹屋，是一間小小的商店在賣傘，商店周邊和巷弄裡有一些些彩虹和傘的可愛造景，社區住戶不多，是個很適合來安靜地散步走走的地方，社區旁的大廟前面也有一座公園可以放風小孩，當時的店員很親切有耐心的介紹商品，當下就買了支傘回家，傘面大且耐用，直到近期傘骨壞掉寄回彩虹屋，很快就收到修好的傘被包裝很好的寄回來，並且附上親筆紙條，覺得備感貼心，是個很有溫度充滿人情味的傘屋！
郭瑞芳,9 個月前,5,
zi zi,9 個月前,5,"一拿到想說這也太輕了吧
傘面又很大，太驚艷了
現在出門都帶這把
超喜歡❤️❤️

然後陸陸續續⋯已經敗了6把了"
