name,setTime,star,content
jennifer,1 週前,5,
Zeng YI-Quan,1 週前,3,
Sue H (姝),1 個月前,5,
葉韓毅,2 個月前,5,環境優美
A,2 個月前,3,太秘境了 車不好停 沙很硬 哈哈
まい（舞）,2 個月前,3,"就是沙灘 很多貝殻 三分
完全沒人 滿漂亮的
跟著Google map 走都是小路"
許庭瑜,3 個月前,5,
Ko-Chiang Hsu,4 個月前,4,暖暖的陽光，微風~
Lynn Elpis,7 個月前,5,
鹹酥雞,1 年前,5,人煙稀少的沙灘 在林家由故居附近 是個悠哉愜意的海邊 快到海邊路面不平整有碎石 騎車要多注意
ko kin,1 年前,4,算是要在地人介紹的祕境，退潮時能玩玩水，能看到海參寄居蟹及小螃蟹海膽小魚等，帶小孩來很有趣，可惜對岸漂來一堆垃圾寶特瓶煞風景……
蔡佳玲,1 年前,4,
方志清,1 年前,5,澎湖必遊景點
林清輝,1 年前,5,風景類似摩西分海景色。
蘇錦華,1 年前,4,
蔡育昌（JohnnyT ROC）,1 年前,3,
顏文彬,2 年前,5,"好潔淨的沙灘
當然
刮大風後還是會有海漂垃圾
觀賞夕陽落海最好地點
曾經在此連續拍到四天
也曾經拍到綠閃
如果不知綠閃是什麼
就上網查一下資料"
子豪™,2 年前,5,
benson yeh,2 年前,5,
antony615x,2 年前,5,
Sarah Shewey,2 年前,1,到處都是垃圾😿
童心怡（TONG）,2 年前,3,如果開車不建議進來，路非常小條務必注意。
建文,2 年前,5,
YuShu Xu,3 年前,4,
Steven Chen,3 年前,5,"夕陽無限好
人潮只有我們
包場的好地方"
老王,3 年前,4,
陳嘉偉,3 年前,2,
摩根費里曼,4 年前,5,水很漂亮很乾淨，遊客不多，游起來很舒服
Eating,4 年前,5,大家要早點到這裡～不然退潮什麼也看不到qq
Wei,4 年前,5,優質的澎湖在地沙灘環境，交通方便，觀光客人潮多，相當推薦前來欣賞美景及放鬆
Xu Xu,4 年前,5,
蘇萊恩,4 年前,5,"來這之後心情變得很低落…
人類到底對這世界做了些什麼？"
吃喝玩樂日誌max,4 年前,5,
王觀宇,4 年前,4,
Kuo Lily,4 年前,4,是很漂亮，但垃圾真的多到可憐，附近沒有救護人員看管，所以不要隨便下海玩，是小石頭沙灘很美，還有Google map會亂帶，雖然還是帶到目的地，但走到懷疑人生～
cunsi zi,5 年前,4,
李佳琪,5 年前,4,好棒的沙灘，完全都沒人，沙子由珊瑚及貝殼型成，雖然有一些垃圾，但帶小孩或帶女朋友去檢貝殼真的很不錯
張竣傑,5 年前,4,很多螃蟹和寄居蟹 還算不錯的拍照地方 但游泳戲水不適合
lingchen Wei,5 年前,5,很美的沙灘，但同時在沙灘的漲潮線上也有大量的海漂垃圾，讓人看了很難過😫要少用塑膠物減少污染源。大部分都是對岸漂過來的.... …
阿拜尤幹,5 年前,1,已经荒廢了，別再來了
洪兆慶,5 年前,5,
Andres Lee,5 年前,4,
尚鶴,5 年前,5,不錯
黃琴慧,5 年前,5,
許姝玟,6 年前,5,
Summer Hsu,6 年前,4,無人的㊙️境岩岸、豐富的生態、有沙灘可惜垃圾太多沒人清！
黃綠紅,6 年前,4,
