name,setTime,star,content
BELLE CHEN,2 天前,5,城市裡的小森林
pupu Lin,2 天前,5,
孟永吉,4 天前,4,
Huei Lan Cheng,6 天前,5,
蔡健信,1 週前,5,"大東濕地公園
安靜
樹蔭濃密
生態池景觀吸引許多攝影愛好者"
李啟勝,2 週前,5,
謝嘉蕙,2 週前,4,
erica chang,2 週前,2,
Nick Ho,3 週前,5,很漂亮但有點腐壞的跡象。
yuki育慈,4 週前,5,這公園腹地大，很適合下午來散步運動，最喜歡旁邊的小溪流
CoolBo,1 個月前,5,
Joy Wang,1 個月前,5,"瀑布水流魚兒游
寧靜悠閒蚊子多"
Alison Wang,1 個月前,4,天氣好的時候來散步，會看到池面反射得天空跟雲，真的是美到不行，公園不小，也不少人在運動什麼的，滿推薦可以來散步運動之類的
翁金蓮,1 個月前,5,我喜歡那整排的旅蔭道，走起來覺得很舒暢
Smile,1 個月前,5,
David Wu,1 個月前,5,非常清幽的森林
鈞宜Cherry,1 個月前,5,
James Divyns,1 個月前,5,散步的好地方，希望綠化環境可以更好。
hku mao,1 個月前,4,樹很多環境整理得不錯，我還看到有人來拍攝婚紗攝影，但是池子中的鯉魚數量太多，經過旁邊會聞到魚腥味，戴口罩不是為了防疫，而是怕聞到魚腥味作嘔。
Lai hung chih,2 個月前,4,
坤融謝,2 個月前,5,
何平平安安,2 個月前,5,
黃美雪,2 個月前,5,
Shwu Fen Su,2 個月前,4,
劉明慧,2 個月前,5,
李啟聖,2 個月前,5,
彭惠屏,2 個月前,5,美
fu noir,2 個月前,5,
劉哲村,2 個月前,4,
陳郁琴,2 個月前,5,讓人覺得很舒服又很乾淨的公園
Jenny,3 個月前,5,
李明翰,3 個月前,4,還不錯 蠻讓人放鬆😎 來遊玩的人騎腳踏車會更佳 …
林舒嫺（sharon lin）,3 個月前,5,
詹桓傑,3 個月前,5,
Lo Polo,3 個月前,5,
定少,3 個月前,5,"又稱高雄版忘憂森林

前身為柴頭埤遺跡之1也是中正公園[舊稱]
原本是垃圾掩埋用 綠化後成為濕地公園

週邊還有慈恩圖書/鳳山溪/曹公圳/
大東文化藝術中心 也都很值得踩點簽到

2017/03/14 [1ST"
guei-shen Wu,3 個月前,5,
Blue,3 個月前,5,帶小孩來這裡玩最棒了
